For Seed: 1 

2022-02-12 21:15:05.670137: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 AVX512F FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-02-12 21:15:09.972670: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30115 MB memory:  -> device: 0, name: Tesla V100-PCIE-32GB, pci bus id: 0000:3b:00.0, compute capability: 7.0
Rewards Tr: 6.37, Rewards Val: 6.05, Rewards Disc: 0.44, Rewards Eval: 0.00, Total Timesteps: 1610 episode:0 

Rewards Tr: 7.70, Rewards Val: 6.77, Rewards Disc: 0.73, Rewards Eval: 0.00, Total Timesteps: 3720 episode:1 

Rewards Tr: 10.94, Rewards Val: 9.33, Rewards Disc: 0.60, Rewards Eval: 0.00, Total Timesteps: 6680 episode:2 

Rewards Tr: 13.01, Rewards Val: 14.18, Rewards Disc: 0.59, Rewards Eval: 0.00, Total Timesteps: 10000 episode:3 

Rewards Tr: 12.06, Rewards Val: 16.66, Rewards Disc: 0.49, Rewards Eval: 0.00, Total Timesteps: 13060 episode:4 

Rewards Tr: 16.10, Rewards Val: 17.97, Rewards Disc: 0.47, Rewards Eval: 0.00, Total Timesteps: 16930 episode:5 

Rewards Tr: 25.07, Rewards Val: 24.89, Rewards Disc: 0.50, Rewards Eval: 0.00, Total Timesteps: 21520 episode:6 

Rewards Tr: 33.41, Rewards Val: 39.22, Rewards Disc: 0.45, Rewards Eval: 0.00, Total Timesteps: 26930 episode:7 

Rewards Tr: 39.44, Rewards Val: 34.85, Rewards Disc: 0.48, Rewards Eval: 0.00, Total Timesteps: 32470 episode:8 

Rewards Tr: 53.09, Rewards Val: 45.97, Rewards Disc: 0.45, Rewards Eval: 0.00, Total Timesteps: 38470 episode:9 

Rewards Tr: 50.54, Rewards Val: 54.61, Rewards Disc: 0.52, Rewards Eval: 50.77, Total Timesteps: 44210 episode:10 

Rewards Tr: 59.27, Rewards Val: 60.16, Rewards Disc: 0.50, Rewards Eval: 50.77, Total Timesteps: 50060 episode:11 

