For Seed: 1 

2022-02-08 19:10:32.917112: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-02-08 19:10:37.052408: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 78116 MB memory:  -> device: 0, name: NVIDIA A100-SXM-80GB, pci bus id: 0000:81:00.0, compute capability: 8.0
2022-02-08 19:10:38.295869: I tensorflow/stream_executor/cuda/cuda_blas.cc:1760] TensorFloat-32 will be used for the matrix multiplication. This will only be logged once.
Rewards Tr: 6.65, Rewards Eval: 0.00, Total Timesteps: 1040 episode:0 

Rewards Tr: 8.17, Rewards Eval: 0.00, Total Timesteps: 2020 episode:1 

Rewards Tr: 11.37, Rewards Eval: 0.00, Total Timesteps: 3380 episode:2 

Rewards Tr: 20.39, Rewards Eval: 0.00, Total Timesteps: 5540 episode:3 

Rewards Tr: 25.24, Rewards Eval: 0.00, Total Timesteps: 7720 episode:4 

Rewards Tr: 21.18, Rewards Eval: 0.00, Total Timesteps: 9810 episode:5 

Rewards Tr: 39.88, Rewards Eval: 18.57, Total Timesteps: 13190 episode:6 

Rewards Tr: 45.36, Rewards Eval: 18.57, Total Timesteps: 16160 episode:7 

Rewards Tr: 61.41, Rewards Eval: 18.57, Total Timesteps: 19700 episode:8 

Rewards Tr: 68.54, Rewards Eval: 79.49, Total Timesteps: 23240 episode:9 

Rewards Tr: 99.05, Rewards Eval: 79.49, Total Timesteps: 28300 episode:10 

Rewards Tr: 98.17, Rewards Eval: 76.06, Total Timesteps: 33100 episode:11 

Rewards Tr: 93.69, Rewards Eval: 76.06, Total Timesteps: 38740 episode:12 

Rewards Tr: 93.91, Rewards Eval: 137.82, Total Timesteps: 45080 episode:13 

Rewards Tr: 125.70, Rewards Eval: 197.72, Total Timesteps: 51570 episode:14 

Rewards Tr: 138.35, Rewards Eval: 197.72, Total Timesteps: 59070 episode:15 

Rewards Tr: 137.54, Rewards Eval: 87.99, Total Timesteps: 67670 episode:16 

Rewards Tr: 137.64, Rewards Eval: 185.04, Total Timesteps: 76560 episode:17 

Rewards Tr: 146.40, Rewards Eval: 167.40, Total Timesteps: 85130 episode:18 

Rewards Tr: 161.41, Rewards Eval: 158.45, Total Timesteps: 94040 episode:19 

Rewards Tr: 173.08, Rewards Eval: 116.40, Total Timesteps: 103560 episode:20 

Rewards Tr: 165.95, Rewards Eval: 215.64, Total Timesteps: 112140 episode:21 

Rewards Tr: 164.04, Rewards Eval: 85.79, Total Timesteps: 121200 episode:22 

Rewards Tr: 124.13, Rewards Eval: 134.74, Total Timesteps: 130060 episode:23 

Rewards Tr: 155.13, Rewards Eval: 134.74, Total Timesteps: 139590 episode:24 

Rewards Tr: 178.05, Rewards Eval: 234.61, Total Timesteps: 150090 episode:25 

Rewards Tr: 212.17, Rewards Eval: 234.48, Total Timesteps: 162910 episode:26 

Rewards Tr: 234.53, Rewards Eval: 329.22, Total Timesteps: 177270 episode:27 

Rewards Tr: 261.69, Rewards Eval: 215.19, Total Timesteps: 189880 episode:28 

Rewards Tr: 298.55, Rewards Eval: 358.54, Total Timesteps: 206090 episode:29 

Rewards Tr: 328.37, Rewards Eval: 339.91, Total Timesteps: 222290 episode:30 

Rewards Tr: 341.02, Rewards Eval: 316.69, Total Timesteps: 237820 episode:31 

Rewards Tr: 342.68, Rewards Eval: 330.09, Total Timesteps: 253470 episode:32 

Rewards Tr: 340.35, Rewards Eval: 328.38, Total Timesteps: 270930 episode:33 

Rewards Tr: 338.87, Rewards Eval: 341.05, Total Timesteps: 285780 episode:34 

Rewards Tr: 329.97, Rewards Eval: 356.94, Total Timesteps: 299450 episode:35 

Rewards Tr: 347.47, Rewards Eval: 355.93, Total Timesteps: 312850 episode:36 

Rewards Tr: 351.85, Rewards Eval: 345.62, Total Timesteps: 327190 episode:37 

Rewards Tr: 348.66, Rewards Eval: 327.57, Total Timesteps: 342280 episode:38 

Rewards Tr: 336.42, Rewards Eval: 309.17, Total Timesteps: 353670 episode:39 

Rewards Tr: 316.17, Rewards Eval: 355.09, Total Timesteps: 364700 episode:40 

Rewards Tr: 306.78, Rewards Eval: 322.74, Total Timesteps: 377260 episode:41 

Rewards Tr: 338.08, Rewards Eval: 291.18, Total Timesteps: 390400 episode:42 

Rewards Tr: 312.61, Rewards Eval: 325.15, Total Timesteps: 400210 episode:43 

Rewards Tr: 302.18, Rewards Eval: 311.50, Total Timesteps: 412120 episode:44 

Rewards Tr: 320.93, Rewards Eval: 311.80, Total Timesteps: 422830 episode:45 

Rewards Tr: 304.69, Rewards Eval: 310.62, Total Timesteps: 432610 episode:46 

Rewards Tr: 294.85, Rewards Eval: 328.73, Total Timesteps: 442580 episode:47 

Rewards Tr: 300.99, Rewards Eval: 329.61, Total Timesteps: 451570 episode:48 

Rewards Tr: 317.27, Rewards Eval: 215.47, Total Timesteps: 461360 episode:49 

Rewards Tr: 301.47, Rewards Eval: 260.02, Total Timesteps: 470510 episode:50 

Rewards Tr: 281.64, Rewards Eval: 260.02, Total Timesteps: 478400 episode:51 

Rewards Tr: 285.80, Rewards Eval: 281.22, Total Timesteps: 486610 episode:52 

Rewards Tr: 287.25, Rewards Eval: 277.36, Total Timesteps: 494460 episode:53 

Rewards Tr: 281.94, Rewards Eval: 273.17, Total Timesteps: 501940 episode:54 

Rewards Tr: 279.43, Rewards Eval: 273.17, Total Timesteps: 509500 episode:55 

Rewards Tr: 276.17, Rewards Eval: 276.33, Total Timesteps: 516690 episode:56 

Rewards Tr: 268.65, Rewards Eval: 282.18, Total Timesteps: 523650 episode:57 

Rewards Tr: 280.92, Rewards Eval: 272.14, Total Timesteps: 530970 episode:58 

Rewards Tr: 269.53, Rewards Eval: 272.14, Total Timesteps: 537920 episode:59 

Rewards Tr: 272.00, Rewards Eval: 277.19, Total Timesteps: 544640 episode:60 

Rewards Tr: 269.54, Rewards Eval: 271.31, Total Timesteps: 551450 episode:61 

Rewards Tr: 271.70, Rewards Eval: 271.31, Total Timesteps: 558130 episode:62 

Rewards Tr: 270.72, Rewards Eval: 263.88, Total Timesteps: 564570 episode:63 

Rewards Tr: 270.96, Rewards Eval: 267.99, Total Timesteps: 571150 episode:64 

Rewards Tr: 266.17, Rewards Eval: 267.99, Total Timesteps: 577400 episode:65 

Rewards Tr: 266.35, Rewards Eval: 264.40, Total Timesteps: 583550 episode:66 

Rewards Tr: 264.18, Rewards Eval: 264.40, Total Timesteps: 589590 episode:67 

Rewards Tr: 260.30, Rewards Eval: 266.70, Total Timesteps: 595870 episode:68 

Rewards Tr: 266.56, Rewards Eval: 264.71, Total Timesteps: 602180 episode:69 

Rewards Tr: 267.05, Rewards Eval: 264.71, Total Timesteps: 608290 episode:70 

Rewards Tr: 263.13, Rewards Eval: 264.32, Total Timesteps: 614280 episode:71 

Rewards Tr: 265.10, Rewards Eval: 265.73, Total Timesteps: 620270 episode:72 

Rewards Tr: 264.63, Rewards Eval: 265.73, Total Timesteps: 626230 episode:73 

