For Seed: 1 

2022-02-12 21:35:46.667483: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 AVX512F FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-02-12 21:35:52.277334: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30115 MB memory:  -> device: 0, name: Tesla V100-PCIE-32GB, pci bus id: 0000:3b:00.0, compute capability: 7.0
Rewards Tr: 5.38, Rewards Disc: 0.61, Rewards Eval: 0.00, Total Timesteps: 910 episode:0 

Rewards Tr: 10.63, Rewards Disc: 0.61, Rewards Eval: 0.00, Total Timesteps: 2240 episode:1 

Rewards Tr: 13.19, Rewards Disc: 0.41, Rewards Eval: 0.00, Total Timesteps: 3790 episode:2 

Rewards Tr: 22.51, Rewards Disc: 0.23, Rewards Eval: 0.00, Total Timesteps: 6180 episode:3 

Rewards Tr: 33.71, Rewards Disc: 0.35, Rewards Eval: 0.00, Total Timesteps: 8600 episode:4 

Rewards Tr: 48.47, Rewards Disc: 0.45, Rewards Eval: 0.00, Total Timesteps: 11460 episode:5 

Rewards Tr: 50.00, Rewards Disc: 0.51, Rewards Eval: 0.00, Total Timesteps: 14100 episode:6 

Rewards Tr: 62.59, Rewards Disc: 0.49, Rewards Eval: 0.00, Total Timesteps: 17900 episode:7 

Rewards Tr: 63.89, Rewards Disc: 0.49, Rewards Eval: 55.86, Total Timesteps: 21290 episode:8 

Rewards Tr: 78.68, Rewards Disc: 0.55, Rewards Eval: 55.86, Total Timesteps: 25690 episode:9 

Rewards Tr: 102.70, Rewards Disc: 0.53, Rewards Eval: 55.86, Total Timesteps: 30680 episode:10 

Rewards Tr: 110.12, Rewards Disc: 0.55, Rewards Eval: 96.99, Total Timesteps: 35940 episode:11 

Rewards Tr: 116.04, Rewards Disc: 0.56, Rewards Eval: 96.99, Total Timesteps: 42400 episode:12 

Rewards Tr: 102.71, Rewards Disc: 0.49, Rewards Eval: 96.99, Total Timesteps: 47570 episode:13 

Rewards Tr: 128.85, Rewards Disc: 0.45, Rewards Eval: 134.65, Total Timesteps: 54270 episode:14 

Rewards Tr: 130.83, Rewards Disc: 0.54, Rewards Eval: 134.65, Total Timesteps: 63350 episode:15 

Rewards Tr: 143.23, Rewards Disc: 0.57, Rewards Eval: 129.62, Total Timesteps: 71410 episode:16 

Rewards Tr: 126.76, Rewards Disc: 0.46, Rewards Eval: 129.62, Total Timesteps: 78510 episode:17 

Rewards Tr: 145.68, Rewards Disc: 0.54, Rewards Eval: 129.62, Total Timesteps: 85700 episode:18 

Rewards Tr: 155.21, Rewards Disc: 0.53, Rewards Eval: 181.44, Total Timesteps: 93750 episode:19 

Rewards Tr: 157.91, Rewards Disc: 0.46, Rewards Eval: 181.44, Total Timesteps: 101330 episode:20 

Rewards Tr: 172.44, Rewards Disc: 0.44, Rewards Eval: 130.70, Total Timesteps: 108980 episode:21 

Rewards Tr: 173.33, Rewards Disc: 0.50, Rewards Eval: 130.70, Total Timesteps: 116150 episode:22 

Rewards Tr: 188.19, Rewards Disc: 0.46, Rewards Eval: 187.96, Total Timesteps: 124360 episode:23 

Rewards Tr: 212.64, Rewards Disc: 0.49, Rewards Eval: 218.26, Total Timesteps: 133340 episode:24 

Rewards Tr: 204.08, Rewards Disc: 0.51, Rewards Eval: 218.26, Total Timesteps: 142100 episode:25 

Rewards Tr: 211.39, Rewards Disc: 0.50, Rewards Eval: 238.70, Total Timesteps: 150700 episode:26 

Rewards Tr: 223.39, Rewards Disc: 0.54, Rewards Eval: 238.70, Total Timesteps: 159850 episode:27 

Rewards Tr: 240.85, Rewards Disc: 0.55, Rewards Eval: 278.76, Total Timesteps: 170250 episode:28 

Rewards Tr: 242.97, Rewards Disc: 0.58, Rewards Eval: 219.10, Total Timesteps: 180450 episode:29 

Rewards Tr: 259.70, Rewards Disc: 0.51, Rewards Eval: 221.50, Total Timesteps: 191790 episode:30 

Rewards Tr: 263.64, Rewards Disc: 0.57, Rewards Eval: 221.50, Total Timesteps: 202650 episode:31 

Rewards Tr: 241.39, Rewards Disc: 0.48, Rewards Eval: 150.24, Total Timesteps: 211130 episode:32 

Rewards Tr: 223.86, Rewards Disc: 0.50, Rewards Eval: 218.00, Total Timesteps: 220490 episode:33 

Rewards Tr: 241.70, Rewards Disc: 0.51, Rewards Eval: 218.00, Total Timesteps: 229390 episode:34 

Rewards Tr: 259.19, Rewards Disc: 0.47, Rewards Eval: 246.69, Total Timesteps: 239920 episode:35 

Rewards Tr: 251.56, Rewards Disc: 0.50, Rewards Eval: 251.45, Total Timesteps: 248720 episode:36 

Rewards Tr: 271.88, Rewards Disc: 0.48, Rewards Eval: 251.45, Total Timesteps: 258700 episode:37 

Rewards Tr: 272.05, Rewards Disc: 0.54, Rewards Eval: 249.35, Total Timesteps: 269950 episode:38 

Rewards Tr: 255.17, Rewards Disc: 0.50, Rewards Eval: 271.81, Total Timesteps: 277970 episode:39 

Rewards Tr: 271.30, Rewards Disc: 0.58, Rewards Eval: 271.81, Total Timesteps: 287650 episode:40 

Rewards Tr: 259.26, Rewards Disc: 0.55, Rewards Eval: 288.02, Total Timesteps: 295200 episode:41 

Rewards Tr: 271.23, Rewards Disc: 0.54, Rewards Eval: 215.13, Total Timesteps: 304090 episode:42 

Rewards Tr: 275.42, Rewards Disc: 0.50, Rewards Eval: 270.51, Total Timesteps: 314200 episode:43 

Rewards Tr: 278.26, Rewards Disc: 0.50, Rewards Eval: 270.51, Total Timesteps: 324960 episode:44 

Rewards Tr: 264.20, Rewards Disc: 0.53, Rewards Eval: 276.90, Total Timesteps: 333130 episode:45 

Rewards Tr: 257.55, Rewards Disc: 0.51, Rewards Eval: 299.13, Total Timesteps: 342070 episode:46 

