For Seed: 1 

2022-02-08 19:40:24.519815: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-02-08 19:40:28.934812: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30115 MB memory:  -> device: 0, name: Tesla V100-SXM2-32GB, pci bus id: 0000:0a:00.0, compute capability: 7.0
Rewards Tr: 6.57, Rewards Eval: 0.00, Total Timesteps: 1040 episode:0 

Rewards Tr: 8.15, Rewards Eval: 0.00, Total Timesteps: 2070 episode:1 

Rewards Tr: 10.95, Rewards Eval: 0.00, Total Timesteps: 3220 episode:2 

Rewards Tr: 16.40, Rewards Eval: 0.00, Total Timesteps: 5260 episode:3 

Rewards Tr: 32.11, Rewards Eval: 0.00, Total Timesteps: 7870 episode:4 

Rewards Tr: 27.20, Rewards Eval: 64.86, Total Timesteps: 10430 episode:5 

Rewards Tr: 49.60, Rewards Eval: 64.86, Total Timesteps: 13510 episode:6 

Rewards Tr: 58.41, Rewards Eval: 64.86, Total Timesteps: 16720 episode:7 

Rewards Tr: 55.83, Rewards Eval: 64.86, Total Timesteps: 19940 episode:8 

Rewards Tr: 65.98, Rewards Eval: 98.73, Total Timesteps: 23600 episode:9 

Rewards Tr: 90.36, Rewards Eval: 98.73, Total Timesteps: 27950 episode:10 

Rewards Tr: 105.82, Rewards Eval: 77.97, Total Timesteps: 32250 episode:11 

Rewards Tr: 105.30, Rewards Eval: 77.97, Total Timesteps: 37680 episode:12 

Rewards Tr: 118.96, Rewards Eval: 135.13, Total Timesteps: 43540 episode:13 

Rewards Tr: 145.00, Rewards Eval: 163.33, Total Timesteps: 50260 episode:14 

Rewards Tr: 145.24, Rewards Eval: 163.33, Total Timesteps: 56050 episode:15 

Rewards Tr: 162.97, Rewards Eval: 169.46, Total Timesteps: 63370 episode:16 

Rewards Tr: 156.58, Rewards Eval: 169.46, Total Timesteps: 69910 episode:17 

Rewards Tr: 180.61, Rewards Eval: 225.83, Total Timesteps: 76770 episode:18 

Rewards Tr: 181.46, Rewards Eval: 187.80, Total Timesteps: 84520 episode:19 

Rewards Tr: 183.48, Rewards Eval: 171.14, Total Timesteps: 92050 episode:20 

Rewards Tr: 163.71, Rewards Eval: 171.14, Total Timesteps: 99930 episode:21 

Rewards Tr: 180.05, Rewards Eval: 209.13, Total Timesteps: 108050 episode:22 

Rewards Tr: 169.12, Rewards Eval: 232.62, Total Timesteps: 116020 episode:23 

Rewards Tr: 219.53, Rewards Eval: 266.29, Total Timesteps: 125550 episode:24 

Rewards Tr: 208.58, Rewards Eval: 242.38, Total Timesteps: 134100 episode:25 

Rewards Tr: 224.37, Rewards Eval: 252.33, Total Timesteps: 143630 episode:26 

Rewards Tr: 239.36, Rewards Eval: 237.98, Total Timesteps: 154350 episode:27 

Rewards Tr: 257.16, Rewards Eval: 242.69, Total Timesteps: 164430 episode:28 

Rewards Tr: 273.55, Rewards Eval: 296.09, Total Timesteps: 176320 episode:29 

Rewards Tr: 268.47, Rewards Eval: 235.48, Total Timesteps: 187950 episode:30 

Rewards Tr: 278.09, Rewards Eval: 289.01, Total Timesteps: 199860 episode:31 

Rewards Tr: 276.44, Rewards Eval: 273.40, Total Timesteps: 208770 episode:32 

Rewards Tr: 269.51, Rewards Eval: 277.66, Total Timesteps: 217220 episode:33 

Rewards Tr: 276.95, Rewards Eval: 301.89, Total Timesteps: 226410 episode:34 

Rewards Tr: 282.89, Rewards Eval: 286.22, Total Timesteps: 235570 episode:35 

Rewards Tr: 292.08, Rewards Eval: 320.69, Total Timesteps: 244820 episode:36 

Rewards Tr: 280.01, Rewards Eval: 279.57, Total Timesteps: 253020 episode:37 

Rewards Tr: 278.29, Rewards Eval: 244.71, Total Timesteps: 260880 episode:38 

Rewards Tr: 274.78, Rewards Eval: 244.71, Total Timesteps: 268610 episode:39 

Rewards Tr: 286.18, Rewards Eval: 285.76, Total Timesteps: 276540 episode:40 

Rewards Tr: 286.66, Rewards Eval: 238.74, Total Timesteps: 284320 episode:41 

Rewards Tr: 258.98, Rewards Eval: 282.08, Total Timesteps: 291960 episode:42 

Rewards Tr: 275.10, Rewards Eval: 282.08, Total Timesteps: 299680 episode:43 

Rewards Tr: 280.45, Rewards Eval: 283.83, Total Timesteps: 307250 episode:44 

Rewards Tr: 274.81, Rewards Eval: 272.64, Total Timesteps: 314410 episode:45 

Rewards Tr: 283.19, Rewards Eval: 270.67, Total Timesteps: 321610 episode:46 

