
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 1 

2022-01-30 00:34:01.901152: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-01-30 00:34:06.657055: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30115 MB memory:  -> device: 0, name: Tesla V100-SXM2-32GB, pci bus id: 0000:89:00.0, compute capability: 7.0
Rewards Tr: -34.13, Rewards Val: -31.50, Rewards Disc: 0.57, Rewards Eval: -33.47, Total Timesteps: 20000 episode:0 

Rewards Tr: -33.87, Rewards Val: -24.88, Rewards Disc: 0.43, Rewards Eval: -1.43, Total Timesteps: 40000 episode:1 

Rewards Tr: -18.89, Rewards Val: -22.19, Rewards Disc: 0.46, Rewards Eval: -27.79, Total Timesteps: 60000 episode:2 

Rewards Tr: -35.05, Rewards Val: -33.37, Rewards Disc: 0.51, Rewards Eval: 7.85, Total Timesteps: 80000 episode:3 

Rewards Tr: -35.25, Rewards Val: -28.74, Rewards Disc: 0.42, Rewards Eval: -66.13, Total Timesteps: 100000 episode:4 

Rewards Tr: -40.29, Rewards Val: -24.63, Rewards Disc: 0.48, Rewards Eval: 16.17, Total Timesteps: 120000 episode:5 

Rewards Tr: -41.25, Rewards Val: -30.22, Rewards Disc: 0.51, Rewards Eval: 22.44, Total Timesteps: 140000 episode:6 

Rewards Tr: -41.37, Rewards Val: -17.13, Rewards Disc: 0.62, Rewards Eval: -39.15, Total Timesteps: 160000 episode:7 

Rewards Tr: -34.90, Rewards Val: -44.57, Rewards Disc: 0.63, Rewards Eval: -54.87, Total Timesteps: 180000 episode:8 

Rewards Tr: -28.78, Rewards Val: -13.87, Rewards Disc: 0.65, Rewards Eval: -41.80, Total Timesteps: 200000 episode:9 

Rewards Tr: -31.81, Rewards Val: -16.04, Rewards Disc: 0.68, Rewards Eval: -44.98, Total Timesteps: 220000 episode:10 

Rewards Tr: -20.05, Rewards Val: -26.65, Rewards Disc: 0.64, Rewards Eval: -35.71, Total Timesteps: 240000 episode:11 

Rewards Tr: -24.63, Rewards Val: -20.40, Rewards Disc: 0.63, Rewards Eval: -5.12, Total Timesteps: 260000 episode:12 

Rewards Tr: -26.69, Rewards Val: -17.46, Rewards Disc: 0.62, Rewards Eval: -21.57, Total Timesteps: 280000 episode:13 

Rewards Tr: -19.78, Rewards Val: -9.71, Rewards Disc: 0.55, Rewards Eval: -18.24, Total Timesteps: 300000 episode:14 

Rewards Tr: -27.00, Rewards Val: -30.16, Rewards Disc: 0.57, Rewards Eval: -5.30, Total Timesteps: 320000 episode:15 

Rewards Tr: -35.35, Rewards Val: -23.33, Rewards Disc: 0.58, Rewards Eval: -49.83, Total Timesteps: 340000 episode:16 

Rewards Tr: -14.13, Rewards Val: -25.41, Rewards Disc: 0.56, Rewards Eval: 41.22, Total Timesteps: 360000 episode:17 

Rewards Tr: -17.27, Rewards Val: -12.33, Rewards Disc: 0.46, Rewards Eval: 3.24, Total Timesteps: 380000 episode:18 

Rewards Tr: -10.33, Rewards Val: -9.60, Rewards Disc: 0.40, Rewards Eval: 3.67, Total Timesteps: 400000 episode:19 

Rewards Tr: -8.24, Rewards Val: -17.46, Rewards Disc: 0.41, Rewards Eval: -40.24, Total Timesteps: 420000 episode:20 

