
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 1 

2022-01-30 00:34:18.300069: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-01-30 00:34:21.102949: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 10469 MB memory:  -> device: 0, name: Tesla K80, pci bus id: 0000:05:00.0, compute capability: 3.7
Rewards Agent: -46.00, Rewards Disc: 0.25, Rewards Eval: -93.48, Total Timesteps: 10000 episode:0 

Rewards Agent: -53.80, Rewards Disc: 0.44, Rewards Eval: -57.14, Total Timesteps: 20000 episode:1 

Rewards Agent: -43.43, Rewards Disc: 0.74, Rewards Eval: -58.95, Total Timesteps: 30000 episode:2 

Rewards Agent: -54.23, Rewards Disc: 1.00, Rewards Eval: -45.58, Total Timesteps: 40000 episode:3 

Rewards Agent: -50.89, Rewards Disc: 0.80, Rewards Eval: -58.80, Total Timesteps: 50000 episode:4 

Rewards Agent: -53.31, Rewards Disc: 0.98, Rewards Eval: -56.57, Total Timesteps: 60000 episode:5 

Rewards Agent: -43.64, Rewards Disc: 0.91, Rewards Eval: -50.27, Total Timesteps: 70000 episode:6 

Rewards Agent: -46.29, Rewards Disc: 1.00, Rewards Eval: -48.23, Total Timesteps: 80000 episode:7 

Rewards Agent: -42.98, Rewards Disc: 0.82, Rewards Eval: -40.98, Total Timesteps: 90000 episode:8 

Rewards Agent: -40.69, Rewards Disc: 0.72, Rewards Eval: -49.42, Total Timesteps: 100000 episode:9 

Rewards Agent: -44.34, Rewards Disc: 0.63, Rewards Eval: -44.87, Total Timesteps: 110000 episode:10 

Rewards Agent: -36.68, Rewards Disc: 0.94, Rewards Eval: -39.79, Total Timesteps: 120000 episode:11 

Rewards Agent: -37.99, Rewards Disc: 0.82, Rewards Eval: -41.63, Total Timesteps: 130000 episode:12 

Rewards Agent: -33.08, Rewards Disc: 0.66, Rewards Eval: -36.75, Total Timesteps: 140000 episode:13 

Rewards Agent: -18.99, Rewards Disc: 0.74, Rewards Eval: -31.61, Total Timesteps: 150000 episode:14 

Rewards Agent: -32.88, Rewards Disc: 0.73, Rewards Eval: -65.11, Total Timesteps: 160000 episode:15 

Rewards Agent: -30.11, Rewards Disc: 0.69, Rewards Eval: -9.87, Total Timesteps: 170000 episode:16 

Rewards Agent: -13.71, Rewards Disc: 0.84, Rewards Eval: -36.43, Total Timesteps: 180000 episode:17 

Rewards Agent: -35.58, Rewards Disc: 0.40, Rewards Eval: -45.07, Total Timesteps: 190000 episode:18 

Rewards Agent: -34.51, Rewards Disc: 0.23, Rewards Eval: -28.28, Total Timesteps: 200000 episode:19 

Rewards Agent: -32.88, Rewards Disc: 0.47, Rewards Eval: -33.68, Total Timesteps: 210000 episode:20 

Rewards Agent: -23.93, Rewards Disc: 0.78, Rewards Eval: -26.18, Total Timesteps: 220000 episode:21 

Rewards Agent: -21.85, Rewards Disc: 0.96, Rewards Eval: -25.18, Total Timesteps: 230000 episode:22 

Rewards Agent: -24.10, Rewards Disc: 0.86, Rewards Eval: -43.25, Total Timesteps: 240000 episode:23 

Rewards Agent: -35.67, Rewards Disc: 0.64, Rewards Eval: -46.66, Total Timesteps: 250000 episode:24 

Rewards Agent: -38.05, Rewards Disc: 0.35, Rewards Eval: -30.67, Total Timesteps: 260000 episode:25 

Rewards Agent: -25.36, Rewards Disc: 0.41, Rewards Eval: -44.05, Total Timesteps: 270000 episode:26 

Rewards Agent: -19.42, Rewards Disc: 0.58, Rewards Eval: -30.33, Total Timesteps: 280000 episode:27 

Rewards Agent: -18.42, Rewards Disc: 0.47, Rewards Eval: -18.53, Total Timesteps: 290000 episode:28 

Rewards Agent: -5.82, Rewards Disc: 0.64, Rewards Eval: -41.69, Total Timesteps: 300000 episode:29 

Rewards Agent: -25.14, Rewards Disc: 0.59, Rewards Eval: -26.10, Total Timesteps: 310000 episode:30 

Rewards Agent: -15.27, Rewards Disc: 0.28, Rewards Eval: -20.46, Total Timesteps: 320000 episode:31 

Rewards Agent: -14.01, Rewards Disc: 0.46, Rewards Eval: -27.66, Total Timesteps: 330000 episode:32 

Rewards Agent: -2.15, Rewards Disc: 0.82, Rewards Eval: -0.08, Total Timesteps: 340000 episode:33 

Rewards Agent: 14.28, Rewards Disc: 0.65, Rewards Eval: -1.57, Total Timesteps: 350000 episode:34 

Rewards Agent: -0.97, Rewards Disc: 0.73, Rewards Eval: -17.46, Total Timesteps: 360000 episode:35 

Rewards Agent: -15.29, Rewards Disc: 0.75, Rewards Eval: -21.26, Total Timesteps: 370000 episode:36 

Rewards Agent: -16.17, Rewards Disc: 0.87, Rewards Eval: -23.94, Total Timesteps: 380000 episode:37 

Rewards Agent: -6.89, Rewards Disc: 0.71, Rewards Eval: -3.75, Total Timesteps: 390000 episode:38 

Rewards Agent: 5.14, Rewards Disc: 0.71, Rewards Eval: -10.09, Total Timesteps: 400000 episode:39 

Rewards Agent: -25.08, Rewards Disc: 0.43, Rewards Eval: -103.49, Total Timesteps: 410000 episode:40 

Rewards Agent: -77.94, Rewards Disc: 0.49, Rewards Eval: -77.02, Total Timesteps: 420000 episode:41 

Rewards Agent: -54.16, Rewards Disc: 0.53, Rewards Eval: -30.80, Total Timesteps: 430000 episode:42 

Rewards Agent: -18.55, Rewards Disc: 0.55, Rewards Eval: -9.70, Total Timesteps: 440000 episode:43 

Rewards Agent: -14.14, Rewards Disc: 0.45, Rewards Eval: -5.03, Total Timesteps: 450000 episode:44 

Rewards Agent: -7.43, Rewards Disc: 0.54, Rewards Eval: -26.11, Total Timesteps: 460000 episode:45 

Rewards Agent: -5.66, Rewards Disc: 0.60, Rewards Eval: -18.54, Total Timesteps: 470000 episode:46 

Rewards Agent: 22.72, Rewards Disc: 0.58, Rewards Eval: 36.67, Total Timesteps: 480000 episode:47 

Rewards Agent: 30.72, Rewards Disc: 0.53, Rewards Eval: 29.94, Total Timesteps: 490000 episode:48 

Rewards Agent: 21.44, Rewards Disc: 0.39, Rewards Eval: 32.99, Total Timesteps: 500000 episode:49 

Rewards Agent: 14.89, Rewards Disc: 0.39, Rewards Eval: -5.73, Total Timesteps: 510000 episode:50 

Rewards Agent: 10.60, Rewards Disc: 0.45, Rewards Eval: -3.30, Total Timesteps: 520000 episode:51 

Rewards Agent: -2.58, Rewards Disc: 0.55, Rewards Eval: -26.11, Total Timesteps: 530000 episode:52 

Rewards Agent: 14.78, Rewards Disc: 0.56, Rewards Eval: 33.08, Total Timesteps: 540000 episode:53 

Rewards Agent: 39.89, Rewards Disc: 0.58, Rewards Eval: 54.57, Total Timesteps: 550000 episode:54 

Rewards Agent: 58.67, Rewards Disc: 0.55, Rewards Eval: 58.75, Total Timesteps: 560000 episode:55 

Rewards Agent: 62.31, Rewards Disc: 0.59, Rewards Eval: 68.07, Total Timesteps: 570000 episode:56 

Rewards Agent: 80.06, Rewards Disc: 0.64, Rewards Eval: 95.74, Total Timesteps: 580000 episode:57 

Rewards Agent: 87.89, Rewards Disc: 0.50, Rewards Eval: 108.14, Total Timesteps: 590000 episode:58 

Rewards Agent: 96.15, Rewards Disc: 0.66, Rewards Eval: 110.84, Total Timesteps: 600000 episode:59 

Rewards Agent: 113.78, Rewards Disc: 0.47, Rewards Eval: 113.90, Total Timesteps: 610000 episode:60 

Rewards Agent: 126.46, Rewards Disc: 0.57, Rewards Eval: 124.98, Total Timesteps: 620000 episode:61 

Rewards Agent: 137.24, Rewards Disc: 0.66, Rewards Eval: 154.00, Total Timesteps: 630000 episode:62 

Rewards Agent: 147.45, Rewards Disc: 0.70, Rewards Eval: 158.68, Total Timesteps: 640000 episode:63 

Rewards Agent: 159.00, Rewards Disc: 0.68, Rewards Eval: 166.61, Total Timesteps: 650000 episode:64 

Rewards Agent: 158.56, Rewards Disc: 0.79, Rewards Eval: 176.99, Total Timesteps: 660000 episode:65 

Rewards Agent: 190.60, Rewards Disc: 0.75, Rewards Eval: 228.62, Total Timesteps: 670000 episode:66 

Rewards Agent: 174.90, Rewards Disc: 0.78, Rewards Eval: 199.68, Total Timesteps: 680000 episode:67 

Rewards Agent: 185.48, Rewards Disc: 0.79, Rewards Eval: 195.19, Total Timesteps: 690000 episode:68 

Rewards Agent: 208.07, Rewards Disc: 0.74, Rewards Eval: 275.24, Total Timesteps: 700000 episode:69 

Rewards Agent: 232.99, Rewards Disc: 0.74, Rewards Eval: 255.98, Total Timesteps: 710000 episode:70 

Rewards Agent: 229.67, Rewards Disc: 0.67, Rewards Eval: 278.08, Total Timesteps: 720000 episode:71 

Rewards Agent: 271.28, Rewards Disc: 0.65, Rewards Eval: 309.76, Total Timesteps: 730000 episode:72 

Rewards Agent: 287.48, Rewards Disc: 0.58, Rewards Eval: 257.08, Total Timesteps: 740000 episode:73 

Rewards Agent: 316.76, Rewards Disc: 0.63, Rewards Eval: 294.99, Total Timesteps: 750000 episode:74 

Rewards Agent: 318.07, Rewards Disc: 0.65, Rewards Eval: 325.46, Total Timesteps: 760000 episode:75 

Rewards Agent: 342.14, Rewards Disc: 0.74, Rewards Eval: 336.98, Total Timesteps: 770000 episode:76 

Rewards Agent: 358.71, Rewards Disc: 0.79, Rewards Eval: 398.40, Total Timesteps: 780000 episode:77 

Rewards Agent: 347.10, Rewards Disc: 0.83, Rewards Eval: 372.54, Total Timesteps: 790000 episode:78 

Rewards Agent: 329.08, Rewards Disc: 0.77, Rewards Eval: 296.88, Total Timesteps: 800000 episode:79 

Rewards Agent: 362.34, Rewards Disc: 0.64, Rewards Eval: 408.60, Total Timesteps: 810000 episode:80 

Rewards Agent: 436.77, Rewards Disc: 0.73, Rewards Eval: 373.22, Total Timesteps: 820000 episode:81 

Rewards Agent: 395.69, Rewards Disc: 0.66, Rewards Eval: 349.06, Total Timesteps: 830000 episode:82 

Rewards Agent: 394.90, Rewards Disc: 0.72, Rewards Eval: 392.03, Total Timesteps: 840000 episode:83 

Rewards Agent: 438.95, Rewards Disc: 0.70, Rewards Eval: 422.34, Total Timesteps: 850000 episode:84 

Rewards Agent: 423.43, Rewards Disc: 0.85, Rewards Eval: 506.43, Total Timesteps: 860000 episode:85 

Rewards Agent: 425.12, Rewards Disc: 0.84, Rewards Eval: 443.93, Total Timesteps: 870000 episode:86 

Rewards Agent: 387.22, Rewards Disc: 0.74, Rewards Eval: 409.49, Total Timesteps: 880000 episode:87 

Rewards Agent: 393.01, Rewards Disc: 0.80, Rewards Eval: 435.20, Total Timesteps: 890000 episode:88 

Rewards Agent: 397.70, Rewards Disc: 0.74, Rewards Eval: 366.73, Total Timesteps: 900000 episode:89 

