
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 1 

2022-01-30 00:57:28.193203: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-01-30 00:57:34.100129: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30115 MB memory:  -> device: 0, name: Tesla V100-SXM2-32GB, pci bus id: 0000:89:00.0, compute capability: 7.0
Rewards Agent: -36.58, Rewards Eval: -30.29, Total Timesteps: 10000 episode:0 

Rewards Agent: -40.04, Rewards Eval: -56.78, Total Timesteps: 20000 episode:1 

Rewards Agent: -50.84, Rewards Eval: -68.70, Total Timesteps: 30000 episode:2 

Rewards Agent: -66.22, Rewards Eval: -48.09, Total Timesteps: 40000 episode:3 

Rewards Agent: -46.17, Rewards Eval: -51.62, Total Timesteps: 50000 episode:4 

Rewards Agent: -48.71, Rewards Eval: -55.84, Total Timesteps: 60000 episode:5 

Rewards Agent: -50.87, Rewards Eval: -53.30, Total Timesteps: 70000 episode:6 

Rewards Agent: -50.03, Rewards Eval: -54.48, Total Timesteps: 80000 episode:7 

Rewards Agent: -49.55, Rewards Eval: -53.70, Total Timesteps: 90000 episode:8 

Rewards Agent: -49.51, Rewards Eval: -53.86, Total Timesteps: 100000 episode:9 

Rewards Agent: -48.20, Rewards Eval: -43.80, Total Timesteps: 110000 episode:10 

Rewards Agent: 27.85, Rewards Eval: 12.65, Total Timesteps: 120000 episode:11 

Rewards Agent: -1.21, Rewards Eval: 39.54, Total Timesteps: 130000 episode:12 

Rewards Agent: 11.00, Rewards Eval: -2.52, Total Timesteps: 140000 episode:13 

Rewards Agent: -13.23, Rewards Eval: -1.99, Total Timesteps: 150000 episode:14 

Rewards Agent: -12.58, Rewards Eval: -16.04, Total Timesteps: 160000 episode:15 

Rewards Agent: -5.99, Rewards Eval: 5.65, Total Timesteps: 170000 episode:16 

Rewards Agent: 34.32, Rewards Eval: -20.38, Total Timesteps: 180000 episode:17 

Rewards Agent: 58.12, Rewards Eval: 99.13, Total Timesteps: 190000 episode:18 

Rewards Agent: 57.96, Rewards Eval: 36.39, Total Timesteps: 200000 episode:19 

Rewards Agent: 44.27, Rewards Eval: 90.27, Total Timesteps: 210000 episode:20 

Rewards Agent: 100.55, Rewards Eval: 136.58, Total Timesteps: 220000 episode:21 

Rewards Agent: 128.54, Rewards Eval: 150.76, Total Timesteps: 230000 episode:22 

Rewards Agent: 144.26, Rewards Eval: 131.77, Total Timesteps: 240000 episode:23 

