
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 1 

2022-01-30 00:57:26.842228: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 AVX512F FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-01-30 00:57:30.650402: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30115 MB memory:  -> device: 0, name: Tesla V100-PCIE-32GB, pci bus id: 0000:86:00.0, compute capability: 7.0
Rewards Agent: -4.67, Rewards Eval: -47.92, Total Timesteps: 10000 episode:0 

Rewards Agent: -34.16, Rewards Eval: -55.16, Total Timesteps: 20000 episode:1 

Rewards Agent: -15.32, Rewards Eval: 45.70, Total Timesteps: 30000 episode:2 

Rewards Agent: -19.82, Rewards Eval: -43.76, Total Timesteps: 40000 episode:3 

Rewards Agent: -47.18, Rewards Eval: -45.27, Total Timesteps: 50000 episode:4 

Rewards Agent: -50.46, Rewards Eval: -53.11, Total Timesteps: 60000 episode:5 

Rewards Agent: -54.74, Rewards Eval: -54.40, Total Timesteps: 70000 episode:6 

Rewards Agent: -55.11, Rewards Eval: -54.68, Total Timesteps: 80000 episode:7 

Rewards Agent: -56.51, Rewards Eval: -59.41, Total Timesteps: 90000 episode:8 

Rewards Agent: -58.60, Rewards Eval: -56.29, Total Timesteps: 100000 episode:9 

Rewards Agent: -60.40, Rewards Eval: 11.81, Total Timesteps: 110000 episode:10 

Rewards Agent: -12.74, Rewards Eval: -38.17, Total Timesteps: 120000 episode:11 

Rewards Agent: -17.27, Rewards Eval: -14.93, Total Timesteps: 130000 episode:12 

Rewards Agent: -6.22, Rewards Eval: 0.68, Total Timesteps: 140000 episode:13 

Rewards Agent: -8.93, Rewards Eval: 20.39, Total Timesteps: 150000 episode:14 

