For Seed: 1 

2022-02-01 15:43:33.463730: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 AVX512F FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-02-01 15:43:37.156946: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30115 MB memory:  -> device: 0, name: Tesla V100-PCIE-32GB, pci bus id: 0000:86:00.0, compute capability: 7.0
Rewards Agent: -26.21, Rewards Eval: -1.23, Total Timesteps: 10000 episode:0 

Rewards Agent: -13.40, Rewards Eval: 12.95, Total Timesteps: 20000 episode:1 

Rewards Agent: 27.38, Rewards Eval: -23.24, Total Timesteps: 30000 episode:2 

Rewards Agent: -21.62, Rewards Eval: 17.61, Total Timesteps: 40000 episode:3 

Rewards Agent: 9.25, Rewards Eval: 95.69, Total Timesteps: 50000 episode:4 

Rewards Agent: 77.36, Rewards Eval: 14.31, Total Timesteps: 60000 episode:5 

Rewards Agent: 54.14, Rewards Eval: 31.98, Total Timesteps: 70000 episode:6 

Rewards Agent: 98.14, Rewards Eval: 69.05, Total Timesteps: 80000 episode:7 

Rewards Agent: 110.85, Rewards Eval: 103.23, Total Timesteps: 90000 episode:8 

Rewards Agent: 205.31, Rewards Eval: 329.07, Total Timesteps: 100000 episode:9 

Rewards Agent: 296.38, Rewards Eval: 333.55, Total Timesteps: 110000 episode:10 

Rewards Agent: 374.36, Rewards Eval: 356.40, Total Timesteps: 120000 episode:11 

Rewards Agent: 387.79, Rewards Eval: 443.14, Total Timesteps: 130000 episode:12 

Rewards Agent: 465.64, Rewards Eval: 487.44, Total Timesteps: 140000 episode:13 

Rewards Agent: 488.74, Rewards Eval: 428.37, Total Timesteps: 150000 episode:14 

Rewards Agent: 498.54, Rewards Eval: 366.35, Total Timesteps: 160000 episode:15 

Rewards Agent: 545.26, Rewards Eval: 572.64, Total Timesteps: 170000 episode:16 

Rewards Agent: 567.23, Rewards Eval: 620.80, Total Timesteps: 180000 episode:17 

Rewards Agent: 567.68, Rewards Eval: 661.50, Total Timesteps: 190000 episode:18 

Rewards Agent: 632.27, Rewards Eval: 676.33, Total Timesteps: 200000 episode:19 

Rewards Agent: 629.21, Rewards Eval: 630.25, Total Timesteps: 210000 episode:20 

Rewards Agent: 646.78, Rewards Eval: 661.86, Total Timesteps: 220000 episode:21 

Rewards Agent: 668.24, Rewards Eval: 718.86, Total Timesteps: 230000 episode:22 

Rewards Agent: 666.91, Rewards Eval: 681.91, Total Timesteps: 240000 episode:23 

Rewards Agent: 693.76, Rewards Eval: 627.95, Total Timesteps: 250000 episode:24 

Rewards Agent: 708.78, Rewards Eval: 742.49, Total Timesteps: 260000 episode:25 

Rewards Agent: 726.49, Rewards Eval: 553.64, Total Timesteps: 270000 episode:26 

Rewards Agent: 711.65, Rewards Eval: 533.57, Total Timesteps: 280000 episode:27 

Rewards Agent: 755.00, Rewards Eval: 590.42, Total Timesteps: 290000 episode:28 

Rewards Agent: 796.97, Rewards Eval: 774.55, Total Timesteps: 300000 episode:29 

Rewards Agent: 783.46, Rewards Eval: 800.89, Total Timesteps: 310000 episode:30 

Rewards Agent: 805.39, Rewards Eval: 803.51, Total Timesteps: 320000 episode:31 

Rewards Agent: 816.38, Rewards Eval: 817.91, Total Timesteps: 330000 episode:32 

Rewards Agent: 823.46, Rewards Eval: 780.81, Total Timesteps: 340000 episode:33 

Rewards Agent: 836.91, Rewards Eval: 847.00, Total Timesteps: 350000 episode:34 

Rewards Agent: 859.34, Rewards Eval: 866.13, Total Timesteps: 360000 episode:35 

Rewards Agent: 867.19, Rewards Eval: 890.16, Total Timesteps: 370000 episode:36 

Rewards Agent: 860.98, Rewards Eval: 850.57, Total Timesteps: 380000 episode:37 

Rewards Agent: 893.54, Rewards Eval: 845.67, Total Timesteps: 390000 episode:38 

Rewards Agent: 902.98, Rewards Eval: 909.98, Total Timesteps: 400000 episode:39 

Rewards Agent: 891.04, Rewards Eval: 908.12, Total Timesteps: 410000 episode:40 

Rewards Agent: 883.70, Rewards Eval: 946.25, Total Timesteps: 420000 episode:41 

Rewards Agent: 930.96, Rewards Eval: 923.16, Total Timesteps: 430000 episode:42 

Rewards Agent: 939.97, Rewards Eval: 940.23, Total Timesteps: 440000 episode:43 

Rewards Agent: 942.86, Rewards Eval: 878.84, Total Timesteps: 450000 episode:44 

Rewards Agent: 931.74, Rewards Eval: 974.34, Total Timesteps: 460000 episode:45 

Rewards Agent: 945.54, Rewards Eval: 920.34, Total Timesteps: 470000 episode:46 

Rewards Agent: 942.01, Rewards Eval: 994.36, Total Timesteps: 480000 episode:47 

Rewards Agent: 961.80, Rewards Eval: 1001.69, Total Timesteps: 490000 episode:48 

Rewards Agent: 954.33, Rewards Eval: 884.09, Total Timesteps: 500000 episode:49 

Rewards Agent: 985.94, Rewards Eval: 991.72, Total Timesteps: 510000 episode:50 

Rewards Agent: 982.12, Rewards Eval: 1010.45, Total Timesteps: 520000 episode:51 

Rewards Agent: 998.96, Rewards Eval: 1027.70, Total Timesteps: 530000 episode:52 

Rewards Agent: 994.07, Rewards Eval: 974.29, Total Timesteps: 540000 episode:53 

Rewards Agent: 1007.86, Rewards Eval: 985.94, Total Timesteps: 550000 episode:54 

Rewards Agent: 998.07, Rewards Eval: 924.49, Total Timesteps: 560000 episode:55 

Rewards Agent: 1011.31, Rewards Eval: 984.84, Total Timesteps: 570000 episode:56 

Rewards Agent: 1007.12, Rewards Eval: 1012.05, Total Timesteps: 580000 episode:57 

