For Seed: 1 

2022-02-02 03:17:53.218163: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-02-02 03:18:01.630720: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30115 MB memory:  -> device: 0, name: Tesla V100-SXM2-32GB, pci bus id: 0000:0a:00.0, compute capability: 7.0
Rewards Agent: -54.16, Rewards Eval: -61.00, Total Timesteps: 10000 episode:0 

Rewards Agent: -53.29, Rewards Eval: -51.04, Total Timesteps: 20000 episode:1 

Rewards Agent: -49.34, Rewards Eval: -56.55, Total Timesteps: 30000 episode:2 

Rewards Agent: -50.59, Rewards Eval: -55.76, Total Timesteps: 40000 episode:3 

Rewards Agent: -50.65, Rewards Eval: -56.56, Total Timesteps: 50000 episode:4 

Rewards Agent: -51.10, Rewards Eval: -56.17, Total Timesteps: 60000 episode:5 

Rewards Agent: -51.01, Rewards Eval: -56.01, Total Timesteps: 70000 episode:6 

Rewards Agent: -51.35, Rewards Eval: -55.98, Total Timesteps: 80000 episode:7 

Rewards Agent: -50.63, Rewards Eval: -56.62, Total Timesteps: 90000 episode:8 

Rewards Agent: -51.13, Rewards Eval: -55.15, Total Timesteps: 100000 episode:9 

Rewards Agent: -43.73, Rewards Eval: -52.52, Total Timesteps: 110000 episode:10 

Rewards Agent: -44.75, Rewards Eval: -65.59, Total Timesteps: 120000 episode:11 

Rewards Agent: -49.88, Rewards Eval: -43.98, Total Timesteps: 130000 episode:12 

Rewards Agent: -26.23, Rewards Eval: -18.18, Total Timesteps: 140000 episode:13 

Rewards Agent: -26.71, Rewards Eval: -15.64, Total Timesteps: 150000 episode:14 

Rewards Agent: -36.64, Rewards Eval: -54.05, Total Timesteps: 160000 episode:15 

Rewards Agent: -39.42, Rewards Eval: -61.92, Total Timesteps: 170000 episode:16 

Rewards Agent: -75.58, Rewards Eval: -13.69, Total Timesteps: 180000 episode:17 

Rewards Agent: -8.41, Rewards Eval: 0.69, Total Timesteps: 190000 episode:18 

Rewards Agent: -18.16, Rewards Eval: -16.10, Total Timesteps: 200000 episode:19 

Rewards Agent: -9.40, Rewards Eval: -14.27, Total Timesteps: 210000 episode:20 

Rewards Agent: -1.76, Rewards Eval: -3.87, Total Timesteps: 220000 episode:21 

Rewards Agent: -39.43, Rewards Eval: -15.60, Total Timesteps: 230000 episode:22 

Rewards Agent: -26.77, Rewards Eval: -36.03, Total Timesteps: 240000 episode:23 

Rewards Agent: -30.99, Rewards Eval: -27.21, Total Timesteps: 250000 episode:24 

Rewards Agent: -23.90, Rewards Eval: -30.87, Total Timesteps: 260000 episode:25 

Rewards Agent: -18.11, Rewards Eval: -5.98, Total Timesteps: 270000 episode:26 

Rewards Agent: 2.48, Rewards Eval: 13.50, Total Timesteps: 280000 episode:27 

