
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 3 

Rewards Tr: 10.80, Rewards Val: 10.57, Rewards Eval: 0.00, Total Timesteps: 16320 episode:0 

Rewards Tr: 16.23, Rewards Val: 13.39, Rewards Eval: 15.50, Total Timesteps: 38120 episode:1 

Rewards Tr: 21.14, Rewards Val: 20.79, Rewards Eval: 17.88, Total Timesteps: 66000 episode:2 

Rewards Tr: 23.91, Rewards Val: 26.91, Rewards Eval: 23.88, Total Timesteps: 96760 episode:3 

Rewards Tr: 33.40, Rewards Val: 40.28, Rewards Eval: 27.46, Total Timesteps: 134280 episode:4 

Rewards Tr: 41.06, Rewards Val: 43.45, Rewards Eval: 29.29, Total Timesteps: 174330 episode:5 

Rewards Tr: 52.98, Rewards Val: 46.78, Rewards Eval: 49.82, Total Timesteps: 211850 episode:6 

Rewards Tr: 53.96, Rewards Val: 51.80, Rewards Eval: 37.08, Total Timesteps: 251320 episode:7 

Rewards Tr: 54.21, Rewards Val: 55.39, Rewards Eval: 48.19, Total Timesteps: 289790 episode:8 

Rewards Tr: 57.64, Rewards Val: 55.68, Rewards Eval: 40.18, Total Timesteps: 328470 episode:9 

Rewards Tr: 57.64, Rewards Val: 55.60, Rewards Eval: 43.23, Total Timesteps: 365090 episode:10 

Rewards Tr: 55.74, Rewards Val: 56.55, Rewards Eval: 54.62, Total Timesteps: 402330 episode:11 

Rewards Tr: 57.07, Rewards Val: 58.09, Rewards Eval: 55.21, Total Timesteps: 438970 episode:12 

Rewards Tr: 61.16, Rewards Val: 60.09, Rewards Eval: 52.06, Total Timesteps: 479700 episode:13 

Rewards Tr: 60.51, Rewards Val: 63.96, Rewards Eval: 62.07, Total Timesteps: 519550 episode:14 

Rewards Tr: 64.77, Rewards Val: 67.14, Rewards Eval: 65.04, Total Timesteps: 562350 episode:15 

Rewards Tr: 65.50, Rewards Val: 68.16, Rewards Eval: 68.31, Total Timesteps: 604350 episode:16 

Rewards Tr: 72.26, Rewards Val: 68.96, Rewards Eval: 69.30, Total Timesteps: 649050 episode:17 

Rewards Tr: 77.33, Rewards Val: 70.06, Rewards Eval: 75.43, Total Timesteps: 700420 episode:18 

Rewards Tr: 76.72, Rewards Val: 78.53, Rewards Eval: 62.50, Total Timesteps: 752550 episode:19 

Rewards Tr: 79.00, Rewards Val: 82.58, Rewards Eval: 60.14, Total Timesteps: 806960 episode:20 

Rewards Tr: 84.13, Rewards Val: 85.92, Rewards Eval: 97.80, Total Timesteps: 863670 episode:21 

Rewards Tr: 84.75, Rewards Val: 83.27, Rewards Eval: 92.27, Total Timesteps: 921910 episode:22 

Rewards Tr: 93.17, Rewards Val: 91.83, Rewards Eval: 110.83, Total Timesteps: 989470 episode:23 

Rewards Tr: 94.63, Rewards Val: 97.40, Rewards Eval: 93.93, Total Timesteps: 1054630 episode:24 

Rewards Tr: 97.90, Rewards Val: 100.26, Rewards Eval: 97.03, Total Timesteps: 1125950 episode:25 

Rewards Tr: 102.92, Rewards Val: 104.83, Rewards Eval: 170.04, Total Timesteps: 1197730 episode:26 

Rewards Tr: 110.71, Rewards Val: 105.09, Rewards Eval: 171.80, Total Timesteps: 1271130 episode:27 

Rewards Tr: 115.04, Rewards Val: 113.69, Rewards Eval: 75.57, Total Timesteps: 1347960 episode:28 

Rewards Tr: 117.71, Rewards Val: 122.62, Rewards Eval: 142.07, Total Timesteps: 1429780 episode:29 

Rewards Tr: 130.41, Rewards Val: 129.87, Rewards Eval: 87.91, Total Timesteps: 1512280 episode:30 

Rewards Tr: 130.46, Rewards Val: 128.27, Rewards Eval: 119.17, Total Timesteps: 1594110 episode:31 

Rewards Tr: 134.58, Rewards Val: 128.29, Rewards Eval: 180.17, Total Timesteps: 1674040 episode:32 

Rewards Tr: 135.43, Rewards Val: 139.44, Rewards Eval: 160.65, Total Timesteps: 1754730 episode:33 

Rewards Tr: 144.00, Rewards Val: 142.52, Rewards Eval: 165.44, Total Timesteps: 1838400 episode:34 

Rewards Tr: 147.92, Rewards Val: 144.63, Rewards Eval: 159.10, Total Timesteps: 1920090 episode:35 

Rewards Tr: 154.85, Rewards Val: 152.42, Rewards Eval: 151.54, Total Timesteps: 2002600 episode:36 

Rewards Tr: 149.60, Rewards Val: 152.45, Rewards Eval: 155.94, Total Timesteps: 2081140 episode:37 

Rewards Tr: 156.68, Rewards Val: 159.15, Rewards Eval: 172.39, Total Timesteps: 2165000 episode:38 

Rewards Tr: 155.04, Rewards Val: 162.09, Rewards Eval: 189.71, Total Timesteps: 2247240 episode:39 

Rewards Tr: 160.67, Rewards Val: 161.26, Rewards Eval: 125.51, Total Timesteps: 2326620 episode:40 

Rewards Tr: 157.49, Rewards Val: 158.31, Rewards Eval: 133.03, Total Timesteps: 2402800 episode:41 

Rewards Tr: 166.64, Rewards Val: 164.55, Rewards Eval: 161.84, Total Timesteps: 2481290 episode:42 

Rewards Tr: 161.87, Rewards Val: 168.19, Rewards Eval: 179.84, Total Timesteps: 2558900 episode:43 

Rewards Tr: 165.20, Rewards Val: 167.97, Rewards Eval: 177.87, Total Timesteps: 2636720 episode:44 

Rewards Tr: 170.38, Rewards Val: 167.11, Rewards Eval: 154.43, Total Timesteps: 2715810 episode:45 

Rewards Tr: 170.27, Rewards Val: 169.92, Rewards Eval: 166.29, Total Timesteps: 2796210 episode:46 

Rewards Tr: 171.79, Rewards Val: 172.22, Rewards Eval: 190.64, Total Timesteps: 2875910 episode:47 

Rewards Tr: 175.27, Rewards Val: 173.78, Rewards Eval: 200.53, Total Timesteps: 2960070 episode:48 

Rewards Tr: 178.67, Rewards Val: 177.68, Rewards Eval: 207.26, Total Timesteps: 3043910 episode:49 

Rewards Tr: 179.77, Rewards Val: 181.15, Rewards Eval: 171.01, Total Timesteps: 3131670 episode:50 

Rewards Tr: 181.50, Rewards Val: 183.48, Rewards Eval: 181.92, Total Timesteps: 3219500 episode:51 

Rewards Tr: 188.08, Rewards Val: 185.25, Rewards Eval: 166.38, Total Timesteps: 3311490 episode:52 

Rewards Tr: 190.85, Rewards Val: 189.26, Rewards Eval: 203.98, Total Timesteps: 3405460 episode:53 

Rewards Tr: 192.14, Rewards Val: 189.20, Rewards Eval: 159.83, Total Timesteps: 3497810 episode:54 

Rewards Tr: 195.47, Rewards Val: 196.82, Rewards Eval: 201.31, Total Timesteps: 3599550 episode:55 

Rewards Tr: 198.90, Rewards Val: 198.19, Rewards Eval: 205.25, Total Timesteps: 3702960 episode:56 

Rewards Tr: 204.32, Rewards Val: 204.64, Rewards Eval: 210.78, Total Timesteps: 3808240 episode:57 

Rewards Tr: 209.22, Rewards Val: 211.20, Rewards Eval: 211.13, Total Timesteps: 3920620 episode:58 

Rewards Tr: 215.98, Rewards Val: 214.24, Rewards Eval: 234.33, Total Timesteps: 4034630 episode:59 

Rewards Tr: 222.20, Rewards Val: 223.19, Rewards Eval: 187.22, Total Timesteps: 4159830 episode:60 

Rewards Tr: 226.91, Rewards Val: 228.28, Rewards Eval: 239.88, Total Timesteps: 4294000 episode:61 

Rewards Tr: 231.50, Rewards Val: 235.03, Rewards Eval: 264.72, Total Timesteps: 4435160 episode:62 

Rewards Tr: 238.91, Rewards Val: 239.07, Rewards Eval: 237.50, Total Timesteps: 4575820 episode:63 

Rewards Tr: 245.07, Rewards Val: 246.86, Rewards Eval: 270.93, Total Timesteps: 4735460 episode:64 

Rewards Tr: 260.71, Rewards Val: 258.05, Rewards Eval: 236.84, Total Timesteps: 4913740 episode:65 

Rewards Tr: 262.05, Rewards Val: 266.63, Rewards Eval: 271.93, Total Timesteps: 5085820 episode:66 

Rewards Tr: 269.59, Rewards Val: 277.77, Rewards Eval: 265.75, Total Timesteps: 5281530 episode:67 

Rewards Tr: 280.58, Rewards Val: 278.31, Rewards Eval: 340.46, Total Timesteps: 5474710 episode:68 

Rewards Tr: 289.13, Rewards Val: 292.16, Rewards Eval: 292.71, Total Timesteps: 5694320 episode:69 

Rewards Tr: 306.69, Rewards Val: 300.75, Rewards Eval: 318.02, Total Timesteps: 5920890 episode:70 

Rewards Tr: 308.42, Rewards Val: 303.99, Rewards Eval: 378.67, Total Timesteps: 6141850 episode:71 

Rewards Tr: 313.51, Rewards Val: 308.10, Rewards Eval: 278.46, Total Timesteps: 6375150 episode:72 

Rewards Tr: 312.17, Rewards Val: 327.20, Rewards Eval: 387.28, Total Timesteps: 6629500 episode:73 

Rewards Tr: 320.40, Rewards Val: 322.18, Rewards Eval: 351.00, Total Timesteps: 6866810 episode:74 

Rewards Tr: 334.50, Rewards Val: 328.72, Rewards Eval: 415.30, Total Timesteps: 7135860 episode:75 

Rewards Tr: 344.10, Rewards Val: 340.50, Rewards Eval: 310.93, Total Timesteps: 7394260 episode:76 

Rewards Tr: 354.81, Rewards Val: 362.67, Rewards Eval: 350.67, Total Timesteps: 7689330 episode:77 

Rewards Tr: 365.33, Rewards Val: 369.83, Rewards Eval: 431.79, Total Timesteps: 7986540 episode:78 

Rewards Tr: 367.20, Rewards Val: 394.58, Rewards Eval: 424.96, Total Timesteps: 8292580 episode:79 

Rewards Tr: 377.83, Rewards Val: 400.79, Rewards Eval: 489.18, Total Timesteps: 8607750 episode:80 

Rewards Tr: 406.47, Rewards Val: 416.28, Rewards Eval: 552.58, Total Timesteps: 8952670 episode:81 

Rewards Tr: 411.03, Rewards Val: 403.41, Rewards Eval: 415.91, Total Timesteps: 9270730 episode:82 

Rewards Tr: 410.52, Rewards Val: 420.23, Rewards Eval: 396.49, Total Timesteps: 9590490 episode:83 

Rewards Tr: 403.45, Rewards Val: 417.12, Rewards Eval: 451.63, Total Timesteps: 9901950 episode:84 

Rewards Tr: 403.86, Rewards Val: 402.77, Rewards Eval: 358.13, Total Timesteps: 10182100 episode:85 

Rewards Tr: 413.58, Rewards Val: 419.05, Rewards Eval: 513.04, Total Timesteps: 10476110 episode:86 

Rewards Tr: 397.28, Rewards Val: 403.32, Rewards Eval: 413.16, Total Timesteps: 10747850 episode:87 

Rewards Tr: 412.42, Rewards Val: 407.80, Rewards Eval: 484.90, Total Timesteps: 11039260 episode:88 

Rewards Tr: 400.41, Rewards Val: 398.84, Rewards Eval: 483.95, Total Timesteps: 11308050 episode:89 

Rewards Tr: 399.88, Rewards Val: 386.78, Rewards Eval: 425.74, Total Timesteps: 11568980 episode:90 

Rewards Tr: 377.20, Rewards Val: 384.03, Rewards Eval: 418.15, Total Timesteps: 11811740 episode:91 

Rewards Tr: 370.84, Rewards Val: 369.69, Rewards Eval: 457.23, Total Timesteps: 12034310 episode:92 

Rewards Tr: 361.47, Rewards Val: 361.01, Rewards Eval: 334.98, Total Timesteps: 12246130 episode:93 

Rewards Tr: 352.19, Rewards Val: 361.00, Rewards Eval: 354.90, Total Timesteps: 12455960 episode:94 

Rewards Tr: 337.69, Rewards Val: 340.49, Rewards Eval: 342.46, Total Timesteps: 12639320 episode:95 

Rewards Tr: 345.24, Rewards Val: 334.58, Rewards Eval: 335.47, Total Timesteps: 12827120 episode:96 

Rewards Tr: 330.53, Rewards Val: 326.65, Rewards Eval: 339.93, Total Timesteps: 13005320 episode:97 

Rewards Tr: 324.77, Rewards Val: 324.25, Rewards Eval: 339.58, Total Timesteps: 13187140 episode:98 

Rewards Tr: 318.95, Rewards Val: 307.93, Rewards Eval: 300.98, Total Timesteps: 13347300 episode:99 

Rewards Tr: 315.37, Rewards Val: 308.70, Rewards Eval: 342.57, Total Timesteps: 13505560 episode:100 

Rewards Tr: 309.37, Rewards Val: 308.59, Rewards Eval: 312.63, Total Timesteps: 13657630 episode:101 

Rewards Tr: 303.69, Rewards Val: 305.34, Rewards Eval: 320.64, Total Timesteps: 13798040 episode:102 

Rewards Tr: 311.16, Rewards Val: 311.05, Rewards Eval: 314.98, Total Timesteps: 13939620 episode:103 

Rewards Tr: 310.75, Rewards Val: 316.25, Rewards Eval: 435.73, Total Timesteps: 14088480 episode:104 

Rewards Tr: 301.12, Rewards Val: 300.26, Rewards Eval: 270.15, Total Timesteps: 14226460 episode:105 

Rewards Tr: 307.62, Rewards Val: 304.19, Rewards Eval: 302.55, Total Timesteps: 14370020 episode:106 

Rewards Tr: 302.07, Rewards Val: 302.14, Rewards Eval: 220.35, Total Timesteps: 14498640 episode:107 

Rewards Tr: 299.18, Rewards Val: 293.75, Rewards Eval: 294.82, Total Timesteps: 14628320 episode:108 

Rewards Tr: 287.82, Rewards Val: 292.35, Rewards Eval: 222.82, Total Timesteps: 14749990 episode:109 

Rewards Tr: 291.85, Rewards Val: 305.58, Rewards Eval: 290.20, Total Timesteps: 14871350 episode:110 

Rewards Tr: 306.80, Rewards Val: 304.48, Rewards Eval: 307.90, Total Timesteps: 14993090 episode:111 

Rewards Tr: 315.69, Rewards Val: 296.32, Rewards Eval: 300.33, Total Timesteps: 15113610 episode:112 

Rewards Tr: 303.96, Rewards Val: 306.58, Rewards Eval: 350.57, Total Timesteps: 15234620 episode:113 

Rewards Tr: 298.43, Rewards Val: 310.13, Rewards Eval: 272.14, Total Timesteps: 15355490 episode:114 

Rewards Tr: 307.56, Rewards Val: 306.71, Rewards Eval: 266.84, Total Timesteps: 15471750 episode:115 

Rewards Tr: 311.33, Rewards Val: 311.79, Rewards Eval: 304.05, Total Timesteps: 15588020 episode:116 

Rewards Tr: 315.62, Rewards Val: 312.74, Rewards Eval: 302.45, Total Timesteps: 15709930 episode:117 

Rewards Tr: 320.72, Rewards Val: 320.25, Rewards Eval: 370.87, Total Timesteps: 15836360 episode:118 

Rewards Tr: 333.98, Rewards Val: 335.47, Rewards Eval: 313.67, Total Timesteps: 15981090 episode:119 

Rewards Tr: 360.22, Rewards Val: 358.81, Rewards Eval: 542.74, Total Timesteps: 16142690 episode:120 

Rewards Tr: 358.76, Rewards Val: 364.60, Rewards Eval: 345.98, Total Timesteps: 16317680 episode:121 

Rewards Tr: 380.04, Rewards Val: 363.11, Rewards Eval: 433.05, Total Timesteps: 16496570 episode:122 

Rewards Tr: 387.69, Rewards Val: 374.33, Rewards Eval: 412.05, Total Timesteps: 16696900 episode:123 

Rewards Tr: 400.38, Rewards Val: 368.86, Rewards Eval: 348.55, Total Timesteps: 16882600 episode:124 

Rewards Tr: 382.09, Rewards Val: 370.60, Rewards Eval: 335.12, Total Timesteps: 17053690 episode:125 

Rewards Tr: 391.56, Rewards Val: 382.99, Rewards Eval: 324.50, Total Timesteps: 17230880 episode:126 

Rewards Tr: 381.66, Rewards Val: 386.18, Rewards Eval: 376.55, Total Timesteps: 17403990 episode:127 

Rewards Tr: 395.21, Rewards Val: 394.98, Rewards Eval: 350.13, Total Timesteps: 17585770 episode:128 

Rewards Tr: 434.41, Rewards Val: 450.36, Rewards Eval: 352.20, Total Timesteps: 17810020 episode:129 

Rewards Tr: 469.20, Rewards Val: 470.11, Rewards Eval: 352.02, Total Timesteps: 18064920 episode:130 

Rewards Tr: 492.18, Rewards Val: 508.80, Rewards Eval: 302.85, Total Timesteps: 18337320 episode:131 

Rewards Tr: 538.61, Rewards Val: 552.41, Rewards Eval: 416.94, Total Timesteps: 18684010 episode:132 

Rewards Tr: 549.97, Rewards Val: 562.27, Rewards Eval: 356.00, Total Timesteps: 19031780 episode:133 

Rewards Tr: 506.31, Rewards Val: 502.54, Rewards Eval: 403.14, Total Timesteps: 19309480 episode:134 

Rewards Tr: 522.74, Rewards Val: 518.41, Rewards Eval: 327.47, Total Timesteps: 19596110 episode:135 

