
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 3 

Rewards Tr: 11.84, Rewards Val: 11.09, Rewards Eval: 0.00, Total Timesteps: 17360 episode:0 

Rewards Tr: 15.31, Rewards Val: 15.54, Rewards Eval: 24.89, Total Timesteps: 40880 episode:1 

Rewards Tr: 19.55, Rewards Val: 20.25, Rewards Eval: 23.19, Total Timesteps: 66820 episode:2 

Rewards Tr: 27.59, Rewards Val: 28.38, Rewards Eval: 32.63, Total Timesteps: 100030 episode:3 

Rewards Tr: 34.93, Rewards Val: 38.40, Rewards Eval: 19.79, Total Timesteps: 135990 episode:4 

Rewards Tr: 43.21, Rewards Val: 44.53, Rewards Eval: 46.25, Total Timesteps: 173250 episode:5 

Rewards Tr: 48.18, Rewards Val: 48.06, Rewards Eval: 36.91, Total Timesteps: 210700 episode:6 

Rewards Tr: 50.55, Rewards Val: 50.04, Rewards Eval: 61.31, Total Timesteps: 248750 episode:7 

Rewards Tr: 53.10, Rewards Val: 53.87, Rewards Eval: 49.71, Total Timesteps: 284560 episode:8 

Rewards Tr: 53.52, Rewards Val: 52.83, Rewards Eval: 54.43, Total Timesteps: 319250 episode:9 

Rewards Tr: 55.70, Rewards Val: 53.18, Rewards Eval: 55.04, Total Timesteps: 355590 episode:10 

Rewards Tr: 53.90, Rewards Val: 53.97, Rewards Eval: 54.53, Total Timesteps: 391300 episode:11 

Rewards Tr: 58.14, Rewards Val: 56.48, Rewards Eval: 55.86, Total Timesteps: 428930 episode:12 

Rewards Tr: 56.22, Rewards Val: 58.36, Rewards Eval: 57.67, Total Timesteps: 467260 episode:13 

Rewards Tr: 62.48, Rewards Val: 60.21, Rewards Eval: 58.46, Total Timesteps: 507390 episode:14 

Rewards Tr: 62.20, Rewards Val: 64.48, Rewards Eval: 61.65, Total Timesteps: 552630 episode:15 

Rewards Tr: 64.89, Rewards Val: 65.52, Rewards Eval: 75.74, Total Timesteps: 599640 episode:16 

Rewards Tr: 68.35, Rewards Val: 70.22, Rewards Eval: 62.22, Total Timesteps: 650380 episode:17 

Rewards Tr: 71.36, Rewards Val: 74.62, Rewards Eval: 68.93, Total Timesteps: 706010 episode:18 

Rewards Tr: 77.49, Rewards Val: 76.80, Rewards Eval: 69.53, Total Timesteps: 768510 episode:19 

Rewards Tr: 78.47, Rewards Val: 78.57, Rewards Eval: 89.96, Total Timesteps: 836940 episode:20 

Rewards Tr: 81.72, Rewards Val: 78.62, Rewards Eval: 88.67, Total Timesteps: 909600 episode:21 

Rewards Tr: 85.28, Rewards Val: 82.11, Rewards Eval: 81.99, Total Timesteps: 985880 episode:22 

Rewards Tr: 93.03, Rewards Val: 86.47, Rewards Eval: 55.66, Total Timesteps: 1076480 episode:23 

Rewards Tr: 93.30, Rewards Val: 90.90, Rewards Eval: 108.51, Total Timesteps: 1171280 episode:24 

Rewards Tr: 93.41, Rewards Val: 92.07, Rewards Eval: 84.99, Total Timesteps: 1268210 episode:25 

Rewards Tr: 101.73, Rewards Val: 97.04, Rewards Eval: 124.52, Total Timesteps: 1374500 episode:26 

Rewards Tr: 103.60, Rewards Val: 106.97, Rewards Eval: 102.70, Total Timesteps: 1486280 episode:27 

Rewards Tr: 101.14, Rewards Val: 100.07, Rewards Eval: 63.27, Total Timesteps: 1597630 episode:28 

Rewards Tr: 105.05, Rewards Val: 105.14, Rewards Eval: 121.99, Total Timesteps: 1708690 episode:29 

Rewards Tr: 113.42, Rewards Val: 106.57, Rewards Eval: 115.01, Total Timesteps: 1830820 episode:30 

Rewards Tr: 113.06, Rewards Val: 114.24, Rewards Eval: 94.25, Total Timesteps: 1950910 episode:31 

Rewards Tr: 114.49, Rewards Val: 119.49, Rewards Eval: 157.16, Total Timesteps: 2077750 episode:32 

Rewards Tr: 118.40, Rewards Val: 121.03, Rewards Eval: 124.11, Total Timesteps: 2210040 episode:33 

Rewards Tr: 122.46, Rewards Val: 125.53, Rewards Eval: 114.25, Total Timesteps: 2343200 episode:34 

Rewards Tr: 120.96, Rewards Val: 129.10, Rewards Eval: 158.71, Total Timesteps: 2478640 episode:35 

Rewards Tr: 128.42, Rewards Val: 131.21, Rewards Eval: 179.82, Total Timesteps: 2618670 episode:36 

Rewards Tr: 135.87, Rewards Val: 138.97, Rewards Eval: 146.43, Total Timesteps: 2776050 episode:37 

Rewards Tr: 146.41, Rewards Val: 143.09, Rewards Eval: 125.08, Total Timesteps: 2923370 episode:38 

Rewards Tr: 147.19, Rewards Val: 149.10, Rewards Eval: 252.37, Total Timesteps: 3089530 episode:39 

Rewards Tr: 164.20, Rewards Val: 155.43, Rewards Eval: 158.83, Total Timesteps: 3274780 episode:40 

Rewards Tr: 166.58, Rewards Val: 171.82, Rewards Eval: 245.87, Total Timesteps: 3469480 episode:41 

Rewards Tr: 172.61, Rewards Val: 177.49, Rewards Eval: 214.38, Total Timesteps: 3680610 episode:42 

Rewards Tr: 186.72, Rewards Val: 197.32, Rewards Eval: 275.19, Total Timesteps: 3924320 episode:43 

Rewards Tr: 210.80, Rewards Val: 205.82, Rewards Eval: 246.74, Total Timesteps: 4166030 episode:44 

