
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 3 

Rewards Tr: 11.12, Rewards Eval: 0.00, Total Timesteps: 8580 episode:0 

Rewards Tr: 16.19, Rewards Eval: 9.30, Total Timesteps: 20300 episode:1 

Rewards Tr: 20.61, Rewards Eval: 35.55, Total Timesteps: 34000 episode:2 

Rewards Tr: 30.40, Rewards Eval: 30.40, Total Timesteps: 51910 episode:3 

Rewards Tr: 38.16, Rewards Eval: 44.79, Total Timesteps: 70430 episode:4 

Rewards Tr: 44.58, Rewards Eval: 61.22, Total Timesteps: 88590 episode:5 

Rewards Tr: 50.93, Rewards Eval: 59.16, Total Timesteps: 106750 episode:6 

Rewards Tr: 52.04, Rewards Eval: 50.89, Total Timesteps: 125520 episode:7 

Rewards Tr: 51.83, Rewards Eval: 50.21, Total Timesteps: 141950 episode:8 

Rewards Tr: 54.42, Rewards Eval: 44.04, Total Timesteps: 159180 episode:9 

Rewards Tr: 55.98, Rewards Eval: 43.45, Total Timesteps: 177970 episode:10 

Rewards Tr: 56.67, Rewards Eval: 54.52, Total Timesteps: 195570 episode:11 

Rewards Tr: 56.43, Rewards Eval: 67.47, Total Timesteps: 212780 episode:12 

Rewards Tr: 60.36, Rewards Eval: 78.08, Total Timesteps: 231590 episode:13 

Rewards Tr: 60.38, Rewards Eval: 74.73, Total Timesteps: 249890 episode:14 

Rewards Tr: 63.09, Rewards Eval: 62.93, Total Timesteps: 271440 episode:15 

Rewards Tr: 66.47, Rewards Eval: 54.85, Total Timesteps: 292790 episode:16 

Rewards Tr: 72.08, Rewards Eval: 79.89, Total Timesteps: 317910 episode:17 

Rewards Tr: 73.61, Rewards Eval: 69.58, Total Timesteps: 343190 episode:18 

Rewards Tr: 73.63, Rewards Eval: 73.32, Total Timesteps: 371230 episode:19 

Rewards Tr: 74.78, Rewards Eval: 74.35, Total Timesteps: 399190 episode:20 

Rewards Tr: 81.51, Rewards Eval: 64.61, Total Timesteps: 431490 episode:21 

Rewards Tr: 84.06, Rewards Eval: 89.10, Total Timesteps: 465100 episode:22 

Rewards Tr: 86.36, Rewards Eval: 75.76, Total Timesteps: 500590 episode:23 

Rewards Tr: 86.44, Rewards Eval: 90.00, Total Timesteps: 534670 episode:24 

Rewards Tr: 95.62, Rewards Eval: 109.37, Total Timesteps: 575480 episode:25 

Rewards Tr: 89.47, Rewards Eval: 104.42, Total Timesteps: 615480 episode:26 

Rewards Tr: 100.10, Rewards Eval: 100.02, Total Timesteps: 660800 episode:27 

Rewards Tr: 102.44, Rewards Eval: 92.73, Total Timesteps: 704760 episode:28 

Rewards Tr: 105.79, Rewards Eval: 108.56, Total Timesteps: 747510 episode:29 

Rewards Tr: 106.37, Rewards Eval: 127.72, Total Timesteps: 788770 episode:30 

Rewards Tr: 110.57, Rewards Eval: 114.45, Total Timesteps: 832200 episode:31 

Rewards Tr: 117.59, Rewards Eval: 83.75, Total Timesteps: 883690 episode:32 

Rewards Tr: 120.78, Rewards Eval: 108.75, Total Timesteps: 932320 episode:33 

Rewards Tr: 129.41, Rewards Eval: 126.40, Total Timesteps: 981170 episode:34 

Rewards Tr: 133.42, Rewards Eval: 130.43, Total Timesteps: 1032680 episode:35 

Rewards Tr: 137.72, Rewards Eval: 120.70, Total Timesteps: 1081350 episode:36 

Rewards Tr: 138.99, Rewards Eval: 151.29, Total Timesteps: 1131410 episode:37 

Rewards Tr: 152.22, Rewards Eval: 118.45, Total Timesteps: 1182450 episode:38 

Rewards Tr: 154.84, Rewards Eval: 126.78, Total Timesteps: 1233570 episode:39 

Rewards Tr: 155.75, Rewards Eval: 201.06, Total Timesteps: 1281560 episode:40 

Rewards Tr: 155.60, Rewards Eval: 171.48, Total Timesteps: 1330040 episode:41 

Rewards Tr: 159.73, Rewards Eval: 196.12, Total Timesteps: 1377370 episode:42 

Rewards Tr: 158.29, Rewards Eval: 193.47, Total Timesteps: 1426160 episode:43 

Rewards Tr: 171.30, Rewards Eval: 171.23, Total Timesteps: 1473890 episode:44 

Rewards Tr: 163.11, Rewards Eval: 154.22, Total Timesteps: 1518030 episode:45 

Rewards Tr: 170.54, Rewards Eval: 181.80, Total Timesteps: 1563370 episode:46 

Rewards Tr: 167.96, Rewards Eval: 158.87, Total Timesteps: 1606190 episode:47 

Rewards Tr: 169.71, Rewards Eval: 171.20, Total Timesteps: 1647080 episode:48 

Rewards Tr: 170.74, Rewards Eval: 163.34, Total Timesteps: 1689860 episode:49 

Rewards Tr: 172.21, Rewards Eval: 162.39, Total Timesteps: 1732890 episode:50 

Rewards Tr: 171.84, Rewards Eval: 147.16, Total Timesteps: 1775400 episode:51 

Rewards Tr: 174.52, Rewards Eval: 171.35, Total Timesteps: 1818020 episode:52 

Rewards Tr: 174.26, Rewards Eval: 191.29, Total Timesteps: 1859640 episode:53 

Rewards Tr: 179.33, Rewards Eval: 182.45, Total Timesteps: 1902730 episode:54 

Rewards Tr: 176.88, Rewards Eval: 186.28, Total Timesteps: 1944620 episode:55 

Rewards Tr: 181.18, Rewards Eval: 180.02, Total Timesteps: 1989220 episode:56 

Rewards Tr: 180.96, Rewards Eval: 195.79, Total Timesteps: 2034230 episode:57 

Rewards Tr: 183.68, Rewards Eval: 195.82, Total Timesteps: 2079640 episode:58 

Rewards Tr: 190.11, Rewards Eval: 215.92, Total Timesteps: 2130420 episode:59 

Rewards Tr: 195.27, Rewards Eval: 216.02, Total Timesteps: 2179380 episode:60 

Rewards Tr: 196.14, Rewards Eval: 177.69, Total Timesteps: 2228570 episode:61 

Rewards Tr: 198.49, Rewards Eval: 215.55, Total Timesteps: 2280250 episode:62 

Rewards Tr: 209.32, Rewards Eval: 224.13, Total Timesteps: 2337590 episode:63 

Rewards Tr: 209.85, Rewards Eval: 215.57, Total Timesteps: 2393220 episode:64 

Rewards Tr: 224.08, Rewards Eval: 271.16, Total Timesteps: 2460100 episode:65 

Rewards Tr: 225.31, Rewards Eval: 199.44, Total Timesteps: 2527270 episode:66 

Rewards Tr: 233.75, Rewards Eval: 212.51, Total Timesteps: 2602360 episode:67 

Rewards Tr: 236.06, Rewards Eval: 196.10, Total Timesteps: 2677470 episode:68 

Rewards Tr: 245.80, Rewards Eval: 279.65, Total Timesteps: 2748300 episode:69 

Rewards Tr: 257.18, Rewards Eval: 279.13, Total Timesteps: 2835510 episode:70 

Rewards Tr: 266.75, Rewards Eval: 280.12, Total Timesteps: 2922390 episode:71 

Rewards Tr: 275.59, Rewards Eval: 246.25, Total Timesteps: 3019220 episode:72 

Rewards Tr: 275.46, Rewards Eval: 281.50, Total Timesteps: 3115170 episode:73 

Rewards Tr: 290.73, Rewards Eval: 330.99, Total Timesteps: 3217400 episode:74 

Rewards Tr: 291.80, Rewards Eval: 303.61, Total Timesteps: 3323680 episode:75 

Rewards Tr: 302.70, Rewards Eval: 291.61, Total Timesteps: 3439980 episode:76 

Rewards Tr: 309.27, Rewards Eval: 325.11, Total Timesteps: 3567630 episode:77 

Rewards Tr: 315.89, Rewards Eval: 362.27, Total Timesteps: 3689510 episode:78 

Rewards Tr: 321.11, Rewards Eval: 271.84, Total Timesteps: 3812150 episode:79 

Rewards Tr: 337.30, Rewards Eval: 487.39, Total Timesteps: 3943580 episode:80 

Rewards Tr: 350.04, Rewards Eval: 304.19, Total Timesteps: 4080490 episode:81 

Rewards Tr: 354.37, Rewards Eval: 381.56, Total Timesteps: 4226970 episode:82 

Rewards Tr: 368.52, Rewards Eval: 540.03, Total Timesteps: 4377920 episode:83 

Rewards Tr: 377.85, Rewards Eval: 383.54, Total Timesteps: 4537490 episode:84 

Rewards Tr: 381.10, Rewards Eval: 320.67, Total Timesteps: 4687460 episode:85 

Rewards Tr: 384.54, Rewards Eval: 451.51, Total Timesteps: 4849410 episode:86 

Rewards Tr: 398.19, Rewards Eval: 355.70, Total Timesteps: 5012970 episode:87 

Rewards Tr: 395.61, Rewards Eval: 404.90, Total Timesteps: 5167280 episode:88 

Rewards Tr: 399.95, Rewards Eval: 442.85, Total Timesteps: 5321600 episode:89 

Rewards Tr: 403.06, Rewards Eval: 392.87, Total Timesteps: 5468680 episode:90 

Rewards Tr: 396.71, Rewards Eval: 511.92, Total Timesteps: 5613920 episode:91 

Rewards Tr: 423.49, Rewards Eval: 393.77, Total Timesteps: 5772080 episode:92 

Rewards Tr: 434.04, Rewards Eval: 455.76, Total Timesteps: 5940990 episode:93 

Rewards Tr: 453.98, Rewards Eval: 373.70, Total Timesteps: 6115580 episode:94 

Rewards Tr: 447.00, Rewards Eval: 494.37, Total Timesteps: 6288150 episode:95 

Rewards Tr: 438.09, Rewards Eval: 463.20, Total Timesteps: 6449440 episode:96 

Rewards Tr: 446.07, Rewards Eval: 500.95, Total Timesteps: 6619220 episode:97 

Rewards Tr: 403.09, Rewards Eval: 389.49, Total Timesteps: 6752010 episode:98 

Rewards Tr: 398.26, Rewards Eval: 383.27, Total Timesteps: 6878850 episode:99 

Rewards Tr: 396.40, Rewards Eval: 373.04, Total Timesteps: 7010840 episode:100 

Rewards Tr: 385.93, Rewards Eval: 438.96, Total Timesteps: 7123890 episode:101 

Rewards Tr: 371.86, Rewards Eval: 359.60, Total Timesteps: 7239270 episode:102 

Rewards Tr: 349.16, Rewards Eval: 390.18, Total Timesteps: 7342210 episode:103 

Rewards Tr: 348.40, Rewards Eval: 351.73, Total Timesteps: 7445220 episode:104 

Rewards Tr: 335.89, Rewards Eval: 314.69, Total Timesteps: 7538940 episode:105 

Rewards Tr: 333.47, Rewards Eval: 322.93, Total Timesteps: 7634990 episode:106 

Rewards Tr: 326.78, Rewards Eval: 335.12, Total Timesteps: 7720070 episode:107 

Rewards Tr: 312.93, Rewards Eval: 311.82, Total Timesteps: 7799060 episode:108 

Rewards Tr: 301.72, Rewards Eval: 278.62, Total Timesteps: 7866180 episode:109 

Rewards Tr: 295.21, Rewards Eval: 305.04, Total Timesteps: 7931930 episode:110 

Rewards Tr: 301.27, Rewards Eval: 315.99, Total Timesteps: 7995030 episode:111 

Rewards Tr: 307.28, Rewards Eval: 335.53, Total Timesteps: 8061730 episode:112 

Rewards Tr: 304.87, Rewards Eval: 298.97, Total Timesteps: 8127960 episode:113 

Rewards Tr: 296.41, Rewards Eval: 309.54, Total Timesteps: 8194970 episode:114 

Rewards Tr: 294.09, Rewards Eval: 312.17, Total Timesteps: 8256830 episode:115 

Rewards Tr: 293.92, Rewards Eval: 253.80, Total Timesteps: 8314310 episode:116 

Rewards Tr: 281.20, Rewards Eval: 303.21, Total Timesteps: 8367470 episode:117 

Rewards Tr: 275.05, Rewards Eval: 267.94, Total Timesteps: 8419760 episode:118 

Rewards Tr: 267.33, Rewards Eval: 294.73, Total Timesteps: 8469480 episode:119 

Rewards Tr: 275.25, Rewards Eval: 249.89, Total Timesteps: 8519140 episode:120 

Rewards Tr: 290.82, Rewards Eval: 336.62, Total Timesteps: 8571470 episode:121 

Rewards Tr: 291.31, Rewards Eval: 281.55, Total Timesteps: 8626550 episode:122 

Rewards Tr: 290.25, Rewards Eval: 286.00, Total Timesteps: 8680910 episode:123 

Rewards Tr: 292.03, Rewards Eval: 300.26, Total Timesteps: 8738750 episode:124 

Rewards Tr: 309.88, Rewards Eval: 323.20, Total Timesteps: 8801220 episode:125 

Rewards Tr: 312.39, Rewards Eval: 345.05, Total Timesteps: 8861420 episode:126 

Rewards Tr: 327.53, Rewards Eval: 426.28, Total Timesteps: 8927930 episode:127 

Rewards Tr: 335.51, Rewards Eval: 278.19, Total Timesteps: 8997530 episode:128 

Rewards Tr: 335.41, Rewards Eval: 422.27, Total Timesteps: 9071930 episode:129 

Rewards Tr: 338.21, Rewards Eval: 366.01, Total Timesteps: 9143780 episode:130 

Rewards Tr: 348.94, Rewards Eval: 286.00, Total Timesteps: 9215560 episode:131 

Rewards Tr: 361.57, Rewards Eval: 384.94, Total Timesteps: 9294460 episode:132 

Rewards Tr: 391.59, Rewards Eval: 318.05, Total Timesteps: 9383580 episode:133 

Rewards Tr: 373.66, Rewards Eval: 547.77, Total Timesteps: 9470040 episode:134 

Rewards Tr: 404.60, Rewards Eval: 322.89, Total Timesteps: 9564890 episode:135 

Rewards Tr: 398.58, Rewards Eval: 534.59, Total Timesteps: 9659190 episode:136 

Rewards Tr: 454.51, Rewards Eval: 422.83, Total Timesteps: 9779600 episode:137 

Rewards Tr: 505.17, Rewards Eval: 405.40, Total Timesteps: 9920830 episode:138 

Rewards Tr: 448.51, Rewards Eval: 475.84, Total Timesteps: 10044950 episode:139 

Rewards Tr: 497.38, Rewards Eval: 432.98, Total Timesteps: 10167140 episode:140 

Rewards Tr: 536.38, Rewards Eval: 412.56, Total Timesteps: 10301490 episode:141 

Rewards Tr: 525.64, Rewards Eval: 452.76, Total Timesteps: 10434940 episode:142 

Rewards Tr: 498.71, Rewards Eval: 1062.73, Total Timesteps: 10555190 episode:143 

Rewards Tr: 500.69, Rewards Eval: 400.36, Total Timesteps: 10673180 episode:144 

Rewards Tr: 474.13, Rewards Eval: 610.99, Total Timesteps: 10796300 episode:145 

Rewards Tr: 533.57, Rewards Eval: 356.28, Total Timesteps: 10929870 episode:146 

Rewards Tr: 529.61, Rewards Eval: 588.57, Total Timesteps: 11052000 episode:147 

Rewards Tr: 555.72, Rewards Eval: 589.24, Total Timesteps: 11181270 episode:148 

Rewards Tr: 600.41, Rewards Eval: 416.67, Total Timesteps: 11333730 episode:149 

Rewards Tr: 617.99, Rewards Eval: 573.16, Total Timesteps: 11484600 episode:150 

Rewards Tr: 637.12, Rewards Eval: 453.11, Total Timesteps: 11650030 episode:151 

Rewards Tr: 726.99, Rewards Eval: 663.50, Total Timesteps: 11843950 episode:152 

Rewards Tr: 643.78, Rewards Eval: 774.58, Total Timesteps: 12010090 episode:153 

Rewards Tr: 661.20, Rewards Eval: 458.91, Total Timesteps: 12169180 episode:154 

Rewards Tr: 641.24, Rewards Eval: 499.23, Total Timesteps: 12316000 episode:155 

Rewards Tr: 655.04, Rewards Eval: 770.94, Total Timesteps: 12458670 episode:156 

Rewards Tr: 619.31, Rewards Eval: 506.98, Total Timesteps: 12596680 episode:157 

Rewards Tr: 689.41, Rewards Eval: 1433.41, Total Timesteps: 12751910 episode:158 

Rewards Tr: 858.48, Rewards Eval: 775.78, Total Timesteps: 12965220 episode:159 

Rewards Tr: 858.21, Rewards Eval: 1321.69, Total Timesteps: 13178880 episode:160 

Rewards Tr: 847.67, Rewards Eval: 834.88, Total Timesteps: 13395950 episode:161 

Rewards Tr: 831.07, Rewards Eval: 642.05, Total Timesteps: 13597540 episode:162 

Rewards Tr: 887.86, Rewards Eval: 633.85, Total Timesteps: 13791160 episode:163 

Rewards Tr: 779.80, Rewards Eval: 743.54, Total Timesteps: 13956710 episode:164 

Rewards Tr: 763.81, Rewards Eval: 831.24, Total Timesteps: 14113270 episode:165 

Rewards Tr: 743.55, Rewards Eval: 948.32, Total Timesteps: 14253710 episode:166 

Rewards Tr: 761.13, Rewards Eval: 858.54, Total Timesteps: 14395570 episode:167 

Rewards Tr: 700.77, Rewards Eval: 940.15, Total Timesteps: 14525110 episode:168 

Rewards Tr: 816.67, Rewards Eval: 718.31, Total Timesteps: 14686300 episode:169 

Rewards Tr: 849.93, Rewards Eval: 899.05, Total Timesteps: 14853570 episode:170 

Rewards Tr: 858.47, Rewards Eval: 751.18, Total Timesteps: 15028550 episode:171 

Rewards Tr: 961.34, Rewards Eval: 767.66, Total Timesteps: 15226300 episode:172 

Rewards Tr: 928.96, Rewards Eval: 694.93, Total Timesteps: 15435710 episode:173 

Rewards Tr: 988.17, Rewards Eval: 1181.95, Total Timesteps: 15644500 episode:174 

Rewards Tr: 1057.29, Rewards Eval: 1033.02, Total Timesteps: 15872740 episode:175 

Rewards Tr: 948.64, Rewards Eval: 591.95, Total Timesteps: 16080830 episode:176 

Rewards Tr: 958.81, Rewards Eval: 1269.81, Total Timesteps: 16269160 episode:177 

Rewards Tr: 1102.92, Rewards Eval: 1001.73, Total Timesteps: 16507250 episode:178 

Rewards Tr: 1213.58, Rewards Eval: 1356.09, Total Timesteps: 16765240 episode:179 

Rewards Tr: 1122.92, Rewards Eval: 1070.81, Total Timesteps: 17016290 episode:180 

Rewards Tr: 1037.20, Rewards Eval: 994.66, Total Timesteps: 17240750 episode:181 

Rewards Tr: 1174.31, Rewards Eval: 954.82, Total Timesteps: 17487430 episode:182 

Rewards Tr: 1302.17, Rewards Eval: 1235.48, Total Timesteps: 17756380 episode:183 

Rewards Tr: 1275.16, Rewards Eval: 1284.99, Total Timesteps: 18017720 episode:184 

Rewards Tr: 1246.86, Rewards Eval: 867.28, Total Timesteps: 18281940 episode:185 

Rewards Tr: 1278.47, Rewards Eval: 1479.62, Total Timesteps: 18551000 episode:186 

Rewards Tr: 1223.24, Rewards Eval: 798.90, Total Timesteps: 18791740 episode:187 

Rewards Tr: 1079.05, Rewards Eval: 869.46, Total Timesteps: 19006250 episode:188 

Rewards Tr: 997.44, Rewards Eval: 1125.33, Total Timesteps: 19204880 episode:189 

Rewards Tr: 1114.01, Rewards Eval: 1620.78, Total Timesteps: 19444520 episode:190 

Rewards Tr: 1223.16, Rewards Eval: 873.62, Total Timesteps: 19699090 episode:191 

Rewards Tr: 1272.41, Rewards Eval: 1259.37, Total Timesteps: 19959550 episode:192 

Rewards Tr: 1371.95, Rewards Eval: 847.15, Total Timesteps: 20235770 episode:193 

Rewards Tr: 1245.58, Rewards Eval: 984.14, Total Timesteps: 20496060 episode:194 

