
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 3 

Rewards Tr: 10.55, Rewards Eval: 0.00, Total Timesteps: 9130 episode:0 

Rewards Tr: 16.30, Rewards Eval: 38.18, Total Timesteps: 21070 episode:1 

Rewards Tr: 21.27, Rewards Eval: 34.88, Total Timesteps: 36080 episode:2 

Rewards Tr: 28.19, Rewards Eval: 41.94, Total Timesteps: 52950 episode:3 

Rewards Tr: 35.30, Rewards Eval: 35.55, Total Timesteps: 71550 episode:4 

Rewards Tr: 47.39, Rewards Eval: 34.58, Total Timesteps: 90420 episode:5 

Rewards Tr: 53.84, Rewards Eval: 47.15, Total Timesteps: 109320 episode:6 

Rewards Tr: 50.43, Rewards Eval: 42.28, Total Timesteps: 127870 episode:7 

Rewards Tr: 52.82, Rewards Eval: 48.57, Total Timesteps: 145530 episode:8 

Rewards Tr: 53.03, Rewards Eval: 53.52, Total Timesteps: 162210 episode:9 

Rewards Tr: 55.28, Rewards Eval: 51.89, Total Timesteps: 180000 episode:10 

Rewards Tr: 54.11, Rewards Eval: 52.71, Total Timesteps: 196690 episode:11 

Rewards Tr: 57.36, Rewards Eval: 53.21, Total Timesteps: 215970 episode:12 

Rewards Tr: 59.41, Rewards Eval: 59.84, Total Timesteps: 234800 episode:13 

Rewards Tr: 60.77, Rewards Eval: 51.39, Total Timesteps: 254160 episode:14 

Rewards Tr: 63.92, Rewards Eval: 58.89, Total Timesteps: 275000 episode:15 

Rewards Tr: 66.24, Rewards Eval: 53.02, Total Timesteps: 298940 episode:16 

Rewards Tr: 70.73, Rewards Eval: 73.18, Total Timesteps: 324040 episode:17 

Rewards Tr: 74.66, Rewards Eval: 66.13, Total Timesteps: 351490 episode:18 

Rewards Tr: 77.42, Rewards Eval: 92.23, Total Timesteps: 383490 episode:19 

Rewards Tr: 81.37, Rewards Eval: 86.01, Total Timesteps: 417490 episode:20 

Rewards Tr: 83.51, Rewards Eval: 74.62, Total Timesteps: 451470 episode:21 

Rewards Tr: 84.40, Rewards Eval: 100.81, Total Timesteps: 493380 episode:22 

Rewards Tr: 85.95, Rewards Eval: 114.28, Total Timesteps: 531120 episode:23 

Rewards Tr: 89.94, Rewards Eval: 116.71, Total Timesteps: 577120 episode:24 

Rewards Tr: 94.83, Rewards Eval: 122.13, Total Timesteps: 630700 episode:25 

Rewards Tr: 96.37, Rewards Eval: 126.54, Total Timesteps: 684660 episode:26 

Rewards Tr: 98.89, Rewards Eval: 96.31, Total Timesteps: 738060 episode:27 

Rewards Tr: 99.61, Rewards Eval: 101.33, Total Timesteps: 788970 episode:28 

Rewards Tr: 106.73, Rewards Eval: 91.63, Total Timesteps: 845330 episode:29 

Rewards Tr: 110.07, Rewards Eval: 107.39, Total Timesteps: 899380 episode:30 

Rewards Tr: 106.64, Rewards Eval: 142.45, Total Timesteps: 954750 episode:31 

Rewards Tr: 116.92, Rewards Eval: 122.38, Total Timesteps: 1014800 episode:32 

Rewards Tr: 115.89, Rewards Eval: 125.05, Total Timesteps: 1070870 episode:33 

Rewards Tr: 118.34, Rewards Eval: 102.74, Total Timesteps: 1130130 episode:34 

Rewards Tr: 119.27, Rewards Eval: 107.52, Total Timesteps: 1186980 episode:35 

Rewards Tr: 122.15, Rewards Eval: 128.81, Total Timesteps: 1247930 episode:36 

Rewards Tr: 123.91, Rewards Eval: 163.46, Total Timesteps: 1306920 episode:37 

Rewards Tr: 132.94, Rewards Eval: 125.02, Total Timesteps: 1370550 episode:38 

Rewards Tr: 145.62, Rewards Eval: 180.36, Total Timesteps: 1446980 episode:39 

Rewards Tr: 144.33, Rewards Eval: 148.42, Total Timesteps: 1523240 episode:40 

Rewards Tr: 150.71, Rewards Eval: 146.16, Total Timesteps: 1598470 episode:41 

Rewards Tr: 161.42, Rewards Eval: 176.28, Total Timesteps: 1683740 episode:42 

Rewards Tr: 170.88, Rewards Eval: 107.03, Total Timesteps: 1772890 episode:43 

Rewards Tr: 187.62, Rewards Eval: 255.19, Total Timesteps: 1873290 episode:44 

Rewards Tr: 173.92, Rewards Eval: 167.70, Total Timesteps: 1966900 episode:45 

Rewards Tr: 187.97, Rewards Eval: 417.01, Total Timesteps: 2073380 episode:46 

Rewards Tr: 199.95, Rewards Eval: 173.54, Total Timesteps: 2180930 episode:47 

Rewards Tr: 213.20, Rewards Eval: 204.14, Total Timesteps: 2293190 episode:48 

Rewards Tr: 207.34, Rewards Eval: 202.15, Total Timesteps: 2399900 episode:49 

Rewards Tr: 211.53, Rewards Eval: 197.33, Total Timesteps: 2518810 episode:50 

Rewards Tr: 234.00, Rewards Eval: 191.37, Total Timesteps: 2629540 episode:51 

Rewards Tr: 215.50, Rewards Eval: 208.65, Total Timesteps: 2733310 episode:52 

Rewards Tr: 219.20, Rewards Eval: 194.90, Total Timesteps: 2839740 episode:53 

Rewards Tr: 241.56, Rewards Eval: 301.16, Total Timesteps: 2951430 episode:54 

Rewards Tr: 245.36, Rewards Eval: 181.60, Total Timesteps: 3065170 episode:55 

Rewards Tr: 231.10, Rewards Eval: 247.86, Total Timesteps: 3168370 episode:56 

Rewards Tr: 245.11, Rewards Eval: 208.24, Total Timesteps: 3270280 episode:57 

Rewards Tr: 239.03, Rewards Eval: 233.52, Total Timesteps: 3366710 episode:58 

Rewards Tr: 239.08, Rewards Eval: 297.99, Total Timesteps: 3460930 episode:59 

Rewards Tr: 245.13, Rewards Eval: 202.05, Total Timesteps: 3555090 episode:60 

Rewards Tr: 247.33, Rewards Eval: 252.65, Total Timesteps: 3646230 episode:61 

Rewards Tr: 254.87, Rewards Eval: 270.52, Total Timesteps: 3742690 episode:62 

Rewards Tr: 259.39, Rewards Eval: 290.64, Total Timesteps: 3831860 episode:63 

Rewards Tr: 251.23, Rewards Eval: 254.22, Total Timesteps: 3921000 episode:64 

Rewards Tr: 259.00, Rewards Eval: 211.52, Total Timesteps: 4012730 episode:65 

Rewards Tr: 251.22, Rewards Eval: 270.70, Total Timesteps: 4096940 episode:66 

Rewards Tr: 262.37, Rewards Eval: 234.43, Total Timesteps: 4184130 episode:67 

Rewards Tr: 254.22, Rewards Eval: 270.83, Total Timesteps: 4268320 episode:68 

Rewards Tr: 263.14, Rewards Eval: 300.87, Total Timesteps: 4353350 episode:69 

Rewards Tr: 263.11, Rewards Eval: 218.82, Total Timesteps: 4437460 episode:70 

Rewards Tr: 263.69, Rewards Eval: 263.05, Total Timesteps: 4525180 episode:71 

Rewards Tr: 268.90, Rewards Eval: 252.85, Total Timesteps: 4609190 episode:72 

Rewards Tr: 263.65, Rewards Eval: 270.72, Total Timesteps: 4692440 episode:73 

Rewards Tr: 262.20, Rewards Eval: 243.21, Total Timesteps: 4776140 episode:74 

Rewards Tr: 258.68, Rewards Eval: 296.94, Total Timesteps: 4854570 episode:75 

Rewards Tr: 262.28, Rewards Eval: 265.56, Total Timesteps: 4935130 episode:76 

Rewards Tr: 265.62, Rewards Eval: 255.47, Total Timesteps: 5015310 episode:77 

Rewards Tr: 268.96, Rewards Eval: 290.94, Total Timesteps: 5098150 episode:78 

Rewards Tr: 270.18, Rewards Eval: 237.44, Total Timesteps: 5179600 episode:79 

Rewards Tr: 271.64, Rewards Eval: 277.93, Total Timesteps: 5261690 episode:80 

Rewards Tr: 273.34, Rewards Eval: 338.67, Total Timesteps: 5348450 episode:81 

Rewards Tr: 283.53, Rewards Eval: 331.68, Total Timesteps: 5443530 episode:82 

Rewards Tr: 285.88, Rewards Eval: 319.11, Total Timesteps: 5536260 episode:83 

Rewards Tr: 296.94, Rewards Eval: 327.43, Total Timesteps: 5637560 episode:84 

Rewards Tr: 295.00, Rewards Eval: 307.31, Total Timesteps: 5737010 episode:85 

Rewards Tr: 304.61, Rewards Eval: 297.85, Total Timesteps: 5847620 episode:86 

Rewards Tr: 316.18, Rewards Eval: 370.80, Total Timesteps: 5967140 episode:87 

Rewards Tr: 342.02, Rewards Eval: 324.44, Total Timesteps: 6107030 episode:88 

Rewards Tr: 356.48, Rewards Eval: 416.57, Total Timesteps: 6248830 episode:89 

Rewards Tr: 364.14, Rewards Eval: 489.72, Total Timesteps: 6398610 episode:90 

Rewards Tr: 403.54, Rewards Eval: 522.96, Total Timesteps: 6576840 episode:91 

Rewards Tr: 409.04, Rewards Eval: 327.22, Total Timesteps: 6748340 episode:92 

Rewards Tr: 424.81, Rewards Eval: 486.04, Total Timesteps: 6930760 episode:93 

Rewards Tr: 440.49, Rewards Eval: 446.71, Total Timesteps: 7107880 episode:94 

Rewards Tr: 452.36, Rewards Eval: 529.84, Total Timesteps: 7275330 episode:95 

Rewards Tr: 442.87, Rewards Eval: 452.43, Total Timesteps: 7437130 episode:96 

Rewards Tr: 458.81, Rewards Eval: 457.39, Total Timesteps: 7613770 episode:97 

Rewards Tr: 469.58, Rewards Eval: 429.10, Total Timesteps: 7782940 episode:98 

Rewards Tr: 468.58, Rewards Eval: 599.47, Total Timesteps: 7959020 episode:99 

Rewards Tr: 488.84, Rewards Eval: 463.67, Total Timesteps: 8139940 episode:100 

Rewards Tr: 480.71, Rewards Eval: 462.45, Total Timesteps: 8306490 episode:101 

Rewards Tr: 452.75, Rewards Eval: 506.04, Total Timesteps: 8462620 episode:102 

Rewards Tr: 441.03, Rewards Eval: 481.48, Total Timesteps: 8613110 episode:103 

Rewards Tr: 408.91, Rewards Eval: 409.91, Total Timesteps: 8740610 episode:104 

Rewards Tr: 389.93, Rewards Eval: 391.12, Total Timesteps: 8851370 episode:105 

Rewards Tr: 376.14, Rewards Eval: 402.80, Total Timesteps: 8972730 episode:106 

Rewards Tr: 352.41, Rewards Eval: 359.80, Total Timesteps: 9065700 episode:107 

Rewards Tr: 343.87, Rewards Eval: 314.39, Total Timesteps: 9161220 episode:108 

Rewards Tr: 338.98, Rewards Eval: 339.78, Total Timesteps: 9259630 episode:109 

Rewards Tr: 328.32, Rewards Eval: 332.57, Total Timesteps: 9343960 episode:110 

Rewards Tr: 320.79, Rewards Eval: 313.79, Total Timesteps: 9426980 episode:111 

Rewards Tr: 305.54, Rewards Eval: 287.14, Total Timesteps: 9500380 episode:112 

Rewards Tr: 296.91, Rewards Eval: 282.14, Total Timesteps: 9568100 episode:113 

Rewards Tr: 294.00, Rewards Eval: 285.23, Total Timesteps: 9638870 episode:114 

Rewards Tr: 279.50, Rewards Eval: 307.98, Total Timesteps: 9696650 episode:115 

Rewards Tr: 278.79, Rewards Eval: 266.54, Total Timesteps: 9758260 episode:116 

Rewards Tr: 276.86, Rewards Eval: 260.26, Total Timesteps: 9816880 episode:117 

Rewards Tr: 280.20, Rewards Eval: 288.04, Total Timesteps: 9885040 episode:118 

Rewards Tr: 273.91, Rewards Eval: 287.68, Total Timesteps: 9939340 episode:119 

Rewards Tr: 274.07, Rewards Eval: 276.59, Total Timesteps: 9995120 episode:120 

Rewards Tr: 278.06, Rewards Eval: 291.18, Total Timesteps: 10053290 episode:121 

