
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 3 

Rewards Tr: 10.96, Rewards Eval: 0.00, Total Timesteps: 8460 episode:0 

Rewards Tr: 14.69, Rewards Eval: 26.87, Total Timesteps: 19220 episode:1 

Rewards Tr: 23.97, Rewards Eval: 44.86, Total Timesteps: 34520 episode:2 

Rewards Tr: 32.75, Rewards Eval: 39.56, Total Timesteps: 51760 episode:3 

Rewards Tr: 36.12, Rewards Eval: 57.19, Total Timesteps: 69100 episode:4 

Rewards Tr: 43.51, Rewards Eval: 63.47, Total Timesteps: 86620 episode:5 

Rewards Tr: 49.24, Rewards Eval: 50.18, Total Timesteps: 105430 episode:6 

Rewards Tr: 49.69, Rewards Eval: 70.95, Total Timesteps: 121640 episode:7 

Rewards Tr: 54.08, Rewards Eval: 47.05, Total Timesteps: 139370 episode:8 

Rewards Tr: 50.59, Rewards Eval: 58.72, Total Timesteps: 154890 episode:9 

Rewards Tr: 54.70, Rewards Eval: 53.19, Total Timesteps: 172930 episode:10 

Rewards Tr: 54.36, Rewards Eval: 53.43, Total Timesteps: 190220 episode:11 

Rewards Tr: 57.62, Rewards Eval: 64.16, Total Timesteps: 209030 episode:12 

Rewards Tr: 60.26, Rewards Eval: 49.28, Total Timesteps: 229440 episode:13 

Rewards Tr: 60.44, Rewards Eval: 54.99, Total Timesteps: 248900 episode:14 

Rewards Tr: 64.51, Rewards Eval: 58.84, Total Timesteps: 271450 episode:15 

Rewards Tr: 67.28, Rewards Eval: 49.26, Total Timesteps: 297310 episode:16 

Rewards Tr: 68.40, Rewards Eval: 68.39, Total Timesteps: 322520 episode:17 

Rewards Tr: 72.91, Rewards Eval: 106.88, Total Timesteps: 351720 episode:18 

Rewards Tr: 74.92, Rewards Eval: 91.49, Total Timesteps: 383440 episode:19 

Rewards Tr: 80.15, Rewards Eval: 88.30, Total Timesteps: 418720 episode:20 

Rewards Tr: 85.59, Rewards Eval: 54.28, Total Timesteps: 458630 episode:21 

Rewards Tr: 88.71, Rewards Eval: 114.19, Total Timesteps: 506060 episode:22 

Rewards Tr: 89.66, Rewards Eval: 93.01, Total Timesteps: 555110 episode:23 

Rewards Tr: 90.35, Rewards Eval: 110.82, Total Timesteps: 603420 episode:24 

Rewards Tr: 92.61, Rewards Eval: 75.21, Total Timesteps: 659360 episode:25 

Rewards Tr: 99.04, Rewards Eval: 94.83, Total Timesteps: 714820 episode:26 

Rewards Tr: 105.79, Rewards Eval: 53.70, Total Timesteps: 776700 episode:27 

Rewards Tr: 109.92, Rewards Eval: 104.25, Total Timesteps: 840460 episode:28 

Rewards Tr: 113.11, Rewards Eval: 88.01, Total Timesteps: 904920 episode:29 

Rewards Tr: 115.72, Rewards Eval: 141.28, Total Timesteps: 975380 episode:30 

Rewards Tr: 112.02, Rewards Eval: 71.51, Total Timesteps: 1041810 episode:31 

Rewards Tr: 120.15, Rewards Eval: 126.48, Total Timesteps: 1103620 episode:32 

Rewards Tr: 125.57, Rewards Eval: 139.84, Total Timesteps: 1167270 episode:33 

Rewards Tr: 130.03, Rewards Eval: 120.48, Total Timesteps: 1239620 episode:34 

Rewards Tr: 138.71, Rewards Eval: 100.73, Total Timesteps: 1316380 episode:35 

Rewards Tr: 131.62, Rewards Eval: 135.53, Total Timesteps: 1386870 episode:36 

Rewards Tr: 146.45, Rewards Eval: 138.91, Total Timesteps: 1473450 episode:37 

Rewards Tr: 147.66, Rewards Eval: 130.38, Total Timesteps: 1550220 episode:38 

Rewards Tr: 147.78, Rewards Eval: 179.61, Total Timesteps: 1629080 episode:39 

Rewards Tr: 165.88, Rewards Eval: 126.82, Total Timesteps: 1728890 episode:40 

Rewards Tr: 173.86, Rewards Eval: 172.60, Total Timesteps: 1832480 episode:41 

Rewards Tr: 188.20, Rewards Eval: 216.67, Total Timesteps: 1957390 episode:42 

Rewards Tr: 197.83, Rewards Eval: 217.05, Total Timesteps: 2092790 episode:43 

Rewards Tr: 208.88, Rewards Eval: 234.21, Total Timesteps: 2234190 episode:44 

Rewards Tr: 223.31, Rewards Eval: 372.29, Total Timesteps: 2379910 episode:45 

Rewards Tr: 228.07, Rewards Eval: 356.87, Total Timesteps: 2519610 episode:46 

Rewards Tr: 253.22, Rewards Eval: 387.14, Total Timesteps: 2683490 episode:47 

Rewards Tr: 248.90, Rewards Eval: 461.77, Total Timesteps: 2844810 episode:48 

Rewards Tr: 262.47, Rewards Eval: 159.09, Total Timesteps: 3022320 episode:49 

Rewards Tr: 275.65, Rewards Eval: 238.66, Total Timesteps: 3210370 episode:50 

Rewards Tr: 275.72, Rewards Eval: 323.73, Total Timesteps: 3387090 episode:51 

Rewards Tr: 275.58, Rewards Eval: 268.49, Total Timesteps: 3553410 episode:52 

Rewards Tr: 298.79, Rewards Eval: 560.02, Total Timesteps: 3747380 episode:53 

Rewards Tr: 339.38, Rewards Eval: 464.29, Total Timesteps: 3962680 episode:54 

Rewards Tr: 323.51, Rewards Eval: 490.22, Total Timesteps: 4184380 episode:55 

Rewards Tr: 347.05, Rewards Eval: 372.07, Total Timesteps: 4409730 episode:56 

Rewards Tr: 355.57, Rewards Eval: 422.43, Total Timesteps: 4633100 episode:57 

