For Seed: 3 

Rewards Tr: -149.43, Rewards Eval: -132.57, Total Timesteps: 100000 episode:0 

Rewards Tr: -122.73, Rewards Eval: -91.93, Total Timesteps: 200000 episode:1 

Rewards Tr: -111.00, Rewards Eval: -112.98, Total Timesteps: 300000 episode:2 

Rewards Tr: -108.56, Rewards Eval: -93.85, Total Timesteps: 400000 episode:3 

Rewards Tr: -89.82, Rewards Eval: -71.03, Total Timesteps: 500000 episode:4 

Rewards Tr: -81.82, Rewards Eval: -54.80, Total Timesteps: 600000 episode:5 

Rewards Tr: -66.40, Rewards Eval: -39.31, Total Timesteps: 700000 episode:6 

Rewards Tr: -55.41, Rewards Eval: -30.73, Total Timesteps: 800000 episode:7 

Rewards Tr: -41.03, Rewards Eval: -22.90, Total Timesteps: 900000 episode:8 

Rewards Tr: -25.84, Rewards Eval: -12.90, Total Timesteps: 1000000 episode:9 

Rewards Tr: -10.36, Rewards Eval: -14.24, Total Timesteps: 1100000 episode:10 

Rewards Tr: 4.87, Rewards Eval: 13.40, Total Timesteps: 1200000 episode:11 

Rewards Tr: 18.20, Rewards Eval: 13.78, Total Timesteps: 1300000 episode:12 

Rewards Tr: 28.22, Rewards Eval: 24.32, Total Timesteps: 1400000 episode:13 

Rewards Tr: 38.63, Rewards Eval: 43.14, Total Timesteps: 1500000 episode:14 

Rewards Tr: 37.46, Rewards Eval: 67.00, Total Timesteps: 1600000 episode:15 

Rewards Tr: 42.76, Rewards Eval: 67.69, Total Timesteps: 1700000 episode:16 

Rewards Tr: 28.55, Rewards Eval: 16.97, Total Timesteps: 1800000 episode:17 

Rewards Tr: 47.21, Rewards Eval: 38.55, Total Timesteps: 1900000 episode:18 

Rewards Tr: 42.43, Rewards Eval: 81.60, Total Timesteps: 2000000 episode:19 

Rewards Tr: 63.53, Rewards Eval: 92.56, Total Timesteps: 2100000 episode:20 

Rewards Tr: 74.32, Rewards Eval: 93.46, Total Timesteps: 2200000 episode:21 

Rewards Tr: 80.46, Rewards Eval: 122.24, Total Timesteps: 2300000 episode:22 

Rewards Tr: 97.24, Rewards Eval: 110.47, Total Timesteps: 2400000 episode:23 

Rewards Tr: 99.16, Rewards Eval: 122.22, Total Timesteps: 2500000 episode:24 

Rewards Tr: 116.63, Rewards Eval: 149.88, Total Timesteps: 2600000 episode:25 

Rewards Tr: 121.01, Rewards Eval: 100.09, Total Timesteps: 2700000 episode:26 

Rewards Tr: 132.05, Rewards Eval: 142.59, Total Timesteps: 2800000 episode:27 

Rewards Tr: 138.61, Rewards Eval: 83.14, Total Timesteps: 2900000 episode:28 

Rewards Tr: 153.37, Rewards Eval: 173.85, Total Timesteps: 3000000 episode:29 

Rewards Tr: 157.74, Rewards Eval: 190.48, Total Timesteps: 3100000 episode:30 

Rewards Tr: 180.78, Rewards Eval: 196.57, Total Timesteps: 3200000 episode:31 

