
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 3 

Rewards Tr: 11.12, Rewards Eval: 0.00, Total Timesteps: 8290 episode:0 

Rewards Tr: 16.44, Rewards Eval: 26.83, Total Timesteps: 20030 episode:1 

Rewards Tr: 24.41, Rewards Eval: 35.57, Total Timesteps: 36080 episode:2 

Rewards Tr: 30.05, Rewards Eval: 37.82, Total Timesteps: 53290 episode:3 

Rewards Tr: 38.75, Rewards Eval: 65.17, Total Timesteps: 70770 episode:4 

Rewards Tr: 43.36, Rewards Eval: 47.62, Total Timesteps: 88660 episode:5 

Rewards Tr: 49.04, Rewards Eval: 43.81, Total Timesteps: 107520 episode:6 

Rewards Tr: 47.34, Rewards Eval: 57.37, Total Timesteps: 123980 episode:7 

Rewards Tr: 51.78, Rewards Eval: 51.65, Total Timesteps: 140010 episode:8 

Rewards Tr: 50.43, Rewards Eval: 54.37, Total Timesteps: 155750 episode:9 

Rewards Tr: 53.47, Rewards Eval: 53.73, Total Timesteps: 173050 episode:10 

Rewards Tr: 54.66, Rewards Eval: 62.31, Total Timesteps: 189470 episode:11 

Rewards Tr: 54.84, Rewards Eval: 62.52, Total Timesteps: 206660 episode:12 

Rewards Tr: 57.67, Rewards Eval: 78.73, Total Timesteps: 224720 episode:13 

Rewards Tr: 62.18, Rewards Eval: 64.46, Total Timesteps: 244150 episode:14 

Rewards Tr: 61.50, Rewards Eval: 51.49, Total Timesteps: 264650 episode:15 

Rewards Tr: 64.84, Rewards Eval: 72.71, Total Timesteps: 287450 episode:16 

Rewards Tr: 67.38, Rewards Eval: 72.32, Total Timesteps: 309060 episode:17 

Rewards Tr: 71.94, Rewards Eval: 89.34, Total Timesteps: 335740 episode:18 

Rewards Tr: 71.93, Rewards Eval: 66.98, Total Timesteps: 363800 episode:19 

Rewards Tr: 77.29, Rewards Eval: 73.64, Total Timesteps: 393830 episode:20 

Rewards Tr: 81.59, Rewards Eval: 107.95, Total Timesteps: 429600 episode:21 

Rewards Tr: 82.60, Rewards Eval: 146.63, Total Timesteps: 462360 episode:22 

Rewards Tr: 89.41, Rewards Eval: 97.50, Total Timesteps: 503470 episode:23 

Rewards Tr: 86.80, Rewards Eval: 90.35, Total Timesteps: 545280 episode:24 

Rewards Tr: 93.69, Rewards Eval: 77.47, Total Timesteps: 584060 episode:25 

Rewards Tr: 96.09, Rewards Eval: 74.74, Total Timesteps: 632030 episode:26 

Rewards Tr: 97.81, Rewards Eval: 102.34, Total Timesteps: 682510 episode:27 

Rewards Tr: 103.32, Rewards Eval: 78.35, Total Timesteps: 733560 episode:28 

Rewards Tr: 108.04, Rewards Eval: 107.39, Total Timesteps: 785650 episode:29 

Rewards Tr: 110.17, Rewards Eval: 78.12, Total Timesteps: 840240 episode:30 

Rewards Tr: 109.38, Rewards Eval: 161.55, Total Timesteps: 896270 episode:31 

Rewards Tr: 116.08, Rewards Eval: 160.23, Total Timesteps: 952870 episode:32 

Rewards Tr: 123.29, Rewards Eval: 111.39, Total Timesteps: 1014270 episode:33 

Rewards Tr: 125.66, Rewards Eval: 109.23, Total Timesteps: 1069520 episode:34 

Rewards Tr: 118.87, Rewards Eval: 150.27, Total Timesteps: 1123660 episode:35 

Rewards Tr: 130.53, Rewards Eval: 201.39, Total Timesteps: 1183910 episode:36 

Rewards Tr: 135.24, Rewards Eval: 133.58, Total Timesteps: 1240220 episode:37 

Rewards Tr: 142.78, Rewards Eval: 132.77, Total Timesteps: 1296630 episode:38 

Rewards Tr: 146.90, Rewards Eval: 143.53, Total Timesteps: 1353760 episode:39 

Rewards Tr: 149.43, Rewards Eval: 143.81, Total Timesteps: 1413790 episode:40 

Rewards Tr: 162.68, Rewards Eval: 164.78, Total Timesteps: 1478170 episode:41 

Rewards Tr: 171.61, Rewards Eval: 159.24, Total Timesteps: 1543340 episode:42 

Rewards Tr: 171.16, Rewards Eval: 195.02, Total Timesteps: 1607560 episode:43 

Rewards Tr: 178.12, Rewards Eval: 222.83, Total Timesteps: 1667200 episode:44 

Rewards Tr: 176.52, Rewards Eval: 198.11, Total Timesteps: 1729480 episode:45 

Rewards Tr: 183.24, Rewards Eval: 232.56, Total Timesteps: 1793860 episode:46 

Rewards Tr: 185.03, Rewards Eval: 195.87, Total Timesteps: 1854070 episode:47 

Rewards Tr: 188.70, Rewards Eval: 174.77, Total Timesteps: 1911550 episode:48 

Rewards Tr: 187.84, Rewards Eval: 142.27, Total Timesteps: 1969700 episode:49 

Rewards Tr: 188.27, Rewards Eval: 207.37, Total Timesteps: 2027740 episode:50 

Rewards Tr: 187.45, Rewards Eval: 220.03, Total Timesteps: 2083680 episode:51 

Rewards Tr: 188.94, Rewards Eval: 207.76, Total Timesteps: 2140680 episode:52 

Rewards Tr: 191.50, Rewards Eval: 195.20, Total Timesteps: 2195880 episode:53 

Rewards Tr: 194.08, Rewards Eval: 211.52, Total Timesteps: 2248930 episode:54 

Rewards Tr: 192.47, Rewards Eval: 210.91, Total Timesteps: 2301450 episode:55 

Rewards Tr: 198.67, Rewards Eval: 186.45, Total Timesteps: 2357820 episode:56 

Rewards Tr: 198.34, Rewards Eval: 210.47, Total Timesteps: 2410960 episode:57 

Rewards Tr: 203.88, Rewards Eval: 220.00, Total Timesteps: 2468200 episode:58 

Rewards Tr: 199.19, Rewards Eval: 173.29, Total Timesteps: 2520620 episode:59 

Rewards Tr: 206.02, Rewards Eval: 219.51, Total Timesteps: 2578930 episode:60 

