For Seed: 3 

Rewards Tr: -161.39, Rewards Val: -158.31, Rewards Disc: 0.54, Rewards Eval: -72.27, Total Timesteps: 250000 episode:0 

Rewards Tr: -117.49, Rewards Val: -110.27, Rewards Disc: 0.54, Rewards Eval: -27.49, Total Timesteps: 500000 episode:1 

Rewards Tr: -63.53, Rewards Val: -58.86, Rewards Disc: 0.54, Rewards Eval: 29.17, Total Timesteps: 750000 episode:2 

Rewards Tr: -13.16, Rewards Val: -14.22, Rewards Disc: 0.56, Rewards Eval: 52.15, Total Timesteps: 1000000 episode:3 

Rewards Tr: 19.48, Rewards Val: 21.91, Rewards Disc: 0.54, Rewards Eval: 50.14, Total Timesteps: 1250000 episode:4 

Rewards Tr: 66.63, Rewards Val: 46.91, Rewards Disc: 0.55, Rewards Eval: 65.25, Total Timesteps: 1500000 episode:5 

Rewards Tr: 98.09, Rewards Val: 104.84, Rewards Disc: 0.53, Rewards Eval: -0.93, Total Timesteps: 1750000 episode:6 

Rewards Tr: 115.82, Rewards Val: 114.80, Rewards Disc: 0.55, Rewards Eval: 163.15, Total Timesteps: 2000000 episode:7 

Rewards Tr: 136.05, Rewards Val: 134.91, Rewards Disc: 0.54, Rewards Eval: 85.75, Total Timesteps: 2250000 episode:8 

Rewards Tr: 175.90, Rewards Val: 178.61, Rewards Disc: 0.54, Rewards Eval: 237.41, Total Timesteps: 2500000 episode:9 

Rewards Tr: 202.95, Rewards Val: 199.73, Rewards Disc: 0.52, Rewards Eval: 272.45, Total Timesteps: 2750000 episode:10 

Rewards Tr: 217.67, Rewards Val: 231.71, Rewards Disc: 0.53, Rewards Eval: 274.90, Total Timesteps: 3000000 episode:11 

Rewards Tr: 225.42, Rewards Val: 222.06, Rewards Disc: 0.53, Rewards Eval: 327.88, Total Timesteps: 3250000 episode:12 

Rewards Tr: 263.63, Rewards Val: 248.07, Rewards Disc: 0.55, Rewards Eval: 214.89, Total Timesteps: 3500000 episode:13 

Rewards Tr: 268.78, Rewards Val: 293.54, Rewards Disc: 0.53, Rewards Eval: 272.71, Total Timesteps: 3750000 episode:14 

Rewards Tr: 286.23, Rewards Val: 300.49, Rewards Disc: 0.54, Rewards Eval: 379.44, Total Timesteps: 4000000 episode:15 

Rewards Tr: 302.67, Rewards Val: 314.11, Rewards Disc: 0.53, Rewards Eval: 417.51, Total Timesteps: 4250000 episode:16 

Rewards Tr: 302.37, Rewards Val: 326.19, Rewards Disc: 0.52, Rewards Eval: 235.31, Total Timesteps: 4500000 episode:17 

Rewards Tr: 320.32, Rewards Val: 346.56, Rewards Disc: 0.55, Rewards Eval: 351.52, Total Timesteps: 4750000 episode:18 

Rewards Tr: 373.27, Rewards Val: 330.99, Rewards Disc: 0.55, Rewards Eval: 422.17, Total Timesteps: 5000000 episode:19 

Rewards Tr: 388.35, Rewards Val: 354.31, Rewards Disc: 0.54, Rewards Eval: 318.46, Total Timesteps: 5250000 episode:20 

Rewards Tr: 351.28, Rewards Val: 356.42, Rewards Disc: 0.53, Rewards Eval: 322.46, Total Timesteps: 5500000 episode:21 

Rewards Tr: 389.09, Rewards Val: 372.89, Rewards Disc: 0.54, Rewards Eval: 510.99, Total Timesteps: 5750000 episode:22 

Rewards Tr: 393.33, Rewards Val: 373.85, Rewards Disc: 0.58, Rewards Eval: 235.71, Total Timesteps: 6000000 episode:23 

Rewards Tr: 384.81, Rewards Val: 414.88, Rewards Disc: 0.57, Rewards Eval: 374.24, Total Timesteps: 6250000 episode:24 

Rewards Tr: 445.03, Rewards Val: 419.26, Rewards Disc: 0.56, Rewards Eval: 518.79, Total Timesteps: 6500000 episode:25 

Rewards Tr: 425.55, Rewards Val: 470.32, Rewards Disc: 0.57, Rewards Eval: 565.93, Total Timesteps: 6750000 episode:26 

Rewards Tr: 493.99, Rewards Val: 459.92, Rewards Disc: 0.58, Rewards Eval: 561.44, Total Timesteps: 7000000 episode:27 

Rewards Tr: 487.90, Rewards Val: 468.95, Rewards Disc: 0.56, Rewards Eval: 373.47, Total Timesteps: 7250000 episode:28 

Rewards Tr: 505.77, Rewards Val: 515.69, Rewards Disc: 0.55, Rewards Eval: 536.71, Total Timesteps: 7500000 episode:29 

Rewards Tr: 534.79, Rewards Val: 494.36, Rewards Disc: 0.58, Rewards Eval: 414.84, Total Timesteps: 7750000 episode:30 

Rewards Tr: 499.52, Rewards Val: 503.50, Rewards Disc: 0.60, Rewards Eval: 581.54, Total Timesteps: 8000000 episode:31 

Rewards Tr: 496.02, Rewards Val: 487.54, Rewards Disc: 0.59, Rewards Eval: 478.62, Total Timesteps: 8250000 episode:32 

Rewards Tr: 491.87, Rewards Val: 476.39, Rewards Disc: 0.60, Rewards Eval: 590.78, Total Timesteps: 8500000 episode:33 

Rewards Tr: 493.72, Rewards Val: 480.39, Rewards Disc: 0.61, Rewards Eval: 543.23, Total Timesteps: 8750000 episode:34 

Rewards Tr: 511.51, Rewards Val: 497.07, Rewards Disc: 0.59, Rewards Eval: 648.10, Total Timesteps: 9000000 episode:35 

Rewards Tr: 490.47, Rewards Val: 516.72, Rewards Disc: 0.60, Rewards Eval: 587.09, Total Timesteps: 9250000 episode:36 

Rewards Tr: 478.82, Rewards Val: 512.44, Rewards Disc: 0.64, Rewards Eval: 536.59, Total Timesteps: 9500000 episode:37 

Rewards Tr: 485.72, Rewards Val: 479.98, Rewards Disc: 0.66, Rewards Eval: 643.71, Total Timesteps: 9750000 episode:38 

Rewards Tr: 508.80, Rewards Val: 538.12, Rewards Disc: 0.61, Rewards Eval: 355.03, Total Timesteps: 10000000 episode:39 

Rewards Tr: 494.16, Rewards Val: 490.18, Rewards Disc: 0.63, Rewards Eval: 525.59, Total Timesteps: 10250000 episode:40 

Rewards Tr: 506.08, Rewards Val: 497.08, Rewards Disc: 0.62, Rewards Eval: 700.51, Total Timesteps: 10500000 episode:41 

Rewards Tr: 482.32, Rewards Val: 484.14, Rewards Disc: 0.65, Rewards Eval: 661.23, Total Timesteps: 10750000 episode:42 

Rewards Tr: 445.83, Rewards Val: 487.11, Rewards Disc: 0.62, Rewards Eval: 556.11, Total Timesteps: 11000000 episode:43 

Rewards Tr: 460.89, Rewards Val: 434.64, Rewards Disc: 0.63, Rewards Eval: 617.42, Total Timesteps: 11250000 episode:44 

Rewards Tr: 482.10, Rewards Val: 428.19, Rewards Disc: 0.62, Rewards Eval: 540.63, Total Timesteps: 11500000 episode:45 

Rewards Tr: 430.19, Rewards Val: 425.63, Rewards Disc: 0.65, Rewards Eval: 488.02, Total Timesteps: 11750000 episode:46 

Rewards Tr: 385.63, Rewards Val: 373.51, Rewards Disc: 0.67, Rewards Eval: 292.89, Total Timesteps: 12000000 episode:47 

Rewards Tr: 432.09, Rewards Val: 417.74, Rewards Disc: 0.64, Rewards Eval: 206.43, Total Timesteps: 12250000 episode:48 

Rewards Tr: 401.87, Rewards Val: 441.27, Rewards Disc: 0.65, Rewards Eval: 576.05, Total Timesteps: 12500000 episode:49 

Rewards Tr: 367.83, Rewards Val: 415.78, Rewards Disc: 0.66, Rewards Eval: 434.08, Total Timesteps: 12750000 episode:50 

Rewards Tr: 437.17, Rewards Val: 416.13, Rewards Disc: 0.67, Rewards Eval: 413.92, Total Timesteps: 13000000 episode:51 

Rewards Tr: 453.84, Rewards Val: 438.34, Rewards Disc: 0.66, Rewards Eval: 275.97, Total Timesteps: 13250000 episode:52 

Rewards Tr: 485.27, Rewards Val: 464.16, Rewards Disc: 0.66, Rewards Eval: 620.15, Total Timesteps: 13500000 episode:53 

Rewards Tr: 511.30, Rewards Val: 522.44, Rewards Disc: 0.68, Rewards Eval: 578.37, Total Timesteps: 13750000 episode:54 

Rewards Tr: 530.39, Rewards Val: 504.38, Rewards Disc: 0.67, Rewards Eval: 313.26, Total Timesteps: 14000000 episode:55 

Rewards Tr: 488.53, Rewards Val: 539.64, Rewards Disc: 0.66, Rewards Eval: 418.85, Total Timesteps: 14250000 episode:56 

Rewards Tr: 573.65, Rewards Val: 563.14, Rewards Disc: 0.69, Rewards Eval: 512.44, Total Timesteps: 14500000 episode:57 

Rewards Tr: 561.33, Rewards Val: 582.61, Rewards Disc: 0.70, Rewards Eval: 663.03, Total Timesteps: 14750000 episode:58 

Rewards Tr: 573.21, Rewards Val: 565.05, Rewards Disc: 0.70, Rewards Eval: 484.38, Total Timesteps: 15000000 episode:59 

Rewards Tr: 579.82, Rewards Val: 564.93, Rewards Disc: 0.70, Rewards Eval: 718.08, Total Timesteps: 15250000 episode:60 

Rewards Tr: 567.80, Rewards Val: 586.49, Rewards Disc: 0.74, Rewards Eval: 608.23, Total Timesteps: 15500000 episode:61 

Rewards Tr: 565.26, Rewards Val: 621.65, Rewards Disc: 0.72, Rewards Eval: 663.34, Total Timesteps: 15750000 episode:62 

Rewards Tr: 604.78, Rewards Val: 611.63, Rewards Disc: 0.70, Rewards Eval: 703.35, Total Timesteps: 16000000 episode:63 

Rewards Tr: 575.37, Rewards Val: 600.54, Rewards Disc: 0.72, Rewards Eval: 555.75, Total Timesteps: 16250000 episode:64 

Rewards Tr: 578.77, Rewards Val: 588.24, Rewards Disc: 0.75, Rewards Eval: 574.34, Total Timesteps: 16500000 episode:65 

Rewards Tr: 571.12, Rewards Val: 599.36, Rewards Disc: 0.71, Rewards Eval: 600.11, Total Timesteps: 16750000 episode:66 

Rewards Tr: 574.52, Rewards Val: 583.84, Rewards Disc: 0.72, Rewards Eval: 715.93, Total Timesteps: 17000000 episode:67 

Rewards Tr: 593.98, Rewards Val: 580.83, Rewards Disc: 0.72, Rewards Eval: 760.41, Total Timesteps: 17250000 episode:68 

Rewards Tr: 611.85, Rewards Val: 547.68, Rewards Disc: 0.70, Rewards Eval: 630.49, Total Timesteps: 17500000 episode:69 

Rewards Tr: 563.13, Rewards Val: 576.36, Rewards Disc: 0.70, Rewards Eval: 574.61, Total Timesteps: 17750000 episode:70 

Rewards Tr: 596.23, Rewards Val: 618.62, Rewards Disc: 0.68, Rewards Eval: 461.23, Total Timesteps: 18000000 episode:71 

Rewards Tr: 602.09, Rewards Val: 566.44, Rewards Disc: 0.69, Rewards Eval: 445.12, Total Timesteps: 18250000 episode:72 

Rewards Tr: 570.03, Rewards Val: 577.67, Rewards Disc: 0.66, Rewards Eval: 676.64, Total Timesteps: 18500000 episode:73 

Rewards Tr: 502.89, Rewards Val: 528.61, Rewards Disc: 0.72, Rewards Eval: 540.17, Total Timesteps: 18750000 episode:74 

Rewards Tr: 559.15, Rewards Val: 571.85, Rewards Disc: 0.66, Rewards Eval: 697.30, Total Timesteps: 19000000 episode:75 

Rewards Tr: 515.14, Rewards Val: 560.09, Rewards Disc: 0.68, Rewards Eval: 536.03, Total Timesteps: 19250000 episode:76 

Rewards Tr: 550.90, Rewards Val: 546.36, Rewards Disc: 0.67, Rewards Eval: 551.94, Total Timesteps: 19500000 episode:77 

Rewards Tr: 556.40, Rewards Val: 536.10, Rewards Disc: 0.67, Rewards Eval: 684.94, Total Timesteps: 19750000 episode:78 

Rewards Tr: 565.47, Rewards Val: 531.02, Rewards Disc: 0.68, Rewards Eval: 423.50, Total Timesteps: 20000000 episode:79 

Rewards Tr: 562.22, Rewards Val: 522.13, Rewards Disc: 0.66, Rewards Eval: 715.16, Total Timesteps: 20250000 episode:80 

Rewards Tr: 534.55, Rewards Val: 506.75, Rewards Disc: 0.64, Rewards Eval: 644.17, Total Timesteps: 20500000 episode:81 

Rewards Tr: 580.77, Rewards Val: 571.25, Rewards Disc: 0.65, Rewards Eval: 714.08, Total Timesteps: 20750000 episode:82 

Rewards Tr: 566.65, Rewards Val: 556.89, Rewards Disc: 0.67, Rewards Eval: 781.87, Total Timesteps: 21000000 episode:83 

Rewards Tr: 599.19, Rewards Val: 588.22, Rewards Disc: 0.66, Rewards Eval: 624.26, Total Timesteps: 21250000 episode:84 

Rewards Tr: 555.60, Rewards Val: 598.43, Rewards Disc: 0.66, Rewards Eval: 611.69, Total Timesteps: 21500000 episode:85 

Rewards Tr: 579.21, Rewards Val: 616.84, Rewards Disc: 0.68, Rewards Eval: 610.24, Total Timesteps: 21750000 episode:86 

Rewards Tr: 618.54, Rewards Val: 580.50, Rewards Disc: 0.72, Rewards Eval: 789.96, Total Timesteps: 22000000 episode:87 

Rewards Tr: 643.94, Rewards Val: 650.49, Rewards Disc: 0.72, Rewards Eval: 540.04, Total Timesteps: 22250000 episode:88 

Rewards Tr: 634.27, Rewards Val: 639.15, Rewards Disc: 0.74, Rewards Eval: 623.20, Total Timesteps: 22500000 episode:89 

Rewards Tr: 720.25, Rewards Val: 717.43, Rewards Disc: 0.67, Rewards Eval: 520.40, Total Timesteps: 22750000 episode:90 

Rewards Tr: 665.85, Rewards Val: 662.08, Rewards Disc: 0.72, Rewards Eval: 764.86, Total Timesteps: 23000000 episode:91 

Rewards Tr: 692.51, Rewards Val: 702.66, Rewards Disc: 0.72, Rewards Eval: 781.33, Total Timesteps: 23250000 episode:92 

Rewards Tr: 653.05, Rewards Val: 683.64, Rewards Disc: 0.69, Rewards Eval: 746.04, Total Timesteps: 23500000 episode:93 

Rewards Tr: 687.41, Rewards Val: 664.64, Rewards Disc: 0.74, Rewards Eval: 771.86, Total Timesteps: 23750000 episode:94 

Rewards Tr: 736.54, Rewards Val: 746.35, Rewards Disc: 0.70, Rewards Eval: 465.22, Total Timesteps: 24000000 episode:95 

Rewards Tr: 709.87, Rewards Val: 690.18, Rewards Disc: 0.75, Rewards Eval: 795.54, Total Timesteps: 24250000 episode:96 

Rewards Tr: 743.90, Rewards Val: 742.61, Rewards Disc: 0.72, Rewards Eval: 719.15, Total Timesteps: 24500000 episode:97 

Rewards Tr: 747.38, Rewards Val: 758.84, Rewards Disc: 0.69, Rewards Eval: 657.01, Total Timesteps: 24750000 episode:98 

Rewards Tr: 673.66, Rewards Val: 696.99, Rewards Disc: 0.71, Rewards Eval: 775.98, Total Timesteps: 25000000 episode:99 

Rewards Tr: 723.71, Rewards Val: 742.72, Rewards Disc: 0.60, Rewards Eval: 787.26, Total Timesteps: 25250000 episode:100 

Rewards Tr: 660.27, Rewards Val: 667.37, Rewards Disc: 0.72, Rewards Eval: 898.02, Total Timesteps: 25500000 episode:101 

Rewards Tr: 692.20, Rewards Val: 639.65, Rewards Disc: 0.70, Rewards Eval: 670.42, Total Timesteps: 25750000 episode:102 

Rewards Tr: 694.79, Rewards Val: 679.61, Rewards Disc: 0.65, Rewards Eval: 611.57, Total Timesteps: 26000000 episode:103 

Rewards Tr: 638.91, Rewards Val: 597.79, Rewards Disc: 0.65, Rewards Eval: 714.15, Total Timesteps: 26250000 episode:104 

Rewards Tr: 560.18, Rewards Val: 566.12, Rewards Disc: 0.68, Rewards Eval: 698.41, Total Timesteps: 26500000 episode:105 

Rewards Tr: 638.20, Rewards Val: 604.04, Rewards Disc: 0.65, Rewards Eval: 837.43, Total Timesteps: 26750000 episode:106 

Rewards Tr: 508.51, Rewards Val: 570.52, Rewards Disc: 0.67, Rewards Eval: 669.89, Total Timesteps: 27000000 episode:107 

Rewards Tr: 505.63, Rewards Val: 534.81, Rewards Disc: 0.69, Rewards Eval: 351.11, Total Timesteps: 27250000 episode:108 

Rewards Tr: 602.46, Rewards Val: 618.82, Rewards Disc: 0.65, Rewards Eval: 848.86, Total Timesteps: 27500000 episode:109 

Rewards Tr: 600.59, Rewards Val: 579.72, Rewards Disc: 0.68, Rewards Eval: 736.19, Total Timesteps: 27750000 episode:110 

Rewards Tr: 617.54, Rewards Val: 613.74, Rewards Disc: 0.62, Rewards Eval: 686.45, Total Timesteps: 28000000 episode:111 

Rewards Tr: 643.04, Rewards Val: 663.46, Rewards Disc: 0.64, Rewards Eval: 876.71, Total Timesteps: 28250000 episode:112 

Rewards Tr: 670.68, Rewards Val: 685.38, Rewards Disc: 0.65, Rewards Eval: 756.40, Total Timesteps: 28500000 episode:113 

Rewards Tr: 595.13, Rewards Val: 615.86, Rewards Disc: 0.68, Rewards Eval: 755.94, Total Timesteps: 28750000 episode:114 

Rewards Tr: 714.09, Rewards Val: 719.49, Rewards Disc: 0.62, Rewards Eval: 832.22, Total Timesteps: 29000000 episode:115 

Rewards Tr: 714.32, Rewards Val: 703.84, Rewards Disc: 0.67, Rewards Eval: 823.83, Total Timesteps: 29250000 episode:116 

Rewards Tr: 720.11, Rewards Val: 775.84, Rewards Disc: 0.69, Rewards Eval: 754.91, Total Timesteps: 29500000 episode:117 

Rewards Tr: 722.10, Rewards Val: 733.41, Rewards Disc: 0.71, Rewards Eval: 754.96, Total Timesteps: 29750000 episode:118 

Rewards Tr: 794.80, Rewards Val: 763.41, Rewards Disc: 0.66, Rewards Eval: 867.27, Total Timesteps: 30000000 episode:119 

Rewards Tr: 767.82, Rewards Val: 760.73, Rewards Disc: 0.70, Rewards Eval: 865.25, Total Timesteps: 30250000 episode:120 

Rewards Tr: 816.66, Rewards Val: 813.74, Rewards Disc: 0.69, Rewards Eval: 707.93, Total Timesteps: 30500000 episode:121 

