
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 3 

Rewards Tr: 19.21, Rewards Val: 20.06, Rewards Disc: 0.01, Rewards Eval: 37.64, Total Timesteps: 24640 episode:0 

Rewards Tr: 30.13, Rewards Val: 27.76, Rewards Disc: 0.03, Rewards Eval: 49.99, Total Timesteps: 56650 episode:1 

Rewards Tr: 40.23, Rewards Val: 44.89, Rewards Disc: -0.05, Rewards Eval: 34.72, Total Timesteps: 95400 episode:2 

Rewards Tr: 46.74, Rewards Val: 49.45, Rewards Disc: 0.02, Rewards Eval: 53.06, Total Timesteps: 138360 episode:3 

Rewards Tr: 49.51, Rewards Val: 52.79, Rewards Disc: 0.01, Rewards Eval: 40.86, Total Timesteps: 179080 episode:4 

Rewards Tr: 56.66, Rewards Val: 55.03, Rewards Disc: 0.00, Rewards Eval: 56.93, Total Timesteps: 222860 episode:5 

Rewards Tr: 55.56, Rewards Val: 54.59, Rewards Disc: -0.00, Rewards Eval: 39.97, Total Timesteps: 263880 episode:6 

Rewards Tr: 54.69, Rewards Val: 54.68, Rewards Disc: -0.00, Rewards Eval: 39.28, Total Timesteps: 301890 episode:7 

Rewards Tr: 55.62, Rewards Val: 57.05, Rewards Disc: -0.00, Rewards Eval: 49.99, Total Timesteps: 340660 episode:8 

Rewards Tr: 57.84, Rewards Val: 58.97, Rewards Disc: -0.01, Rewards Eval: 55.62, Total Timesteps: 380440 episode:9 

Rewards Tr: 61.23, Rewards Val: 60.70, Rewards Disc: -0.01, Rewards Eval: 48.80, Total Timesteps: 422060 episode:10 

Rewards Tr: 62.95, Rewards Val: 61.82, Rewards Disc: 0.02, Rewards Eval: 58.45, Total Timesteps: 465870 episode:11 

Rewards Tr: 67.31, Rewards Val: 65.62, Rewards Disc: 0.01, Rewards Eval: 63.42, Total Timesteps: 512660 episode:12 

Rewards Tr: 68.63, Rewards Val: 67.41, Rewards Disc: -0.00, Rewards Eval: 70.11, Total Timesteps: 560410 episode:13 

Rewards Tr: 72.69, Rewards Val: 69.60, Rewards Disc: -0.01, Rewards Eval: 61.90, Total Timesteps: 609520 episode:14 

Rewards Tr: 72.10, Rewards Val: 75.40, Rewards Disc: 0.01, Rewards Eval: 75.32, Total Timesteps: 663470 episode:15 

Rewards Tr: 77.45, Rewards Val: 79.85, Rewards Disc: 0.00, Rewards Eval: 83.98, Total Timesteps: 719210 episode:16 

Rewards Tr: 81.80, Rewards Val: 81.57, Rewards Disc: -0.01, Rewards Eval: 71.59, Total Timesteps: 779700 episode:17 

Rewards Tr: 86.03, Rewards Val: 89.68, Rewards Disc: -0.03, Rewards Eval: 63.31, Total Timesteps: 848460 episode:18 

Rewards Tr: 89.93, Rewards Val: 87.63, Rewards Disc: -0.00, Rewards Eval: 102.05, Total Timesteps: 920650 episode:19 

Rewards Tr: 95.91, Rewards Val: 97.21, Rewards Disc: -0.05, Rewards Eval: 74.18, Total Timesteps: 1003620 episode:20 

Rewards Tr: 96.94, Rewards Val: 96.41, Rewards Disc: -0.03, Rewards Eval: 89.50, Total Timesteps: 1082720 episode:21 

Rewards Tr: 97.74, Rewards Val: 97.35, Rewards Disc: 0.02, Rewards Eval: 133.95, Total Timesteps: 1167510 episode:22 

Rewards Tr: 100.61, Rewards Val: 101.46, Rewards Disc: 0.04, Rewards Eval: 90.63, Total Timesteps: 1256080 episode:23 

Rewards Tr: 105.94, Rewards Val: 111.79, Rewards Disc: -0.04, Rewards Eval: 98.45, Total Timesteps: 1350910 episode:24 

Rewards Tr: 103.49, Rewards Val: 110.24, Rewards Disc: 0.02, Rewards Eval: 102.90, Total Timesteps: 1440690 episode:25 

Rewards Tr: 109.19, Rewards Val: 114.39, Rewards Disc: -0.07, Rewards Eval: 120.59, Total Timesteps: 1535720 episode:26 

Rewards Tr: 117.01, Rewards Val: 117.69, Rewards Disc: -0.02, Rewards Eval: 80.48, Total Timesteps: 1629070 episode:27 

Rewards Tr: 123.60, Rewards Val: 118.92, Rewards Disc: 0.03, Rewards Eval: 109.49, Total Timesteps: 1724410 episode:28 

Rewards Tr: 124.60, Rewards Val: 122.77, Rewards Disc: 0.04, Rewards Eval: 153.69, Total Timesteps: 1817030 episode:29 

Rewards Tr: 129.74, Rewards Val: 131.31, Rewards Disc: -0.01, Rewards Eval: 189.06, Total Timesteps: 1915680 episode:30 

Rewards Tr: 129.17, Rewards Val: 131.78, Rewards Disc: -0.02, Rewards Eval: 113.97, Total Timesteps: 2010390 episode:31 

Rewards Tr: 138.09, Rewards Val: 133.72, Rewards Disc: 0.00, Rewards Eval: 103.18, Total Timesteps: 2102910 episode:32 

Rewards Tr: 140.97, Rewards Val: 144.08, Rewards Disc: -0.04, Rewards Eval: 114.89, Total Timesteps: 2195770 episode:33 

Rewards Tr: 153.60, Rewards Val: 149.17, Rewards Disc: -0.01, Rewards Eval: 135.34, Total Timesteps: 2292720 episode:34 

Rewards Tr: 151.93, Rewards Val: 150.11, Rewards Disc: 0.03, Rewards Eval: 172.24, Total Timesteps: 2381100 episode:35 

Rewards Tr: 151.84, Rewards Val: 153.52, Rewards Disc: -0.02, Rewards Eval: 181.99, Total Timesteps: 2468540 episode:36 

Rewards Tr: 156.15, Rewards Val: 161.01, Rewards Disc: -0.02, Rewards Eval: 148.79, Total Timesteps: 2556790 episode:37 

Rewards Tr: 161.92, Rewards Val: 157.07, Rewards Disc: 0.00, Rewards Eval: 192.53, Total Timesteps: 2644810 episode:38 

Rewards Tr: 161.75, Rewards Val: 159.08, Rewards Disc: 0.08, Rewards Eval: 150.56, Total Timesteps: 2730990 episode:39 

Rewards Tr: 162.34, Rewards Val: 163.09, Rewards Disc: 0.01, Rewards Eval: 145.20, Total Timesteps: 2815830 episode:40 

Rewards Tr: 166.74, Rewards Val: 160.49, Rewards Disc: 0.05, Rewards Eval: 166.33, Total Timesteps: 2899490 episode:41 

Rewards Tr: 164.96, Rewards Val: 166.87, Rewards Disc: -0.01, Rewards Eval: 166.39, Total Timesteps: 2978620 episode:42 

Rewards Tr: 167.10, Rewards Val: 168.37, Rewards Disc: -0.02, Rewards Eval: 146.91, Total Timesteps: 3059110 episode:43 

Rewards Tr: 170.17, Rewards Val: 163.84, Rewards Disc: 0.06, Rewards Eval: 159.32, Total Timesteps: 3138880 episode:44 

Rewards Tr: 170.18, Rewards Val: 172.34, Rewards Disc: 0.01, Rewards Eval: 185.45, Total Timesteps: 3219910 episode:45 

