For Seed: 101 

Rewards Tr: -822.17, Rewards Val: -800.16, Rewards Disc: -0.34, Rewards Eval: -452.94, Total Timesteps: 90810 episode:0 

Rewards Tr: -589.40, Rewards Val: -575.62, Rewards Disc: -0.37, Rewards Eval: -591.94, Total Timesteps: 182200 episode:1 

Rewards Tr: -493.51, Rewards Val: -505.53, Rewards Disc: 0.00, Rewards Eval: -548.26, Total Timesteps: 276900 episode:2 

Rewards Tr: -414.58, Rewards Val: -405.20, Rewards Disc: -0.20, Rewards Eval: -552.03, Total Timesteps: 381710 episode:3 

Rewards Tr: -367.34, Rewards Val: -357.87, Rewards Disc: -0.20, Rewards Eval: -157.36, Total Timesteps: 500940 episode:4 

Rewards Tr: -312.59, Rewards Val: -301.60, Rewards Disc: -0.23, Rewards Eval: -405.87, Total Timesteps: 629760 episode:5 

Rewards Tr: -285.21, Rewards Val: -260.51, Rewards Disc: -0.13, Rewards Eval: -264.65, Total Timesteps: 773890 episode:6 

Rewards Tr: -234.08, Rewards Val: -251.69, Rewards Disc: -0.03, Rewards Eval: -224.10, Total Timesteps: 919540 episode:7 

Rewards Tr: -223.88, Rewards Val: -217.40, Rewards Disc: 0.18, Rewards Eval: -447.40, Total Timesteps: 1079630 episode:8 

Rewards Tr: -185.40, Rewards Val: -183.31, Rewards Disc: -0.16, Rewards Eval: -268.19, Total Timesteps: 1234900 episode:9 

Rewards Tr: -167.68, Rewards Val: -153.49, Rewards Disc: -0.12, Rewards Eval: -181.21, Total Timesteps: 1418400 episode:10 

Rewards Tr: -131.01, Rewards Val: -142.04, Rewards Disc: -0.18, Rewards Eval: -191.19, Total Timesteps: 1612470 episode:11 

Rewards Tr: -124.13, Rewards Val: -126.34, Rewards Disc: -0.03, Rewards Eval: -184.32, Total Timesteps: 1814690 episode:12 

Rewards Tr: -110.66, Rewards Val: -110.44, Rewards Disc: -0.00, Rewards Eval: -135.56, Total Timesteps: 2002300 episode:13 

Rewards Tr: -100.25, Rewards Val: -107.12, Rewards Disc: 0.15, Rewards Eval: -117.51, Total Timesteps: 2207710 episode:14 

Rewards Tr: -83.35, Rewards Val: -90.78, Rewards Disc: 0.05, Rewards Eval: -220.11, Total Timesteps: 2395310 episode:15 

Rewards Tr: -81.05, Rewards Val: -68.87, Rewards Disc: -0.09, Rewards Eval: -90.70, Total Timesteps: 2608040 episode:16 

Rewards Tr: -65.80, Rewards Val: -72.30, Rewards Disc: 0.01, Rewards Eval: -37.78, Total Timesteps: 2822080 episode:17 

Rewards Tr: -69.95, Rewards Val: -62.44, Rewards Disc: -0.07, Rewards Eval: -89.68, Total Timesteps: 3049600 episode:18 

Rewards Tr: -64.19, Rewards Val: -60.73, Rewards Disc: -0.00, Rewards Eval: -269.58, Total Timesteps: 3285480 episode:19 

Rewards Tr: -59.36, Rewards Val: -51.09, Rewards Disc: -0.05, Rewards Eval: -156.91, Total Timesteps: 3524280 episode:20 

Rewards Tr: -52.02, Rewards Val: -49.49, Rewards Disc: 0.03, Rewards Eval: -184.75, Total Timesteps: 3756740 episode:21 

Rewards Tr: -45.99, Rewards Val: -43.86, Rewards Disc: 0.02, Rewards Eval: -181.85, Total Timesteps: 3958400 episode:22 

Rewards Tr: -40.15, Rewards Val: -38.52, Rewards Disc: -0.05, Rewards Eval: -148.25, Total Timesteps: 4182490 episode:23 

Rewards Tr: -40.42, Rewards Val: -39.81, Rewards Disc: 0.02, Rewards Eval: -223.90, Total Timesteps: 4464740 episode:24 

Rewards Tr: -38.43, Rewards Val: -37.70, Rewards Disc: 0.03, Rewards Eval: -564.61, Total Timesteps: 4752210 episode:25 

Rewards Tr: -25.29, Rewards Val: -27.46, Rewards Disc: -0.02, Rewards Eval: -474.89, Total Timesteps: 5024880 episode:26 

Rewards Tr: -27.29, Rewards Val: -28.27, Rewards Disc: 0.03, Rewards Eval: -429.97, Total Timesteps: 5320410 episode:27 

Rewards Tr: -21.54, Rewards Val: -26.90, Rewards Disc: 0.04, Rewards Eval: -1123.49, Total Timesteps: 5586060 episode:28 

Rewards Tr: -21.57, Rewards Val: -15.43, Rewards Disc: -0.09, Rewards Eval: -826.47, Total Timesteps: 5872200 episode:29 

Rewards Tr: -22.08, Rewards Val: -25.51, Rewards Disc: 0.05, Rewards Eval: -1118.96, Total Timesteps: 6227800 episode:30 

Rewards Tr: -18.30, Rewards Val: -11.82, Rewards Disc: -0.01, Rewards Eval: -1027.58, Total Timesteps: 6600240 episode:31 

Rewards Tr: -16.71, Rewards Val: -22.45, Rewards Disc: -0.09, Rewards Eval: -1071.47, Total Timesteps: 6996340 episode:32 

Rewards Tr: -36.88, Rewards Val: -29.53, Rewards Disc: 0.02, Rewards Eval: -1837.80, Total Timesteps: 7455370 episode:33 

Rewards Tr: -35.33, Rewards Val: -45.73, Rewards Disc: -0.22, Rewards Eval: -1845.08, Total Timesteps: 7953770 episode:34 

Rewards Tr: -41.74, Rewards Val: -47.09, Rewards Disc: -0.04, Rewards Eval: -1097.33, Total Timesteps: 8430780 episode:35 

Rewards Tr: -62.61, Rewards Val: -49.07, Rewards Disc: -0.06, Rewards Eval: -962.39, Total Timesteps: 8980590 episode:36 

Rewards Tr: -34.37, Rewards Val: -53.61, Rewards Disc: 0.08, Rewards Eval: -1430.67, Total Timesteps: 9533390 episode:37 

Rewards Tr: -37.94, Rewards Val: -34.38, Rewards Disc: -0.05, Rewards Eval: -1486.08, Total Timesteps: 10089860 episode:38 

Rewards Tr: -24.34, Rewards Val: -14.67, Rewards Disc: -0.05, Rewards Eval: -757.19, Total Timesteps: 10650160 episode:39 

Rewards Tr: -15.32, Rewards Val: -10.72, Rewards Disc: -0.01, Rewards Eval: -598.58, Total Timesteps: 11203620 episode:40 

Rewards Tr: -12.81, Rewards Val: -14.02, Rewards Disc: 0.03, Rewards Eval: -347.78, Total Timesteps: 11795970 episode:41 

