For Seed: 102 

Rewards Tr: -758.82, Rewards Val: -852.07, Rewards Disc: 0.53, Rewards Eval: -655.38, Total Timesteps: 81380 episode:0 

Rewards Tr: -565.78, Rewards Val: -547.00, Rewards Disc: -0.29, Rewards Eval: -315.68, Total Timesteps: 167100 episode:1 

Rewards Tr: -445.09, Rewards Val: -453.51, Rewards Disc: -0.07, Rewards Eval: -485.51, Total Timesteps: 250320 episode:2 

Rewards Tr: -387.12, Rewards Val: -398.41, Rewards Disc: 0.09, Rewards Eval: -388.56, Total Timesteps: 337620 episode:3 

Rewards Tr: -349.72, Rewards Val: -341.15, Rewards Disc: 0.20, Rewards Eval: -287.64, Total Timesteps: 432150 episode:4 

Rewards Tr: -290.64, Rewards Val: -327.37, Rewards Disc: 0.09, Rewards Eval: -149.42, Total Timesteps: 539710 episode:5 

Rewards Tr: -270.20, Rewards Val: -268.62, Rewards Disc: -0.06, Rewards Eval: -266.64, Total Timesteps: 650330 episode:6 

Rewards Tr: -248.69, Rewards Val: -233.53, Rewards Disc: -0.22, Rewards Eval: -330.51, Total Timesteps: 772770 episode:7 

Rewards Tr: -197.26, Rewards Val: -207.92, Rewards Disc: -0.11, Rewards Eval: -185.38, Total Timesteps: 900050 episode:8 

Rewards Tr: -190.59, Rewards Val: -197.55, Rewards Disc: 0.16, Rewards Eval: -184.51, Total Timesteps: 1067830 episode:9 

Rewards Tr: -163.67, Rewards Val: -161.20, Rewards Disc: 0.00, Rewards Eval: -122.68, Total Timesteps: 1223180 episode:10 

Rewards Tr: -147.34, Rewards Val: -146.69, Rewards Disc: 0.08, Rewards Eval: -211.09, Total Timesteps: 1380170 episode:11 

Rewards Tr: -136.27, Rewards Val: -125.98, Rewards Disc: -0.09, Rewards Eval: -129.70, Total Timesteps: 1558060 episode:12 

Rewards Tr: -107.96, Rewards Val: -129.39, Rewards Disc: 0.17, Rewards Eval: -390.90, Total Timesteps: 1764490 episode:13 

Rewards Tr: -109.57, Rewards Val: -115.42, Rewards Disc: 0.18, Rewards Eval: -128.07, Total Timesteps: 1975680 episode:14 

Rewards Tr: -95.74, Rewards Val: -92.88, Rewards Disc: -0.09, Rewards Eval: -123.40, Total Timesteps: 2202000 episode:15 

Rewards Tr: -92.68, Rewards Val: -96.03, Rewards Disc: -0.01, Rewards Eval: -101.07, Total Timesteps: 2392440 episode:16 

Rewards Tr: -72.38, Rewards Val: -80.67, Rewards Disc: -0.02, Rewards Eval: -100.24, Total Timesteps: 2606160 episode:17 

Rewards Tr: -67.67, Rewards Val: -68.84, Rewards Disc: -0.01, Rewards Eval: -136.56, Total Timesteps: 2820320 episode:18 

Rewards Tr: -61.47, Rewards Val: -65.81, Rewards Disc: 0.06, Rewards Eval: -214.02, Total Timesteps: 3022580 episode:19 

Rewards Tr: -55.74, Rewards Val: -54.58, Rewards Disc: -0.04, Rewards Eval: -107.02, Total Timesteps: 3225960 episode:20 

Rewards Tr: -52.21, Rewards Val: -49.23, Rewards Disc: -0.05, Rewards Eval: -63.37, Total Timesteps: 3477760 episode:21 

Rewards Tr: -48.98, Rewards Val: -49.26, Rewards Disc: -0.00, Rewards Eval: -74.10, Total Timesteps: 3718030 episode:22 

Rewards Tr: -44.05, Rewards Val: -46.85, Rewards Disc: 0.03, Rewards Eval: -90.13, Total Timesteps: 3933240 episode:23 

Rewards Tr: -42.19, Rewards Val: -36.69, Rewards Disc: -0.05, Rewards Eval: -33.72, Total Timesteps: 4140970 episode:24 

Rewards Tr: -38.08, Rewards Val: -38.58, Rewards Disc: 0.00, Rewards Eval: -32.55, Total Timesteps: 4390410 episode:25 

Rewards Tr: -29.53, Rewards Val: -35.91, Rewards Disc: -0.01, Rewards Eval: -326.53, Total Timesteps: 4656090 episode:26 

Rewards Tr: -33.36, Rewards Val: -32.42, Rewards Disc: 0.03, Rewards Eval: -388.26, Total Timesteps: 4900600 episode:27 

Rewards Tr: -27.22, Rewards Val: -25.85, Rewards Disc: -0.02, Rewards Eval: -430.59, Total Timesteps: 5198380 episode:28 

Rewards Tr: -23.94, Rewards Val: -20.14, Rewards Disc: -0.04, Rewards Eval: -510.03, Total Timesteps: 5464730 episode:29 

Rewards Tr: -22.06, Rewards Val: -18.79, Rewards Disc: -0.01, Rewards Eval: -942.06, Total Timesteps: 5759220 episode:30 

Rewards Tr: -19.60, Rewards Val: -16.98, Rewards Disc: 0.00, Rewards Eval: -677.99, Total Timesteps: 6081230 episode:31 

Rewards Tr: -16.88, Rewards Val: -15.56, Rewards Disc: 0.03, Rewards Eval: -1153.86, Total Timesteps: 6384360 episode:32 

Rewards Tr: -17.22, Rewards Val: -15.32, Rewards Disc: 0.03, Rewards Eval: -1117.17, Total Timesteps: 6735560 episode:33 

Rewards Tr: -12.43, Rewards Val: -15.30, Rewards Disc: 0.05, Rewards Eval: -1086.73, Total Timesteps: 7165080 episode:34 

Rewards Tr: -12.79, Rewards Val: -13.90, Rewards Disc: 0.05, Rewards Eval: -1175.63, Total Timesteps: 7612430 episode:35 

Rewards Tr: -13.89, Rewards Val: -7.84, Rewards Disc: -0.15, Rewards Eval: -1824.63, Total Timesteps: 8097690 episode:36 

Rewards Tr: -19.07, Rewards Val: -12.24, Rewards Disc: -0.00, Rewards Eval: -672.62, Total Timesteps: 8619890 episode:37 

Rewards Tr: -9.82, Rewards Val: -13.58, Rewards Disc: -0.02, Rewards Eval: -1187.02, Total Timesteps: 9123770 episode:38 

Rewards Tr: -18.55, Rewards Val: -12.58, Rewards Disc: -0.02, Rewards Eval: -1302.42, Total Timesteps: 9657990 episode:39 

Rewards Tr: -14.18, Rewards Val: -15.00, Rewards Disc: 0.06, Rewards Eval: -1355.82, Total Timesteps: 10214040 episode:40 

Rewards Tr: -10.35, Rewards Val: -3.83, Rewards Disc: -0.09, Rewards Eval: -872.19, Total Timesteps: 10791000 episode:41 

Rewards Tr: -7.85, Rewards Val: -5.40, Rewards Disc: -0.06, Rewards Eval: -915.73, Total Timesteps: 11373200 episode:42 

Rewards Tr: -2.09, Rewards Val: -5.95, Rewards Disc: -0.05, Rewards Eval: -795.94, Total Timesteps: 11959220 episode:43 

Rewards Tr: -7.58, Rewards Val: -9.44, Rewards Disc: 0.04, Rewards Eval: -527.56, Total Timesteps: 12553820 episode:44 

Rewards Tr: -6.12, Rewards Val: -3.45, Rewards Disc: -0.05, Rewards Eval: -356.85, Total Timesteps: 13151780 episode:45 

Rewards Tr: -7.39, Rewards Val: -5.68, Rewards Disc: 0.01, Rewards Eval: -254.15, Total Timesteps: 13751780 episode:46 

Rewards Tr: -2.34, Rewards Val: -1.58, Rewards Disc: -0.07, Rewards Eval: -446.27, Total Timesteps: 14351780 episode:47 

Rewards Tr: -4.63, Rewards Val: -6.45, Rewards Disc: 0.02, Rewards Eval: -106.36, Total Timesteps: 14951780 episode:48 

