For Seed: 102 

Rewards Tr: -758.82, Rewards Val: -852.07, Rewards Disc: 9.82, Rewards Eval: -655.38, Total Timesteps: 81380 episode:0 

Rewards Tr: -571.64, Rewards Val: -549.35, Rewards Disc: 6.79, Rewards Eval: -630.43, Total Timesteps: 162660 episode:1 

Rewards Tr: -459.85, Rewards Val: -467.88, Rewards Disc: 5.98, Rewards Eval: -377.22, Total Timesteps: 242570 episode:2 

Rewards Tr: -384.76, Rewards Val: -430.35, Rewards Disc: 5.60, Rewards Eval: -314.73, Total Timesteps: 333550 episode:3 

Rewards Tr: -352.07, Rewards Val: -348.17, Rewards Disc: 4.78, Rewards Eval: -307.49, Total Timesteps: 430200 episode:4 

Rewards Tr: -313.56, Rewards Val: -325.15, Rewards Disc: 4.55, Rewards Eval: -350.93, Total Timesteps: 538380 episode:5 

Rewards Tr: -268.71, Rewards Val: -280.12, Rewards Disc: 4.10, Rewards Eval: -356.05, Total Timesteps: 642190 episode:6 

Rewards Tr: -247.82, Rewards Val: -258.53, Rewards Disc: 3.89, Rewards Eval: -387.39, Total Timesteps: 756140 episode:7 

Rewards Tr: -216.75, Rewards Val: -211.12, Rewards Disc: 3.41, Rewards Eval: -136.61, Total Timesteps: 885970 episode:8 

Rewards Tr: -186.92, Rewards Val: -185.35, Rewards Disc: 3.15, Rewards Eval: -185.30, Total Timesteps: 1023590 episode:9 

Rewards Tr: -157.03, Rewards Val: -165.39, Rewards Disc: 2.95, Rewards Eval: -160.64, Total Timesteps: 1158100 episode:10 

Rewards Tr: -158.84, Rewards Val: -150.10, Rewards Disc: 2.80, Rewards Eval: -132.66, Total Timesteps: 1302310 episode:11 

Rewards Tr: -133.26, Rewards Val: -133.02, Rewards Disc: 2.63, Rewards Eval: -99.82, Total Timesteps: 1453750 episode:12 

Rewards Tr: -120.31, Rewards Val: -106.90, Rewards Disc: 2.37, Rewards Eval: -180.66, Total Timesteps: 1629170 episode:13 

Rewards Tr: -101.08, Rewards Val: -100.78, Rewards Disc: 2.31, Rewards Eval: -128.54, Total Timesteps: 1776990 episode:14 

Rewards Tr: -97.72, Rewards Val: -97.04, Rewards Disc: 2.27, Rewards Eval: -175.08, Total Timesteps: 1943850 episode:15 

Rewards Tr: -86.39, Rewards Val: -80.55, Rewards Disc: 2.11, Rewards Eval: -101.77, Total Timesteps: 2117330 episode:16 

Rewards Tr: -83.48, Rewards Val: -83.57, Rewards Disc: 2.14, Rewards Eval: -115.92, Total Timesteps: 2303500 episode:17 

Rewards Tr: -70.74, Rewards Val: -76.83, Rewards Disc: 2.07, Rewards Eval: -118.69, Total Timesteps: 2499880 episode:18 

Rewards Tr: -69.21, Rewards Val: -72.08, Rewards Disc: 2.02, Rewards Eval: -60.02, Total Timesteps: 2675160 episode:19 

