For Seed: 3 

Rewards Tr: -158.97, Rewards Val: -157.82, Rewards Disc: 0.51, Rewards Eval: -146.83, Total Timesteps: 250000 episode:0 

Rewards Tr: -119.95, Rewards Val: -120.58, Rewards Disc: 0.52, Rewards Eval: -106.30, Total Timesteps: 500000 episode:1 

Rewards Tr: -84.14, Rewards Val: -87.59, Rewards Disc: 0.53, Rewards Eval: -69.51, Total Timesteps: 750000 episode:2 

Rewards Tr: -53.62, Rewards Val: -57.62, Rewards Disc: 0.51, Rewards Eval: -38.37, Total Timesteps: 1000000 episode:3 

Rewards Tr: -35.19, Rewards Val: -35.34, Rewards Disc: 0.53, Rewards Eval: 14.88, Total Timesteps: 1250000 episode:4 

Rewards Tr: -5.80, Rewards Val: -10.37, Rewards Disc: 0.52, Rewards Eval: 42.92, Total Timesteps: 1500000 episode:5 

Rewards Tr: 6.80, Rewards Val: 11.71, Rewards Disc: 0.53, Rewards Eval: 57.26, Total Timesteps: 1750000 episode:6 

Rewards Tr: 34.58, Rewards Val: 31.15, Rewards Disc: 0.53, Rewards Eval: 41.37, Total Timesteps: 2000000 episode:7 

Rewards Tr: 49.33, Rewards Val: 43.08, Rewards Disc: 0.52, Rewards Eval: 38.95, Total Timesteps: 2250000 episode:8 

Rewards Tr: 59.33, Rewards Val: 60.75, Rewards Disc: 0.52, Rewards Eval: 24.79, Total Timesteps: 2500000 episode:9 

Rewards Tr: 83.48, Rewards Val: 76.71, Rewards Disc: 0.53, Rewards Eval: 67.29, Total Timesteps: 2750000 episode:10 

Rewards Tr: 93.68, Rewards Val: 92.32, Rewards Disc: 0.51, Rewards Eval: 14.16, Total Timesteps: 3000000 episode:11 

Rewards Tr: 95.41, Rewards Val: 103.25, Rewards Disc: 0.53, Rewards Eval: 140.99, Total Timesteps: 3250000 episode:12 

Rewards Tr: 106.54, Rewards Val: 109.14, Rewards Disc: 0.53, Rewards Eval: 136.12, Total Timesteps: 3500000 episode:13 

