For Seed: 3 

Rewards Tr: -127.07, Rewards Val: -128.33, Rewards Disc: 11.28, Rewards Eval: -174.27, Total Timesteps: 250000 episode:0 

Rewards Tr: -115.27, Rewards Val: -109.39, Rewards Disc: 11.09, Rewards Eval: -89.61, Total Timesteps: 500000 episode:1 

Rewards Tr: -88.72, Rewards Val: -93.73, Rewards Disc: 10.94, Rewards Eval: -152.01, Total Timesteps: 750000 episode:2 

Rewards Tr: -82.22, Rewards Val: -82.46, Rewards Disc: 10.82, Rewards Eval: -105.99, Total Timesteps: 1000000 episode:3 

Rewards Tr: -74.17, Rewards Val: -80.28, Rewards Disc: 10.80, Rewards Eval: -120.12, Total Timesteps: 1250000 episode:4 

Rewards Tr: -70.50, Rewards Val: -69.06, Rewards Disc: 10.69, Rewards Eval: -97.57, Total Timesteps: 1500000 episode:5 

Rewards Tr: -62.31, Rewards Val: -59.76, Rewards Disc: 10.60, Rewards Eval: -65.93, Total Timesteps: 1750000 episode:6 

Rewards Tr: -52.93, Rewards Val: -46.77, Rewards Disc: 10.47, Rewards Eval: -48.78, Total Timesteps: 2000000 episode:7 

Rewards Tr: -44.65, Rewards Val: -39.64, Rewards Disc: 10.40, Rewards Eval: -64.75, Total Timesteps: 2250000 episode:8 

Rewards Tr: -28.16, Rewards Val: -29.07, Rewards Disc: 10.29, Rewards Eval: -45.74, Total Timesteps: 2500000 episode:9 

Rewards Tr: -19.63, Rewards Val: -14.88, Rewards Disc: 10.15, Rewards Eval: -31.75, Total Timesteps: 2750000 episode:10 

Rewards Tr: -9.60, Rewards Val: -7.02, Rewards Disc: 10.07, Rewards Eval: -7.07, Total Timesteps: 3000000 episode:11 

Rewards Tr: 5.88, Rewards Val: 4.16, Rewards Disc: 9.96, Rewards Eval: 1.84, Total Timesteps: 3250000 episode:12 

Rewards Tr: 22.20, Rewards Val: 19.79, Rewards Disc: 9.80, Rewards Eval: -28.76, Total Timesteps: 3500000 episode:13 

