For Seed: 1 

Rewards Tr: -1261.40, Rewards Val: -1226.28, Rewards Eval: -318.37, Total Timesteps: 55650 episode:0 

Rewards Tr: -798.56, Rewards Val: -816.63, Rewards Eval: -888.67, Total Timesteps: 111580 episode:1 

Rewards Tr: -623.03, Rewards Val: -643.52, Rewards Eval: -443.48, Total Timesteps: 172700 episode:2 

Rewards Tr: -532.46, Rewards Val: -516.92, Rewards Eval: -542.38, Total Timesteps: 234590 episode:3 

Rewards Tr: -440.49, Rewards Val: -455.52, Rewards Eval: -504.66, Total Timesteps: 301170 episode:4 

Rewards Tr: -420.09, Rewards Val: -424.93, Rewards Eval: -346.99, Total Timesteps: 375290 episode:5 

Rewards Tr: -340.11, Rewards Val: -349.15, Rewards Eval: -313.56, Total Timesteps: 459790 episode:6 

Rewards Tr: -317.28, Rewards Val: -313.50, Rewards Eval: -344.56, Total Timesteps: 559830 episode:7 

Rewards Tr: -247.02, Rewards Val: -256.78, Rewards Eval: -186.64, Total Timesteps: 667010 episode:8 

Rewards Tr: -240.03, Rewards Val: -238.32, Rewards Eval: -226.98, Total Timesteps: 803720 episode:9 

Rewards Tr: -207.12, Rewards Val: -211.95, Rewards Eval: -361.32, Total Timesteps: 940920 episode:10 

Rewards Tr: -184.53, Rewards Val: -167.78, Rewards Eval: -131.70, Total Timesteps: 1097770 episode:11 

Rewards Tr: -153.82, Rewards Val: -156.35, Rewards Eval: -158.28, Total Timesteps: 1255170 episode:12 

Rewards Tr: -138.90, Rewards Val: -130.65, Rewards Eval: -330.12, Total Timesteps: 1403550 episode:13 

Rewards Tr: -121.21, Rewards Val: -118.56, Rewards Eval: -110.97, Total Timesteps: 1557930 episode:14 

Rewards Tr: -105.24, Rewards Val: -93.07, Rewards Eval: -181.29, Total Timesteps: 1745500 episode:15 

Rewards Tr: -70.02, Rewards Val: -79.47, Rewards Eval: -126.46, Total Timesteps: 1913890 episode:16 

Rewards Tr: -60.85, Rewards Val: -72.03, Rewards Eval: -923.78, Total Timesteps: 2111560 episode:17 

Rewards Tr: -71.56, Rewards Val: -56.56, Rewards Eval: -1415.42, Total Timesteps: 2319170 episode:18 

Rewards Tr: -62.96, Rewards Val: -56.02, Rewards Eval: -53.65, Total Timesteps: 2536750 episode:19 

