For Seed: 103 

Rewards Tr: -798.88, Rewards Val: -784.65, Rewards Eval: -984.34, Total Timesteps: 85910 episode:0 

Rewards Tr: -587.26, Rewards Val: -571.41, Rewards Eval: -373.06, Total Timesteps: 167250 episode:1 

Rewards Tr: -468.63, Rewards Val: -443.45, Rewards Eval: -418.25, Total Timesteps: 257780 episode:2 

Rewards Tr: -382.13, Rewards Val: -407.82, Rewards Eval: -252.04, Total Timesteps: 348450 episode:3 

Rewards Tr: -342.93, Rewards Val: -347.64, Rewards Eval: -257.52, Total Timesteps: 450970 episode:4 

Rewards Tr: -305.30, Rewards Val: -296.26, Rewards Eval: -256.65, Total Timesteps: 562420 episode:5 

Rewards Tr: -246.65, Rewards Val: -259.03, Rewards Eval: -205.46, Total Timesteps: 678740 episode:6 

Rewards Tr: -222.73, Rewards Val: -226.72, Rewards Eval: -107.83, Total Timesteps: 792410 episode:7 

Rewards Tr: -201.09, Rewards Val: -196.80, Rewards Eval: -168.70, Total Timesteps: 933230 episode:8 

Rewards Tr: -172.61, Rewards Val: -182.92, Rewards Eval: -201.65, Total Timesteps: 1070210 episode:9 

Rewards Tr: -154.73, Rewards Val: -154.51, Rewards Eval: -215.61, Total Timesteps: 1214320 episode:10 

Rewards Tr: -145.34, Rewards Val: -143.27, Rewards Eval: -179.18, Total Timesteps: 1353290 episode:11 

Rewards Tr: -133.37, Rewards Val: -133.33, Rewards Eval: -147.15, Total Timesteps: 1502380 episode:12 

Rewards Tr: -121.61, Rewards Val: -122.67, Rewards Eval: -113.06, Total Timesteps: 1650190 episode:13 

Rewards Tr: -111.29, Rewards Val: -105.85, Rewards Eval: -98.11, Total Timesteps: 1803060 episode:14 

Rewards Tr: -101.33, Rewards Val: -109.24, Rewards Eval: -82.84, Total Timesteps: 1963680 episode:15 

Rewards Tr: -86.27, Rewards Val: -92.11, Rewards Eval: -55.25, Total Timesteps: 2116280 episode:16 

Rewards Tr: -76.16, Rewards Val: -81.59, Rewards Eval: -124.42, Total Timesteps: 2296250 episode:17 

Rewards Tr: -88.00, Rewards Val: -81.40, Rewards Eval: -204.23, Total Timesteps: 2467800 episode:18 

Rewards Tr: -69.69, Rewards Val: -68.45, Rewards Eval: -97.83, Total Timesteps: 2643710 episode:19 

Rewards Tr: -63.67, Rewards Val: -71.61, Rewards Eval: -36.93, Total Timesteps: 2829370 episode:20 

Rewards Tr: -61.97, Rewards Val: -60.69, Rewards Eval: -103.84, Total Timesteps: 3027290 episode:21 

Rewards Tr: -62.24, Rewards Val: -55.71, Rewards Eval: -83.49, Total Timesteps: 3231460 episode:22 

Rewards Tr: -52.91, Rewards Val: -51.67, Rewards Eval: -137.29, Total Timesteps: 3426500 episode:23 

Rewards Tr: -46.39, Rewards Val: -49.58, Rewards Eval: -227.56, Total Timesteps: 3674270 episode:24 

Rewards Tr: -48.42, Rewards Val: -50.27, Rewards Eval: -131.41, Total Timesteps: 3894140 episode:25 

Rewards Tr: -47.45, Rewards Val: -46.11, Rewards Eval: -237.41, Total Timesteps: 4153210 episode:26 

Rewards Tr: -40.68, Rewards Val: -37.98, Rewards Eval: -80.54, Total Timesteps: 4402150 episode:27 

Rewards Tr: -36.46, Rewards Val: -38.96, Rewards Eval: -754.41, Total Timesteps: 4687120 episode:28 

Rewards Tr: -30.39, Rewards Val: -26.67, Rewards Eval: -552.90, Total Timesteps: 4959690 episode:29 

Rewards Tr: -30.04, Rewards Val: -24.95, Rewards Eval: -320.54, Total Timesteps: 5245700 episode:30 

Rewards Tr: -31.69, Rewards Val: -26.46, Rewards Eval: -2562.73, Total Timesteps: 5590340 episode:31 

Rewards Tr: -28.66, Rewards Val: -34.22, Rewards Eval: -1318.47, Total Timesteps: 6009200 episode:32 

Rewards Tr: -30.55, Rewards Val: -23.73, Rewards Eval: -2711.70, Total Timesteps: 6451290 episode:33 

Rewards Tr: -20.02, Rewards Val: -23.81, Rewards Eval: -3162.35, Total Timesteps: 6915300 episode:34 

Rewards Tr: -29.60, Rewards Val: -21.04, Rewards Eval: -1668.85, Total Timesteps: 7377030 episode:35 

Rewards Tr: -26.44, Rewards Val: -19.95, Rewards Eval: -1649.38, Total Timesteps: 7850540 episode:36 

Rewards Tr: -12.47, Rewards Val: -14.38, Rewards Eval: -1544.02, Total Timesteps: 8328150 episode:37 

Rewards Tr: -10.53, Rewards Val: -8.64, Rewards Eval: -1086.32, Total Timesteps: 8831580 episode:38 

Rewards Tr: -11.22, Rewards Val: -10.71, Rewards Eval: -399.45, Total Timesteps: 9374480 episode:39 

Rewards Tr: -13.00, Rewards Val: -11.62, Rewards Eval: -724.31, Total Timesteps: 9909700 episode:40 

Rewards Tr: -10.62, Rewards Val: -4.53, Rewards Eval: -490.70, Total Timesteps: 10441340 episode:41 

Rewards Tr: -12.75, Rewards Val: -6.59, Rewards Eval: -826.15, Total Timesteps: 10986580 episode:42 

Rewards Tr: -10.40, Rewards Val: -4.99, Rewards Eval: -496.41, Total Timesteps: 11564310 episode:43 

Rewards Tr: -9.99, Rewards Val: -7.88, Rewards Eval: -319.53, Total Timesteps: 12152120 episode:44 

Rewards Tr: -9.81, Rewards Val: -12.25, Rewards Eval: -380.55, Total Timesteps: 12749900 episode:45 

Rewards Tr: -3.20, Rewards Val: -7.61, Rewards Eval: -236.18, Total Timesteps: 13342550 episode:46 

Rewards Tr: -9.32, Rewards Val: -5.94, Rewards Eval: -248.81, Total Timesteps: 13942550 episode:47 

Rewards Tr: -1.69, Rewards Val: -18.09, Rewards Eval: -162.94, Total Timesteps: 14541060 episode:48 

Rewards Tr: -7.39, Rewards Val: -16.28, Rewards Eval: -216.58, Total Timesteps: 15141060 episode:49 

Rewards Tr: -12.19, Rewards Val: -9.11, Rewards Eval: -134.16, Total Timesteps: 15741060 episode:50 

Rewards Tr: -11.40, Rewards Val: -16.66, Rewards Eval: -133.46, Total Timesteps: 16341060 episode:51 

Rewards Tr: -15.20, Rewards Val: -19.62, Rewards Eval: -200.54, Total Timesteps: 16941060 episode:52 

Rewards Tr: -17.11, Rewards Val: -11.47, Rewards Eval: -113.55, Total Timesteps: 17541060 episode:53 

Rewards Tr: -12.91, Rewards Val: -13.89, Rewards Eval: -160.45, Total Timesteps: 18141060 episode:54 

