For Seed: 1 

Rewards Tr: -1170.78, Rewards Val: -1260.22, Rewards Eval: -611.49, Total Timesteps: 56640 episode:0 

Rewards Tr: -970.92, Rewards Val: -902.30, Rewards Eval: -659.35, Total Timesteps: 115180 episode:1 

Rewards Tr: -719.55, Rewards Val: -704.25, Rewards Eval: -559.98, Total Timesteps: 166750 episode:2 

Rewards Tr: -604.12, Rewards Val: -583.13, Rewards Eval: -525.78, Total Timesteps: 225320 episode:3 

Rewards Tr: -519.84, Rewards Val: -523.93, Rewards Eval: -485.58, Total Timesteps: 290590 episode:4 

Rewards Tr: -478.18, Rewards Val: -449.03, Rewards Eval: -282.57, Total Timesteps: 358910 episode:5 

Rewards Tr: -407.00, Rewards Val: -403.20, Rewards Eval: -335.74, Total Timesteps: 428870 episode:6 

Rewards Tr: -303.55, Rewards Val: -329.27, Rewards Eval: -402.81, Total Timesteps: 505620 episode:7 

Rewards Tr: -303.72, Rewards Val: -306.05, Rewards Eval: -198.76, Total Timesteps: 595390 episode:8 

Rewards Tr: -304.98, Rewards Val: -276.04, Rewards Eval: -151.28, Total Timesteps: 712560 episode:9 

Rewards Tr: -286.88, Rewards Val: -275.27, Rewards Eval: -175.77, Total Timesteps: 858520 episode:10 

Rewards Tr: -253.36, Rewards Val: -220.98, Rewards Eval: -207.77, Total Timesteps: 991760 episode:11 

Rewards Tr: -213.39, Rewards Val: -249.85, Rewards Eval: -116.89, Total Timesteps: 1151480 episode:12 

Rewards Tr: -170.73, Rewards Val: -179.90, Rewards Eval: -201.07, Total Timesteps: 1313120 episode:13 

Rewards Tr: -168.46, Rewards Val: -162.03, Rewards Eval: -87.64, Total Timesteps: 1470970 episode:14 

Rewards Tr: -142.49, Rewards Val: -140.69, Rewards Eval: -188.99, Total Timesteps: 1638640 episode:15 

Rewards Tr: -105.67, Rewards Val: -113.17, Rewards Eval: -91.75, Total Timesteps: 1794240 episode:16 

Rewards Tr: -99.44, Rewards Val: -113.88, Rewards Eval: -88.15, Total Timesteps: 2015080 episode:17 

Rewards Tr: -86.75, Rewards Val: -95.81, Rewards Eval: -111.39, Total Timesteps: 2182900 episode:18 

Rewards Tr: -71.59, Rewards Val: -75.82, Rewards Eval: -136.47, Total Timesteps: 2340690 episode:19 

Rewards Tr: -73.03, Rewards Val: -68.17, Rewards Eval: -94.36, Total Timesteps: 2536830 episode:20 

Rewards Tr: -71.65, Rewards Val: -66.53, Rewards Eval: -145.83, Total Timesteps: 2706830 episode:21 

Rewards Tr: -53.68, Rewards Val: -64.44, Rewards Eval: -121.76, Total Timesteps: 2932530 episode:22 

Rewards Tr: -51.86, Rewards Val: -61.21, Rewards Eval: -50.03, Total Timesteps: 3134970 episode:23 

Rewards Tr: -54.26, Rewards Val: -47.92, Rewards Eval: -87.15, Total Timesteps: 3329000 episode:24 

Rewards Tr: -49.97, Rewards Val: -52.35, Rewards Eval: -35.76, Total Timesteps: 3486510 episode:25 

Rewards Tr: -52.37, Rewards Val: -41.84, Rewards Eval: -41.22, Total Timesteps: 3688200 episode:26 

Rewards Tr: -40.93, Rewards Val: -41.70, Rewards Eval: -44.75, Total Timesteps: 3837320 episode:27 

Rewards Tr: -35.38, Rewards Val: -37.16, Rewards Eval: -59.47, Total Timesteps: 4040010 episode:28 

Rewards Tr: -42.11, Rewards Val: -41.57, Rewards Eval: -47.99, Total Timesteps: 4200730 episode:29 

Rewards Tr: -32.34, Rewards Val: -42.59, Rewards Eval: -42.80, Total Timesteps: 4404820 episode:30 

Rewards Tr: -31.03, Rewards Val: -31.43, Rewards Eval: -42.69, Total Timesteps: 4628710 episode:31 

Rewards Tr: -45.18, Rewards Val: -38.00, Rewards Eval: -18.00, Total Timesteps: 4813830 episode:32 

Rewards Tr: -28.17, Rewards Val: -41.54, Rewards Eval: -55.25, Total Timesteps: 5070530 episode:33 

Rewards Tr: -27.04, Rewards Val: -25.95, Rewards Eval: -53.59, Total Timesteps: 5314330 episode:34 

Rewards Tr: -24.85, Rewards Val: -22.19, Rewards Eval: -24.93, Total Timesteps: 5533090 episode:35 

Rewards Tr: -35.71, Rewards Val: -28.68, Rewards Eval: -69.36, Total Timesteps: 5784030 episode:36 

Rewards Tr: -54.99, Rewards Val: -47.24, Rewards Eval: -53.23, Total Timesteps: 6049810 episode:37 

Rewards Tr: -29.34, Rewards Val: -30.99, Rewards Eval: -14.32, Total Timesteps: 6282650 episode:38 

Rewards Tr: -32.05, Rewards Val: -29.13, Rewards Eval: -5.06, Total Timesteps: 6566440 episode:39 

Rewards Tr: -40.36, Rewards Val: -35.19, Rewards Eval: -19.40, Total Timesteps: 6825970 episode:40 

Rewards Tr: -10.15, Rewards Val: -16.15, Rewards Eval: -21.58, Total Timesteps: 7068820 episode:41 

Rewards Tr: -30.28, Rewards Val: -28.25, Rewards Eval: -10.99, Total Timesteps: 7334800 episode:42 

Rewards Tr: -29.55, Rewards Val: -36.94, Rewards Eval: -56.08, Total Timesteps: 7616450 episode:43 

Rewards Tr: -18.97, Rewards Val: -16.94, Rewards Eval: -82.08, Total Timesteps: 7865750 episode:44 

Rewards Tr: -42.16, Rewards Val: -33.21, Rewards Eval: -51.71, Total Timesteps: 8153050 episode:45 

Rewards Tr: -13.60, Rewards Val: -17.65, Rewards Eval: -8.26, Total Timesteps: 8392160 episode:46 

Rewards Tr: -18.69, Rewards Val: -10.28, Rewards Eval: -19.12, Total Timesteps: 8611430 episode:47 

Rewards Tr: -27.58, Rewards Val: -31.98, Rewards Eval: -33.94, Total Timesteps: 8906560 episode:48 

Rewards Tr: -21.85, Rewards Val: -17.33, Rewards Eval: -3.05, Total Timesteps: 9185160 episode:49 

Rewards Tr: -15.87, Rewards Val: -13.65, Rewards Eval: -17.04, Total Timesteps: 9428120 episode:50 

Rewards Tr: -23.87, Rewards Val: -29.64, Rewards Eval: -4.35, Total Timesteps: 9713230 episode:51 

Rewards Tr: -28.74, Rewards Val: -27.32, Rewards Eval: -30.95, Total Timesteps: 10024090 episode:52 

Rewards Tr: -13.57, Rewards Val: -18.78, Rewards Eval: -1.18, Total Timesteps: 10330400 episode:53 

Rewards Tr: -12.10, Rewards Val: -11.50, Rewards Eval: -31.85, Total Timesteps: 10609210 episode:54 

Rewards Tr: -16.19, Rewards Val: -12.40, Rewards Eval: -2.65, Total Timesteps: 10885570 episode:55 

Rewards Tr: -10.34, Rewards Val: -11.03, Rewards Eval: -28.74, Total Timesteps: 11179090 episode:56 

Rewards Tr: -7.23, Rewards Val: 2.81, Rewards Eval: -9.55, Total Timesteps: 11521140 episode:57 

Rewards Tr: -0.33, Rewards Val: -3.73, Rewards Eval: -8.37, Total Timesteps: 11806200 episode:58 

Rewards Tr: -9.90, Rewards Val: -5.06, Rewards Eval: -3.84, Total Timesteps: 12138500 episode:59 

Rewards Tr: -3.44, Rewards Val: -2.69, Rewards Eval: -22.76, Total Timesteps: 12464810 episode:60 

Rewards Tr: -0.03, Rewards Val: 3.98, Rewards Eval: -5.88, Total Timesteps: 12773760 episode:61 

Rewards Tr: 3.01, Rewards Val: 2.93, Rewards Eval: 21.37, Total Timesteps: 13081620 episode:62 

Rewards Tr: 11.33, Rewards Val: 5.66, Rewards Eval: 10.42, Total Timesteps: 13378270 episode:63 

Rewards Tr: 3.23, Rewards Val: 4.69, Rewards Eval: -35.75, Total Timesteps: 13697250 episode:64 

Rewards Tr: 9.82, Rewards Val: 9.55, Rewards Eval: -10.60, Total Timesteps: 14048450 episode:65 

Rewards Tr: 7.82, Rewards Val: 9.88, Rewards Eval: 22.92, Total Timesteps: 14352510 episode:66 

Rewards Tr: 7.37, Rewards Val: 7.84, Rewards Eval: -3.65, Total Timesteps: 14693380 episode:67 

