For Seed: 103 

Rewards Tr: -853.94, Rewards Val: -854.40, Rewards Eval: -492.69, Total Timesteps: 84350 episode:0 

Rewards Tr: -624.32, Rewards Val: -620.91, Rewards Eval: -307.07, Total Timesteps: 167350 episode:1 

Rewards Tr: -544.86, Rewards Val: -526.53, Rewards Eval: -632.37, Total Timesteps: 255020 episode:2 

Rewards Tr: -475.15, Rewards Val: -474.04, Rewards Eval: -336.42, Total Timesteps: 346970 episode:3 

Rewards Tr: -441.16, Rewards Val: -427.91, Rewards Eval: -304.73, Total Timesteps: 455270 episode:4 

Rewards Tr: -355.09, Rewards Val: -346.99, Rewards Eval: -326.58, Total Timesteps: 560520 episode:5 

Rewards Tr: -322.13, Rewards Val: -298.56, Rewards Eval: -278.91, Total Timesteps: 678180 episode:6 

Rewards Tr: -277.24, Rewards Val: -249.63, Rewards Eval: -236.46, Total Timesteps: 795780 episode:7 

Rewards Tr: -243.13, Rewards Val: -239.17, Rewards Eval: -217.72, Total Timesteps: 932280 episode:8 

Rewards Tr: -226.52, Rewards Val: -218.07, Rewards Eval: -311.78, Total Timesteps: 1071310 episode:9 

Rewards Tr: -202.88, Rewards Val: -210.50, Rewards Eval: -238.02, Total Timesteps: 1229420 episode:10 

Rewards Tr: -191.35, Rewards Val: -206.91, Rewards Eval: -156.00, Total Timesteps: 1388350 episode:11 

Rewards Tr: -168.21, Rewards Val: -173.29, Rewards Eval: -172.72, Total Timesteps: 1542300 episode:12 

Rewards Tr: -168.28, Rewards Val: -150.02, Rewards Eval: -44.67, Total Timesteps: 1744120 episode:13 

Rewards Tr: -149.56, Rewards Val: -140.88, Rewards Eval: -116.12, Total Timesteps: 1935820 episode:14 

Rewards Tr: -127.00, Rewards Val: -125.65, Rewards Eval: -131.07, Total Timesteps: 2126830 episode:15 

Rewards Tr: -115.01, Rewards Val: -114.45, Rewards Eval: -108.13, Total Timesteps: 2326930 episode:16 

Rewards Tr: -110.00, Rewards Val: -97.03, Rewards Eval: -68.04, Total Timesteps: 2562790 episode:17 

Rewards Tr: -82.57, Rewards Val: -87.15, Rewards Eval: -79.03, Total Timesteps: 2768300 episode:18 

Rewards Tr: -93.72, Rewards Val: -85.53, Rewards Eval: -63.79, Total Timesteps: 2987470 episode:19 

Rewards Tr: -91.67, Rewards Val: -81.11, Rewards Eval: -79.33, Total Timesteps: 3245130 episode:20 

Rewards Tr: -69.00, Rewards Val: -75.77, Rewards Eval: -31.32, Total Timesteps: 3454150 episode:21 

Rewards Tr: -77.20, Rewards Val: -70.96, Rewards Eval: -44.33, Total Timesteps: 3659790 episode:22 

Rewards Tr: -72.23, Rewards Val: -68.39, Rewards Eval: -56.91, Total Timesteps: 3916090 episode:23 

Rewards Tr: -65.62, Rewards Val: -66.93, Rewards Eval: -55.01, Total Timesteps: 4177570 episode:24 

Rewards Tr: -65.23, Rewards Val: -53.63, Rewards Eval: -79.53, Total Timesteps: 4442140 episode:25 

Rewards Tr: -60.56, Rewards Val: -59.18, Rewards Eval: -68.32, Total Timesteps: 4659680 episode:26 

