For Seed: 1 

Rewards Tr: 8.19, Rewards Val: 8.34, Rewards Disc: -0.00, Rewards Eval: 0.00, Total Timesteps: 7060 episode:0 

Rewards Tr: 10.28, Rewards Val: 9.62, Rewards Disc: 0.00, Rewards Eval: 0.00, Total Timesteps: 15490 episode:1 

Rewards Tr: 13.97, Rewards Val: 12.74, Rewards Disc: -0.01, Rewards Eval: 10.66, Total Timesteps: 25610 episode:2 

Rewards Tr: 15.65, Rewards Val: 15.80, Rewards Disc: -0.01, Rewards Eval: 10.66, Total Timesteps: 36570 episode:3 

Rewards Tr: 19.27, Rewards Val: 19.60, Rewards Disc: 0.02, Rewards Eval: 22.55, Total Timesteps: 49270 episode:4 

Rewards Tr: 26.02, Rewards Val: 24.36, Rewards Disc: 0.01, Rewards Eval: 37.44, Total Timesteps: 64340 episode:5 

Rewards Tr: 31.70, Rewards Val: 31.12, Rewards Disc: -0.03, Rewards Eval: 45.39, Total Timesteps: 82150 episode:6 

Rewards Tr: 37.18, Rewards Val: 39.05, Rewards Disc: -0.01, Rewards Eval: 37.75, Total Timesteps: 100460 episode:7 

Rewards Tr: 46.15, Rewards Val: 47.98, Rewards Disc: 0.02, Rewards Eval: 38.35, Total Timesteps: 122070 episode:8 

Rewards Tr: 55.40, Rewards Val: 60.05, Rewards Disc: -0.05, Rewards Eval: 65.38, Total Timesteps: 147780 episode:9 

Rewards Tr: 68.35, Rewards Val: 74.17, Rewards Disc: -0.02, Rewards Eval: 83.32, Total Timesteps: 179690 episode:10 

Rewards Tr: 81.49, Rewards Val: 80.14, Rewards Disc: 0.00, Rewards Eval: 102.21, Total Timesteps: 213480 episode:11 

Rewards Tr: 88.85, Rewards Val: 83.98, Rewards Disc: 0.04, Rewards Eval: 101.08, Total Timesteps: 247750 episode:12 

Rewards Tr: 94.14, Rewards Val: 97.42, Rewards Disc: -0.02, Rewards Eval: 94.59, Total Timesteps: 284130 episode:13 

Rewards Tr: 102.19, Rewards Val: 102.82, Rewards Disc: -0.02, Rewards Eval: 96.57, Total Timesteps: 325160 episode:14 

Rewards Tr: 107.03, Rewards Val: 102.12, Rewards Disc: 0.05, Rewards Eval: 111.35, Total Timesteps: 366550 episode:15 

Rewards Tr: 101.20, Rewards Val: 102.38, Rewards Disc: 0.01, Rewards Eval: 135.51, Total Timesteps: 403770 episode:16 

Rewards Tr: 108.85, Rewards Val: 108.65, Rewards Disc: 0.03, Rewards Eval: 102.09, Total Timesteps: 449010 episode:17 

Rewards Tr: 113.95, Rewards Val: 112.81, Rewards Disc: 0.02, Rewards Eval: 96.77, Total Timesteps: 502770 episode:18 

Rewards Tr: 116.98, Rewards Val: 118.04, Rewards Disc: -0.01, Rewards Eval: 131.34, Total Timesteps: 550200 episode:19 

Rewards Tr: 127.64, Rewards Val: 124.62, Rewards Disc: -0.01, Rewards Eval: 161.16, Total Timesteps: 601580 episode:20 

Rewards Tr: 143.76, Rewards Val: 144.20, Rewards Disc: 0.02, Rewards Eval: 150.69, Total Timesteps: 662060 episode:21 

Rewards Tr: 151.45, Rewards Val: 156.30, Rewards Disc: -0.04, Rewards Eval: 145.22, Total Timesteps: 721360 episode:22 

