For Seed: 1 

Rewards Tr: 9.06, Rewards Val: 10.63, Rewards Disc: 0.00, Rewards Eval: 0.00, Total Timesteps: 9340 episode:0 

Rewards Tr: 14.78, Rewards Val: 14.23, Rewards Disc: 0.04, Rewards Eval: 36.99, Total Timesteps: 22270 episode:1 

Rewards Tr: 18.87, Rewards Val: 20.85, Rewards Disc: -0.02, Rewards Eval: 36.99, Total Timesteps: 37580 episode:2 

Rewards Tr: 28.18, Rewards Val: 31.90, Rewards Disc: -0.04, Rewards Eval: 44.80, Total Timesteps: 59210 episode:3 

Rewards Tr: 37.91, Rewards Val: 38.26, Rewards Disc: 0.03, Rewards Eval: 75.55, Total Timesteps: 83120 episode:4 

Rewards Tr: 53.51, Rewards Val: 51.95, Rewards Disc: -0.01, Rewards Eval: 81.63, Total Timesteps: 111520 episode:5 

Rewards Tr: 67.38, Rewards Val: 67.42, Rewards Disc: 0.05, Rewards Eval: 78.43, Total Timesteps: 144050 episode:6 

Rewards Tr: 81.85, Rewards Val: 86.90, Rewards Disc: -0.02, Rewards Eval: 119.84, Total Timesteps: 178340 episode:7 

Rewards Tr: 98.42, Rewards Val: 102.28, Rewards Disc: -0.03, Rewards Eval: 80.49, Total Timesteps: 218400 episode:8 

Rewards Tr: 110.61, Rewards Val: 109.14, Rewards Disc: -0.00, Rewards Eval: 118.99, Total Timesteps: 260990 episode:9 

Rewards Tr: 126.94, Rewards Val: 125.36, Rewards Disc: 0.03, Rewards Eval: 111.38, Total Timesteps: 303770 episode:10 

Rewards Tr: 130.65, Rewards Val: 132.83, Rewards Disc: 0.03, Rewards Eval: 144.73, Total Timesteps: 347510 episode:11 

Rewards Tr: 143.71, Rewards Val: 139.30, Rewards Disc: 0.03, Rewards Eval: 168.03, Total Timesteps: 392020 episode:12 

Rewards Tr: 145.74, Rewards Val: 141.70, Rewards Disc: 0.01, Rewards Eval: 150.75, Total Timesteps: 436780 episode:13 

Rewards Tr: 154.76, Rewards Val: 153.03, Rewards Disc: 0.02, Rewards Eval: 168.86, Total Timesteps: 481070 episode:14 

Rewards Tr: 158.68, Rewards Val: 156.74, Rewards Disc: 0.03, Rewards Eval: 164.07, Total Timesteps: 526550 episode:15 

Rewards Tr: 166.21, Rewards Val: 160.07, Rewards Disc: 0.05, Rewards Eval: 169.40, Total Timesteps: 573700 episode:16 

Rewards Tr: 168.45, Rewards Val: 165.50, Rewards Disc: -0.02, Rewards Eval: 156.77, Total Timesteps: 618950 episode:17 

Rewards Tr: 172.09, Rewards Val: 174.02, Rewards Disc: -0.06, Rewards Eval: 207.79, Total Timesteps: 663460 episode:18 

Rewards Tr: 180.58, Rewards Val: 183.31, Rewards Disc: -0.03, Rewards Eval: 194.54, Total Timesteps: 708910 episode:19 

Rewards Tr: 186.34, Rewards Val: 183.65, Rewards Disc: 0.04, Rewards Eval: 211.34, Total Timesteps: 754250 episode:20 

Rewards Tr: 201.47, Rewards Val: 199.27, Rewards Disc: -0.00, Rewards Eval: 204.11, Total Timesteps: 801040 episode:21 

Rewards Tr: 211.93, Rewards Val: 209.39, Rewards Disc: 0.06, Rewards Eval: 208.35, Total Timesteps: 847670 episode:22 

Rewards Tr: 218.49, Rewards Val: 216.01, Rewards Disc: 0.03, Rewards Eval: 219.80, Total Timesteps: 894190 episode:23 

Rewards Tr: 226.09, Rewards Val: 228.83, Rewards Disc: -0.02, Rewards Eval: 239.49, Total Timesteps: 941730 episode:24 

Rewards Tr: 234.03, Rewards Val: 233.09, Rewards Disc: -0.03, Rewards Eval: 226.91, Total Timesteps: 989560 episode:25 

Rewards Tr: 231.94, Rewards Val: 235.35, Rewards Disc: -0.05, Rewards Eval: 224.65, Total Timesteps: 1037120 episode:26 

