For Seed: 1 

Rewards Tr: 15.13, Rewards Val: 16.94, Rewards Eval: 0.00, Total Timesteps: 17660 episode:0 

Rewards Tr: 30.26, Rewards Val: 31.75, Rewards Eval: 28.39, Total Timesteps: 43420 episode:1 

Rewards Tr: 40.77, Rewards Val: 37.47, Rewards Eval: 77.64, Total Timesteps: 70850 episode:2 

Rewards Tr: 54.67, Rewards Val: 56.02, Rewards Eval: 54.47, Total Timesteps: 100690 episode:3 

Rewards Tr: 65.99, Rewards Val: 67.57, Rewards Eval: 86.61, Total Timesteps: 133770 episode:4 

Rewards Tr: 78.97, Rewards Val: 78.46, Rewards Eval: 81.93, Total Timesteps: 169960 episode:5 

Rewards Tr: 87.96, Rewards Val: 83.25, Rewards Eval: 111.17, Total Timesteps: 206760 episode:6 

Rewards Tr: 99.74, Rewards Val: 99.54, Rewards Eval: 86.25, Total Timesteps: 245910 episode:7 

Rewards Tr: 100.87, Rewards Val: 107.66, Rewards Eval: 70.22, Total Timesteps: 285770 episode:8 

Rewards Tr: 124.43, Rewards Val: 114.25, Rewards Eval: 83.91, Total Timesteps: 325650 episode:9 

Rewards Tr: 147.63, Rewards Val: 137.52, Rewards Eval: 189.71, Total Timesteps: 366710 episode:10 

Rewards Tr: 153.75, Rewards Val: 150.50, Rewards Eval: 161.10, Total Timesteps: 407000 episode:11 

Rewards Tr: 166.17, Rewards Val: 171.55, Rewards Eval: 184.55, Total Timesteps: 450010 episode:12 

Rewards Tr: 196.23, Rewards Val: 193.10, Rewards Eval: 169.17, Total Timesteps: 494550 episode:13 

Rewards Tr: 212.68, Rewards Val: 201.54, Rewards Eval: 247.68, Total Timesteps: 540810 episode:14 

Rewards Tr: 220.02, Rewards Val: 217.97, Rewards Eval: 213.92, Total Timesteps: 588280 episode:15 

Rewards Tr: 240.22, Rewards Val: 238.45, Rewards Eval: 213.32, Total Timesteps: 635530 episode:16 

Rewards Tr: 250.86, Rewards Val: 252.38, Rewards Eval: 271.59, Total Timesteps: 683380 episode:17 

Rewards Tr: 272.04, Rewards Val: 269.44, Rewards Eval: 250.79, Total Timesteps: 733280 episode:18 

Rewards Tr: 276.30, Rewards Val: 283.92, Rewards Eval: 255.36, Total Timesteps: 784420 episode:19 

Rewards Tr: 297.24, Rewards Val: 295.51, Rewards Eval: 239.66, Total Timesteps: 836630 episode:20 

Rewards Tr: 300.95, Rewards Val: 304.80, Rewards Eval: 286.46, Total Timesteps: 890230 episode:21 

Rewards Tr: 311.94, Rewards Val: 308.60, Rewards Eval: 274.90, Total Timesteps: 944350 episode:22 

Rewards Tr: 323.12, Rewards Val: 328.82, Rewards Eval: 257.25, Total Timesteps: 1000800 episode:23 

Rewards Tr: 347.51, Rewards Val: 337.85, Rewards Eval: 324.49, Total Timesteps: 1059870 episode:24 

Rewards Tr: 365.55, Rewards Val: 373.89, Rewards Eval: 301.37, Total Timesteps: 1124060 episode:25 

Rewards Tr: 385.07, Rewards Val: 392.92, Rewards Eval: 319.32, Total Timesteps: 1191060 episode:26 

Rewards Tr: 403.45, Rewards Val: 416.28, Rewards Eval: 306.83, Total Timesteps: 1260210 episode:27 

Rewards Tr: 435.41, Rewards Val: 427.15, Rewards Eval: 285.56, Total Timesteps: 1333570 episode:28 

Rewards Tr: 465.34, Rewards Val: 468.30, Rewards Eval: 400.66, Total Timesteps: 1416340 episode:29 

Rewards Tr: 496.45, Rewards Val: 507.90, Rewards Eval: 380.18, Total Timesteps: 1502590 episode:30 

Rewards Tr: 533.94, Rewards Val: 525.75, Rewards Eval: 399.34, Total Timesteps: 1595920 episode:31 

Rewards Tr: 563.84, Rewards Val: 558.40, Rewards Eval: 365.86, Total Timesteps: 1697120 episode:32 

Rewards Tr: 577.37, Rewards Val: 588.17, Rewards Eval: 469.39, Total Timesteps: 1800320 episode:33 

Rewards Tr: 668.55, Rewards Val: 669.06, Rewards Eval: 452.96, Total Timesteps: 1930310 episode:34 

Rewards Tr: 696.24, Rewards Val: 701.97, Rewards Eval: 451.59, Total Timesteps: 2073230 episode:35 

Rewards Tr: 676.24, Rewards Val: 676.02, Rewards Eval: 593.17, Total Timesteps: 2202020 episode:36 

Rewards Tr: 749.88, Rewards Val: 722.96, Rewards Eval: 481.34, Total Timesteps: 2352010 episode:37 

