For Seed: 1 

Rewards Tr: 15.46, Rewards Val: 16.71, Rewards Eval: 0.00, Total Timesteps: 19090 episode:0 

Rewards Tr: 24.20, Rewards Val: 28.63, Rewards Eval: 44.69, Total Timesteps: 43030 episode:1 

Rewards Tr: 36.36, Rewards Val: 36.27, Rewards Eval: 55.55, Total Timesteps: 68830 episode:2 

Rewards Tr: 52.46, Rewards Val: 51.98, Rewards Eval: 56.27, Total Timesteps: 97050 episode:3 

Rewards Tr: 68.45, Rewards Val: 64.74, Rewards Eval: 93.75, Total Timesteps: 128710 episode:4 

Rewards Tr: 77.73, Rewards Val: 72.30, Rewards Eval: 99.39, Total Timesteps: 162730 episode:5 

Rewards Tr: 78.76, Rewards Val: 77.96, Rewards Eval: 83.76, Total Timesteps: 198610 episode:6 

Rewards Tr: 91.07, Rewards Val: 95.49, Rewards Eval: 93.82, Total Timesteps: 235060 episode:7 

Rewards Tr: 106.16, Rewards Val: 106.19, Rewards Eval: 147.96, Total Timesteps: 273530 episode:8 

Rewards Tr: 114.17, Rewards Val: 115.78, Rewards Eval: 118.51, Total Timesteps: 313140 episode:9 

Rewards Tr: 138.92, Rewards Val: 136.48, Rewards Eval: 145.46, Total Timesteps: 354160 episode:10 

Rewards Tr: 155.10, Rewards Val: 164.58, Rewards Eval: 158.35, Total Timesteps: 401910 episode:11 

Rewards Tr: 163.00, Rewards Val: 170.01, Rewards Eval: 166.09, Total Timesteps: 446260 episode:12 

Rewards Tr: 188.96, Rewards Val: 189.23, Rewards Eval: 242.79, Total Timesteps: 493630 episode:13 

Rewards Tr: 199.27, Rewards Val: 205.34, Rewards Eval: 198.64, Total Timesteps: 538230 episode:14 

Rewards Tr: 218.23, Rewards Val: 217.26, Rewards Eval: 172.72, Total Timesteps: 583210 episode:15 

Rewards Tr: 225.73, Rewards Val: 224.01, Rewards Eval: 255.41, Total Timesteps: 628640 episode:16 

Rewards Tr: 253.34, Rewards Val: 251.36, Rewards Eval: 261.17, Total Timesteps: 675320 episode:17 

Rewards Tr: 247.82, Rewards Val: 246.14, Rewards Eval: 242.82, Total Timesteps: 720950 episode:18 

Rewards Tr: 252.95, Rewards Val: 251.41, Rewards Eval: 273.05, Total Timesteps: 766820 episode:19 

Rewards Tr: 264.18, Rewards Val: 269.03, Rewards Eval: 272.40, Total Timesteps: 814770 episode:20 

Rewards Tr: 265.31, Rewards Val: 263.46, Rewards Eval: 239.14, Total Timesteps: 861960 episode:21 

Rewards Tr: 294.29, Rewards Val: 285.47, Rewards Eval: 328.54, Total Timesteps: 912290 episode:22 

Rewards Tr: 289.89, Rewards Val: 293.09, Rewards Eval: 321.05, Total Timesteps: 962830 episode:23 

Rewards Tr: 309.74, Rewards Val: 310.89, Rewards Eval: 307.77, Total Timesteps: 1017020 episode:24 

Rewards Tr: 302.24, Rewards Val: 309.41, Rewards Eval: 352.37, Total Timesteps: 1070640 episode:25 

Rewards Tr: 343.80, Rewards Val: 337.84, Rewards Eval: 365.36, Total Timesteps: 1131020 episode:26 

Rewards Tr: 340.13, Rewards Val: 336.80, Rewards Eval: 329.17, Total Timesteps: 1190800 episode:27 

Rewards Tr: 379.92, Rewards Val: 368.06, Rewards Eval: 386.66, Total Timesteps: 1258620 episode:28 

Rewards Tr: 386.70, Rewards Val: 364.17, Rewards Eval: 349.11, Total Timesteps: 1325070 episode:29 

Rewards Tr: 389.70, Rewards Val: 395.82, Rewards Eval: 413.64, Total Timesteps: 1396140 episode:30 

Rewards Tr: 432.63, Rewards Val: 438.12, Rewards Eval: 610.89, Total Timesteps: 1472450 episode:31 

Rewards Tr: 441.89, Rewards Val: 425.52, Rewards Eval: 486.20, Total Timesteps: 1552690 episode:32 

Rewards Tr: 546.95, Rewards Val: 530.65, Rewards Eval: 468.44, Total Timesteps: 1660250 episode:33 

Rewards Tr: 531.02, Rewards Val: 554.98, Rewards Eval: 492.68, Total Timesteps: 1778900 episode:34 

Rewards Tr: 516.89, Rewards Val: 545.59, Rewards Eval: 601.44, Total Timesteps: 1888270 episode:35 

Rewards Tr: 634.12, Rewards Val: 598.09, Rewards Eval: 524.51, Total Timesteps: 2021990 episode:36 

Rewards Tr: 599.14, Rewards Val: 624.03, Rewards Eval: 687.26, Total Timesteps: 2142610 episode:37 

Rewards Tr: 631.06, Rewards Val: 665.15, Rewards Eval: 633.06, Total Timesteps: 2286040 episode:38 

Rewards Tr: 674.69, Rewards Val: 661.22, Rewards Eval: 715.97, Total Timesteps: 2428920 episode:39 

Rewards Tr: 693.34, Rewards Val: 690.43, Rewards Eval: 675.43, Total Timesteps: 2575200 episode:40 

Rewards Tr: 716.41, Rewards Val: 670.73, Rewards Eval: 672.94, Total Timesteps: 2733150 episode:41 

Rewards Tr: 729.43, Rewards Val: 767.09, Rewards Eval: 657.91, Total Timesteps: 2893570 episode:42 

Rewards Tr: 750.19, Rewards Val: 753.34, Rewards Eval: 692.33, Total Timesteps: 3064550 episode:43 

Rewards Tr: 767.63, Rewards Val: 816.48, Rewards Eval: 730.21, Total Timesteps: 3244960 episode:44 

Rewards Tr: 767.41, Rewards Val: 819.36, Rewards Eval: 748.38, Total Timesteps: 3413230 episode:45 

Rewards Tr: 783.28, Rewards Val: 769.96, Rewards Eval: 445.24, Total Timesteps: 3585420 episode:46 

Rewards Tr: 837.84, Rewards Val: 757.25, Rewards Eval: 937.54, Total Timesteps: 3764940 episode:47 

Rewards Tr: 884.54, Rewards Val: 935.89, Rewards Eval: 1295.96, Total Timesteps: 3958880 episode:48 

