For Seed: 1 

Rewards Tr: -1195.85, Rewards Eval: -753.32, Total Timesteps: 27040 episode:0 

Rewards Tr: -837.41, Rewards Eval: -687.30, Total Timesteps: 54710 episode:1 

Rewards Tr: -642.46, Rewards Eval: -338.12, Total Timesteps: 82590 episode:2 

Rewards Tr: -516.56, Rewards Eval: -602.29, Total Timesteps: 113020 episode:3 

Rewards Tr: -454.89, Rewards Eval: -285.73, Total Timesteps: 145730 episode:4 

Rewards Tr: -384.63, Rewards Eval: -499.88, Total Timesteps: 184040 episode:5 

Rewards Tr: -318.26, Rewards Eval: -364.62, Total Timesteps: 225660 episode:6 

Rewards Tr: -269.92, Rewards Eval: -313.23, Total Timesteps: 270270 episode:7 

Rewards Tr: -256.61, Rewards Eval: -211.22, Total Timesteps: 323390 episode:8 

Rewards Tr: -190.45, Rewards Eval: -193.39, Total Timesteps: 377380 episode:9 

Rewards Tr: -185.05, Rewards Eval: -229.48, Total Timesteps: 443070 episode:10 

Rewards Tr: -154.61, Rewards Eval: -163.41, Total Timesteps: 509220 episode:11 

Rewards Tr: -124.35, Rewards Eval: -143.51, Total Timesteps: 578480 episode:12 

Rewards Tr: -123.60, Rewards Eval: -79.51, Total Timesteps: 653460 episode:13 

Rewards Tr: -109.88, Rewards Eval: -142.44, Total Timesteps: 729940 episode:14 

Rewards Tr: -86.23, Rewards Eval: -117.01, Total Timesteps: 808090 episode:15 

Rewards Tr: -81.31, Rewards Eval: -140.50, Total Timesteps: 921720 episode:16 

Rewards Tr: -71.10, Rewards Eval: -70.57, Total Timesteps: 1023510 episode:17 

Rewards Tr: -58.03, Rewards Eval: -68.96, Total Timesteps: 1117330 episode:18 

Rewards Tr: -56.64, Rewards Eval: -38.84, Total Timesteps: 1230320 episode:19 

Rewards Tr: -47.49, Rewards Eval: -81.82, Total Timesteps: 1321790 episode:20 

Rewards Tr: -43.84, Rewards Eval: -83.84, Total Timesteps: 1430300 episode:21 

Rewards Tr: -36.08, Rewards Eval: -39.36, Total Timesteps: 1531850 episode:22 

Rewards Tr: -30.35, Rewards Eval: -16.32, Total Timesteps: 1644390 episode:23 

Rewards Tr: -21.23, Rewards Eval: -45.15, Total Timesteps: 1773400 episode:24 

Rewards Tr: -19.58, Rewards Eval: -7.55, Total Timesteps: 1874570 episode:25 

Rewards Tr: -23.65, Rewards Eval: 7.65, Total Timesteps: 1994730 episode:26 

Rewards Tr: -17.49, Rewards Eval: -8.79, Total Timesteps: 2125890 episode:27 

Rewards Tr: -15.67, Rewards Eval: -24.92, Total Timesteps: 2249940 episode:28 

Rewards Tr: -14.94, Rewards Eval: -18.89, Total Timesteps: 2392430 episode:29 

Rewards Tr: -16.93, Rewards Eval: 7.77, Total Timesteps: 2543100 episode:30 

Rewards Tr: -9.60, Rewards Eval: -76.18, Total Timesteps: 2693570 episode:31 

Rewards Tr: -32.32, Rewards Eval: -17.33, Total Timesteps: 2872660 episode:32 

Rewards Tr: -20.44, Rewards Eval: -57.82, Total Timesteps: 3043910 episode:33 

Rewards Tr: -32.33, Rewards Eval: 9.55, Total Timesteps: 3236050 episode:34 

Rewards Tr: -20.53, Rewards Eval: 12.08, Total Timesteps: 3419960 episode:35 

Rewards Tr: -7.92, Rewards Eval: 9.40, Total Timesteps: 3596490 episode:36 

Rewards Tr: -2.14, Rewards Eval: 14.53, Total Timesteps: 3796490 episode:37 

Rewards Tr: -1.74, Rewards Eval: 30.43, Total Timesteps: 3990180 episode:38 

Rewards Tr: -0.83, Rewards Eval: -4.61, Total Timesteps: 4183370 episode:39 

Rewards Tr: 5.47, Rewards Eval: 11.39, Total Timesteps: 4379670 episode:40 

Rewards Tr: 3.07, Rewards Eval: 28.88, Total Timesteps: 4573570 episode:41 

Rewards Tr: 3.81, Rewards Eval: 13.50, Total Timesteps: 4773120 episode:42 

Rewards Tr: 2.26, Rewards Eval: 21.91, Total Timesteps: 4963920 episode:43 

Rewards Tr: 1.46, Rewards Eval: -23.77, Total Timesteps: 5163920 episode:44 

Rewards Tr: -0.11, Rewards Eval: -12.10, Total Timesteps: 5363920 episode:45 

Rewards Tr: -3.78, Rewards Eval: -0.50, Total Timesteps: 5563920 episode:46 

Rewards Tr: -3.15, Rewards Eval: 8.46, Total Timesteps: 5763920 episode:47 

Rewards Tr: -0.34, Rewards Eval: 3.30, Total Timesteps: 5963920 episode:48 

Rewards Tr: -1.67, Rewards Eval: 8.19, Total Timesteps: 6163920 episode:49 

Rewards Tr: -9.47, Rewards Eval: 17.43, Total Timesteps: 6363920 episode:50 

Rewards Tr: -6.45, Rewards Eval: -19.72, Total Timesteps: 6563920 episode:51 

Rewards Tr: -2.10, Rewards Eval: 16.49, Total Timesteps: 6763920 episode:52 

Rewards Tr: -1.19, Rewards Eval: 31.09, Total Timesteps: 6963920 episode:53 

Rewards Tr: -4.36, Rewards Eval: -34.99, Total Timesteps: 7163920 episode:54 

Rewards Tr: -5.46, Rewards Eval: 6.43, Total Timesteps: 7363920 episode:55 

Rewards Tr: -3.80, Rewards Eval: -70.25, Total Timesteps: 7563920 episode:56 

Rewards Tr: -3.03, Rewards Eval: 6.33, Total Timesteps: 7763920 episode:57 

Rewards Tr: -3.90, Rewards Eval: 15.91, Total Timesteps: 7963920 episode:58 

Rewards Tr: 0.71, Rewards Eval: 10.96, Total Timesteps: 8163920 episode:59 

Rewards Tr: -0.21, Rewards Eval: 7.02, Total Timesteps: 8363920 episode:60 

Rewards Tr: 0.04, Rewards Eval: 10.38, Total Timesteps: 8563920 episode:61 

Rewards Tr: 4.50, Rewards Eval: 18.69, Total Timesteps: 8763920 episode:62 

Rewards Tr: 2.38, Rewards Eval: -14.98, Total Timesteps: 8963920 episode:63 

Rewards Tr: 5.23, Rewards Eval: 8.32, Total Timesteps: 9163920 episode:64 

Rewards Tr: 10.42, Rewards Eval: 1.56, Total Timesteps: 9363920 episode:65 

Rewards Tr: 5.90, Rewards Eval: 10.64, Total Timesteps: 9563920 episode:66 

Rewards Tr: 13.97, Rewards Eval: 29.96, Total Timesteps: 9763920 episode:67 

Rewards Tr: 9.75, Rewards Eval: 21.44, Total Timesteps: 9963920 episode:68 

Rewards Tr: 10.63, Rewards Eval: 4.95, Total Timesteps: 10163920 episode:69 

Rewards Tr: 18.73, Rewards Eval: 12.60, Total Timesteps: 10363920 episode:70 

Rewards Tr: 20.12, Rewards Eval: 13.13, Total Timesteps: 10563920 episode:71 

Rewards Tr: 20.61, Rewards Eval: -1.11, Total Timesteps: 10763920 episode:72 

Rewards Tr: 17.32, Rewards Eval: 21.70, Total Timesteps: 10963920 episode:73 

Rewards Tr: 18.18, Rewards Eval: -5.26, Total Timesteps: 11163920 episode:74 

