
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 101 

Rewards Tr: -650.87, Rewards Eval: -554.70, Total Timesteps: 36280 episode:0 

Rewards Tr: -511.38, Rewards Eval: -457.35, Total Timesteps: 71570 episode:1 

Rewards Tr: -422.93, Rewards Eval: -544.59, Total Timesteps: 110450 episode:2 

Rewards Tr: -380.09, Rewards Eval: -265.85, Total Timesteps: 152950 episode:3 

Rewards Tr: -356.16, Rewards Eval: -417.27, Total Timesteps: 195540 episode:4 

Rewards Tr: -304.38, Rewards Eval: -304.64, Total Timesteps: 239250 episode:5 

Rewards Tr: -290.23, Rewards Eval: -197.09, Total Timesteps: 284070 episode:6 

Rewards Tr: -256.62, Rewards Eval: -194.82, Total Timesteps: 338820 episode:7 

Rewards Tr: -207.04, Rewards Eval: -179.83, Total Timesteps: 402100 episode:8 

Rewards Tr: -188.61, Rewards Eval: -139.99, Total Timesteps: 453570 episode:9 

Rewards Tr: -164.76, Rewards Eval: -209.83, Total Timesteps: 505030 episode:10 

Rewards Tr: -166.46, Rewards Eval: -125.82, Total Timesteps: 561390 episode:11 

Rewards Tr: -136.74, Rewards Eval: -125.35, Total Timesteps: 619280 episode:12 

Rewards Tr: -122.78, Rewards Eval: -59.39, Total Timesteps: 684740 episode:13 

Rewards Tr: -125.85, Rewards Eval: -77.02, Total Timesteps: 750410 episode:14 

Rewards Tr: -110.94, Rewards Eval: -48.61, Total Timesteps: 819930 episode:15 

Rewards Tr: -101.39, Rewards Eval: -95.34, Total Timesteps: 887790 episode:16 

Rewards Tr: -91.55, Rewards Eval: -86.73, Total Timesteps: 950010 episode:17 

Rewards Tr: -81.94, Rewards Eval: -119.25, Total Timesteps: 1032610 episode:18 

Rewards Tr: -82.14, Rewards Eval: -90.90, Total Timesteps: 1098010 episode:19 

Rewards Tr: -84.21, Rewards Eval: -153.22, Total Timesteps: 1173940 episode:20 

Rewards Tr: -76.01, Rewards Eval: -51.82, Total Timesteps: 1271880 episode:21 

Rewards Tr: -67.02, Rewards Eval: -79.64, Total Timesteps: 1334930 episode:22 

Rewards Tr: -66.12, Rewards Eval: -88.21, Total Timesteps: 1418000 episode:23 

Rewards Tr: -65.48, Rewards Eval: -42.91, Total Timesteps: 1490570 episode:24 

Rewards Tr: -57.28, Rewards Eval: -53.67, Total Timesteps: 1595160 episode:25 

Rewards Tr: -57.00, Rewards Eval: -45.44, Total Timesteps: 1669620 episode:26 

Rewards Tr: -56.94, Rewards Eval: -54.45, Total Timesteps: 1764280 episode:27 

Rewards Tr: -51.15, Rewards Eval: -64.36, Total Timesteps: 1848490 episode:28 

Rewards Tr: -45.95, Rewards Eval: -61.21, Total Timesteps: 1931600 episode:29 

Rewards Tr: -41.47, Rewards Eval: -1.33, Total Timesteps: 2037250 episode:30 

Rewards Tr: -39.71, Rewards Eval: -46.53, Total Timesteps: 2147500 episode:31 

Rewards Tr: -34.03, Rewards Eval: -75.88, Total Timesteps: 2245560 episode:32 

Rewards Tr: -29.55, Rewards Eval: -30.15, Total Timesteps: 2376410 episode:33 

Rewards Tr: -26.97, Rewards Eval: -3.16, Total Timesteps: 2474420 episode:34 

Rewards Tr: -25.56, Rewards Eval: -53.94, Total Timesteps: 2618640 episode:35 

Rewards Tr: -18.86, Rewards Eval: 1.28, Total Timesteps: 2741200 episode:36 

Rewards Tr: -24.16, Rewards Eval: -43.82, Total Timesteps: 2907970 episode:37 

Rewards Tr: -22.94, Rewards Eval: -21.39, Total Timesteps: 3046860 episode:38 

Rewards Tr: -18.98, Rewards Eval: -36.53, Total Timesteps: 3238380 episode:39 

Rewards Tr: -19.11, Rewards Eval: -1.47, Total Timesteps: 3455930 episode:40 

Rewards Tr: -20.93, Rewards Eval: 14.47, Total Timesteps: 3683750 episode:41 

Rewards Tr: -22.90, Rewards Eval: -22.59, Total Timesteps: 3940790 episode:42 

Rewards Tr: -24.28, Rewards Eval: -28.01, Total Timesteps: 4200920 episode:43 

Rewards Tr: -15.25, Rewards Eval: -48.01, Total Timesteps: 4463890 episode:44 

Rewards Tr: -13.74, Rewards Eval: 11.03, Total Timesteps: 4725670 episode:45 

Rewards Tr: -23.07, Rewards Eval: -6.79, Total Timesteps: 5003200 episode:46 

Rewards Tr: -13.93, Rewards Eval: 15.46, Total Timesteps: 5278740 episode:47 

Rewards Tr: -4.66, Rewards Eval: 4.76, Total Timesteps: 5551240 episode:48 

Rewards Tr: -3.19, Rewards Eval: -19.85, Total Timesteps: 5830920 episode:49 

Rewards Tr: -1.46, Rewards Eval: -32.51, Total Timesteps: 6108440 episode:50 

Rewards Tr: 0.53, Rewards Eval: -2.49, Total Timesteps: 6400640 episode:51 

Rewards Tr: -1.23, Rewards Eval: -7.65, Total Timesteps: 6689970 episode:52 

Rewards Tr: -0.02, Rewards Eval: 29.03, Total Timesteps: 6989970 episode:53 

Rewards Tr: -4.46, Rewards Eval: -32.56, Total Timesteps: 7289970 episode:54 

Rewards Tr: 0.92, Rewards Eval: -13.55, Total Timesteps: 7584550 episode:55 

Rewards Tr: -3.99, Rewards Eval: -32.57, Total Timesteps: 7884550 episode:56 

Rewards Tr: -2.75, Rewards Eval: 11.30, Total Timesteps: 8184550 episode:57 

Rewards Tr: 0.59, Rewards Eval: 25.01, Total Timesteps: 8484550 episode:58 

Rewards Tr: -2.26, Rewards Eval: -5.81, Total Timesteps: 8784550 episode:59 

Rewards Tr: -4.79, Rewards Eval: -37.20, Total Timesteps: 9084550 episode:60 

Rewards Tr: 4.04, Rewards Eval: 10.86, Total Timesteps: 9384550 episode:61 

Rewards Tr: -0.47, Rewards Eval: -3.21, Total Timesteps: 9684550 episode:62 

Rewards Tr: -1.71, Rewards Eval: -9.93, Total Timesteps: 9984550 episode:63 

Rewards Tr: -0.87, Rewards Eval: 9.01, Total Timesteps: 10284550 episode:64 

Rewards Tr: -7.77, Rewards Eval: 22.44, Total Timesteps: 10584550 episode:65 

Rewards Tr: 0.36, Rewards Eval: -15.13, Total Timesteps: 10884550 episode:66 

Rewards Tr: -3.68, Rewards Eval: 28.63, Total Timesteps: 11184550 episode:67 

Rewards Tr: -1.62, Rewards Eval: 47.68, Total Timesteps: 11484550 episode:68 

Rewards Tr: 2.07, Rewards Eval: -10.80, Total Timesteps: 11784550 episode:69 

Rewards Tr: 5.28, Rewards Eval: -20.60, Total Timesteps: 12084550 episode:70 

Rewards Tr: 8.13, Rewards Eval: 11.92, Total Timesteps: 12384550 episode:71 

Rewards Tr: 5.15, Rewards Eval: 22.04, Total Timesteps: 12684550 episode:72 

Rewards Tr: 8.73, Rewards Eval: 18.87, Total Timesteps: 12984550 episode:73 

Rewards Tr: 9.51, Rewards Eval: 43.24, Total Timesteps: 13284550 episode:74 

Rewards Tr: 11.57, Rewards Eval: 4.69, Total Timesteps: 13584550 episode:75 

Rewards Tr: 15.69, Rewards Eval: 44.10, Total Timesteps: 13884550 episode:76 

Rewards Tr: 18.93, Rewards Eval: -11.27, Total Timesteps: 14184550 episode:77 

Rewards Tr: 23.16, Rewards Eval: 2.22, Total Timesteps: 14484550 episode:78 

Rewards Tr: 19.16, Rewards Eval: 30.45, Total Timesteps: 14784550 episode:79 

Rewards Tr: 24.07, Rewards Eval: 30.43, Total Timesteps: 15084550 episode:80 

Rewards Tr: 24.63, Rewards Eval: 18.73, Total Timesteps: 15384550 episode:81 

Rewards Tr: 24.51, Rewards Eval: -5.00, Total Timesteps: 15684550 episode:82 

Rewards Tr: 29.24, Rewards Eval: 19.03, Total Timesteps: 15984550 episode:83 

Rewards Tr: 26.76, Rewards Eval: 27.85, Total Timesteps: 16284550 episode:84 

Rewards Tr: 31.27, Rewards Eval: 32.60, Total Timesteps: 16584550 episode:85 

Rewards Tr: 32.73, Rewards Eval: 35.55, Total Timesteps: 16884550 episode:86 

Rewards Tr: 34.56, Rewards Eval: 17.02, Total Timesteps: 17184550 episode:87 

Rewards Tr: 36.17, Rewards Eval: 36.16, Total Timesteps: 17484550 episode:88 

Rewards Tr: 37.97, Rewards Eval: 49.34, Total Timesteps: 17784550 episode:89 

Rewards Tr: 39.99, Rewards Eval: 18.39, Total Timesteps: 18084550 episode:90 

Rewards Tr: 44.40, Rewards Eval: 62.95, Total Timesteps: 18384550 episode:91 

Rewards Tr: 43.17, Rewards Eval: 62.94, Total Timesteps: 18684550 episode:92 
