For Seed: 1 

Rewards Tr: -672.22, Rewards Disc: 0.16, Rewards Eval: -340.09, Total Timesteps: 29850 episode:0 

Rewards Tr: -492.69, Rewards Disc: -0.15, Rewards Eval: -495.95, Total Timesteps: 59510 episode:1 

Rewards Tr: -444.71, Rewards Disc: -0.17, Rewards Eval: -396.26, Total Timesteps: 90510 episode:2 

Rewards Tr: -362.10, Rewards Disc: -0.23, Rewards Eval: -209.08, Total Timesteps: 123100 episode:3 

Rewards Tr: -306.92, Rewards Disc: -0.31, Rewards Eval: -274.19, Total Timesteps: 161260 episode:4 

Rewards Tr: -288.03, Rewards Disc: -0.14, Rewards Eval: -347.40, Total Timesteps: 203200 episode:5 

Rewards Tr: -272.36, Rewards Disc: 0.17, Rewards Eval: -343.11, Total Timesteps: 244610 episode:6 

Rewards Tr: -230.08, Rewards Disc: 0.17, Rewards Eval: -253.84, Total Timesteps: 287640 episode:7 

Rewards Tr: -194.17, Rewards Disc: -0.10, Rewards Eval: -109.83, Total Timesteps: 336020 episode:8 

Rewards Tr: -176.90, Rewards Disc: -0.00, Rewards Eval: -127.18, Total Timesteps: 392510 episode:9 

Rewards Tr: -150.05, Rewards Disc: -0.01, Rewards Eval: -96.25, Total Timesteps: 445980 episode:10 

Rewards Tr: -151.87, Rewards Disc: 0.13, Rewards Eval: -362.16, Total Timesteps: 512310 episode:11 

Rewards Tr: -126.25, Rewards Disc: -0.02, Rewards Eval: -132.44, Total Timesteps: 565120 episode:12 

Rewards Tr: -104.67, Rewards Disc: 0.04, Rewards Eval: -55.75, Total Timesteps: 633210 episode:13 

Rewards Tr: -100.52, Rewards Disc: 0.17, Rewards Eval: -100.70, Total Timesteps: 704700 episode:14 

Rewards Tr: -84.36, Rewards Disc: -0.02, Rewards Eval: -115.66, Total Timesteps: 781170 episode:15 

Rewards Tr: -79.32, Rewards Disc: 0.15, Rewards Eval: -93.56, Total Timesteps: 848630 episode:16 

Rewards Tr: -68.73, Rewards Disc: 0.05, Rewards Eval: -84.74, Total Timesteps: 919930 episode:17 

Rewards Tr: -58.74, Rewards Disc: 0.00, Rewards Eval: -119.66, Total Timesteps: 996260 episode:18 

Rewards Tr: -67.69, Rewards Disc: 0.11, Rewards Eval: -160.84, Total Timesteps: 1064560 episode:19 

Rewards Tr: -58.50, Rewards Disc: 0.04, Rewards Eval: -30.91, Total Timesteps: 1138320 episode:20 

Rewards Tr: -55.04, Rewards Disc: 0.05, Rewards Eval: -60.21, Total Timesteps: 1212840 episode:21 

Rewards Tr: -44.58, Rewards Disc: 0.01, Rewards Eval: -143.12, Total Timesteps: 1284640 episode:22 

Rewards Tr: -42.46, Rewards Disc: -0.00, Rewards Eval: -221.90, Total Timesteps: 1374370 episode:23 

Rewards Tr: -42.44, Rewards Disc: -0.01, Rewards Eval: -180.01, Total Timesteps: 1461250 episode:24 

Rewards Tr: -38.04, Rewards Disc: 0.01, Rewards Eval: -189.92, Total Timesteps: 1524620 episode:25 

Rewards Tr: -32.43, Rewards Disc: -0.05, Rewards Eval: -127.17, Total Timesteps: 1614730 episode:26 

Rewards Tr: -32.82, Rewards Disc: 0.02, Rewards Eval: -16.32, Total Timesteps: 1705690 episode:27 

Rewards Tr: -25.92, Rewards Disc: -0.05, Rewards Eval: -165.84, Total Timesteps: 1774860 episode:28 

Rewards Tr: -22.63, Rewards Disc: -0.08, Rewards Eval: -227.50, Total Timesteps: 1885240 episode:29 

Rewards Tr: -21.19, Rewards Disc: -0.05, Rewards Eval: -41.01, Total Timesteps: 1964810 episode:30 

Rewards Tr: -21.63, Rewards Disc: 0.06, Rewards Eval: -299.78, Total Timesteps: 2049010 episode:31 

Rewards Tr: -22.55, Rewards Disc: 0.10, Rewards Eval: -410.29, Total Timesteps: 2146950 episode:32 

Rewards Tr: -9.57, Rewards Disc: -0.07, Rewards Eval: -525.34, Total Timesteps: 2258940 episode:33 

Rewards Tr: -11.57, Rewards Disc: -0.09, Rewards Eval: -339.04, Total Timesteps: 2363080 episode:34 

Rewards Tr: -9.60, Rewards Disc: -0.02, Rewards Eval: -202.68, Total Timesteps: 2487490 episode:35 

Rewards Tr: -7.45, Rewards Disc: -0.06, Rewards Eval: -476.26, Total Timesteps: 2643740 episode:36 

Rewards Tr: -6.94, Rewards Disc: -0.39, Rewards Eval: -846.40, Total Timesteps: 2813660 episode:37 

Rewards Tr: -20.30, Rewards Disc: -0.12, Rewards Eval: -810.64, Total Timesteps: 2990400 episode:38 

Rewards Tr: -32.10, Rewards Disc: 0.10, Rewards Eval: -1204.02, Total Timesteps: 3182140 episode:39 

