
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1


The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 3 

For Seed: 3 

Rewards Tr: 19.90, Rewards Disc: 11.80, Rewards Eval: 15.99, Total Timesteps: 13080 episode:0 

Rewards Tr: 27.34, Rewards Disc: 11.73, Rewards Eval: 54.51, Total Timesteps: 28790 episode:1 

Rewards Tr: 41.13, Rewards Disc: 11.59, Rewards Eval: 69.28, Total Timesteps: 48790 episode:2 

Rewards Tr: 45.83, Rewards Disc: 11.54, Rewards Eval: 47.99, Total Timesteps: 68280 episode:3 

Rewards Tr: 53.92, Rewards Disc: 11.46, Rewards Eval: 57.52, Total Timesteps: 88530 episode:4 

Rewards Tr: 53.24, Rewards Disc: 11.47, Rewards Eval: 61.33, Total Timesteps: 108320 episode:5 

Rewards Tr: 54.61, Rewards Disc: 11.45, Rewards Eval: 54.01, Total Timesteps: 127590 episode:6 

Rewards Tr: 55.46, Rewards Disc: 11.45, Rewards Eval: 72.25, Total Timesteps: 147320 episode:7 

Rewards Tr: 57.12, Rewards Disc: 11.43, Rewards Eval: 49.59, Total Timesteps: 166320 episode:8 

Rewards Tr: 56.44, Rewards Disc: 11.44, Rewards Eval: 56.64, Total Timesteps: 185300 episode:9 

Rewards Tr: 57.94, Rewards Disc: 11.42, Rewards Eval: 57.46, Total Timesteps: 205070 episode:10 

Rewards Tr: 63.79, Rewards Disc: 11.36, Rewards Eval: 56.86, Total Timesteps: 225640 episode:11 

Rewards Tr: 65.98, Rewards Disc: 11.34, Rewards Eval: 75.91, Total Timesteps: 249220 episode:12 

Rewards Tr: 66.32, Rewards Disc: 11.34, Rewards Eval: 64.23, Total Timesteps: 272010 episode:13 

Rewards Tr: 71.67, Rewards Disc: 11.28, Rewards Eval: 67.80, Total Timesteps: 298230 episode:14 

Rewards Tr: 74.55, Rewards Disc: 11.25, Rewards Eval: 86.39, Total Timesteps: 326160 episode:15 

Rewards Tr: 77.81, Rewards Disc: 11.22, Rewards Eval: 84.71, Total Timesteps: 356550 episode:16 

Rewards Tr: 84.52, Rewards Disc: 11.15, Rewards Eval: 87.74, Total Timesteps: 391320 episode:17 

Rewards Tr: 86.59, Rewards Disc: 11.13, Rewards Eval: 84.49, Total Timesteps: 426060 episode:18 

Rewards Tr: 91.85, Rewards Disc: 11.08, Rewards Eval: 121.80, Total Timesteps: 463290 episode:19 

Rewards Tr: 94.44, Rewards Disc: 11.06, Rewards Eval: 60.69, Total Timesteps: 501840 episode:20 

Rewards Tr: 96.44, Rewards Disc: 11.04, Rewards Eval: 107.05, Total Timesteps: 545510 episode:21 

Rewards Tr: 96.24, Rewards Disc: 11.04, Rewards Eval: 160.40, Total Timesteps: 589850 episode:22 

Rewards Tr: 99.96, Rewards Disc: 11.00, Rewards Eval: 121.25, Total Timesteps: 639600 episode:23 

Rewards Tr: 105.48, Rewards Disc: 10.95, Rewards Eval: 108.41, Total Timesteps: 689100 episode:24 

Rewards Tr: 104.44, Rewards Disc: 10.96, Rewards Eval: 114.86, Total Timesteps: 739590 episode:25 

Rewards Tr: 107.60, Rewards Disc: 10.92, Rewards Eval: 79.36, Total Timesteps: 786710 episode:26 

Rewards Tr: 110.66, Rewards Disc: 10.89, Rewards Eval: 107.05, Total Timesteps: 835250 episode:27 

Rewards Tr: 115.29, Rewards Disc: 10.85, Rewards Eval: 128.57, Total Timesteps: 881900 episode:28 

Rewards Tr: 116.81, Rewards Disc: 10.83, Rewards Eval: 137.95, Total Timesteps: 929050 episode:29 

Rewards Tr: 119.37, Rewards Disc: 10.81, Rewards Eval: 135.19, Total Timesteps: 978730 episode:30 

Rewards Tr: 129.78, Rewards Disc: 10.70, Rewards Eval: 124.47, Total Timesteps: 1034890 episode:31 

Rewards Tr: 132.49, Rewards Disc: 10.68, Rewards Eval: 122.09, Total Timesteps: 1085660 episode:32 

Rewards Tr: 135.25, Rewards Disc: 10.65, Rewards Eval: 174.36, Total Timesteps: 1140550 episode:33 

Rewards Tr: 139.76, Rewards Disc: 10.60, Rewards Eval: 146.53, Total Timesteps: 1195620 episode:34 

Rewards Tr: 147.22, Rewards Disc: 10.53, Rewards Eval: 226.51, Total Timesteps: 1253730 episode:35 

Rewards Tr: 160.39, Rewards Disc: 10.40, Rewards Eval: 169.82, Total Timesteps: 1311000 episode:36 

Rewards Tr: 162.05, Rewards Disc: 10.38, Rewards Eval: 256.17, Total Timesteps: 1366000 episode:37 

Rewards Tr: 163.59, Rewards Disc: 10.36, Rewards Eval: 129.79, Total Timesteps: 1424840 episode:38 

Rewards Tr: 164.12, Rewards Disc: 10.36, Rewards Eval: 224.06, Total Timesteps: 1480910 episode:39 

Rewards Tr: 172.28, Rewards Disc: 10.28, Rewards Eval: 167.55, Total Timesteps: 1537440 episode:40 

Rewards Tr: 174.93, Rewards Disc: 10.25, Rewards Eval: 147.81, Total Timesteps: 1591780 episode:41 

Rewards Tr: 181.94, Rewards Disc: 10.18, Rewards Eval: 165.29, Total Timesteps: 1646080 episode:42 

Rewards Tr: 176.82, Rewards Disc: 10.23, Rewards Eval: 215.73, Total Timesteps: 1697290 episode:43 

Rewards Tr: 179.57, Rewards Disc: 10.20, Rewards Eval: 174.76, Total Timesteps: 1746380 episode:44 

Rewards Tr: 185.90, Rewards Disc: 10.14, Rewards Eval: 148.47, Total Timesteps: 1795360 episode:45 

Rewards Tr: 179.95, Rewards Disc: 10.20, Rewards Eval: 183.20, Total Timesteps: 1844890 episode:46 

Rewards Tr: 177.66, Rewards Disc: 10.22, Rewards Eval: 207.50, Total Timesteps: 1891380 episode:47 

Rewards Tr: 182.24, Rewards Disc: 10.18, Rewards Eval: 217.05, Total Timesteps: 1936650 episode:48 

Rewards Tr: 186.53, Rewards Disc: 10.13, Rewards Eval: 161.16, Total Timesteps: 1982970 episode:49 

Rewards Tr: 183.74, Rewards Disc: 10.16, Rewards Eval: 172.62, Total Timesteps: 2028510 episode:50 

Rewards Tr: 186.63, Rewards Disc: 10.13, Rewards Eval: 163.55, Total Timesteps: 2074080 episode:51 

Rewards Tr: 189.00, Rewards Disc: 10.11, Rewards Eval: 187.77, Total Timesteps: 2120940 episode:52 

Rewards Tr: 187.10, Rewards Disc: 10.13, Rewards Eval: 193.85, Total Timesteps: 2166960 episode:53 

Rewards Tr: 191.38, Rewards Disc: 10.09, Rewards Eval: 181.73, Total Timesteps: 2212730 episode:54 

Rewards Tr: 194.73, Rewards Disc: 10.05, Rewards Eval: 200.33, Total Timesteps: 2262330 episode:55 

Rewards Tr: 197.22, Rewards Disc: 10.03, Rewards Eval: 198.80, Total Timesteps: 2311320 episode:56 

Rewards Tr: 204.96, Rewards Disc: 9.95, Rewards Eval: 180.60, Total Timesteps: 2364630 episode:57 

Rewards Tr: 211.90, Rewards Disc: 9.88, Rewards Eval: 205.65, Total Timesteps: 2423400 episode:58 

Rewards Tr: 212.75, Rewards Disc: 9.87, Rewards Eval: 209.51, Total Timesteps: 2485430 episode:59 

Rewards Tr: 225.96, Rewards Disc: 9.74, Rewards Eval: 285.85, Total Timesteps: 2547780 episode:60 

Rewards Tr: 228.00, Rewards Disc: 9.72, Rewards Eval: 228.77, Total Timesteps: 2612960 episode:61 

Rewards Tr: 236.56, Rewards Disc: 9.63, Rewards Eval: 223.38, Total Timesteps: 2680060 episode:62 

Rewards Tr: 240.07, Rewards Disc: 9.60, Rewards Eval: 260.61, Total Timesteps: 2752140 episode:63 

Rewards Tr: 247.90, Rewards Disc: 9.52, Rewards Eval: 254.19, Total Timesteps: 2825280 episode:64 

Rewards Tr: 253.18, Rewards Disc: 9.47, Rewards Eval: 257.41, Total Timesteps: 2904080 episode:65 

Rewards Tr: 263.40, Rewards Disc: 9.37, Rewards Eval: 287.73, Total Timesteps: 2984980 episode:66 

Rewards Tr: 270.90, Rewards Disc: 9.29, Rewards Eval: 330.36, Total Timesteps: 3070120 episode:67 

Rewards Tr: 279.33, Rewards Disc: 9.21, Rewards Eval: 266.69, Total Timesteps: 3157960 episode:68 

Rewards Tr: 288.09, Rewards Disc: 9.12, Rewards Eval: 245.59, Total Timesteps: 3251980 episode:69 

Rewards Tr: 301.60, Rewards Disc: 8.98, Rewards Eval: 309.48, Total Timesteps: 3350420 episode:70 

Rewards Tr: 313.84, Rewards Disc: 8.86, Rewards Eval: 276.87, Total Timesteps: 3460370 episode:71 

Rewards Tr: 320.51, Rewards Disc: 8.79, Rewards Eval: 343.23, Total Timesteps: 3568730 episode:72 
