For Seed: 101 

Rewards Tr: -782.98, Rewards Disc: 0.12, Rewards Eval: -874.68, Total Timesteps: 42760 episode:0 

Rewards Tr: -599.65, Rewards Disc: 0.33, Rewards Eval: -464.76, Total Timesteps: 87340 episode:1 

Rewards Tr: -506.10, Rewards Disc: 0.43, Rewards Eval: -506.16, Total Timesteps: 136670 episode:2 

Rewards Tr: -422.41, Rewards Disc: 0.12, Rewards Eval: -328.83, Total Timesteps: 186410 episode:3 

Rewards Tr: -356.60, Rewards Disc: 0.10, Rewards Eval: -389.16, Total Timesteps: 240080 episode:4 

Rewards Tr: -302.01, Rewards Disc: 0.04, Rewards Eval: -369.70, Total Timesteps: 296660 episode:5 

Rewards Tr: -245.69, Rewards Disc: -0.01, Rewards Eval: -344.02, Total Timesteps: 363150 episode:6 

Rewards Tr: -221.45, Rewards Disc: 0.00, Rewards Eval: -338.05, Total Timesteps: 431520 episode:7 

Rewards Tr: -192.54, Rewards Disc: -0.01, Rewards Eval: -162.38, Total Timesteps: 509790 episode:8 

Rewards Tr: -169.98, Rewards Disc: -0.18, Rewards Eval: -135.51, Total Timesteps: 588840 episode:9 

Rewards Tr: -161.21, Rewards Disc: 0.19, Rewards Eval: -95.72, Total Timesteps: 678390 episode:10 

Rewards Tr: -138.24, Rewards Disc: 0.04, Rewards Eval: -340.42, Total Timesteps: 766310 episode:11 

Rewards Tr: -121.00, Rewards Disc: 0.05, Rewards Eval: -218.44, Total Timesteps: 861410 episode:12 

Rewards Tr: -108.74, Rewards Disc: -0.00, Rewards Eval: -48.07, Total Timesteps: 943580 episode:13 

Rewards Tr: -99.84, Rewards Disc: 0.00, Rewards Eval: -100.44, Total Timesteps: 1036420 episode:14 

Rewards Tr: -87.69, Rewards Disc: 0.03, Rewards Eval: -120.74, Total Timesteps: 1121050 episode:15 

Rewards Tr: -79.75, Rewards Disc: -0.06, Rewards Eval: -68.39, Total Timesteps: 1218590 episode:16 

Rewards Tr: -73.20, Rewards Disc: 0.06, Rewards Eval: -55.48, Total Timesteps: 1311760 episode:17 

Rewards Tr: -67.08, Rewards Disc: -0.05, Rewards Eval: -122.55, Total Timesteps: 1416390 episode:18 

Rewards Tr: -56.93, Rewards Disc: -0.06, Rewards Eval: -26.20, Total Timesteps: 1538690 episode:19 

Rewards Tr: -54.78, Rewards Disc: 0.04, Rewards Eval: -230.97, Total Timesteps: 1641080 episode:20 

Rewards Tr: -50.67, Rewards Disc: -0.07, Rewards Eval: -85.40, Total Timesteps: 1760800 episode:21 

Rewards Tr: -44.55, Rewards Disc: -0.02, Rewards Eval: -237.24, Total Timesteps: 1874100 episode:22 

Rewards Tr: -46.07, Rewards Disc: 0.02, Rewards Eval: -21.80, Total Timesteps: 2014430 episode:23 

Rewards Tr: -37.81, Rewards Disc: -0.02, Rewards Eval: -236.20, Total Timesteps: 2123310 episode:24 

Rewards Tr: -36.40, Rewards Disc: -0.01, Rewards Eval: -277.39, Total Timesteps: 2239830 episode:25 

Rewards Tr: -34.37, Rewards Disc: 0.01, Rewards Eval: -578.33, Total Timesteps: 2355910 episode:26 

Rewards Tr: -29.34, Rewards Disc: 0.02, Rewards Eval: -697.22, Total Timesteps: 2493030 episode:27 

Rewards Tr: -21.92, Rewards Disc: -0.03, Rewards Eval: -644.33, Total Timesteps: 2654400 episode:28 

Rewards Tr: -22.99, Rewards Disc: 0.05, Rewards Eval: -739.99, Total Timesteps: 2804100 episode:29 

Rewards Tr: -21.99, Rewards Disc: 0.01, Rewards Eval: -828.94, Total Timesteps: 2980030 episode:30 

Rewards Tr: -22.19, Rewards Disc: -0.00, Rewards Eval: -1140.31, Total Timesteps: 3216970 episode:31 

Rewards Tr: -28.09, Rewards Disc: 0.04, Rewards Eval: -1037.61, Total Timesteps: 3437560 episode:32 

Rewards Tr: -27.95, Rewards Disc: -0.02, Rewards Eval: -1119.89, Total Timesteps: 3677350 episode:33 

Rewards Tr: -29.47, Rewards Disc: 0.04, Rewards Eval: -1791.87, Total Timesteps: 3935050 episode:34 

Rewards Tr: -31.64, Rewards Disc: -0.09, Rewards Eval: -1749.96, Total Timesteps: 4205560 episode:35 

Rewards Tr: -49.32, Rewards Disc: 0.01, Rewards Eval: -1093.37, Total Timesteps: 4476540 episode:36 

Rewards Tr: -32.21, Rewards Disc: 0.18, Rewards Eval: -872.07, Total Timesteps: 4756390 episode:37 

Rewards Tr: -27.16, Rewards Disc: 0.11, Rewards Eval: -728.33, Total Timesteps: 5035580 episode:38 

Rewards Tr: -12.13, Rewards Disc: 0.00, Rewards Eval: -532.09, Total Timesteps: 5323340 episode:39 

Rewards Tr: -10.91, Rewards Disc: -0.03, Rewards Eval: -607.44, Total Timesteps: 5623340 episode:40 

Rewards Tr: -11.42, Rewards Disc: -0.03, Rewards Eval: -504.52, Total Timesteps: 5923340 episode:41 

Rewards Tr: -4.67, Rewards Disc: -0.10, Rewards Eval: -282.19, Total Timesteps: 6220860 episode:42 

Rewards Tr: -9.36, Rewards Disc: 0.04, Rewards Eval: -236.94, Total Timesteps: 6520860 episode:43 

Rewards Tr: -7.55, Rewards Disc: -0.05, Rewards Eval: -150.14, Total Timesteps: 6817730 episode:44 

Rewards Tr: -7.92, Rewards Disc: 0.03, Rewards Eval: -348.47, Total Timesteps: 7117730 episode:45 

Rewards Tr: -11.60, Rewards Disc: -0.02, Rewards Eval: -283.31, Total Timesteps: 7417730 episode:46 

Rewards Tr: -6.13, Rewards Disc: -0.07, Rewards Eval: -109.25, Total Timesteps: 7717730 episode:47 

Rewards Tr: -11.13, Rewards Disc: 0.05, Rewards Eval: -145.75, Total Timesteps: 8017730 episode:48 

Rewards Tr: -7.75, Rewards Disc: 0.04, Rewards Eval: -194.09, Total Timesteps: 8317730 episode:49 

Rewards Tr: -13.01, Rewards Disc: 0.04, Rewards Eval: -89.68, Total Timesteps: 8617730 episode:50 

Rewards Tr: -6.91, Rewards Disc: -0.06, Rewards Eval: -108.08, Total Timesteps: 8917730 episode:51 

Rewards Tr: -10.06, Rewards Disc: 0.04, Rewards Eval: -120.87, Total Timesteps: 9217730 episode:52 

Rewards Tr: -11.41, Rewards Disc: 0.04, Rewards Eval: -108.16, Total Timesteps: 9517730 episode:53 

Rewards Tr: -7.72, Rewards Disc: -0.01, Rewards Eval: -59.05, Total Timesteps: 9817730 episode:54 

Rewards Tr: -2.19, Rewards Disc: -0.08, Rewards Eval: -122.76, Total Timesteps: 10117730 episode:55 

Rewards Tr: -8.72, Rewards Disc: 0.05, Rewards Eval: -79.77, Total Timesteps: 10417730 episode:56 

Rewards Tr: -8.01, Rewards Disc: 0.04, Rewards Eval: -66.45, Total Timesteps: 10717730 episode:57 

Rewards Tr: -1.12, Rewards Disc: 0.01, Rewards Eval: -83.07, Total Timesteps: 11017730 episode:58 

Rewards Tr: -2.22, Rewards Disc: -0.02, Rewards Eval: -42.31, Total Timesteps: 11317730 episode:59 

Rewards Tr: -4.52, Rewards Disc: 0.03, Rewards Eval: -72.40, Total Timesteps: 11617730 episode:60 

Rewards Tr: -1.29, Rewards Disc: -0.01, Rewards Eval: 7.59, Total Timesteps: 11917730 episode:61 

Rewards Tr: 0.97, Rewards Disc: -0.01, Rewards Eval: -48.66, Total Timesteps: 12217730 episode:62 

Rewards Tr: -0.14, Rewards Disc: 0.03, Rewards Eval: -38.63, Total Timesteps: 12517730 episode:63 

Rewards Tr: 5.81, Rewards Disc: -0.00, Rewards Eval: -23.35, Total Timesteps: 12817730 episode:64 

Rewards Tr: 5.79, Rewards Disc: -0.00, Rewards Eval: -40.06, Total Timesteps: 13117730 episode:65 

Rewards Tr: 7.78, Rewards Disc: 0.01, Rewards Eval: -1.20, Total Timesteps: 13417730 episode:66 

Rewards Tr: 8.40, Rewards Disc: -0.01, Rewards Eval: -7.05, Total Timesteps: 13717730 episode:67 

Rewards Tr: 13.69, Rewards Disc: -0.02, Rewards Eval: 8.19, Total Timesteps: 14017730 episode:68 

Rewards Tr: 11.88, Rewards Disc: -0.02, Rewards Eval: -5.87, Total Timesteps: 14317730 episode:69 

Rewards Tr: 15.85, Rewards Disc: -0.00, Rewards Eval: 5.53, Total Timesteps: 14617730 episode:70 

Rewards Tr: 15.19, Rewards Disc: 0.06, Rewards Eval: -9.28, Total Timesteps: 14917730 episode:71 

Rewards Tr: 20.31, Rewards Disc: -0.00, Rewards Eval: -6.64, Total Timesteps: 15217730 episode:72 

Rewards Tr: 21.08, Rewards Disc: 0.01, Rewards Eval: -12.97, Total Timesteps: 15517730 episode:73 

Rewards Tr: 25.57, Rewards Disc: -0.02, Rewards Eval: -3.67, Total Timesteps: 15817730 episode:74 

Rewards Tr: 23.97, Rewards Disc: 0.03, Rewards Eval: 30.38, Total Timesteps: 16117730 episode:75 

Rewards Tr: 23.69, Rewards Disc: 0.05, Rewards Eval: 16.44, Total Timesteps: 16417730 episode:76 

Rewards Tr: 26.44, Rewards Disc: 0.02, Rewards Eval: 6.08, Total Timesteps: 16717730 episode:77 

Rewards Tr: 23.61, Rewards Disc: 0.03, Rewards Eval: 31.39, Total Timesteps: 17017730 episode:78 

Rewards Tr: 28.37, Rewards Disc: 0.02, Rewards Eval: 37.79, Total Timesteps: 17317730 episode:79 

Rewards Tr: 34.63, Rewards Disc: 0.01, Rewards Eval: 34.22, Total Timesteps: 17617730 episode:80 

Rewards Tr: 28.37, Rewards Disc: 0.04, Rewards Eval: 30.30, Total Timesteps: 17917730 episode:81 

Rewards Tr: 37.81, Rewards Disc: -0.03, Rewards Eval: 48.28, Total Timesteps: 18217730 episode:82 

Rewards Tr: 33.43, Rewards Disc: 0.01, Rewards Eval: 20.61, Total Timesteps: 18517730 episode:83 

Rewards Tr: 34.83, Rewards Disc: 0.01, Rewards Eval: 44.84, Total Timesteps: 18817730 episode:84 

Rewards Tr: 39.93, Rewards Disc: -0.04, Rewards Eval: 31.15, Total Timesteps: 19117730 episode:85 

Rewards Tr: 42.29, Rewards Disc: -0.03, Rewards Eval: 16.67, Total Timesteps: 19417730 episode:86 

Rewards Tr: 41.52, Rewards Disc: -0.02, Rewards Eval: 42.32, Total Timesteps: 19717730 episode:87 

Rewards Tr: 43.27, Rewards Disc: -0.02, Rewards Eval: 33.30, Total Timesteps: 20017730 episode:88 

Rewards Tr: 45.26, Rewards Disc: -0.02, Rewards Eval: 27.83, Total Timesteps: 20317730 episode:89 

Rewards Tr: 42.67, Rewards Disc: 0.04, Rewards Eval: 52.06, Total Timesteps: 20617730 episode:90 

Rewards Tr: 47.49, Rewards Disc: 0.01, Rewards Eval: 70.67, Total Timesteps: 20917730 episode:91 

Rewards Tr: 51.42, Rewards Disc: -0.02, Rewards Eval: 52.16, Total Timesteps: 21217730 episode:92 

Rewards Tr: 53.51, Rewards Disc: 0.02, Rewards Eval: 53.69, Total Timesteps: 21517730 episode:93 

Rewards Tr: 57.00, Rewards Disc: -0.02, Rewards Eval: 68.90, Total Timesteps: 21817730 episode:94 

Rewards Tr: 62.14, Rewards Disc: 0.00, Rewards Eval: 45.12, Total Timesteps: 22117730 episode:95 

Rewards Tr: 62.97, Rewards Disc: 0.00, Rewards Eval: 71.04, Total Timesteps: 22417730 episode:96 

Rewards Tr: 68.50, Rewards Disc: -0.01, Rewards Eval: 77.03, Total Timesteps: 22717730 episode:97 

Rewards Tr: 71.75, Rewards Disc: 0.04, Rewards Eval: 51.22, Total Timesteps: 23017730 episode:98 

Rewards Tr: 78.28, Rewards Disc: -0.03, Rewards Eval: 73.90, Total Timesteps: 23317730 episode:99 

Rewards Tr: 79.00, Rewards Disc: -0.01, Rewards Eval: 64.31, Total Timesteps: 23617730 episode:100 

Rewards Tr: 83.31, Rewards Disc: 0.02, Rewards Eval: 73.05, Total Timesteps: 23917730 episode:101 

Rewards Tr: 85.70, Rewards Disc: 0.03, Rewards Eval: 81.20, Total Timesteps: 24217730 episode:102 

Rewards Tr: 89.75, Rewards Disc: 0.04, Rewards Eval: 74.67, Total Timesteps: 24517730 episode:103 

Rewards Tr: 93.67, Rewards Disc: 0.00, Rewards Eval: 86.94, Total Timesteps: 24817730 episode:104 

Rewards Tr: 82.09, Rewards Disc: 0.13, Rewards Eval: 62.64, Total Timesteps: 25117730 episode:105 

Rewards Tr: 82.69, Rewards Disc: 0.19, Rewards Eval: 50.91, Total Timesteps: 25417730 episode:106 

Rewards Tr: 87.00, Rewards Disc: 0.19, Rewards Eval: 71.31, Total Timesteps: 25717730 episode:107 

Rewards Tr: 86.08, Rewards Disc: 0.26, Rewards Eval: 97.50, Total Timesteps: 26017730 episode:108 

Rewards Tr: 91.15, Rewards Disc: 0.23, Rewards Eval: 71.58, Total Timesteps: 26317730 episode:109 

Rewards Tr: 95.26, Rewards Disc: 0.24, Rewards Eval: 91.41, Total Timesteps: 26617730 episode:110 

Rewards Tr: 99.52, Rewards Disc: 0.17, Rewards Eval: 77.23, Total Timesteps: 26917730 episode:111 

Rewards Tr: 103.53, Rewards Disc: 0.15, Rewards Eval: 104.53, Total Timesteps: 27217730 episode:112 

Rewards Tr: 102.13, Rewards Disc: 0.24, Rewards Eval: 128.06, Total Timesteps: 27517730 episode:113 

Rewards Tr: 99.28, Rewards Disc: 0.32, Rewards Eval: 135.86, Total Timesteps: 27817730 episode:114 

Rewards Tr: 107.21, Rewards Disc: 0.23, Rewards Eval: 107.18, Total Timesteps: 28117730 episode:115 

Rewards Tr: 106.65, Rewards Disc: 0.27, Rewards Eval: 117.79, Total Timesteps: 28417730 episode:116 

Rewards Tr: 118.89, Rewards Disc: 0.11, Rewards Eval: 78.89, Total Timesteps: 28717730 episode:117 

Rewards Tr: 106.16, Rewards Disc: 0.25, Rewards Eval: 134.43, Total Timesteps: 29017730 episode:118 

Rewards Tr: 99.23, Rewards Disc: 0.32, Rewards Eval: 128.03, Total Timesteps: 29317730 episode:119 

Rewards Tr: 109.50, Rewards Disc: 0.28, Rewards Eval: 94.66, Total Timesteps: 29617730 episode:120 

Rewards Tr: 101.30, Rewards Disc: 0.38, Rewards Eval: 99.74, Total Timesteps: 29917730 episode:121 

Rewards Tr: 101.05, Rewards Disc: 0.36, Rewards Eval: 125.92, Total Timesteps: 30217730 episode:122 

Rewards Tr: 99.01, Rewards Disc: 0.33, Rewards Eval: 84.54, Total Timesteps: 30517730 episode:123 

Rewards Tr: 122.18, Rewards Disc: 0.07, Rewards Eval: 151.18, Total Timesteps: 30817730 episode:124 

Rewards Tr: 123.91, Rewards Disc: 0.06, Rewards Eval: 104.54, Total Timesteps: 31117730 episode:125 

Rewards Tr: 125.50, Rewards Disc: 0.01, Rewards Eval: 84.33, Total Timesteps: 31417730 episode:126 

Rewards Tr: 120.66, Rewards Disc: 0.03, Rewards Eval: 74.61, Total Timesteps: 31717730 episode:127 

Rewards Tr: 119.26, Rewards Disc: 0.07, Rewards Eval: 98.69, Total Timesteps: 32017730 episode:128 

Rewards Tr: 117.80, Rewards Disc: 0.15, Rewards Eval: 101.52, Total Timesteps: 32317730 episode:129 

Rewards Tr: 126.92, Rewards Disc: 0.10, Rewards Eval: 123.42, Total Timesteps: 32617730 episode:130 

Rewards Tr: 123.30, Rewards Disc: 0.16, Rewards Eval: 127.44, Total Timesteps: 32917730 episode:131 

Rewards Tr: 129.65, Rewards Disc: 0.16, Rewards Eval: 124.97, Total Timesteps: 33217730 episode:132 

Rewards Tr: 143.39, Rewards Disc: 0.04, Rewards Eval: 134.00, Total Timesteps: 33517730 episode:133 

Rewards Tr: 144.01, Rewards Disc: 0.08, Rewards Eval: 112.12, Total Timesteps: 33817730 episode:134 

Rewards Tr: 148.35, Rewards Disc: 0.02, Rewards Eval: 144.65, Total Timesteps: 34117730 episode:135 

Rewards Tr: 145.72, Rewards Disc: 0.11, Rewards Eval: 131.90, Total Timesteps: 34417730 episode:136 

Rewards Tr: 146.82, Rewards Disc: 0.06, Rewards Eval: 164.09, Total Timesteps: 34717730 episode:137 

Rewards Tr: 153.19, Rewards Disc: 0.01, Rewards Eval: 139.54, Total Timesteps: 35017730 episode:138 

Rewards Tr: 153.16, Rewards Disc: 0.01, Rewards Eval: 113.44, Total Timesteps: 35317730 episode:139 

Rewards Tr: 155.23, Rewards Disc: 0.02, Rewards Eval: 144.02, Total Timesteps: 35617730 episode:140 

Rewards Tr: 159.31, Rewards Disc: 0.01, Rewards Eval: 147.89, Total Timesteps: 35917730 episode:141 

Rewards Tr: 157.03, Rewards Disc: 0.05, Rewards Eval: 166.09, Total Timesteps: 36217730 episode:142 

Rewards Tr: 161.94, Rewards Disc: -0.05, Rewards Eval: 134.54, Total Timesteps: 36517730 episode:143 

Rewards Tr: 163.37, Rewards Disc: -0.02, Rewards Eval: 150.64, Total Timesteps: 36817730 episode:144 

Rewards Tr: 156.09, Rewards Disc: 0.05, Rewards Eval: 139.48, Total Timesteps: 37117730 episode:145 

Rewards Tr: 161.36, Rewards Disc: -0.03, Rewards Eval: 145.13, Total Timesteps: 37417730 episode:146 

Rewards Tr: 157.40, Rewards Disc: -0.01, Rewards Eval: 121.39, Total Timesteps: 37717730 episode:147 

Rewards Tr: 158.63, Rewards Disc: -0.00, Rewards Eval: 164.63, Total Timesteps: 38017730 episode:148 

Rewards Tr: 161.35, Rewards Disc: -0.03, Rewards Eval: 147.03, Total Timesteps: 38317730 episode:149 

Rewards Tr: 159.09, Rewards Disc: 0.02, Rewards Eval: 158.97, Total Timesteps: 38617730 episode:150 

Rewards Tr: 153.52, Rewards Disc: 0.05, Rewards Eval: 157.74, Total Timesteps: 38917730 episode:151 

Rewards Tr: 161.34, Rewards Disc: 0.04, Rewards Eval: 138.54, Total Timesteps: 39217730 episode:152 

Rewards Tr: 161.85, Rewards Disc: 0.03, Rewards Eval: 136.90, Total Timesteps: 39517730 episode:153 

Rewards Tr: 157.31, Rewards Disc: 0.10, Rewards Eval: 124.31, Total Timesteps: 39817730 episode:154 

Rewards Tr: 157.82, Rewards Disc: 0.07, Rewards Eval: 161.75, Total Timesteps: 40117730 episode:155 

Rewards Tr: 159.02, Rewards Disc: 0.07, Rewards Eval: 164.65, Total Timesteps: 40417730 episode:156 

Rewards Tr: 158.11, Rewards Disc: 0.06, Rewards Eval: 163.52, Total Timesteps: 40717730 episode:157 

Rewards Tr: 152.74, Rewards Disc: 0.11, Rewards Eval: 149.88, Total Timesteps: 41017730 episode:158 

Rewards Tr: 150.14, Rewards Disc: 0.12, Rewards Eval: 154.95, Total Timesteps: 41317730 episode:159 

Rewards Tr: 153.55, Rewards Disc: 0.10, Rewards Eval: 117.46, Total Timesteps: 41617730 episode:160 

Rewards Tr: 138.96, Rewards Disc: 0.23, Rewards Eval: 176.85, Total Timesteps: 41917730 episode:161 

Rewards Tr: 135.64, Rewards Disc: 0.26, Rewards Eval: 175.37, Total Timesteps: 42217730 episode:162 

Rewards Tr: 121.17, Rewards Disc: 0.37, Rewards Eval: 149.49, Total Timesteps: 42517730 episode:163 

Rewards Tr: 119.10, Rewards Disc: 0.35, Rewards Eval: 173.19, Total Timesteps: 42817730 episode:164 

