For Seed: 102 

Rewards Tr: -830.99, Rewards Disc: 9.61, Rewards Eval: -643.34, Total Timesteps: 43630 episode:0 

Rewards Tr: -586.18, Rewards Disc: 7.16, Rewards Eval: -366.78, Total Timesteps: 85990 episode:1 

Rewards Tr: -429.52, Rewards Disc: 5.60, Rewards Eval: -353.32, Total Timesteps: 127050 episode:2 

Rewards Tr: -389.71, Rewards Disc: 5.20, Rewards Eval: -298.87, Total Timesteps: 171510 episode:3 

Rewards Tr: -333.03, Rewards Disc: 4.63, Rewards Eval: -228.61, Total Timesteps: 220580 episode:4 

Rewards Tr: -287.90, Rewards Disc: 4.18, Rewards Eval: -256.62, Total Timesteps: 274140 episode:5 

Rewards Tr: -263.88, Rewards Disc: 3.94, Rewards Eval: -297.88, Total Timesteps: 334690 episode:6 

Rewards Tr: -232.70, Rewards Disc: 3.63, Rewards Eval: -184.45, Total Timesteps: 388020 episode:7 

Rewards Tr: -208.91, Rewards Disc: 3.39, Rewards Eval: -269.57, Total Timesteps: 447330 episode:8 

Rewards Tr: -179.44, Rewards Disc: 3.09, Rewards Eval: -216.18, Total Timesteps: 514340 episode:9 

Rewards Tr: -177.11, Rewards Disc: 3.07, Rewards Eval: -138.46, Total Timesteps: 580000 episode:10 

Rewards Tr: -152.85, Rewards Disc: 2.83, Rewards Eval: -64.24, Total Timesteps: 646720 episode:11 

Rewards Tr: -127.81, Rewards Disc: 2.58, Rewards Eval: -78.63, Total Timesteps: 715130 episode:12 

Rewards Tr: -108.42, Rewards Disc: 2.38, Rewards Eval: -199.61, Total Timesteps: 798120 episode:13 

Rewards Tr: -113.70, Rewards Disc: 2.44, Rewards Eval: -150.88, Total Timesteps: 871090 episode:14 

Rewards Tr: -98.22, Rewards Disc: 2.28, Rewards Eval: -71.41, Total Timesteps: 946700 episode:15 

Rewards Tr: -100.28, Rewards Disc: 2.30, Rewards Eval: -80.74, Total Timesteps: 1033300 episode:16 

