For Seed: 1 

Rewards Tr: -1066.13, Rewards Disc: 0.31, Rewards Eval: -633.84, Total Timesteps: 24360 episode:0 

Rewards Tr: -815.21, Rewards Disc: -0.27, Rewards Eval: -811.44, Total Timesteps: 48310 episode:1 

Rewards Tr: -707.41, Rewards Disc: 0.38, Rewards Eval: -324.43, Total Timesteps: 72360 episode:2 

Rewards Tr: -526.74, Rewards Disc: -0.50, Rewards Eval: -567.83, Total Timesteps: 97640 episode:3 

Rewards Tr: -477.01, Rewards Disc: -0.38, Rewards Eval: -467.03, Total Timesteps: 123030 episode:4 

Rewards Tr: -418.04, Rewards Disc: -0.10, Rewards Eval: -405.62, Total Timesteps: 150580 episode:5 

Rewards Tr: -364.98, Rewards Disc: -0.31, Rewards Eval: -231.79, Total Timesteps: 180390 episode:6 

Rewards Tr: -316.01, Rewards Disc: 0.08, Rewards Eval: -280.72, Total Timesteps: 209680 episode:7 

Rewards Tr: -271.33, Rewards Disc: -0.28, Rewards Eval: -219.84, Total Timesteps: 241550 episode:8 

Rewards Tr: -264.56, Rewards Disc: 0.06, Rewards Eval: -177.56, Total Timesteps: 276630 episode:9 

Rewards Tr: -222.70, Rewards Disc: 0.07, Rewards Eval: -164.36, Total Timesteps: 311440 episode:10 

Rewards Tr: -207.32, Rewards Disc: 0.18, Rewards Eval: -241.56, Total Timesteps: 351580 episode:11 

Rewards Tr: -166.06, Rewards Disc: 0.00, Rewards Eval: -186.30, Total Timesteps: 391170 episode:12 

Rewards Tr: -151.06, Rewards Disc: -0.11, Rewards Eval: -113.89, Total Timesteps: 430500 episode:13 

Rewards Tr: -150.52, Rewards Disc: 0.08, Rewards Eval: -164.05, Total Timesteps: 472260 episode:14 

Rewards Tr: -133.94, Rewards Disc: 0.05, Rewards Eval: -169.94, Total Timesteps: 513740 episode:15 

Rewards Tr: -115.73, Rewards Disc: 0.01, Rewards Eval: -101.67, Total Timesteps: 563110 episode:16 

Rewards Tr: -113.12, Rewards Disc: 0.01, Rewards Eval: -128.54, Total Timesteps: 600580 episode:17 

Rewards Tr: -103.37, Rewards Disc: 0.02, Rewards Eval: -145.82, Total Timesteps: 647630 episode:18 

Rewards Tr: -110.25, Rewards Disc: 0.21, Rewards Eval: -82.48, Total Timesteps: 706790 episode:19 

Rewards Tr: -91.52, Rewards Disc: 0.02, Rewards Eval: -30.74, Total Timesteps: 755850 episode:20 

Rewards Tr: -79.46, Rewards Disc: -0.06, Rewards Eval: -69.13, Total Timesteps: 800840 episode:21 

Rewards Tr: -75.98, Rewards Disc: -0.00, Rewards Eval: -94.94, Total Timesteps: 844900 episode:22 

Rewards Tr: -70.58, Rewards Disc: -0.01, Rewards Eval: -48.14, Total Timesteps: 896390 episode:23 

Rewards Tr: -65.00, Rewards Disc: -0.11, Rewards Eval: -66.18, Total Timesteps: 960330 episode:24 

Rewards Tr: -69.55, Rewards Disc: 0.02, Rewards Eval: -51.73, Total Timesteps: 1010460 episode:25 

Rewards Tr: -59.17, Rewards Disc: -0.02, Rewards Eval: -72.47, Total Timesteps: 1048700 episode:26 

Rewards Tr: -62.03, Rewards Disc: 0.06, Rewards Eval: -26.77, Total Timesteps: 1098480 episode:27 

Rewards Tr: -57.13, Rewards Disc: 0.03, Rewards Eval: -80.00, Total Timesteps: 1151500 episode:28 

Rewards Tr: -41.92, Rewards Disc: -0.13, Rewards Eval: -72.50, Total Timesteps: 1197490 episode:29 

Rewards Tr: -40.83, Rewards Disc: -0.08, Rewards Eval: -25.06, Total Timesteps: 1272450 episode:30 

Rewards Tr: -44.11, Rewards Disc: 0.01, Rewards Eval: -18.38, Total Timesteps: 1342250 episode:31 

Rewards Tr: -33.09, Rewards Disc: -0.06, Rewards Eval: -81.26, Total Timesteps: 1417740 episode:32 

Rewards Tr: -30.91, Rewards Disc: -0.10, Rewards Eval: -13.19, Total Timesteps: 1471320 episode:33 

Rewards Tr: -29.59, Rewards Disc: -0.01, Rewards Eval: -68.34, Total Timesteps: 1540610 episode:34 

Rewards Tr: -31.08, Rewards Disc: 0.03, Rewards Eval: -84.82, Total Timesteps: 1619330 episode:35 

Rewards Tr: -24.75, Rewards Disc: 0.02, Rewards Eval: 14.01, Total Timesteps: 1702590 episode:36 

Rewards Tr: -25.38, Rewards Disc: 0.09, Rewards Eval: -65.39, Total Timesteps: 1791410 episode:37 

Rewards Tr: -16.10, Rewards Disc: -0.04, Rewards Eval: -275.18, Total Timesteps: 1907790 episode:38 

Rewards Tr: -21.05, Rewards Disc: 0.06, Rewards Eval: -300.14, Total Timesteps: 2022490 episode:39 

Rewards Tr: -17.86, Rewards Disc: -0.02, Rewards Eval: -1349.27, Total Timesteps: 2161700 episode:40 

Rewards Tr: -11.97, Rewards Disc: -0.01, Rewards Eval: -804.95, Total Timesteps: 2288750 episode:41 

Rewards Tr: -9.26, Rewards Disc: 0.03, Rewards Eval: -657.44, Total Timesteps: 2433620 episode:42 

Rewards Tr: -21.05, Rewards Disc: 0.08, Rewards Eval: -1154.92, Total Timesteps: 2607030 episode:43 

Rewards Tr: -25.07, Rewards Disc: 0.09, Rewards Eval: -1100.33, Total Timesteps: 2789400 episode:44 

Rewards Tr: -27.73, Rewards Disc: 0.10, Rewards Eval: -1686.34, Total Timesteps: 2981660 episode:45 

Rewards Tr: -17.26, Rewards Disc: -0.01, Rewards Eval: -1717.84, Total Timesteps: 3168300 episode:46 

Rewards Tr: -28.02, Rewards Disc: -0.11, Rewards Eval: -1067.77, Total Timesteps: 3365800 episode:47 

Rewards Tr: -29.27, Rewards Disc: 0.21, Rewards Eval: -1253.01, Total Timesteps: 3558720 episode:48 

Rewards Tr: -10.37, Rewards Disc: -0.12, Rewards Eval: -1070.20, Total Timesteps: 3758720 episode:49 

Rewards Tr: -12.21, Rewards Disc: -0.02, Rewards Eval: -740.94, Total Timesteps: 3958620 episode:50 

Rewards Tr: -0.83, Rewards Disc: -0.07, Rewards Eval: -501.68, Total Timesteps: 4151330 episode:51 

Rewards Tr: -11.69, Rewards Disc: -0.01, Rewards Eval: -395.59, Total Timesteps: 4351330 episode:52 

Rewards Tr: -10.55, Rewards Disc: 0.08, Rewards Eval: -392.78, Total Timesteps: 4551330 episode:53 

Rewards Tr: 0.50, Rewards Disc: -0.09, Rewards Eval: -184.92, Total Timesteps: 4751330 episode:54 

Rewards Tr: -11.87, Rewards Disc: 0.08, Rewards Eval: -136.11, Total Timesteps: 4951330 episode:55 

Rewards Tr: -7.07, Rewards Disc: 0.09, Rewards Eval: -149.89, Total Timesteps: 5151330 episode:56 

Rewards Tr: -0.84, Rewards Disc: -0.04, Rewards Eval: -159.44, Total Timesteps: 5351330 episode:57 

