For Seed: 1 

Rewards Tr: -536.83, Rewards Disc: 0.02, Rewards Eval: -440.44, Total Timesteps: 30990 episode:0 

Rewards Tr: -467.94, Rewards Disc: 0.21, Rewards Eval: -379.27, Total Timesteps: 62310 episode:1 

Rewards Tr: -395.86, Rewards Disc: -0.09, Rewards Eval: -421.96, Total Timesteps: 94900 episode:2 

Rewards Tr: -316.94, Rewards Disc: -0.29, Rewards Eval: -385.46, Total Timesteps: 134410 episode:3 

Rewards Tr: -303.61, Rewards Disc: 0.24, Rewards Eval: -305.99, Total Timesteps: 180120 episode:4 

Rewards Tr: -262.29, Rewards Disc: -0.00, Rewards Eval: -228.14, Total Timesteps: 238390 episode:5 

Rewards Tr: -230.97, Rewards Disc: 0.10, Rewards Eval: -280.23, Total Timesteps: 288110 episode:6 

Rewards Tr: -206.16, Rewards Disc: 0.13, Rewards Eval: -216.87, Total Timesteps: 343190 episode:7 

Rewards Tr: -163.72, Rewards Disc: -0.04, Rewards Eval: -286.48, Total Timesteps: 409380 episode:8 

Rewards Tr: -150.59, Rewards Disc: -0.01, Rewards Eval: -155.06, Total Timesteps: 471890 episode:9 

Rewards Tr: -138.20, Rewards Disc: 0.17, Rewards Eval: -270.48, Total Timesteps: 532040 episode:10 

Rewards Tr: -95.12, Rewards Disc: -0.14, Rewards Eval: -106.99, Total Timesteps: 602310 episode:11 

Rewards Tr: -105.46, Rewards Disc: 0.09, Rewards Eval: -145.65, Total Timesteps: 669790 episode:12 

Rewards Tr: -81.21, Rewards Disc: -0.08, Rewards Eval: -67.68, Total Timesteps: 731420 episode:13 

Rewards Tr: -79.10, Rewards Disc: -0.00, Rewards Eval: -62.60, Total Timesteps: 789230 episode:14 

Rewards Tr: -69.35, Rewards Disc: -0.04, Rewards Eval: -31.34, Total Timesteps: 861020 episode:15 

Rewards Tr: -56.46, Rewards Disc: -0.06, Rewards Eval: -58.48, Total Timesteps: 925520 episode:16 

Rewards Tr: -51.10, Rewards Disc: -0.11, Rewards Eval: -64.94, Total Timesteps: 984850 episode:17 

Rewards Tr: -56.86, Rewards Disc: 0.09, Rewards Eval: -95.02, Total Timesteps: 1059600 episode:18 

Rewards Tr: -43.93, Rewards Disc: 0.04, Rewards Eval: -37.76, Total Timesteps: 1136440 episode:19 

Rewards Tr: -46.82, Rewards Disc: 0.01, Rewards Eval: -95.30, Total Timesteps: 1215140 episode:20 

Rewards Tr: -40.18, Rewards Disc: -0.06, Rewards Eval: -15.64, Total Timesteps: 1300420 episode:21 

Rewards Tr: -31.78, Rewards Disc: 0.04, Rewards Eval: -89.51, Total Timesteps: 1383670 episode:22 

Rewards Tr: -33.61, Rewards Disc: 0.05, Rewards Eval: -63.75, Total Timesteps: 1463050 episode:23 

Rewards Tr: -22.26, Rewards Disc: -0.04, Rewards Eval: -99.73, Total Timesteps: 1559620 episode:24 

Rewards Tr: -27.53, Rewards Disc: -0.01, Rewards Eval: -129.81, Total Timesteps: 1657920 episode:25 

Rewards Tr: -14.59, Rewards Disc: -0.11, Rewards Eval: -358.70, Total Timesteps: 1793210 episode:26 

Rewards Tr: -14.79, Rewards Disc: 0.01, Rewards Eval: -346.76, Total Timesteps: 1886920 episode:27 

Rewards Tr: -18.97, Rewards Disc: 0.07, Rewards Eval: -302.14, Total Timesteps: 2014930 episode:28 

Rewards Tr: -7.51, Rewards Disc: -0.01, Rewards Eval: -481.05, Total Timesteps: 2157570 episode:29 

Rewards Tr: -9.75, Rewards Disc: -0.05, Rewards Eval: -943.75, Total Timesteps: 2291990 episode:30 

Rewards Tr: -3.43, Rewards Disc: -0.05, Rewards Eval: -1633.35, Total Timesteps: 2443300 episode:31 

Rewards Tr: -11.72, Rewards Disc: -0.01, Rewards Eval: -2678.91, Total Timesteps: 2613790 episode:32 

Rewards Tr: -6.13, Rewards Disc: -0.10, Rewards Eval: -680.52, Total Timesteps: 2791590 episode:33 

Rewards Tr: -2.99, Rewards Disc: -0.08, Rewards Eval: -1508.09, Total Timesteps: 2958450 episode:34 

Rewards Tr: -5.51, Rewards Disc: -0.15, Rewards Eval: -2263.46, Total Timesteps: 3143330 episode:35 

Rewards Tr: -20.65, Rewards Disc: 0.09, Rewards Eval: -1154.69, Total Timesteps: 3342140 episode:36 

Rewards Tr: -11.22, Rewards Disc: -0.02, Rewards Eval: -654.56, Total Timesteps: 3542140 episode:37 

Rewards Tr: -13.05, Rewards Disc: 0.11, Rewards Eval: -1391.53, Total Timesteps: 3740220 episode:38 

Rewards Tr: 2.49, Rewards Disc: -0.01, Rewards Eval: -777.58, Total Timesteps: 3940070 episode:39 

Rewards Tr: -3.41, Rewards Disc: -0.01, Rewards Eval: -705.87, Total Timesteps: 4140070 episode:40 

Rewards Tr: -5.16, Rewards Disc: 0.06, Rewards Eval: -460.55, Total Timesteps: 4340070 episode:41 

Rewards Tr: -6.23, Rewards Disc: -0.01, Rewards Eval: -374.18, Total Timesteps: 4534410 episode:42 

Rewards Tr: 7.66, Rewards Disc: -0.11, Rewards Eval: -318.28, Total Timesteps: 4734410 episode:43 

Rewards Tr: -0.87, Rewards Disc: 0.01, Rewards Eval: -202.03, Total Timesteps: 4934410 episode:44 

Rewards Tr: 5.44, Rewards Disc: -0.11, Rewards Eval: -146.09, Total Timesteps: 5134410 episode:45 

Rewards Tr: -6.77, Rewards Disc: 0.06, Rewards Eval: -134.58, Total Timesteps: 5334410 episode:46 

Rewards Tr: 0.93, Rewards Disc: 0.05, Rewards Eval: -98.49, Total Timesteps: 5534410 episode:47 

Rewards Tr: 4.10, Rewards Disc: 0.01, Rewards Eval: -118.74, Total Timesteps: 5734410 episode:48 

Rewards Tr: 0.71, Rewards Disc: -0.03, Rewards Eval: -90.67, Total Timesteps: 5934410 episode:49 

Rewards Tr: -2.50, Rewards Disc: 0.00, Rewards Eval: -86.26, Total Timesteps: 6134410 episode:50 

Rewards Tr: 6.93, Rewards Disc: -0.02, Rewards Eval: -46.41, Total Timesteps: 6334410 episode:51 

Rewards Tr: 3.22, Rewards Disc: 0.07, Rewards Eval: -80.68, Total Timesteps: 6534410 episode:52 

Rewards Tr: -0.03, Rewards Disc: 0.02, Rewards Eval: -75.75, Total Timesteps: 6734410 episode:53 

Rewards Tr: 2.23, Rewards Disc: -0.02, Rewards Eval: -60.04, Total Timesteps: 6934410 episode:54 

Rewards Tr: 2.80, Rewards Disc: -0.01, Rewards Eval: -24.37, Total Timesteps: 7134410 episode:55 

Rewards Tr: 4.99, Rewards Disc: 0.07, Rewards Eval: -51.19, Total Timesteps: 7334410 episode:56 

Rewards Tr: 9.84, Rewards Disc: -0.05, Rewards Eval: -38.74, Total Timesteps: 7534410 episode:57 

Rewards Tr: 7.47, Rewards Disc: -0.01, Rewards Eval: -20.76, Total Timesteps: 7734410 episode:58 

Rewards Tr: 9.02, Rewards Disc: -0.02, Rewards Eval: -28.75, Total Timesteps: 7934410 episode:59 

Rewards Tr: 6.26, Rewards Disc: 0.07, Rewards Eval: -9.28, Total Timesteps: 8134410 episode:60 

Rewards Tr: 14.71, Rewards Disc: -0.05, Rewards Eval: -6.01, Total Timesteps: 8334410 episode:61 

Rewards Tr: 13.62, Rewards Disc: 0.05, Rewards Eval: -9.94, Total Timesteps: 8534410 episode:62 

Rewards Tr: 17.98, Rewards Disc: -0.02, Rewards Eval: -2.58, Total Timesteps: 8734410 episode:63 

Rewards Tr: 14.04, Rewards Disc: 0.02, Rewards Eval: -22.77, Total Timesteps: 8934410 episode:64 

Rewards Tr: 24.05, Rewards Disc: -0.04, Rewards Eval: 30.85, Total Timesteps: 9134410 episode:65 

Rewards Tr: 21.56, Rewards Disc: -0.00, Rewards Eval: 39.69, Total Timesteps: 9334410 episode:66 

Rewards Tr: 29.39, Rewards Disc: -0.06, Rewards Eval: -1.04, Total Timesteps: 9534410 episode:67 

Rewards Tr: 26.66, Rewards Disc: 0.03, Rewards Eval: -7.45, Total Timesteps: 9734410 episode:68 

