For Seed: 1 

Rewards Tr: -1093.24, Rewards Eval: -638.99, Total Timesteps: 26190 episode:0 

Rewards Tr: -854.33, Rewards Eval: -619.95, Total Timesteps: 54220 episode:1 

Rewards Tr: -617.86, Rewards Eval: -594.74, Total Timesteps: 80850 episode:2 

Rewards Tr: -498.76, Rewards Eval: -451.32, Total Timesteps: 111110 episode:3 

Rewards Tr: -461.62, Rewards Eval: -284.86, Total Timesteps: 142340 episode:4 

Rewards Tr: -370.75, Rewards Eval: -350.41, Total Timesteps: 176030 episode:5 

Rewards Tr: -337.11, Rewards Eval: -201.05, Total Timesteps: 222220 episode:6 

Rewards Tr: -297.11, Rewards Eval: -367.88, Total Timesteps: 270940 episode:7 

Rewards Tr: -272.87, Rewards Eval: -464.65, Total Timesteps: 325370 episode:8 

Rewards Tr: -217.79, Rewards Eval: -353.32, Total Timesteps: 382810 episode:9 

Rewards Tr: -209.83, Rewards Eval: -194.02, Total Timesteps: 451680 episode:10 

Rewards Tr: -182.53, Rewards Eval: -249.95, Total Timesteps: 537500 episode:11 

Rewards Tr: -145.62, Rewards Eval: -413.58, Total Timesteps: 602030 episode:12 

Rewards Tr: -125.83, Rewards Eval: -335.83, Total Timesteps: 676730 episode:13 

Rewards Tr: -114.90, Rewards Eval: -155.85, Total Timesteps: 763500 episode:14 

Rewards Tr: -108.62, Rewards Eval: -352.95, Total Timesteps: 851950 episode:15 

Rewards Tr: -86.30, Rewards Eval: -435.75, Total Timesteps: 944630 episode:16 

Rewards Tr: -66.36, Rewards Eval: -43.88, Total Timesteps: 1044390 episode:17 

Rewards Tr: -74.57, Rewards Eval: -1945.96, Total Timesteps: 1140410 episode:18 

Rewards Tr: -58.87, Rewards Eval: -1462.64, Total Timesteps: 1234330 episode:19 

Rewards Tr: -53.49, Rewards Eval: -802.37, Total Timesteps: 1333200 episode:20 

Rewards Tr: -46.02, Rewards Eval: -955.16, Total Timesteps: 1410380 episode:21 

Rewards Tr: -48.47, Rewards Eval: -439.60, Total Timesteps: 1500520 episode:22 

Rewards Tr: -39.39, Rewards Eval: -460.89, Total Timesteps: 1589630 episode:23 

Rewards Tr: -28.52, Rewards Eval: -376.07, Total Timesteps: 1678030 episode:24 

Rewards Tr: -27.57, Rewards Eval: -787.90, Total Timesteps: 1763240 episode:25 

Rewards Tr: -22.21, Rewards Eval: -22.61, Total Timesteps: 1899090 episode:26 

Rewards Tr: -16.26, Rewards Eval: -6.58, Total Timesteps: 2008700 episode:27 

Rewards Tr: -11.36, Rewards Eval: -2436.46, Total Timesteps: 2119240 episode:28 

Rewards Tr: -18.25, Rewards Eval: -330.68, Total Timesteps: 2230680 episode:29 

Rewards Tr: -15.69, Rewards Eval: -1758.64, Total Timesteps: 2357500 episode:30 

Rewards Tr: -12.20, Rewards Eval: -2214.86, Total Timesteps: 2482160 episode:31 

Rewards Tr: -15.32, Rewards Eval: -3910.75, Total Timesteps: 2632010 episode:32 

Rewards Tr: -22.00, Rewards Eval: -5138.03, Total Timesteps: 2800820 episode:33 

Rewards Tr: -15.48, Rewards Eval: -4156.73, Total Timesteps: 2979800 episode:34 

Rewards Tr: -63.16, Rewards Eval: -3036.98, Total Timesteps: 3162900 episode:35 

Rewards Tr: -57.72, Rewards Eval: -2401.26, Total Timesteps: 3360410 episode:36 

Rewards Tr: -26.10, Rewards Eval: -1772.68, Total Timesteps: 3546840 episode:37 

Rewards Tr: 0.65, Rewards Eval: -1744.66, Total Timesteps: 3742900 episode:38 

Rewards Tr: -7.71, Rewards Eval: -1150.39, Total Timesteps: 3935880 episode:39 

Rewards Tr: -3.97, Rewards Eval: -982.32, Total Timesteps: 4135880 episode:40 

Rewards Tr: -4.18, Rewards Eval: -481.50, Total Timesteps: 4329510 episode:41 

Rewards Tr: 5.47, Rewards Eval: -383.10, Total Timesteps: 4529510 episode:42 

Rewards Tr: -1.98, Rewards Eval: -428.00, Total Timesteps: 4728540 episode:43 

Rewards Tr: 1.54, Rewards Eval: -265.76, Total Timesteps: 4928540 episode:44 

Rewards Tr: -5.40, Rewards Eval: -290.24, Total Timesteps: 5128540 episode:45 

Rewards Tr: -1.75, Rewards Eval: -226.05, Total Timesteps: 5328540 episode:46 

Rewards Tr: 6.14, Rewards Eval: -257.91, Total Timesteps: 5528540 episode:47 

Rewards Tr: -2.28, Rewards Eval: -145.62, Total Timesteps: 5728540 episode:48 

Rewards Tr: -4.90, Rewards Eval: -132.42, Total Timesteps: 5928540 episode:49 

Rewards Tr: -2.69, Rewards Eval: -186.97, Total Timesteps: 6128540 episode:50 

Rewards Tr: -11.28, Rewards Eval: -190.30, Total Timesteps: 6328540 episode:51 

Rewards Tr: -4.56, Rewards Eval: -241.98, Total Timesteps: 6528540 episode:52 

Rewards Tr: -7.93, Rewards Eval: -103.94, Total Timesteps: 6728540 episode:53 

Rewards Tr: -5.32, Rewards Eval: -93.32, Total Timesteps: 6928540 episode:54 

Rewards Tr: -16.61, Rewards Eval: -196.71, Total Timesteps: 7128540 episode:55 

Rewards Tr: -15.79, Rewards Eval: -189.99, Total Timesteps: 7328540 episode:56 

Rewards Tr: -12.95, Rewards Eval: -174.37, Total Timesteps: 7528540 episode:57 

Rewards Tr: -2.69, Rewards Eval: -110.22, Total Timesteps: 7728540 episode:58 

Rewards Tr: -9.59, Rewards Eval: -67.94, Total Timesteps: 7928540 episode:59 

Rewards Tr: -6.35, Rewards Eval: -73.71, Total Timesteps: 8128540 episode:60 

Rewards Tr: -3.95, Rewards Eval: -12.76, Total Timesteps: 8328540 episode:61 

Rewards Tr: -3.24, Rewards Eval: -20.36, Total Timesteps: 8528540 episode:62 

Rewards Tr: 3.61, Rewards Eval: -2.61, Total Timesteps: 8728540 episode:63 

