
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 103 

Rewards Tr: -801.30, Rewards Eval: -558.34, Total Timesteps: 42090 episode:0 

Rewards Tr: -577.96, Rewards Eval: -405.47, Total Timesteps: 81860 episode:1 

Rewards Tr: -490.29, Rewards Eval: -678.10, Total Timesteps: 130020 episode:2 

Rewards Tr: -402.33, Rewards Eval: -371.83, Total Timesteps: 179120 episode:3 

Rewards Tr: -363.51, Rewards Eval: -291.35, Total Timesteps: 230970 episode:4 

Rewards Tr: -319.00, Rewards Eval: -259.86, Total Timesteps: 283650 episode:5 

Rewards Tr: -260.82, Rewards Eval: -276.99, Total Timesteps: 337220 episode:6 

Rewards Tr: -239.74, Rewards Eval: -132.49, Total Timesteps: 395860 episode:7 

Rewards Tr: -210.23, Rewards Eval: -191.76, Total Timesteps: 462320 episode:8 

Rewards Tr: -187.30, Rewards Eval: -247.40, Total Timesteps: 531650 episode:9 

Rewards Tr: -160.33, Rewards Eval: -118.40, Total Timesteps: 596850 episode:10 

Rewards Tr: -147.46, Rewards Eval: -104.60, Total Timesteps: 664840 episode:11 

Rewards Tr: -141.03, Rewards Eval: -121.82, Total Timesteps: 734800 episode:12 

Rewards Tr: -129.79, Rewards Eval: -85.89, Total Timesteps: 805960 episode:13 

Rewards Tr: -105.43, Rewards Eval: -92.62, Total Timesteps: 872570 episode:14 

Rewards Tr: -97.51, Rewards Eval: -80.39, Total Timesteps: 948400 episode:15 

Rewards Tr: -97.09, Rewards Eval: -92.50, Total Timesteps: 1021610 episode:16 

Rewards Tr: -84.32, Rewards Eval: -122.89, Total Timesteps: 1116040 episode:17 

Rewards Tr: -81.11, Rewards Eval: -111.46, Total Timesteps: 1204440 episode:18 

Rewards Tr: -72.99, Rewards Eval: -34.19, Total Timesteps: 1283550 episode:19 

Rewards Tr: -71.13, Rewards Eval: -56.10, Total Timesteps: 1365960 episode:20 

Rewards Tr: -69.73, Rewards Eval: -109.07, Total Timesteps: 1470300 episode:21 

Rewards Tr: -63.25, Rewards Eval: -73.01, Total Timesteps: 1561340 episode:22 

Rewards Tr: -56.75, Rewards Eval: -42.88, Total Timesteps: 1649640 episode:23 

Rewards Tr: -56.51, Rewards Eval: -109.32, Total Timesteps: 1770840 episode:24 

Rewards Tr: -49.11, Rewards Eval: -76.61, Total Timesteps: 1864210 episode:25 

Rewards Tr: -42.42, Rewards Eval: -50.77, Total Timesteps: 1965000 episode:26 

Rewards Tr: -38.94, Rewards Eval: -83.77, Total Timesteps: 2084170 episode:27 

Rewards Tr: -34.74, Rewards Eval: -128.54, Total Timesteps: 2186690 episode:28 

Rewards Tr: -41.34, Rewards Eval: -115.56, Total Timesteps: 2319860 episode:29 

Rewards Tr: -25.45, Rewards Eval: -1042.11, Total Timesteps: 2454130 episode:30 

Rewards Tr: -22.65, Rewards Eval: -663.75, Total Timesteps: 2588180 episode:31 

Rewards Tr: -20.41, Rewards Eval: -3143.60, Total Timesteps: 2773290 episode:32 

Rewards Tr: -27.46, Rewards Eval: -1762.58, Total Timesteps: 2967820 episode:33 

Rewards Tr: -32.61, Rewards Eval: -2608.04, Total Timesteps: 3208210 episode:34 

Rewards Tr: -39.59, Rewards Eval: -1520.60, Total Timesteps: 3448980 episode:35 

Rewards Tr: -69.21, Rewards Eval: -2360.36, Total Timesteps: 3715340 episode:36 

Rewards Tr: -53.11, Rewards Eval: -2083.62, Total Timesteps: 3983670 episode:37 

Rewards Tr: -45.81, Rewards Eval: -1058.30, Total Timesteps: 4265390 episode:38 

Rewards Tr: -37.39, Rewards Eval: -834.59, Total Timesteps: 4557160 episode:39 

Rewards Tr: -39.74, Rewards Eval: -1530.20, Total Timesteps: 4847720 episode:40 

Rewards Tr: -13.11, Rewards Eval: -999.61, Total Timesteps: 5138130 episode:41 

Rewards Tr: -17.93, Rewards Eval: -559.93, Total Timesteps: 5432850 episode:42 

Rewards Tr: -9.85, Rewards Eval: -347.85, Total Timesteps: 5730450 episode:43 

Rewards Tr: -13.00, Rewards Eval: -157.40, Total Timesteps: 6030450 episode:44 

Rewards Tr: -5.14, Rewards Eval: -143.44, Total Timesteps: 6318400 episode:45 

Rewards Tr: -7.03, Rewards Eval: -214.30, Total Timesteps: 6618400 episode:46 

Rewards Tr: -9.17, Rewards Eval: -180.79, Total Timesteps: 6918400 episode:47 

Rewards Tr: 1.73, Rewards Eval: -146.96, Total Timesteps: 7218400 episode:48 

Rewards Tr: -5.86, Rewards Eval: -157.09, Total Timesteps: 7518400 episode:49 

Rewards Tr: -1.44, Rewards Eval: -156.19, Total Timesteps: 7818400 episode:50 

Rewards Tr: -8.45, Rewards Eval: -158.49, Total Timesteps: 8118400 episode:51 

Rewards Tr: -13.25, Rewards Eval: -67.06, Total Timesteps: 8418400 episode:52 

Rewards Tr: -9.34, Rewards Eval: -74.29, Total Timesteps: 8718400 episode:53 

Rewards Tr: -13.42, Rewards Eval: -72.45, Total Timesteps: 9018400 episode:54 

Rewards Tr: -11.46, Rewards Eval: -36.90, Total Timesteps: 9318400 episode:55 

Rewards Tr: -12.48, Rewards Eval: -29.21, Total Timesteps: 9618400 episode:56 

Rewards Tr: -11.47, Rewards Eval: -60.76, Total Timesteps: 9918400 episode:57 

Rewards Tr: -6.38, Rewards Eval: -35.74, Total Timesteps: 10218400 episode:58 

Rewards Tr: -3.93, Rewards Eval: -39.78, Total Timesteps: 10518400 episode:59 

Rewards Tr: -1.22, Rewards Eval: -31.29, Total Timesteps: 10818400 episode:60 

Rewards Tr: -7.71, Rewards Eval: -4.68, Total Timesteps: 11118400 episode:61 

Rewards Tr: -4.07, Rewards Eval: -38.48, Total Timesteps: 11418400 episode:62 

