For Seed: 1 

Rewards Tr: -1006.65, Rewards Eval: -730.37, Total Timesteps: 21920 episode:0 

Rewards Tr: -769.47, Rewards Eval: -765.52, Total Timesteps: 47260 episode:1 

Rewards Tr: -564.45, Rewards Eval: -444.29, Total Timesteps: 72300 episode:2 

Rewards Tr: -467.33, Rewards Eval: -286.60, Total Timesteps: 97240 episode:3 

Rewards Tr: -390.86, Rewards Eval: -337.85, Total Timesteps: 123110 episode:4 

Rewards Tr: -334.90, Rewards Eval: -225.29, Total Timesteps: 151850 episode:5 

Rewards Tr: -290.46, Rewards Eval: -180.45, Total Timesteps: 181530 episode:6 

Rewards Tr: -252.18, Rewards Eval: -217.71, Total Timesteps: 213280 episode:7 

Rewards Tr: -199.42, Rewards Eval: -203.98, Total Timesteps: 251140 episode:8 

Rewards Tr: -188.90, Rewards Eval: -140.28, Total Timesteps: 284500 episode:9 

Rewards Tr: -155.21, Rewards Eval: -176.48, Total Timesteps: 332080 episode:10 

Rewards Tr: -142.18, Rewards Eval: -109.42, Total Timesteps: 369180 episode:11 

Rewards Tr: -143.10, Rewards Eval: -111.98, Total Timesteps: 410320 episode:12 

Rewards Tr: -118.17, Rewards Eval: -93.19, Total Timesteps: 450290 episode:13 

Rewards Tr: -105.27, Rewards Eval: -75.35, Total Timesteps: 489380 episode:14 

Rewards Tr: -105.32, Rewards Eval: -110.47, Total Timesteps: 530710 episode:15 

Rewards Tr: -96.58, Rewards Eval: -62.03, Total Timesteps: 567250 episode:16 

Rewards Tr: -89.97, Rewards Eval: -95.59, Total Timesteps: 617410 episode:17 

Rewards Tr: -82.91, Rewards Eval: -71.06, Total Timesteps: 664730 episode:18 

Rewards Tr: -73.88, Rewards Eval: -97.90, Total Timesteps: 708110 episode:19 

Rewards Tr: -83.73, Rewards Eval: -83.85, Total Timesteps: 761430 episode:20 

Rewards Tr: -75.80, Rewards Eval: -78.67, Total Timesteps: 826900 episode:21 

Rewards Tr: -75.34, Rewards Eval: -96.32, Total Timesteps: 890060 episode:22 

Rewards Tr: -70.10, Rewards Eval: -45.30, Total Timesteps: 958650 episode:23 

Rewards Tr: -73.79, Rewards Eval: -37.02, Total Timesteps: 1016630 episode:24 

Rewards Tr: -63.38, Rewards Eval: -65.50, Total Timesteps: 1069720 episode:25 

Rewards Tr: -63.19, Rewards Eval: -28.98, Total Timesteps: 1106850 episode:26 

Rewards Tr: -65.91, Rewards Eval: -30.09, Total Timesteps: 1155120 episode:27 

Rewards Tr: -59.01, Rewards Eval: -63.92, Total Timesteps: 1208770 episode:28 

Rewards Tr: -56.77, Rewards Eval: -39.15, Total Timesteps: 1258020 episode:29 

Rewards Tr: -52.37, Rewards Eval: -64.31, Total Timesteps: 1299100 episode:30 

Rewards Tr: -52.61, Rewards Eval: -58.46, Total Timesteps: 1344990 episode:31 

