
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 10 

Rewards Tr: -698.74, Rewards Eval: -587.81, Total Timesteps: 39880 episode:0 

Rewards Tr: -559.93, Rewards Eval: -429.50, Total Timesteps: 85700 episode:1 

Rewards Tr: -425.83, Rewards Eval: -257.51, Total Timesteps: 133170 episode:2 

Rewards Tr: -358.53, Rewards Eval: -335.21, Total Timesteps: 183700 episode:3 

Rewards Tr: -333.31, Rewards Eval: -226.35, Total Timesteps: 244240 episode:4 

Rewards Tr: -275.75, Rewards Eval: -275.77, Total Timesteps: 309060 episode:5 

Rewards Tr: -229.13, Rewards Eval: -207.85, Total Timesteps: 371650 episode:6 

Rewards Tr: -209.04, Rewards Eval: -272.15, Total Timesteps: 442150 episode:7 

Rewards Tr: -168.26, Rewards Eval: -233.43, Total Timesteps: 541590 episode:8 

Rewards Tr: -148.49, Rewards Eval: -146.08, Total Timesteps: 627030 episode:9 

Rewards Tr: -123.54, Rewards Eval: -39.79, Total Timesteps: 716600 episode:10 

Rewards Tr: -111.24, Rewards Eval: -39.82, Total Timesteps: 818100 episode:11 

Rewards Tr: -89.22, Rewards Eval: -63.25, Total Timesteps: 913180 episode:12 

Rewards Tr: -93.81, Rewards Eval: -26.28, Total Timesteps: 1026290 episode:13 

Rewards Tr: -66.86, Rewards Eval: -67.81, Total Timesteps: 1131440 episode:14 

Rewards Tr: -67.69, Rewards Eval: -65.78, Total Timesteps: 1223540 episode:15 

Rewards Tr: -53.46, Rewards Eval: -31.28, Total Timesteps: 1344950 episode:16 

Rewards Tr: -45.71, Rewards Eval: -103.94, Total Timesteps: 1469810 episode:17 

Rewards Tr: -41.04, Rewards Eval: -16.79, Total Timesteps: 1606170 episode:18 

Rewards Tr: -37.17, Rewards Eval: -43.60, Total Timesteps: 1749750 episode:19 

Rewards Tr: -36.03, Rewards Eval: -72.84, Total Timesteps: 1934440 episode:20 

Rewards Tr: -29.22, Rewards Eval: -56.93, Total Timesteps: 2140980 episode:21 

Rewards Tr: -23.54, Rewards Eval: -10.42, Total Timesteps: 2313570 episode:22 

Rewards Tr: -22.74, Rewards Eval: -33.32, Total Timesteps: 2526270 episode:23 

Rewards Tr: -14.18, Rewards Eval: -45.41, Total Timesteps: 2780530 episode:24 

Rewards Tr: -17.87, Rewards Eval: 4.70, Total Timesteps: 3042710 episode:25 

Rewards Tr: -16.79, Rewards Eval: -34.90, Total Timesteps: 3301660 episode:26 

Rewards Tr: -25.52, Rewards Eval: -58.35, Total Timesteps: 3585600 episode:27 

Rewards Tr: -26.13, Rewards Eval: -32.40, Total Timesteps: 3882900 episode:28 

Rewards Tr: -30.47, Rewards Eval: -36.93, Total Timesteps: 4182850 episode:29 

