For Seed: 1 

Rewards Tr: -1334.24, Rewards Eval: -891.25, Total Timesteps: 30020 episode:0 

Rewards Tr: -877.31, Rewards Eval: -727.63, Total Timesteps: 63330 episode:1 

Rewards Tr: -622.87, Rewards Eval: -517.97, Total Timesteps: 91500 episode:2 

Rewards Tr: -530.69, Rewards Eval: -395.58, Total Timesteps: 120500 episode:3 

Rewards Tr: -509.74, Rewards Eval: -347.24, Total Timesteps: 154310 episode:4 

Rewards Tr: -437.51, Rewards Eval: -469.17, Total Timesteps: 195540 episode:5 

Rewards Tr: -375.07, Rewards Eval: -305.72, Total Timesteps: 235630 episode:6 

Rewards Tr: -315.69, Rewards Eval: -292.73, Total Timesteps: 276860 episode:7 

Rewards Tr: -314.26, Rewards Eval: -292.04, Total Timesteps: 337320 episode:8 

Rewards Tr: -424.59, Rewards Eval: -314.13, Total Timesteps: 411990 episode:9 

Rewards Tr: -304.29, Rewards Eval: -259.18, Total Timesteps: 468500 episode:10 

Rewards Tr: -288.52, Rewards Eval: -152.65, Total Timesteps: 532490 episode:11 

Rewards Tr: -268.22, Rewards Eval: -199.42, Total Timesteps: 606940 episode:12 

Rewards Tr: -208.62, Rewards Eval: -154.90, Total Timesteps: 693160 episode:13 

Rewards Tr: -216.75, Rewards Eval: -59.27, Total Timesteps: 792280 episode:14 

Rewards Tr: -160.39, Rewards Eval: -108.41, Total Timesteps: 888240 episode:15 

Rewards Tr: -116.18, Rewards Eval: -70.20, Total Timesteps: 964960 episode:16 

Rewards Tr: -137.45, Rewards Eval: -55.19, Total Timesteps: 1078330 episode:17 

Rewards Tr: -99.89, Rewards Eval: -102.36, Total Timesteps: 1177230 episode:18 

Rewards Tr: -77.73, Rewards Eval: -88.24, Total Timesteps: 1271010 episode:19 

Rewards Tr: -75.93, Rewards Eval: -61.02, Total Timesteps: 1367130 episode:20 

Rewards Tr: -63.35, Rewards Eval: -52.83, Total Timesteps: 1467650 episode:21 

Rewards Tr: -80.75, Rewards Eval: -73.43, Total Timesteps: 1591480 episode:22 

