
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 101 

Rewards Tr: -648.25, Rewards Eval: -652.90, Total Timesteps: 36550 episode:0 

Rewards Tr: -496.84, Rewards Eval: -354.56, Total Timesteps: 73490 episode:1 

Rewards Tr: -422.97, Rewards Eval: -300.14, Total Timesteps: 113610 episode:2 

Rewards Tr: -391.74, Rewards Eval: -511.70, Total Timesteps: 155490 episode:3 

Rewards Tr: -372.26, Rewards Eval: -351.46, Total Timesteps: 198680 episode:4 

Rewards Tr: -312.28, Rewards Eval: -321.88, Total Timesteps: 247440 episode:5 

Rewards Tr: -277.09, Rewards Eval: -261.49, Total Timesteps: 296390 episode:6 

Rewards Tr: -251.11, Rewards Eval: -175.27, Total Timesteps: 346040 episode:7 

Rewards Tr: -223.06, Rewards Eval: -107.55, Total Timesteps: 402190 episode:8 

Rewards Tr: -201.06, Rewards Eval: -151.74, Total Timesteps: 458620 episode:9 

Rewards Tr: -192.87, Rewards Eval: -206.24, Total Timesteps: 521830 episode:10 

Rewards Tr: -176.70, Rewards Eval: -135.82, Total Timesteps: 588080 episode:11 

Rewards Tr: -156.50, Rewards Eval: -123.34, Total Timesteps: 649500 episode:12 

Rewards Tr: -132.46, Rewards Eval: -105.54, Total Timesteps: 715070 episode:13 

Rewards Tr: -132.03, Rewards Eval: -112.68, Total Timesteps: 779140 episode:14 

Rewards Tr: -113.89, Rewards Eval: -119.99, Total Timesteps: 865920 episode:15 

Rewards Tr: -108.80, Rewards Eval: -68.73, Total Timesteps: 943420 episode:16 

Rewards Tr: -101.41, Rewards Eval: -73.25, Total Timesteps: 1015570 episode:17 

Rewards Tr: -101.94, Rewards Eval: -110.85, Total Timesteps: 1084520 episode:18 

Rewards Tr: -86.25, Rewards Eval: -86.25, Total Timesteps: 1166410 episode:19 

Rewards Tr: -84.45, Rewards Eval: -46.23, Total Timesteps: 1249740 episode:20 

Rewards Tr: -73.02, Rewards Eval: -56.48, Total Timesteps: 1337260 episode:21 

Rewards Tr: -80.41, Rewards Eval: -71.88, Total Timesteps: 1442040 episode:22 

Rewards Tr: -71.44, Rewards Eval: -57.90, Total Timesteps: 1515930 episode:23 

Rewards Tr: -63.19, Rewards Eval: -28.67, Total Timesteps: 1608950 episode:24 

Rewards Tr: -63.65, Rewards Eval: -35.44, Total Timesteps: 1717370 episode:25 

Rewards Tr: -58.55, Rewards Eval: -49.49, Total Timesteps: 1811750 episode:26 

Rewards Tr: -53.40, Rewards Eval: -51.89, Total Timesteps: 1930160 episode:27 

Rewards Tr: -53.38, Rewards Eval: -31.33, Total Timesteps: 2046580 episode:28 

Rewards Tr: -56.03, Rewards Eval: -71.96, Total Timesteps: 2168660 episode:29 

Rewards Tr: -50.68, Rewards Eval: -45.17, Total Timesteps: 2299960 episode:30 

Rewards Tr: -44.27, Rewards Eval: -39.37, Total Timesteps: 2404020 episode:31 

Rewards Tr: -45.81, Rewards Eval: -26.68, Total Timesteps: 2527200 episode:32 

Rewards Tr: -41.22, Rewards Eval: -92.02, Total Timesteps: 2665880 episode:33 

Rewards Tr: -48.68, Rewards Eval: -19.05, Total Timesteps: 2857530 episode:34 

Rewards Tr: -43.83, Rewards Eval: -38.82, Total Timesteps: 3044140 episode:35 

Rewards Tr: -35.86, Rewards Eval: -74.17, Total Timesteps: 3217480 episode:36 

