For Seed: 1 

Rewards Tr: 15.91, Rewards Eval: 0.00, Total Timesteps: 9360 episode:0 

Rewards Tr: 32.83, Rewards Eval: 32.49, Total Timesteps: 21410 episode:1 

Rewards Tr: 50.00, Rewards Eval: 67.23, Total Timesteps: 35770 episode:2 

Rewards Tr: 65.70, Rewards Eval: 66.31, Total Timesteps: 52630 episode:3 

Rewards Tr: 75.22, Rewards Eval: 92.31, Total Timesteps: 70680 episode:4 

Rewards Tr: 87.74, Rewards Eval: 86.52, Total Timesteps: 88210 episode:5 

Rewards Tr: 100.51, Rewards Eval: 99.12, Total Timesteps: 107310 episode:6 

Rewards Tr: 112.56, Rewards Eval: 95.11, Total Timesteps: 127180 episode:7 

Rewards Tr: 137.75, Rewards Eval: 162.95, Total Timesteps: 147890 episode:8 

Rewards Tr: 148.17, Rewards Eval: 174.53, Total Timesteps: 170720 episode:9 

Rewards Tr: 161.90, Rewards Eval: 179.54, Total Timesteps: 192010 episode:10 

Rewards Tr: 179.61, Rewards Eval: 168.12, Total Timesteps: 214160 episode:11 

Rewards Tr: 185.83, Rewards Eval: 216.04, Total Timesteps: 236640 episode:12 

Rewards Tr: 195.40, Rewards Eval: 197.80, Total Timesteps: 258840 episode:13 

Rewards Tr: 215.41, Rewards Eval: 236.21, Total Timesteps: 282970 episode:14 

Rewards Tr: 219.75, Rewards Eval: 252.52, Total Timesteps: 308090 episode:15 

Rewards Tr: 227.79, Rewards Eval: 265.87, Total Timesteps: 332580 episode:16 

Rewards Tr: 245.07, Rewards Eval: 200.45, Total Timesteps: 358890 episode:17 

Rewards Tr: 244.05, Rewards Eval: 283.07, Total Timesteps: 382790 episode:18 

Rewards Tr: 258.62, Rewards Eval: 244.03, Total Timesteps: 409780 episode:19 

Rewards Tr: 259.99, Rewards Eval: 387.27, Total Timesteps: 436360 episode:20 

Rewards Tr: 291.51, Rewards Eval: 263.60, Total Timesteps: 465900 episode:21 

Rewards Tr: 319.47, Rewards Eval: 279.42, Total Timesteps: 500030 episode:22 

Rewards Tr: 346.80, Rewards Eval: 430.68, Total Timesteps: 535900 episode:23 

Rewards Tr: 378.80, Rewards Eval: 397.49, Total Timesteps: 575510 episode:24 

Rewards Tr: 394.53, Rewards Eval: 354.22, Total Timesteps: 620330 episode:25 

Rewards Tr: 453.10, Rewards Eval: 473.76, Total Timesteps: 666390 episode:26 

Rewards Tr: 516.22, Rewards Eval: 432.43, Total Timesteps: 717990 episode:27 

Rewards Tr: 579.64, Rewards Eval: 534.88, Total Timesteps: 779310 episode:28 

Rewards Tr: 542.21, Rewards Eval: 744.17, Total Timesteps: 832820 episode:29 

Rewards Tr: 654.91, Rewards Eval: 581.38, Total Timesteps: 906070 episode:30 

Rewards Tr: 709.04, Rewards Eval: 744.12, Total Timesteps: 977030 episode:31 

Rewards Tr: 801.26, Rewards Eval: 773.12, Total Timesteps: 1066500 episode:32 

Rewards Tr: 814.41, Rewards Eval: 654.12, Total Timesteps: 1150280 episode:33 

Rewards Tr: 785.47, Rewards Eval: 1013.26, Total Timesteps: 1231930 episode:34 

Rewards Tr: 821.84, Rewards Eval: 777.54, Total Timesteps: 1315800 episode:35 

Rewards Tr: 838.74, Rewards Eval: 821.54, Total Timesteps: 1401100 episode:36 

Rewards Tr: 829.53, Rewards Eval: 851.09, Total Timesteps: 1482120 episode:37 

Rewards Tr: 823.32, Rewards Eval: 766.36, Total Timesteps: 1558490 episode:38 

Rewards Tr: 941.55, Rewards Eval: 823.30, Total Timesteps: 1652420 episode:39 

Rewards Tr: 961.90, Rewards Eval: 959.58, Total Timesteps: 1746350 episode:40 

Rewards Tr: 1011.90, Rewards Eval: 895.86, Total Timesteps: 1850060 episode:41 

Rewards Tr: 912.92, Rewards Eval: 1137.08, Total Timesteps: 1937800 episode:42 

Rewards Tr: 966.60, Rewards Eval: 1247.90, Total Timesteps: 2032100 episode:43 

Rewards Tr: 1080.82, Rewards Eval: 909.56, Total Timesteps: 2142890 episode:44 

Rewards Tr: 1079.75, Rewards Eval: 647.42, Total Timesteps: 2258680 episode:45 

Rewards Tr: 1039.69, Rewards Eval: 1149.32, Total Timesteps: 2360100 episode:46 

Rewards Tr: 1027.23, Rewards Eval: 1050.44, Total Timesteps: 2469550 episode:47 

Rewards Tr: 1177.25, Rewards Eval: 1084.62, Total Timesteps: 2595270 episode:48 

Rewards Tr: 1175.18, Rewards Eval: 1134.14, Total Timesteps: 2715630 episode:49 

Rewards Tr: 1178.33, Rewards Eval: 1307.50, Total Timesteps: 2850590 episode:50 

Rewards Tr: 1138.03, Rewards Eval: 1287.10, Total Timesteps: 2967340 episode:51 

Rewards Tr: 1074.01, Rewards Eval: 1523.28, Total Timesteps: 3076810 episode:52 

Rewards Tr: 1151.72, Rewards Eval: 1308.87, Total Timesteps: 3198580 episode:53 

Rewards Tr: 1298.34, Rewards Eval: 1891.80, Total Timesteps: 3340720 episode:54 

Rewards Tr: 1397.65, Rewards Eval: 1033.04, Total Timesteps: 3481530 episode:55 

Rewards Tr: 1355.93, Rewards Eval: 1180.34, Total Timesteps: 3616390 episode:56 

Rewards Tr: 1399.53, Rewards Eval: 1096.29, Total Timesteps: 3768030 episode:57 

Rewards Tr: 1316.62, Rewards Eval: 1589.24, Total Timesteps: 3926550 episode:58 

Rewards Tr: 1557.46, Rewards Eval: 1202.63, Total Timesteps: 4097060 episode:59 

Rewards Tr: 1399.46, Rewards Eval: 1377.57, Total Timesteps: 4243620 episode:60 

Rewards Tr: 1411.32, Rewards Eval: 1375.74, Total Timesteps: 4396550 episode:61 

Rewards Tr: 1428.70, Rewards Eval: 917.38, Total Timesteps: 4552680 episode:62 

Rewards Tr: 1185.08, Rewards Eval: 1327.34, Total Timesteps: 4672160 episode:63 

Rewards Tr: 1178.79, Rewards Eval: 1595.53, Total Timesteps: 4790440 episode:64 

Rewards Tr: 1382.50, Rewards Eval: 1580.02, Total Timesteps: 4936990 episode:65 

Rewards Tr: 1578.02, Rewards Eval: 1820.04, Total Timesteps: 5115450 episode:66 

Rewards Tr: 1426.30, Rewards Eval: 1049.30, Total Timesteps: 5263900 episode:67 

Rewards Tr: 1365.44, Rewards Eval: 1246.57, Total Timesteps: 5416690 episode:68 

Rewards Tr: 1216.49, Rewards Eval: 1749.40, Total Timesteps: 5541740 episode:69 

Rewards Tr: 1346.82, Rewards Eval: 1121.66, Total Timesteps: 5696610 episode:70 

Rewards Tr: 1332.11, Rewards Eval: 1678.21, Total Timesteps: 5859020 episode:71 

Rewards Tr: 1459.53, Rewards Eval: 1361.39, Total Timesteps: 6017520 episode:72 

Rewards Tr: 1582.55, Rewards Eval: 1714.03, Total Timesteps: 6200220 episode:73 

Rewards Tr: 1501.02, Rewards Eval: 1699.98, Total Timesteps: 6361290 episode:74 

Rewards Tr: 1626.10, Rewards Eval: 1534.58, Total Timesteps: 6548070 episode:75 

