For Seed: 1 

Rewards Tr: 8.74, Rewards Disc: 0.52, Rewards Eval: 0.00, Total Timesteps: 4160 episode:0 

Rewards Tr: 14.02, Rewards Disc: 0.49, Rewards Eval: 0.00, Total Timesteps: 9870 episode:1 

Rewards Tr: 19.26, Rewards Disc: 0.49, Rewards Eval: 29.32, Total Timesteps: 17260 episode:2 

Rewards Tr: 28.85, Rewards Disc: 0.51, Rewards Eval: 44.15, Total Timesteps: 26830 episode:3 

Rewards Tr: 47.24, Rewards Disc: 0.52, Rewards Eval: 65.73, Total Timesteps: 38820 episode:4 

Rewards Tr: 63.38, Rewards Disc: 0.53, Rewards Eval: 78.34, Total Timesteps: 52090 episode:5 

Rewards Tr: 79.57, Rewards Disc: 0.53, Rewards Eval: 72.50, Total Timesteps: 66420 episode:6 

Rewards Tr: 87.38, Rewards Disc: 0.57, Rewards Eval: 111.09, Total Timesteps: 81560 episode:7 

Rewards Tr: 103.80, Rewards Disc: 0.58, Rewards Eval: 84.94, Total Timesteps: 98540 episode:8 

Rewards Tr: 114.58, Rewards Disc: 0.56, Rewards Eval: 142.06, Total Timesteps: 117390 episode:9 

Rewards Tr: 124.53, Rewards Disc: 0.58, Rewards Eval: 133.63, Total Timesteps: 138970 episode:10 

Rewards Tr: 124.58, Rewards Disc: 0.55, Rewards Eval: 125.87, Total Timesteps: 156520 episode:11 

Rewards Tr: 143.29, Rewards Disc: 0.55, Rewards Eval: 145.44, Total Timesteps: 175750 episode:12 

Rewards Tr: 146.48, Rewards Disc: 0.59, Rewards Eval: 128.74, Total Timesteps: 196330 episode:13 

Rewards Tr: 147.68, Rewards Disc: 0.58, Rewards Eval: 166.62, Total Timesteps: 217110 episode:14 

Rewards Tr: 157.93, Rewards Disc: 0.57, Rewards Eval: 144.22, Total Timesteps: 238360 episode:15 

Rewards Tr: 171.09, Rewards Disc: 0.56, Rewards Eval: 182.06, Total Timesteps: 258030 episode:16 

Rewards Tr: 184.18, Rewards Disc: 0.57, Rewards Eval: 205.87, Total Timesteps: 278790 episode:17 

Rewards Tr: 201.19, Rewards Disc: 0.54, Rewards Eval: 215.01, Total Timesteps: 300150 episode:18 

Rewards Tr: 208.44, Rewards Disc: 0.54, Rewards Eval: 218.45, Total Timesteps: 321300 episode:19 

Rewards Tr: 215.74, Rewards Disc: 0.53, Rewards Eval: 220.07, Total Timesteps: 343030 episode:20 

Rewards Tr: 229.44, Rewards Disc: 0.52, Rewards Eval: 243.99, Total Timesteps: 364890 episode:21 

Rewards Tr: 234.48, Rewards Disc: 0.52, Rewards Eval: 227.39, Total Timesteps: 387110 episode:22 

Rewards Tr: 234.12, Rewards Disc: 0.55, Rewards Eval: 256.91, Total Timesteps: 409500 episode:23 

Rewards Tr: 247.74, Rewards Disc: 0.59, Rewards Eval: 272.30, Total Timesteps: 432840 episode:24 

Rewards Tr: 252.69, Rewards Disc: 0.58, Rewards Eval: 257.78, Total Timesteps: 456250 episode:25 

Rewards Tr: 258.79, Rewards Disc: 0.61, Rewards Eval: 258.00, Total Timesteps: 480260 episode:26 

Rewards Tr: 267.65, Rewards Disc: 0.61, Rewards Eval: 257.43, Total Timesteps: 504700 episode:27 

Rewards Tr: 280.56, Rewards Disc: 0.60, Rewards Eval: 277.66, Total Timesteps: 530090 episode:28 

Rewards Tr: 290.78, Rewards Disc: 0.58, Rewards Eval: 309.45, Total Timesteps: 556380 episode:29 

Rewards Tr: 301.64, Rewards Disc: 0.59, Rewards Eval: 321.29, Total Timesteps: 582730 episode:30 

Rewards Tr: 316.46, Rewards Disc: 0.59, Rewards Eval: 356.61, Total Timesteps: 609740 episode:31 

