For Seed: 1 

Rewards Tr: 14.59, Rewards Disc: 0.01, Rewards Eval: 0.00, Total Timesteps: 7090 episode:0 

Rewards Tr: 28.63, Rewards Disc: 0.04, Rewards Eval: 48.71, Total Timesteps: 17160 episode:1 

Rewards Tr: 42.81, Rewards Disc: 0.01, Rewards Eval: 42.96, Total Timesteps: 28740 episode:2 

Rewards Tr: 56.19, Rewards Disc: 0.04, Rewards Eval: 63.76, Total Timesteps: 42150 episode:3 

Rewards Tr: 67.54, Rewards Disc: 0.04, Rewards Eval: 120.79, Total Timesteps: 57280 episode:4 

Rewards Tr: 83.70, Rewards Disc: -0.00, Rewards Eval: 102.51, Total Timesteps: 74180 episode:5 

Rewards Tr: 93.92, Rewards Disc: 0.01, Rewards Eval: 123.64, Total Timesteps: 94430 episode:6 

Rewards Tr: 117.14, Rewards Disc: 0.03, Rewards Eval: 122.69, Total Timesteps: 115150 episode:7 

Rewards Tr: 138.60, Rewards Disc: 0.07, Rewards Eval: 123.29, Total Timesteps: 136960 episode:8 

Rewards Tr: 148.32, Rewards Disc: 0.05, Rewards Eval: 191.16, Total Timesteps: 157690 episode:9 

Rewards Tr: 160.48, Rewards Disc: -0.03, Rewards Eval: 122.57, Total Timesteps: 177950 episode:10 

Rewards Tr: 174.19, Rewards Disc: -0.08, Rewards Eval: 186.21, Total Timesteps: 198850 episode:11 

Rewards Tr: 178.06, Rewards Disc: 0.01, Rewards Eval: 189.93, Total Timesteps: 219660 episode:12 

Rewards Tr: 191.65, Rewards Disc: -0.01, Rewards Eval: 195.48, Total Timesteps: 240710 episode:13 

Rewards Tr: 211.70, Rewards Disc: -0.02, Rewards Eval: 209.57, Total Timesteps: 262380 episode:14 

Rewards Tr: 227.69, Rewards Disc: -0.01, Rewards Eval: 205.69, Total Timesteps: 284330 episode:15 

Rewards Tr: 245.82, Rewards Disc: -0.04, Rewards Eval: 231.15, Total Timesteps: 306890 episode:16 

Rewards Tr: 257.69, Rewards Disc: -0.05, Rewards Eval: 256.46, Total Timesteps: 329470 episode:17 

Rewards Tr: 258.61, Rewards Disc: 0.04, Rewards Eval: 246.44, Total Timesteps: 352430 episode:18 

Rewards Tr: 266.30, Rewards Disc: 0.07, Rewards Eval: 266.22, Total Timesteps: 375640 episode:19 

Rewards Tr: 282.85, Rewards Disc: -0.03, Rewards Eval: 228.27, Total Timesteps: 399520 episode:20 

Rewards Tr: 287.52, Rewards Disc: 0.03, Rewards Eval: 280.91, Total Timesteps: 422910 episode:21 

Rewards Tr: 297.78, Rewards Disc: 0.00, Rewards Eval: 285.69, Total Timesteps: 446900 episode:22 

Rewards Tr: 304.77, Rewards Disc: 0.05, Rewards Eval: 267.16, Total Timesteps: 471890 episode:23 

Rewards Tr: 316.64, Rewards Disc: 0.06, Rewards Eval: 319.36, Total Timesteps: 498450 episode:24 

Rewards Tr: 327.32, Rewards Disc: -0.01, Rewards Eval: 304.94, Total Timesteps: 525070 episode:25 

Rewards Tr: 336.31, Rewards Disc: 0.01, Rewards Eval: 308.97, Total Timesteps: 552680 episode:26 

Rewards Tr: 350.72, Rewards Disc: -0.03, Rewards Eval: 317.34, Total Timesteps: 582720 episode:27 

Rewards Tr: 371.52, Rewards Disc: -0.04, Rewards Eval: 351.21, Total Timesteps: 614260 episode:28 

Rewards Tr: 394.37, Rewards Disc: 0.01, Rewards Eval: 389.73, Total Timesteps: 647550 episode:29 

Rewards Tr: 426.30, Rewards Disc: -0.08, Rewards Eval: 389.30, Total Timesteps: 685080 episode:30 

Rewards Tr: 435.91, Rewards Disc: 0.11, Rewards Eval: 370.73, Total Timesteps: 720550 episode:31 

Rewards Tr: 476.68, Rewards Disc: -0.07, Rewards Eval: 391.73, Total Timesteps: 761070 episode:32 

Rewards Tr: 506.86, Rewards Disc: 0.04, Rewards Eval: 418.10, Total Timesteps: 804090 episode:33 

Rewards Tr: 541.20, Rewards Disc: 0.30, Rewards Eval: 431.44, Total Timesteps: 852220 episode:34 

Rewards Tr: 551.17, Rewards Disc: 0.13, Rewards Eval: 501.74, Total Timesteps: 902380 episode:35 

Rewards Tr: 659.44, Rewards Disc: -0.32, Rewards Eval: 446.26, Total Timesteps: 960320 episode:36 

Rewards Tr: 654.55, Rewards Disc: 0.07, Rewards Eval: 581.36, Total Timesteps: 1019490 episode:37 

Rewards Tr: 736.46, Rewards Disc: -0.39, Rewards Eval: 482.98, Total Timesteps: 1089360 episode:38 

Rewards Tr: 801.08, Rewards Disc: -0.24, Rewards Eval: 504.58, Total Timesteps: 1168350 episode:39 

Rewards Tr: 806.11, Rewards Disc: -0.03, Rewards Eval: 669.52, Total Timesteps: 1243480 episode:40 

Rewards Tr: 829.03, Rewards Disc: 0.68, Rewards Eval: 564.78, Total Timesteps: 1325080 episode:41 

Rewards Tr: 892.07, Rewards Disc: 0.32, Rewards Eval: 479.58, Total Timesteps: 1409150 episode:42 

Rewards Tr: 947.65, Rewards Disc: -0.05, Rewards Eval: 526.04, Total Timesteps: 1508740 episode:43 

Rewards Tr: 599.23, Rewards Disc: 2.84, Rewards Eval: 646.37, Total Timesteps: 1579010 episode:44 

Rewards Tr: 607.59, Rewards Disc: 3.54, Rewards Eval: 709.56, Total Timesteps: 1638680 episode:45 

Rewards Tr: 678.69, Rewards Disc: 3.53, Rewards Eval: 634.48, Total Timesteps: 1709230 episode:46 

Rewards Tr: 619.38, Rewards Disc: 4.31, Rewards Eval: 689.37, Total Timesteps: 1780320 episode:47 

Rewards Tr: 697.96, Rewards Disc: 4.01, Rewards Eval: 737.91, Total Timesteps: 1851900 episode:48 

Rewards Tr: 602.95, Rewards Disc: 5.54, Rewards Eval: 1074.14, Total Timesteps: 1918050 episode:49 

Rewards Tr: 886.30, Rewards Disc: 3.40, Rewards Eval: 926.04, Total Timesteps: 2022360 episode:50 

Rewards Tr: 836.20, Rewards Disc: 3.08, Rewards Eval: 825.12, Total Timesteps: 2112980 episode:51 

Rewards Tr: 533.90, Rewards Disc: 6.18, Rewards Eval: 718.48, Total Timesteps: 2163050 episode:52 

Rewards Tr: 568.99, Rewards Disc: 6.09, Rewards Eval: 1074.10, Total Timesteps: 2217750 episode:53 

Rewards Tr: 632.63, Rewards Disc: 5.82, Rewards Eval: 886.86, Total Timesteps: 2289450 episode:54 

