For Seed: 1 

Rewards Tr: 11.33, Rewards Disc: 0.50, Rewards Eval: 0.00, Total Timesteps: 6230 episode:0 

Rewards Tr: 16.70, Rewards Disc: 0.48, Rewards Eval: 26.72, Total Timesteps: 15010 episode:1 

Rewards Tr: 30.25, Rewards Disc: 0.51, Rewards Eval: 63.66, Total Timesteps: 25910 episode:2 

Rewards Tr: 44.79, Rewards Disc: 0.51, Rewards Eval: 56.56, Total Timesteps: 39790 episode:3 

Rewards Tr: 61.11, Rewards Disc: 0.49, Rewards Eval: 94.62, Total Timesteps: 55680 episode:4 

Rewards Tr: 72.32, Rewards Disc: 0.51, Rewards Eval: 79.58, Total Timesteps: 72250 episode:5 

Rewards Tr: 83.71, Rewards Disc: 0.52, Rewards Eval: 99.78, Total Timesteps: 88530 episode:6 

Rewards Tr: 95.60, Rewards Disc: 0.50, Rewards Eval: 106.97, Total Timesteps: 109070 episode:7 

Rewards Tr: 106.12, Rewards Disc: 0.53, Rewards Eval: 125.66, Total Timesteps: 132070 episode:8 

Rewards Tr: 130.88, Rewards Disc: 0.53, Rewards Eval: 117.13, Total Timesteps: 158950 episode:9 

Rewards Tr: 138.46, Rewards Disc: 0.53, Rewards Eval: 154.38, Total Timesteps: 183150 episode:10 

Rewards Tr: 147.46, Rewards Disc: 0.51, Rewards Eval: 173.20, Total Timesteps: 209710 episode:11 

Rewards Tr: 159.40, Rewards Disc: 0.53, Rewards Eval: 184.17, Total Timesteps: 237890 episode:12 

Rewards Tr: 170.95, Rewards Disc: 0.55, Rewards Eval: 190.14, Total Timesteps: 264370 episode:13 

Rewards Tr: 172.86, Rewards Disc: 0.52, Rewards Eval: 158.88, Total Timesteps: 288750 episode:14 

Rewards Tr: 174.15, Rewards Disc: 0.55, Rewards Eval: 178.85, Total Timesteps: 311520 episode:15 

Rewards Tr: 175.67, Rewards Disc: 0.54, Rewards Eval: 184.06, Total Timesteps: 333350 episode:16 

Rewards Tr: 183.26, Rewards Disc: 0.52, Rewards Eval: 174.90, Total Timesteps: 355270 episode:17 

Rewards Tr: 188.91, Rewards Disc: 0.53, Rewards Eval: 193.73, Total Timesteps: 377600 episode:18 

Rewards Tr: 197.33, Rewards Disc: 0.56, Rewards Eval: 205.84, Total Timesteps: 400220 episode:19 

Rewards Tr: 202.17, Rewards Disc: 0.54, Rewards Eval: 191.35, Total Timesteps: 422230 episode:20 

Rewards Tr: 216.21, Rewards Disc: 0.55, Rewards Eval: 218.69, Total Timesteps: 443830 episode:21 

Rewards Tr: 224.72, Rewards Disc: 0.53, Rewards Eval: 243.32, Total Timesteps: 465810 episode:22 

Rewards Tr: 229.00, Rewards Disc: 0.55, Rewards Eval: 234.98, Total Timesteps: 488430 episode:23 

Rewards Tr: 238.29, Rewards Disc: 0.55, Rewards Eval: 230.53, Total Timesteps: 510820 episode:24 

Rewards Tr: 244.99, Rewards Disc: 0.56, Rewards Eval: 262.58, Total Timesteps: 533160 episode:25 

Rewards Tr: 250.17, Rewards Disc: 0.57, Rewards Eval: 247.65, Total Timesteps: 556010 episode:26 

Rewards Tr: 252.15, Rewards Disc: 0.59, Rewards Eval: 237.36, Total Timesteps: 579090 episode:27 

Rewards Tr: 257.63, Rewards Disc: 0.55, Rewards Eval: 257.34, Total Timesteps: 602310 episode:28 

Rewards Tr: 263.61, Rewards Disc: 0.55, Rewards Eval: 277.63, Total Timesteps: 625760 episode:29 

Rewards Tr: 261.75, Rewards Disc: 0.60, Rewards Eval: 264.36, Total Timesteps: 649210 episode:30 

Rewards Tr: 274.05, Rewards Disc: 0.54, Rewards Eval: 275.50, Total Timesteps: 672850 episode:31 

Rewards Tr: 276.24, Rewards Disc: 0.57, Rewards Eval: 288.13, Total Timesteps: 696980 episode:32 

Rewards Tr: 283.36, Rewards Disc: 0.53, Rewards Eval: 283.42, Total Timesteps: 720890 episode:33 

Rewards Tr: 286.93, Rewards Disc: 0.58, Rewards Eval: 295.43, Total Timesteps: 745610 episode:34 

Rewards Tr: 294.17, Rewards Disc: 0.58, Rewards Eval: 305.67, Total Timesteps: 770590 episode:35 

Rewards Tr: 298.00, Rewards Disc: 0.54, Rewards Eval: 303.08, Total Timesteps: 795880 episode:36 

Rewards Tr: 309.26, Rewards Disc: 0.57, Rewards Eval: 322.04, Total Timesteps: 822690 episode:37 

Rewards Tr: 314.08, Rewards Disc: 0.63, Rewards Eval: 322.49, Total Timesteps: 850490 episode:38 

Rewards Tr: 324.89, Rewards Disc: 0.62, Rewards Eval: 380.29, Total Timesteps: 879450 episode:39 

Rewards Tr: 328.89, Rewards Disc: 0.63, Rewards Eval: 361.66, Total Timesteps: 908070 episode:40 

Rewards Tr: 346.12, Rewards Disc: 0.65, Rewards Eval: 371.68, Total Timesteps: 939520 episode:41 

Rewards Tr: 353.21, Rewards Disc: 0.67, Rewards Eval: 369.54, Total Timesteps: 971440 episode:42 

Rewards Tr: 380.21, Rewards Disc: 0.61, Rewards Eval: 484.89, Total Timesteps: 1005940 episode:43 

Rewards Tr: 392.24, Rewards Disc: 0.68, Rewards Eval: 431.29, Total Timesteps: 1043870 episode:44 

Rewards Tr: 411.90, Rewards Disc: 0.59, Rewards Eval: 517.19, Total Timesteps: 1081580 episode:45 

Rewards Tr: 421.31, Rewards Disc: 0.62, Rewards Eval: 447.37, Total Timesteps: 1118920 episode:46 

Rewards Tr: 462.75, Rewards Disc: 0.61, Rewards Eval: 427.55, Total Timesteps: 1163050 episode:47 

Rewards Tr: 486.42, Rewards Disc: 0.66, Rewards Eval: 531.22, Total Timesteps: 1209790 episode:48 

Rewards Tr: 522.74, Rewards Disc: 0.58, Rewards Eval: 556.57, Total Timesteps: 1258750 episode:49 

Rewards Tr: 510.81, Rewards Disc: 0.69, Rewards Eval: 646.00, Total Timesteps: 1308810 episode:50 

Rewards Tr: 576.74, Rewards Disc: 0.65, Rewards Eval: 557.46, Total Timesteps: 1364110 episode:51 

Rewards Tr: 590.07, Rewards Disc: 0.60, Rewards Eval: 605.21, Total Timesteps: 1417590 episode:52 

Rewards Tr: 656.34, Rewards Disc: 0.63, Rewards Eval: 805.31, Total Timesteps: 1481390 episode:53 

Rewards Tr: 643.34, Rewards Disc: 0.61, Rewards Eval: 690.33, Total Timesteps: 1545910 episode:54 

Rewards Tr: 689.89, Rewards Disc: 0.54, Rewards Eval: 799.57, Total Timesteps: 1619990 episode:55 

Rewards Tr: 742.88, Rewards Disc: 0.61, Rewards Eval: 771.98, Total Timesteps: 1697830 episode:56 

Rewards Tr: 750.97, Rewards Disc: 0.68, Rewards Eval: 881.05, Total Timesteps: 1779540 episode:57 

Rewards Tr: 694.81, Rewards Disc: 0.78, Rewards Eval: 1147.55, Total Timesteps: 1850820 episode:58 

Rewards Tr: 795.49, Rewards Disc: 0.64, Rewards Eval: 781.00, Total Timesteps: 1947340 episode:59 

Rewards Tr: 750.90, Rewards Disc: 0.59, Rewards Eval: 954.92, Total Timesteps: 2025130 episode:60 

Rewards Tr: 829.03, Rewards Disc: 0.59, Rewards Eval: 808.71, Total Timesteps: 2114100 episode:61 

Rewards Tr: 833.17, Rewards Disc: 0.60, Rewards Eval: 750.25, Total Timesteps: 2208770 episode:62 

Rewards Tr: 760.83, Rewards Disc: 0.66, Rewards Eval: 946.04, Total Timesteps: 2284800 episode:63 

Rewards Tr: 805.92, Rewards Disc: 0.72, Rewards Eval: 882.51, Total Timesteps: 2371810 episode:64 

Rewards Tr: 786.29, Rewards Disc: 0.71, Rewards Eval: 941.47, Total Timesteps: 2454910 episode:65 

Rewards Tr: 887.86, Rewards Disc: 0.72, Rewards Eval: 952.53, Total Timesteps: 2558840 episode:66 

Rewards Tr: 901.79, Rewards Disc: 0.67, Rewards Eval: 1304.69, Total Timesteps: 2657730 episode:67 

Rewards Tr: 948.39, Rewards Disc: 0.59, Rewards Eval: 901.47, Total Timesteps: 2765120 episode:68 

Rewards Tr: 867.87, Rewards Disc: 0.60, Rewards Eval: 1113.86, Total Timesteps: 2854910 episode:69 

Rewards Tr: 917.77, Rewards Disc: 0.68, Rewards Eval: 1269.05, Total Timesteps: 2954160 episode:70 

Rewards Tr: 927.34, Rewards Disc: 0.62, Rewards Eval: 963.99, Total Timesteps: 3057180 episode:71 

Rewards Tr: 985.60, Rewards Disc: 0.62, Rewards Eval: 1134.33, Total Timesteps: 3168580 episode:72 

Rewards Tr: 1010.50, Rewards Disc: 0.57, Rewards Eval: 1286.56, Total Timesteps: 3286800 episode:73 

Rewards Tr: 1036.56, Rewards Disc: 0.58, Rewards Eval: 937.42, Total Timesteps: 3407020 episode:74 

Rewards Tr: 1147.44, Rewards Disc: 0.50, Rewards Eval: 1302.20, Total Timesteps: 3532290 episode:75 

Rewards Tr: 1042.95, Rewards Disc: 0.67, Rewards Eval: 1101.94, Total Timesteps: 3654770 episode:76 

Rewards Tr: 1008.89, Rewards Disc: 0.60, Rewards Eval: 1164.83, Total Timesteps: 3765620 episode:77 

Rewards Tr: 1063.75, Rewards Disc: 0.62, Rewards Eval: 1174.91, Total Timesteps: 3887250 episode:78 

Rewards Tr: 1129.48, Rewards Disc: 0.63, Rewards Eval: 749.25, Total Timesteps: 4004500 episode:79 

Rewards Tr: 951.27, Rewards Disc: 0.65, Rewards Eval: 1039.14, Total Timesteps: 4108880 episode:80 

Rewards Tr: 1011.16, Rewards Disc: 0.55, Rewards Eval: 1089.46, Total Timesteps: 4207370 episode:81 

Rewards Tr: 1151.04, Rewards Disc: 0.67, Rewards Eval: 924.53, Total Timesteps: 4340810 episode:82 

Rewards Tr: 1148.32, Rewards Disc: 0.68, Rewards Eval: 1217.04, Total Timesteps: 4477450 episode:83 

