For Seed: 1 

Rewards Tr: 8.42, Rewards Disc: -0.01, Rewards Eval: 0.00, Total Timesteps: 3480 episode:0 

Rewards Tr: 10.41, Rewards Disc: 0.01, Rewards Eval: 0.00, Total Timesteps: 7900 episode:1 

Rewards Tr: 16.47, Rewards Disc: 0.00, Rewards Eval: 25.64, Total Timesteps: 13590 episode:2 

Rewards Tr: 23.03, Rewards Disc: -0.02, Rewards Eval: 36.23, Total Timesteps: 20940 episode:3 

Rewards Tr: 31.08, Rewards Disc: -0.02, Rewards Eval: 36.23, Total Timesteps: 29820 episode:4 

Rewards Tr: 40.60, Rewards Disc: 0.03, Rewards Eval: 54.33, Total Timesteps: 39100 episode:5 

Rewards Tr: 52.97, Rewards Disc: 0.06, Rewards Eval: 70.31, Total Timesteps: 50520 episode:6 

Rewards Tr: 68.57, Rewards Disc: 0.01, Rewards Eval: 82.74, Total Timesteps: 63900 episode:7 

Rewards Tr: 81.64, Rewards Disc: 0.02, Rewards Eval: 83.76, Total Timesteps: 78600 episode:8 

Rewards Tr: 94.00, Rewards Disc: -0.01, Rewards Eval: 100.41, Total Timesteps: 96130 episode:9 

Rewards Tr: 102.03, Rewards Disc: -0.03, Rewards Eval: 87.07, Total Timesteps: 113510 episode:10 

Rewards Tr: 115.62, Rewards Disc: 0.03, Rewards Eval: 142.30, Total Timesteps: 134150 episode:11 

Rewards Tr: 126.60, Rewards Disc: -0.03, Rewards Eval: 101.84, Total Timesteps: 156740 episode:12 

Rewards Tr: 130.89, Rewards Disc: -0.02, Rewards Eval: 133.31, Total Timesteps: 178100 episode:13 

Rewards Tr: 139.55, Rewards Disc: -0.03, Rewards Eval: 132.25, Total Timesteps: 200220 episode:14 

Rewards Tr: 147.95, Rewards Disc: 0.01, Rewards Eval: 151.29, Total Timesteps: 221380 episode:15 

Rewards Tr: 156.13, Rewards Disc: 0.00, Rewards Eval: 142.95, Total Timesteps: 245740 episode:16 

Rewards Tr: 159.75, Rewards Disc: 0.03, Rewards Eval: 154.37, Total Timesteps: 267030 episode:17 

Rewards Tr: 165.23, Rewards Disc: -0.00, Rewards Eval: 160.03, Total Timesteps: 287540 episode:18 

Rewards Tr: 168.76, Rewards Disc: 0.02, Rewards Eval: 165.97, Total Timesteps: 308400 episode:19 

Rewards Tr: 169.80, Rewards Disc: 0.01, Rewards Eval: 174.06, Total Timesteps: 327590 episode:20 

Rewards Tr: 174.25, Rewards Disc: -0.01, Rewards Eval: 168.84, Total Timesteps: 346410 episode:21 

Rewards Tr: 174.19, Rewards Disc: 0.00, Rewards Eval: 172.76, Total Timesteps: 364770 episode:22 

Rewards Tr: 178.78, Rewards Disc: -0.02, Rewards Eval: 175.29, Total Timesteps: 384400 episode:23 

Rewards Tr: 182.98, Rewards Disc: 0.00, Rewards Eval: 173.75, Total Timesteps: 403750 episode:24 

