For Seed: 1 

Rewards Tr: 13.84, Rewards Disc: 0.50, Rewards Eval: 0.00, Total Timesteps: 6730 episode:0 

Rewards Tr: 24.15, Rewards Disc: 0.49, Rewards Eval: 54.10, Total Timesteps: 16610 episode:1 

Rewards Tr: 33.41, Rewards Disc: 0.52, Rewards Eval: 41.06, Total Timesteps: 28720 episode:2 

Rewards Tr: 49.97, Rewards Disc: 0.50, Rewards Eval: 59.25, Total Timesteps: 43230 episode:3 

Rewards Tr: 60.85, Rewards Disc: 0.50, Rewards Eval: 66.31, Total Timesteps: 59340 episode:4 

Rewards Tr: 76.00, Rewards Disc: 0.51, Rewards Eval: 91.84, Total Timesteps: 76000 episode:5 

Rewards Tr: 101.39, Rewards Disc: 0.52, Rewards Eval: 93.11, Total Timesteps: 95320 episode:6 

Rewards Tr: 113.41, Rewards Disc: 0.50, Rewards Eval: 110.50, Total Timesteps: 115520 episode:7 

Rewards Tr: 129.91, Rewards Disc: 0.51, Rewards Eval: 135.03, Total Timesteps: 137830 episode:8 

Rewards Tr: 147.56, Rewards Disc: 0.51, Rewards Eval: 143.53, Total Timesteps: 160110 episode:9 

Rewards Tr: 154.98, Rewards Disc: 0.52, Rewards Eval: 174.88, Total Timesteps: 184140 episode:10 

Rewards Tr: 170.41, Rewards Disc: 0.53, Rewards Eval: 190.54, Total Timesteps: 209710 episode:11 

Rewards Tr: 179.65, Rewards Disc: 0.51, Rewards Eval: 202.88, Total Timesteps: 235900 episode:12 

Rewards Tr: 184.79, Rewards Disc: 0.51, Rewards Eval: 182.56, Total Timesteps: 260330 episode:13 

Rewards Tr: 196.20, Rewards Disc: 0.51, Rewards Eval: 221.30, Total Timesteps: 285570 episode:14 

Rewards Tr: 203.57, Rewards Disc: 0.52, Rewards Eval: 224.89, Total Timesteps: 312700 episode:15 

Rewards Tr: 220.49, Rewards Disc: 0.52, Rewards Eval: 222.19, Total Timesteps: 340960 episode:16 

Rewards Tr: 219.43, Rewards Disc: 0.52, Rewards Eval: 223.23, Total Timesteps: 367600 episode:17 

Rewards Tr: 228.63, Rewards Disc: 0.54, Rewards Eval: 240.67, Total Timesteps: 394190 episode:18 

Rewards Tr: 234.08, Rewards Disc: 0.55, Rewards Eval: 237.47, Total Timesteps: 421930 episode:19 

Rewards Tr: 233.73, Rewards Disc: 0.55, Rewards Eval: 232.63, Total Timesteps: 448450 episode:20 

Rewards Tr: 238.42, Rewards Disc: 0.54, Rewards Eval: 251.95, Total Timesteps: 474940 episode:21 

