For Seed: 1 

Rewards Tr: 9.61, Rewards Disc: -0.00, Rewards Eval: 0.00, Total Timesteps: 4050 episode:0 

Rewards Tr: 12.52, Rewards Disc: -0.00, Rewards Eval: 0.00, Total Timesteps: 8950 episode:1 

Rewards Tr: 17.25, Rewards Disc: 0.00, Rewards Eval: 28.55, Total Timesteps: 15570 episode:2 

Rewards Tr: 21.23, Rewards Disc: 0.03, Rewards Eval: 50.29, Total Timesteps: 22700 episode:3 

Rewards Tr: 30.54, Rewards Disc: -0.01, Rewards Eval: 41.71, Total Timesteps: 32010 episode:4 

Rewards Tr: 48.18, Rewards Disc: -0.05, Rewards Eval: 79.66, Total Timesteps: 43380 episode:5 

Rewards Tr: 61.42, Rewards Disc: -0.01, Rewards Eval: 97.83, Total Timesteps: 56620 episode:6 

Rewards Tr: 73.28, Rewards Disc: -0.02, Rewards Eval: 81.49, Total Timesteps: 71030 episode:7 

Rewards Tr: 82.76, Rewards Disc: 0.01, Rewards Eval: 73.69, Total Timesteps: 86310 episode:8 

Rewards Tr: 97.96, Rewards Disc: 0.01, Rewards Eval: 128.92, Total Timesteps: 102650 episode:9 

Rewards Tr: 109.67, Rewards Disc: -0.01, Rewards Eval: 122.97, Total Timesteps: 121190 episode:10 

Rewards Tr: 125.89, Rewards Disc: 0.01, Rewards Eval: 127.39, Total Timesteps: 141370 episode:11 

Rewards Tr: 132.64, Rewards Disc: -0.03, Rewards Eval: 117.77, Total Timesteps: 159940 episode:12 

Rewards Tr: 139.23, Rewards Disc: -0.01, Rewards Eval: 143.10, Total Timesteps: 180480 episode:13 

Rewards Tr: 150.67, Rewards Disc: -0.03, Rewards Eval: 142.73, Total Timesteps: 200010 episode:14 

Rewards Tr: 156.53, Rewards Disc: 0.01, Rewards Eval: 165.56, Total Timesteps: 220500 episode:15 

Rewards Tr: 161.08, Rewards Disc: -0.01, Rewards Eval: 155.09, Total Timesteps: 240480 episode:16 

Rewards Tr: 163.30, Rewards Disc: 0.04, Rewards Eval: 150.64, Total Timesteps: 260030 episode:17 

Rewards Tr: 170.43, Rewards Disc: -0.01, Rewards Eval: 172.98, Total Timesteps: 278710 episode:18 

Rewards Tr: 172.03, Rewards Disc: -0.00, Rewards Eval: 169.17, Total Timesteps: 297040 episode:19 

Rewards Tr: 173.60, Rewards Disc: -0.00, Rewards Eval: 177.50, Total Timesteps: 314720 episode:20 

Rewards Tr: 173.60, Rewards Disc: -0.01, Rewards Eval: 177.56, Total Timesteps: 332390 episode:21 

Rewards Tr: 176.26, Rewards Disc: 0.01, Rewards Eval: 162.46, Total Timesteps: 349820 episode:22 

Rewards Tr: 178.63, Rewards Disc: 0.01, Rewards Eval: 179.56, Total Timesteps: 366950 episode:23 

Rewards Tr: 178.80, Rewards Disc: 0.01, Rewards Eval: 180.23, Total Timesteps: 384170 episode:24 

Rewards Tr: 181.24, Rewards Disc: -0.00, Rewards Eval: 182.75, Total Timesteps: 401320 episode:25 

Rewards Tr: 181.77, Rewards Disc: 0.01, Rewards Eval: 188.53, Total Timesteps: 418490 episode:26 

Rewards Tr: 183.40, Rewards Disc: 0.00, Rewards Eval: 190.41, Total Timesteps: 435700 episode:27 

Rewards Tr: 185.61, Rewards Disc: 0.00, Rewards Eval: 174.26, Total Timesteps: 452850 episode:28 

Rewards Tr: 189.61, Rewards Disc: -0.00, Rewards Eval: 195.54, Total Timesteps: 470100 episode:29 

Rewards Tr: 192.30, Rewards Disc: 0.01, Rewards Eval: 196.13, Total Timesteps: 487760 episode:30 

Rewards Tr: 200.17, Rewards Disc: -0.03, Rewards Eval: 215.99, Total Timesteps: 505850 episode:31 

Rewards Tr: 206.54, Rewards Disc: -0.02, Rewards Eval: 207.61, Total Timesteps: 524320 episode:32 

Rewards Tr: 212.16, Rewards Disc: 0.00, Rewards Eval: 218.30, Total Timesteps: 543030 episode:33 

Rewards Tr: 217.93, Rewards Disc: 0.01, Rewards Eval: 230.67, Total Timesteps: 561950 episode:34 

Rewards Tr: 226.27, Rewards Disc: -0.01, Rewards Eval: 223.94, Total Timesteps: 581270 episode:35 

Rewards Tr: 233.94, Rewards Disc: 0.00, Rewards Eval: 227.42, Total Timesteps: 600690 episode:36 

Rewards Tr: 240.30, Rewards Disc: -0.00, Rewards Eval: 232.07, Total Timesteps: 620600 episode:37 

