For Seed: 1 

Rewards Tr: 5.03, Rewards Disc: 0.50, Rewards Eval: 0.00, Total Timesteps: 2820 episode:0 

Rewards Tr: 6.12, Rewards Disc: 0.50, Rewards Eval: 0.00, Total Timesteps: 6480 episode:1 

Rewards Tr: 10.68, Rewards Disc: 0.50, Rewards Eval: 16.58, Total Timesteps: 12730 episode:2 

Rewards Tr: 13.02, Rewards Disc: 0.53, Rewards Eval: 16.58, Total Timesteps: 19850 episode:3 

Rewards Tr: 21.95, Rewards Disc: 0.49, Rewards Eval: 38.83, Total Timesteps: 28640 episode:4 

Rewards Tr: 43.73, Rewards Disc: 0.50, Rewards Eval: 41.54, Total Timesteps: 40480 episode:5 

Rewards Tr: 58.97, Rewards Disc: 0.53, Rewards Eval: 69.00, Total Timesteps: 55200 episode:6 

Rewards Tr: 71.70, Rewards Disc: 0.53, Rewards Eval: 76.99, Total Timesteps: 71180 episode:7 

Rewards Tr: 83.46, Rewards Disc: 0.51, Rewards Eval: 62.63, Total Timesteps: 86720 episode:8 

Rewards Tr: 94.98, Rewards Disc: 0.54, Rewards Eval: 86.07, Total Timesteps: 106010 episode:9 

Rewards Tr: 101.92, Rewards Disc: 0.54, Rewards Eval: 121.05, Total Timesteps: 127040 episode:10 

Rewards Tr: 108.19, Rewards Disc: 0.55, Rewards Eval: 133.15, Total Timesteps: 148830 episode:11 

Rewards Tr: 124.60, Rewards Disc: 0.55, Rewards Eval: 102.13, Total Timesteps: 174530 episode:12 

Rewards Tr: 134.19, Rewards Disc: 0.52, Rewards Eval: 173.16, Total Timesteps: 206410 episode:13 

Rewards Tr: 149.79, Rewards Disc: 0.53, Rewards Eval: 180.17, Total Timesteps: 237320 episode:14 

Rewards Tr: 170.03, Rewards Disc: 0.54, Rewards Eval: 198.97, Total Timesteps: 270920 episode:15 

Rewards Tr: 183.05, Rewards Disc: 0.55, Rewards Eval: 195.60, Total Timesteps: 303150 episode:16 

Rewards Tr: 197.75, Rewards Disc: 0.56, Rewards Eval: 205.88, Total Timesteps: 335670 episode:17 

Rewards Tr: 199.06, Rewards Disc: 0.54, Rewards Eval: 214.11, Total Timesteps: 367920 episode:18 

Rewards Tr: 199.61, Rewards Disc: 0.54, Rewards Eval: 197.71, Total Timesteps: 397940 episode:19 

Rewards Tr: 206.56, Rewards Disc: 0.58, Rewards Eval: 214.41, Total Timesteps: 425780 episode:20 

Rewards Tr: 211.90, Rewards Disc: 0.57, Rewards Eval: 219.11, Total Timesteps: 455360 episode:21 

Rewards Tr: 218.72, Rewards Disc: 0.57, Rewards Eval: 230.32, Total Timesteps: 483590 episode:22 

Rewards Tr: 227.19, Rewards Disc: 0.57, Rewards Eval: 259.51, Total Timesteps: 514150 episode:23 

Rewards Tr: 241.22, Rewards Disc: 0.59, Rewards Eval: 244.74, Total Timesteps: 545630 episode:24 

Rewards Tr: 250.07, Rewards Disc: 0.60, Rewards Eval: 243.31, Total Timesteps: 576990 episode:25 

Rewards Tr: 255.65, Rewards Disc: 0.61, Rewards Eval: 272.61, Total Timesteps: 608560 episode:26 

Rewards Tr: 267.05, Rewards Disc: 0.59, Rewards Eval: 267.34, Total Timesteps: 640430 episode:27 

Rewards Tr: 271.47, Rewards Disc: 0.58, Rewards Eval: 277.21, Total Timesteps: 671920 episode:28 

Rewards Tr: 273.22, Rewards Disc: 0.60, Rewards Eval: 276.12, Total Timesteps: 704850 episode:29 

Rewards Tr: 273.07, Rewards Disc: 0.59, Rewards Eval: 270.98, Total Timesteps: 735930 episode:30 

Rewards Tr: 268.72, Rewards Disc: 0.58, Rewards Eval: 274.11, Total Timesteps: 765200 episode:31 

Rewards Tr: 270.27, Rewards Disc: 0.60, Rewards Eval: 270.00, Total Timesteps: 794810 episode:32 

Rewards Tr: 280.01, Rewards Disc: 0.61, Rewards Eval: 265.94, Total Timesteps: 825220 episode:33 

Rewards Tr: 278.78, Rewards Disc: 0.62, Rewards Eval: 287.58, Total Timesteps: 855890 episode:34 

Rewards Tr: 280.31, Rewards Disc: 0.57, Rewards Eval: 274.84, Total Timesteps: 885790 episode:35 

Rewards Tr: 284.00, Rewards Disc: 0.60, Rewards Eval: 272.65, Total Timesteps: 916780 episode:36 

Rewards Tr: 286.96, Rewards Disc: 0.61, Rewards Eval: 292.22, Total Timesteps: 946500 episode:37 

