For Seed: 1 

Rewards Tr: 10.12, Rewards Disc: -0.00, Rewards Eval: 0.00, Total Timesteps: 4900 episode:0 

Rewards Tr: 16.61, Rewards Disc: -0.01, Rewards Eval: 16.51, Total Timesteps: 12260 episode:1 

Rewards Tr: 25.17, Rewards Disc: -0.02, Rewards Eval: 35.06, Total Timesteps: 22030 episode:2 

Rewards Tr: 39.33, Rewards Disc: -0.02, Rewards Eval: 61.07, Total Timesteps: 35160 episode:3 

Rewards Tr: 62.20, Rewards Disc: 0.03, Rewards Eval: 52.20, Total Timesteps: 50460 episode:4 

Rewards Tr: 77.99, Rewards Disc: -0.03, Rewards Eval: 81.44, Total Timesteps: 65810 episode:5 

Rewards Tr: 94.33, Rewards Disc: 0.02, Rewards Eval: 115.81, Total Timesteps: 83500 episode:6 

Rewards Tr: 98.41, Rewards Disc: 0.04, Rewards Eval: 118.68, Total Timesteps: 102380 episode:7 

Rewards Tr: 118.62, Rewards Disc: -0.01, Rewards Eval: 129.53, Total Timesteps: 123880 episode:8 

Rewards Tr: 129.47, Rewards Disc: 0.02, Rewards Eval: 147.03, Total Timesteps: 144750 episode:9 

Rewards Tr: 143.65, Rewards Disc: -0.00, Rewards Eval: 131.45, Total Timesteps: 167720 episode:10 

Rewards Tr: 152.60, Rewards Disc: -0.06, Rewards Eval: 149.14, Total Timesteps: 190310 episode:11 

Rewards Tr: 157.67, Rewards Disc: -0.00, Rewards Eval: 145.64, Total Timesteps: 211620 episode:12 

Rewards Tr: 159.08, Rewards Disc: -0.03, Rewards Eval: 171.65, Total Timesteps: 232930 episode:13 

Rewards Tr: 165.39, Rewards Disc: 0.03, Rewards Eval: 176.09, Total Timesteps: 254780 episode:14 

Rewards Tr: 173.57, Rewards Disc: -0.03, Rewards Eval: 152.87, Total Timesteps: 276070 episode:15 

Rewards Tr: 183.92, Rewards Disc: -0.02, Rewards Eval: 193.61, Total Timesteps: 298390 episode:16 

Rewards Tr: 193.80, Rewards Disc: -0.00, Rewards Eval: 243.53, Total Timesteps: 321070 episode:17 

Rewards Tr: 203.91, Rewards Disc: 0.02, Rewards Eval: 201.78, Total Timesteps: 344350 episode:18 

Rewards Tr: 210.74, Rewards Disc: 0.01, Rewards Eval: 214.61, Total Timesteps: 367510 episode:19 

Rewards Tr: 219.93, Rewards Disc: -0.04, Rewards Eval: 223.87, Total Timesteps: 390350 episode:20 

Rewards Tr: 222.73, Rewards Disc: 0.02, Rewards Eval: 208.05, Total Timesteps: 413660 episode:21 

Rewards Tr: 226.43, Rewards Disc: 0.01, Rewards Eval: 225.14, Total Timesteps: 436980 episode:22 

Rewards Tr: 231.39, Rewards Disc: 0.02, Rewards Eval: 240.22, Total Timesteps: 460260 episode:23 

Rewards Tr: 234.55, Rewards Disc: -0.00, Rewards Eval: 237.55, Total Timesteps: 483460 episode:24 

Rewards Tr: 238.29, Rewards Disc: -0.01, Rewards Eval: 241.32, Total Timesteps: 507010 episode:25 

Rewards Tr: 240.53, Rewards Disc: 0.02, Rewards Eval: 241.46, Total Timesteps: 530880 episode:26 

Rewards Tr: 244.55, Rewards Disc: -0.00, Rewards Eval: 246.46, Total Timesteps: 554520 episode:27 

Rewards Tr: 249.92, Rewards Disc: -0.00, Rewards Eval: 252.51, Total Timesteps: 578850 episode:28 

Rewards Tr: 256.69, Rewards Disc: 0.03, Rewards Eval: 246.71, Total Timesteps: 606180 episode:29 

Rewards Tr: 259.92, Rewards Disc: 0.04, Rewards Eval: 285.67, Total Timesteps: 633320 episode:30 

Rewards Tr: 288.44, Rewards Disc: -0.11, Rewards Eval: 353.67, Total Timesteps: 665930 episode:31 

Rewards Tr: 330.37, Rewards Disc: -0.02, Rewards Eval: 337.82, Total Timesteps: 705800 episode:32 

Rewards Tr: 368.14, Rewards Disc: -0.02, Rewards Eval: 407.95, Total Timesteps: 749170 episode:33 

Rewards Tr: 413.17, Rewards Disc: 0.08, Rewards Eval: 308.02, Total Timesteps: 805300 episode:34 

Rewards Tr: 430.67, Rewards Disc: -0.07, Rewards Eval: 409.49, Total Timesteps: 857910 episode:35 

Rewards Tr: 471.35, Rewards Disc: 0.03, Rewards Eval: 448.96, Total Timesteps: 917770 episode:36 

Rewards Tr: 479.12, Rewards Disc: 0.20, Rewards Eval: 482.20, Total Timesteps: 974900 episode:37 

Rewards Tr: 556.27, Rewards Disc: 0.19, Rewards Eval: 466.41, Total Timesteps: 1047120 episode:38 

Rewards Tr: 563.80, Rewards Disc: -0.15, Rewards Eval: 575.65, Total Timesteps: 1118440 episode:39 

Rewards Tr: 620.23, Rewards Disc: -0.13, Rewards Eval: 456.69, Total Timesteps: 1204700 episode:40 

Rewards Tr: 651.64, Rewards Disc: -0.03, Rewards Eval: 574.24, Total Timesteps: 1283970 episode:41 

Rewards Tr: 662.32, Rewards Disc: -0.01, Rewards Eval: 632.70, Total Timesteps: 1356440 episode:42 

Rewards Tr: 701.92, Rewards Disc: -0.06, Rewards Eval: 636.68, Total Timesteps: 1433300 episode:43 

Rewards Tr: 721.37, Rewards Disc: 0.08, Rewards Eval: 763.81, Total Timesteps: 1514000 episode:44 

Rewards Tr: 786.80, Rewards Disc: -0.23, Rewards Eval: 599.70, Total Timesteps: 1605720 episode:45 

Rewards Tr: 777.80, Rewards Disc: 0.02, Rewards Eval: 735.52, Total Timesteps: 1688200 episode:46 

Rewards Tr: 798.14, Rewards Disc: 0.08, Rewards Eval: 598.22, Total Timesteps: 1768760 episode:47 

Rewards Tr: 897.40, Rewards Disc: -0.20, Rewards Eval: 772.35, Total Timesteps: 1865150 episode:48 

Rewards Tr: 867.82, Rewards Disc: 0.18, Rewards Eval: 873.44, Total Timesteps: 1952230 episode:49 

Rewards Tr: 926.18, Rewards Disc: 0.29, Rewards Eval: 721.38, Total Timesteps: 2046170 episode:50 

Rewards Tr: 974.49, Rewards Disc: 0.13, Rewards Eval: 722.80, Total Timesteps: 2144120 episode:51 

Rewards Tr: 906.17, Rewards Disc: 0.26, Rewards Eval: 776.65, Total Timesteps: 2231350 episode:52 

Rewards Tr: 913.63, Rewards Disc: 0.28, Rewards Eval: 731.06, Total Timesteps: 2320070 episode:53 

Rewards Tr: 944.56, Rewards Disc: 0.21, Rewards Eval: 689.49, Total Timesteps: 2416290 episode:54 

Rewards Tr: 959.19, Rewards Disc: -0.04, Rewards Eval: 875.52, Total Timesteps: 2509020 episode:55 

Rewards Tr: 961.89, Rewards Disc: 0.25, Rewards Eval: 671.79, Total Timesteps: 2606210 episode:56 

Rewards Tr: 1057.53, Rewards Disc: 0.09, Rewards Eval: 797.81, Total Timesteps: 2712480 episode:57 

Rewards Tr: 810.76, Rewards Disc: 2.27, Rewards Eval: 849.12, Total Timesteps: 2812700 episode:58 

Rewards Tr: 777.09, Rewards Disc: 2.60, Rewards Eval: 834.53, Total Timesteps: 2909360 episode:59 

Rewards Tr: 747.36, Rewards Disc: 3.02, Rewards Eval: 821.99, Total Timesteps: 3001380 episode:60 

Rewards Tr: 784.81, Rewards Disc: 2.38, Rewards Eval: 921.42, Total Timesteps: 3100640 episode:61 

Rewards Tr: 750.84, Rewards Disc: 3.05, Rewards Eval: 666.86, Total Timesteps: 3187640 episode:62 

Rewards Tr: 778.31, Rewards Disc: 2.86, Rewards Eval: 758.39, Total Timesteps: 3282720 episode:63 

Rewards Tr: 810.83, Rewards Disc: 3.40, Rewards Eval: 928.82, Total Timesteps: 3379410 episode:64 

Rewards Tr: 828.93, Rewards Disc: 4.09, Rewards Eval: 779.63, Total Timesteps: 3489810 episode:65 

Rewards Tr: 817.80, Rewards Disc: 4.12, Rewards Eval: 828.95, Total Timesteps: 3605360 episode:66 

Rewards Tr: 833.90, Rewards Disc: 4.33, Rewards Eval: 860.22, Total Timesteps: 3722320 episode:67 

Rewards Tr: 869.68, Rewards Disc: 2.75, Rewards Eval: 1053.96, Total Timesteps: 3835760 episode:68 

Rewards Tr: 887.07, Rewards Disc: 2.67, Rewards Eval: 1124.21, Total Timesteps: 3947960 episode:69 

Rewards Tr: 866.37, Rewards Disc: 3.50, Rewards Eval: 892.11, Total Timesteps: 4073420 episode:70 

Rewards Tr: 1005.61, Rewards Disc: 2.20, Rewards Eval: 934.24, Total Timesteps: 4218290 episode:71 

Rewards Tr: 860.33, Rewards Disc: 3.91, Rewards Eval: 1147.07, Total Timesteps: 4328540 episode:72 

Rewards Tr: 787.66, Rewards Disc: 4.28, Rewards Eval: 1057.20, Total Timesteps: 4442670 episode:73 

Rewards Tr: 773.47, Rewards Disc: 4.84, Rewards Eval: 714.40, Total Timesteps: 4551690 episode:74 

Rewards Tr: 848.46, Rewards Disc: 4.58, Rewards Eval: 1216.88, Total Timesteps: 4669130 episode:75 

Rewards Tr: 866.49, Rewards Disc: 4.86, Rewards Eval: 934.24, Total Timesteps: 4793760 episode:76 

Rewards Tr: 896.47, Rewards Disc: 5.16, Rewards Eval: 954.97, Total Timesteps: 4926710 episode:77 

Rewards Tr: 911.58, Rewards Disc: 5.16, Rewards Eval: 961.83, Total Timesteps: 5065250 episode:78 

Rewards Tr: 889.38, Rewards Disc: 5.35, Rewards Eval: 1288.54, Total Timesteps: 5190990 episode:79 

Rewards Tr: 909.26, Rewards Disc: 5.18, Rewards Eval: 973.67, Total Timesteps: 5331910 episode:80 

Rewards Tr: 1000.11, Rewards Disc: 4.81, Rewards Eval: 1863.95, Total Timesteps: 5486480 episode:81 

Rewards Tr: 891.67, Rewards Disc: 5.12, Rewards Eval: 1197.89, Total Timesteps: 5620930 episode:82 

Rewards Tr: 945.53, Rewards Disc: 4.73, Rewards Eval: 1099.59, Total Timesteps: 5761470 episode:83 

Rewards Tr: 862.15, Rewards Disc: 6.00, Rewards Eval: 1348.98, Total Timesteps: 5885360 episode:84 

Rewards Tr: 921.88, Rewards Disc: 5.05, Rewards Eval: 813.62, Total Timesteps: 6022990 episode:85 

Rewards Tr: 964.75, Rewards Disc: 3.29, Rewards Eval: 1567.24, Total Timesteps: 6159120 episode:86 

Rewards Tr: 935.09, Rewards Disc: 3.92, Rewards Eval: 1035.60, Total Timesteps: 6299940 episode:87 

Rewards Tr: 997.09, Rewards Disc: 2.20, Rewards Eval: 1189.75, Total Timesteps: 6440710 episode:88 
