For Seed: 1 

Rewards Tr: 16.76, Rewards Eval: 0.00, Total Timesteps: 8670 episode:0 

Rewards Tr: 35.92, Rewards Eval: 30.91, Total Timesteps: 23280 episode:1 

Rewards Tr: 47.29, Rewards Eval: 62.56, Total Timesteps: 36920 episode:2 

Rewards Tr: 64.67, Rewards Eval: 43.80, Total Timesteps: 53320 episode:3 

Rewards Tr: 73.51, Rewards Eval: 129.24, Total Timesteps: 69740 episode:4 

Rewards Tr: 85.30, Rewards Eval: 150.42, Total Timesteps: 87430 episode:5 

Rewards Tr: 94.87, Rewards Eval: 76.79, Total Timesteps: 106110 episode:6 

Rewards Tr: 106.55, Rewards Eval: 110.78, Total Timesteps: 128390 episode:7 

Rewards Tr: 121.81, Rewards Eval: 111.86, Total Timesteps: 148030 episode:8 

Rewards Tr: 143.84, Rewards Eval: 163.93, Total Timesteps: 169700 episode:9 

Rewards Tr: 151.80, Rewards Eval: 201.62, Total Timesteps: 190520 episode:10 

Rewards Tr: 166.15, Rewards Eval: 181.17, Total Timesteps: 212060 episode:11 

Rewards Tr: 172.99, Rewards Eval: 205.25, Total Timesteps: 233420 episode:12 

Rewards Tr: 190.34, Rewards Eval: 215.86, Total Timesteps: 255150 episode:13 

Rewards Tr: 193.12, Rewards Eval: 212.59, Total Timesteps: 276650 episode:14 

Rewards Tr: 206.31, Rewards Eval: 195.18, Total Timesteps: 299170 episode:15 

Rewards Tr: 220.06, Rewards Eval: 208.64, Total Timesteps: 321670 episode:16 

Rewards Tr: 244.60, Rewards Eval: 222.28, Total Timesteps: 344570 episode:17 

Rewards Tr: 248.73, Rewards Eval: 228.37, Total Timesteps: 368240 episode:18 

Rewards Tr: 264.29, Rewards Eval: 191.40, Total Timesteps: 392010 episode:19 

Rewards Tr: 271.33, Rewards Eval: 278.51, Total Timesteps: 416520 episode:20 

Rewards Tr: 288.71, Rewards Eval: 229.15, Total Timesteps: 441000 episode:21 

Rewards Tr: 290.76, Rewards Eval: 249.54, Total Timesteps: 465720 episode:22 

Rewards Tr: 304.25, Rewards Eval: 287.04, Total Timesteps: 490870 episode:23 

Rewards Tr: 315.69, Rewards Eval: 307.70, Total Timesteps: 516380 episode:24 

Rewards Tr: 326.36, Rewards Eval: 312.96, Total Timesteps: 543500 episode:25 

Rewards Tr: 330.53, Rewards Eval: 312.16, Total Timesteps: 572300 episode:26 

Rewards Tr: 351.60, Rewards Eval: 316.23, Total Timesteps: 602560 episode:27 

Rewards Tr: 357.95, Rewards Eval: 317.84, Total Timesteps: 633780 episode:28 

Rewards Tr: 374.36, Rewards Eval: 304.22, Total Timesteps: 666380 episode:29 

Rewards Tr: 409.88, Rewards Eval: 344.72, Total Timesteps: 704020 episode:30 

Rewards Tr: 439.27, Rewards Eval: 387.08, Total Timesteps: 744090 episode:31 

Rewards Tr: 503.47, Rewards Eval: 413.85, Total Timesteps: 797320 episode:32 

Rewards Tr: 556.28, Rewards Eval: 438.04, Total Timesteps: 859030 episode:33 

Rewards Tr: 572.30, Rewards Eval: 497.42, Total Timesteps: 919420 episode:34 

Rewards Tr: 637.10, Rewards Eval: 431.64, Total Timesteps: 986830 episode:35 

Rewards Tr: 652.06, Rewards Eval: 583.45, Total Timesteps: 1057360 episode:36 

Rewards Tr: 691.65, Rewards Eval: 497.09, Total Timesteps: 1128930 episode:37 

Rewards Tr: 703.74, Rewards Eval: 488.95, Total Timesteps: 1198020 episode:38 

Rewards Tr: 674.80, Rewards Eval: 432.86, Total Timesteps: 1268580 episode:39 

Rewards Tr: 737.26, Rewards Eval: 597.38, Total Timesteps: 1343400 episode:40 

Rewards Tr: 789.44, Rewards Eval: 501.42, Total Timesteps: 1427040 episode:41 

Rewards Tr: 793.76, Rewards Eval: 487.89, Total Timesteps: 1513100 episode:42 

Rewards Tr: 797.27, Rewards Eval: 470.71, Total Timesteps: 1596040 episode:43 

Rewards Tr: 734.47, Rewards Eval: 469.02, Total Timesteps: 1671440 episode:44 

Rewards Tr: 773.73, Rewards Eval: 644.48, Total Timesteps: 1745810 episode:45 

Rewards Tr: 861.39, Rewards Eval: 486.57, Total Timesteps: 1845500 episode:46 

Rewards Tr: 872.45, Rewards Eval: 510.92, Total Timesteps: 1939230 episode:47 

Rewards Tr: 771.08, Rewards Eval: 468.49, Total Timesteps: 2012740 episode:48 

Rewards Tr: 816.52, Rewards Eval: 497.36, Total Timesteps: 2092420 episode:49 

Rewards Tr: 869.83, Rewards Eval: 538.14, Total Timesteps: 2182300 episode:50 

Rewards Tr: 960.60, Rewards Eval: 489.26, Total Timesteps: 2278320 episode:51 

Rewards Tr: 983.88, Rewards Eval: 496.66, Total Timesteps: 2378130 episode:52 

Rewards Tr: 909.29, Rewards Eval: 559.12, Total Timesteps: 2471580 episode:53 

Rewards Tr: 871.07, Rewards Eval: 518.21, Total Timesteps: 2553370 episode:54 

Rewards Tr: 860.44, Rewards Eval: 537.20, Total Timesteps: 2629190 episode:55 

Rewards Tr: 915.67, Rewards Eval: 564.69, Total Timesteps: 2715770 episode:56 

Rewards Tr: 964.34, Rewards Eval: 805.80, Total Timesteps: 2803530 episode:57 

Rewards Tr: 1018.77, Rewards Eval: 538.72, Total Timesteps: 2901810 episode:58 

Rewards Tr: 931.97, Rewards Eval: 552.88, Total Timesteps: 2983740 episode:59 

Rewards Tr: 1028.19, Rewards Eval: 495.44, Total Timesteps: 3085170 episode:60 

Rewards Tr: 1029.70, Rewards Eval: 726.18, Total Timesteps: 3182460 episode:61 

Rewards Tr: 1034.25, Rewards Eval: 674.89, Total Timesteps: 3281620 episode:62 

Rewards Tr: 1138.98, Rewards Eval: 619.46, Total Timesteps: 3394110 episode:63 

Rewards Tr: 1183.26, Rewards Eval: 674.99, Total Timesteps: 3522850 episode:64 

Rewards Tr: 1154.95, Rewards Eval: 703.83, Total Timesteps: 3641170 episode:65 

Rewards Tr: 1119.48, Rewards Eval: 632.34, Total Timesteps: 3752350 episode:66 

Rewards Tr: 1102.80, Rewards Eval: 598.99, Total Timesteps: 3857870 episode:67 

Rewards Tr: 1173.44, Rewards Eval: 638.22, Total Timesteps: 3977000 episode:68 

Rewards Tr: 1246.34, Rewards Eval: 509.16, Total Timesteps: 4099730 episode:69 

Rewards Tr: 1272.62, Rewards Eval: 580.10, Total Timesteps: 4231720 episode:70 

Rewards Tr: 1152.54, Rewards Eval: 566.79, Total Timesteps: 4342450 episode:71 

Rewards Tr: 1278.54, Rewards Eval: 634.95, Total Timesteps: 4471560 episode:72 

Rewards Tr: 1336.86, Rewards Eval: 711.40, Total Timesteps: 4604240 episode:73 

Rewards Tr: 1320.21, Rewards Eval: 666.40, Total Timesteps: 4748340 episode:74 

Rewards Tr: 1561.51, Rewards Eval: 505.49, Total Timesteps: 4912630 episode:75 

Rewards Tr: 1460.22, Rewards Eval: 787.60, Total Timesteps: 5065390 episode:76 

Rewards Tr: 1513.92, Rewards Eval: 677.44, Total Timesteps: 5227630 episode:77 

Rewards Tr: 1401.88, Rewards Eval: 798.58, Total Timesteps: 5383990 episode:78 

Rewards Tr: 1302.12, Rewards Eval: 540.28, Total Timesteps: 5521060 episode:79 

Rewards Tr: 1391.14, Rewards Eval: 1013.89, Total Timesteps: 5673590 episode:80 

Rewards Tr: 1196.47, Rewards Eval: 667.94, Total Timesteps: 5786030 episode:81 

Rewards Tr: 1464.60, Rewards Eval: 577.23, Total Timesteps: 5941380 episode:82 

Rewards Tr: 1558.53, Rewards Eval: 621.81, Total Timesteps: 6105730 episode:83 

Rewards Tr: 1583.31, Rewards Eval: 698.35, Total Timesteps: 6270370 episode:84 

Rewards Tr: 1620.40, Rewards Eval: 786.50, Total Timesteps: 6448620 episode:85 

Rewards Tr: 1764.96, Rewards Eval: 752.88, Total Timesteps: 6629050 episode:86 

Rewards Tr: 1753.35, Rewards Eval: 581.09, Total Timesteps: 6798960 episode:87 

Rewards Tr: 1574.45, Rewards Eval: 720.06, Total Timesteps: 6971170 episode:88 

Rewards Tr: 1540.28, Rewards Eval: 857.76, Total Timesteps: 7137990 episode:89 

Rewards Tr: 1609.69, Rewards Eval: 886.26, Total Timesteps: 7316340 episode:90 

Rewards Tr: 1778.74, Rewards Eval: 702.87, Total Timesteps: 7501370 episode:91 

Rewards Tr: 1449.01, Rewards Eval: 1036.49, Total Timesteps: 7649160 episode:92 

Rewards Tr: 1436.60, Rewards Eval: 624.77, Total Timesteps: 7784470 episode:93 

Rewards Tr: 1622.58, Rewards Eval: 1568.16, Total Timesteps: 7951830 episode:94 

Rewards Tr: 1869.36, Rewards Eval: 663.33, Total Timesteps: 8127150 episode:95 

Rewards Tr: 1460.88, Rewards Eval: 1058.99, Total Timesteps: 8263080 episode:96 

Rewards Tr: 1709.57, Rewards Eval: 1122.10, Total Timesteps: 8435350 episode:97 

Rewards Tr: 1580.54, Rewards Eval: 936.05, Total Timesteps: 8585580 episode:98 

Rewards Tr: 1654.31, Rewards Eval: 775.45, Total Timesteps: 8737810 episode:99 

Rewards Tr: 1774.50, Rewards Eval: 971.99, Total Timesteps: 8892810 episode:100 

Rewards Tr: 1715.12, Rewards Eval: 972.23, Total Timesteps: 9059560 episode:101 

Rewards Tr: 1944.51, Rewards Eval: 1290.11, Total Timesteps: 9219710 episode:102 

Rewards Tr: 1826.82, Rewards Eval: 895.91, Total Timesteps: 9384950 episode:103 

Rewards Tr: 1803.77, Rewards Eval: 691.82, Total Timesteps: 9530980 episode:104 

Rewards Tr: 1788.93, Rewards Eval: 1629.30, Total Timesteps: 9687210 episode:105 

Rewards Tr: 1820.24, Rewards Eval: 634.35, Total Timesteps: 9851860 episode:106 

Rewards Tr: 1749.82, Rewards Eval: 984.34, Total Timesteps: 10012270 episode:107 

Rewards Tr: 1671.62, Rewards Eval: 1596.63, Total Timesteps: 10160910 episode:108 

