For Seed: 1 

Rewards Tr: 16.69, Rewards Eval: 0.00, Total Timesteps: 9520 episode:0 

Rewards Tr: 30.54, Rewards Eval: 37.68, Total Timesteps: 21100 episode:1 

Rewards Tr: 48.55, Rewards Eval: 67.21, Total Timesteps: 35480 episode:2 

Rewards Tr: 58.11, Rewards Eval: 69.62, Total Timesteps: 50140 episode:3 

Rewards Tr: 65.79, Rewards Eval: 65.45, Total Timesteps: 65420 episode:4 

Rewards Tr: 77.31, Rewards Eval: 82.74, Total Timesteps: 81770 episode:5 

Rewards Tr: 89.90, Rewards Eval: 123.40, Total Timesteps: 100250 episode:6 

Rewards Tr: 92.56, Rewards Eval: 88.11, Total Timesteps: 118940 episode:7 

Rewards Tr: 118.04, Rewards Eval: 99.86, Total Timesteps: 140090 episode:8 

Rewards Tr: 133.71, Rewards Eval: 163.36, Total Timesteps: 160690 episode:9 

Rewards Tr: 152.86, Rewards Eval: 174.46, Total Timesteps: 181830 episode:10 

Rewards Tr: 163.81, Rewards Eval: 186.40, Total Timesteps: 202130 episode:11 

Rewards Tr: 178.05, Rewards Eval: 192.76, Total Timesteps: 222960 episode:12 

Rewards Tr: 197.98, Rewards Eval: 192.72, Total Timesteps: 244270 episode:13 

Rewards Tr: 209.76, Rewards Eval: 225.70, Total Timesteps: 264750 episode:14 

Rewards Tr: 215.34, Rewards Eval: 238.64, Total Timesteps: 285560 episode:15 

Rewards Tr: 222.38, Rewards Eval: 211.29, Total Timesteps: 307150 episode:16 

Rewards Tr: 230.07, Rewards Eval: 263.67, Total Timesteps: 328330 episode:17 

Rewards Tr: 239.97, Rewards Eval: 272.12, Total Timesteps: 350350 episode:18 

Rewards Tr: 255.28, Rewards Eval: 245.97, Total Timesteps: 372710 episode:19 

Rewards Tr: 267.70, Rewards Eval: 279.04, Total Timesteps: 395800 episode:20 

Rewards Tr: 271.92, Rewards Eval: 261.06, Total Timesteps: 418750 episode:21 

Rewards Tr: 279.97, Rewards Eval: 282.58, Total Timesteps: 442850 episode:22 

Rewards Tr: 288.05, Rewards Eval: 310.02, Total Timesteps: 467140 episode:23 

Rewards Tr: 295.05, Rewards Eval: 307.03, Total Timesteps: 491990 episode:24 

Rewards Tr: 309.78, Rewards Eval: 340.90, Total Timesteps: 518700 episode:25 

Rewards Tr: 324.26, Rewards Eval: 333.62, Total Timesteps: 548170 episode:26 

Rewards Tr: 340.77, Rewards Eval: 329.48, Total Timesteps: 578410 episode:27 

Rewards Tr: 357.10, Rewards Eval: 389.99, Total Timesteps: 611230 episode:28 

Rewards Tr: 377.97, Rewards Eval: 424.53, Total Timesteps: 645850 episode:29 

Rewards Tr: 410.86, Rewards Eval: 443.70, Total Timesteps: 685040 episode:30 

Rewards Tr: 449.93, Rewards Eval: 432.77, Total Timesteps: 728040 episode:31 

Rewards Tr: 449.24, Rewards Eval: 472.04, Total Timesteps: 771910 episode:32 

Rewards Tr: 477.45, Rewards Eval: 489.52, Total Timesteps: 817190 episode:33 

Rewards Tr: 483.65, Rewards Eval: 557.38, Total Timesteps: 863980 episode:34 

Rewards Tr: 544.00, Rewards Eval: 579.20, Total Timesteps: 920710 episode:35 

Rewards Tr: 578.10, Rewards Eval: 759.40, Total Timesteps: 982180 episode:36 

Rewards Tr: 611.50, Rewards Eval: 609.17, Total Timesteps: 1053520 episode:37 

Rewards Tr: 611.28, Rewards Eval: 697.23, Total Timesteps: 1125930 episode:38 

Rewards Tr: 628.78, Rewards Eval: 563.03, Total Timesteps: 1200040 episode:39 

Rewards Tr: 767.79, Rewards Eval: 688.31, Total Timesteps: 1314540 episode:40 

Rewards Tr: 661.38, Rewards Eval: 610.53, Total Timesteps: 1402760 episode:41 

Rewards Tr: 720.39, Rewards Eval: 611.20, Total Timesteps: 1491620 episode:42 

Rewards Tr: 721.79, Rewards Eval: 754.19, Total Timesteps: 1575650 episode:43 

Rewards Tr: 772.23, Rewards Eval: 696.00, Total Timesteps: 1668010 episode:44 

Rewards Tr: 807.42, Rewards Eval: 829.04, Total Timesteps: 1762930 episode:45 

Rewards Tr: 981.39, Rewards Eval: 906.10, Total Timesteps: 1899290 episode:46 

Rewards Tr: 831.43, Rewards Eval: 803.04, Total Timesteps: 2013340 episode:47 

Rewards Tr: 826.97, Rewards Eval: 697.50, Total Timesteps: 2132480 episode:48 

Rewards Tr: 936.47, Rewards Eval: 909.43, Total Timesteps: 2259620 episode:49 

Rewards Tr: 960.59, Rewards Eval: 912.09, Total Timesteps: 2387520 episode:50 

Rewards Tr: 1019.29, Rewards Eval: 1406.26, Total Timesteps: 2539710 episode:51 

Rewards Tr: 1205.36, Rewards Eval: 1237.63, Total Timesteps: 2697950 episode:52 

Rewards Tr: 1348.93, Rewards Eval: 1050.32, Total Timesteps: 2886910 episode:53 

Rewards Tr: 1350.77, Rewards Eval: 1218.11, Total Timesteps: 3065690 episode:54 

Rewards Tr: 1228.99, Rewards Eval: 1854.60, Total Timesteps: 3223790 episode:55 

Rewards Tr: 1559.82, Rewards Eval: 1444.96, Total Timesteps: 3420740 episode:56 

Rewards Tr: 1536.80, Rewards Eval: 1693.96, Total Timesteps: 3612980 episode:57 

Rewards Tr: 1620.83, Rewards Eval: 1889.99, Total Timesteps: 3805790 episode:58 

Rewards Tr: 1573.47, Rewards Eval: 1622.13, Total Timesteps: 3999540 episode:59 

Rewards Tr: 1547.61, Rewards Eval: 990.13, Total Timesteps: 4194190 episode:60 

Rewards Tr: 1636.69, Rewards Eval: 2009.43, Total Timesteps: 4393740 episode:61 

Rewards Tr: 1841.64, Rewards Eval: 1391.31, Total Timesteps: 4593740 episode:62 

Rewards Tr: 1477.11, Rewards Eval: 2107.05, Total Timesteps: 4785730 episode:63 

Rewards Tr: 1708.44, Rewards Eval: 1538.13, Total Timesteps: 4984300 episode:64 

Rewards Tr: 1794.04, Rewards Eval: 1555.78, Total Timesteps: 5184300 episode:65 

Rewards Tr: 1506.56, Rewards Eval: 2453.66, Total Timesteps: 5379950 episode:66 

Rewards Tr: 1830.74, Rewards Eval: 1615.87, Total Timesteps: 5579950 episode:67 

Rewards Tr: 1934.58, Rewards Eval: 1606.77, Total Timesteps: 5779950 episode:68 

Rewards Tr: 1717.40, Rewards Eval: 1545.93, Total Timesteps: 5978820 episode:69 

Rewards Tr: 1766.19, Rewards Eval: 2025.12, Total Timesteps: 6178690 episode:70 

Rewards Tr: 1782.23, Rewards Eval: 1561.50, Total Timesteps: 6378180 episode:71 

Rewards Tr: 1871.98, Rewards Eval: 2085.45, Total Timesteps: 6578180 episode:72 

