For Seed: 1 

Rewards Tr: 17.41, Rewards Eval: 41.23, Total Timesteps: 10500 episode:0 

Rewards Tr: 30.45, Rewards Eval: 39.45, Total Timesteps: 22330 episode:1 

Rewards Tr: 48.00, Rewards Eval: 63.68, Total Timesteps: 36030 episode:2 

Rewards Tr: 60.81, Rewards Eval: 42.71, Total Timesteps: 51510 episode:3 

Rewards Tr: 72.60, Rewards Eval: 98.27, Total Timesteps: 68060 episode:4 

Rewards Tr: 80.39, Rewards Eval: 75.60, Total Timesteps: 83500 episode:5 

Rewards Tr: 92.33, Rewards Eval: 104.98, Total Timesteps: 101570 episode:6 

Rewards Tr: 103.19, Rewards Eval: 107.94, Total Timesteps: 122090 episode:7 

Rewards Tr: 120.27, Rewards Eval: 118.61, Total Timesteps: 141870 episode:8 

Rewards Tr: 131.01, Rewards Eval: 141.20, Total Timesteps: 163310 episode:9 

Rewards Tr: 145.45, Rewards Eval: 150.93, Total Timesteps: 184590 episode:10 

Rewards Tr: 166.17, Rewards Eval: 186.13, Total Timesteps: 205860 episode:11 

Rewards Tr: 178.04, Rewards Eval: 172.10, Total Timesteps: 226220 episode:12 

Rewards Tr: 188.42, Rewards Eval: 182.93, Total Timesteps: 246020 episode:13 

Rewards Tr: 211.36, Rewards Eval: 230.21, Total Timesteps: 267080 episode:14 

Rewards Tr: 224.57, Rewards Eval: 230.21, Total Timesteps: 288930 episode:15 

Rewards Tr: 229.19, Rewards Eval: 269.30, Total Timesteps: 311330 episode:16 

Rewards Tr: 265.49, Rewards Eval: 224.38, Total Timesteps: 334910 episode:17 

Rewards Tr: 274.12, Rewards Eval: 270.04, Total Timesteps: 358050 episode:18 

Rewards Tr: 276.84, Rewards Eval: 278.43, Total Timesteps: 382550 episode:19 

Rewards Tr: 302.93, Rewards Eval: 315.50, Total Timesteps: 408740 episode:20 

Rewards Tr: 293.22, Rewards Eval: 309.71, Total Timesteps: 433420 episode:21 

Rewards Tr: 325.66, Rewards Eval: 308.19, Total Timesteps: 460670 episode:22 

Rewards Tr: 318.79, Rewards Eval: 356.92, Total Timesteps: 487690 episode:23 

Rewards Tr: 321.67, Rewards Eval: 320.79, Total Timesteps: 514590 episode:24 

Rewards Tr: 324.63, Rewards Eval: 358.34, Total Timesteps: 543930 episode:25 

Rewards Tr: 344.82, Rewards Eval: 335.85, Total Timesteps: 573100 episode:26 

Rewards Tr: 341.77, Rewards Eval: 389.05, Total Timesteps: 602570 episode:27 

Rewards Tr: 376.90, Rewards Eval: 393.29, Total Timesteps: 636110 episode:28 

Rewards Tr: 379.00, Rewards Eval: 400.63, Total Timesteps: 673010 episode:29 

Rewards Tr: 415.62, Rewards Eval: 430.70, Total Timesteps: 711800 episode:30 

Rewards Tr: 426.33, Rewards Eval: 455.97, Total Timesteps: 750980 episode:31 

Rewards Tr: 389.22, Rewards Eval: 423.01, Total Timesteps: 787370 episode:32 

Rewards Tr: 469.17, Rewards Eval: 412.12, Total Timesteps: 830240 episode:33 

Rewards Tr: 476.93, Rewards Eval: 508.17, Total Timesteps: 874290 episode:34 

Rewards Tr: 459.05, Rewards Eval: 486.13, Total Timesteps: 919580 episode:35 

Rewards Tr: 517.88, Rewards Eval: 506.55, Total Timesteps: 966530 episode:36 

Rewards Tr: 513.27, Rewards Eval: 525.83, Total Timesteps: 1015980 episode:37 

Rewards Tr: 497.80, Rewards Eval: 490.35, Total Timesteps: 1068760 episode:38 

Rewards Tr: 505.16, Rewards Eval: 512.23, Total Timesteps: 1117780 episode:39 

Rewards Tr: 527.87, Rewards Eval: 540.10, Total Timesteps: 1167620 episode:40 

Rewards Tr: 500.03, Rewards Eval: 481.22, Total Timesteps: 1220380 episode:41 

Rewards Tr: 558.43, Rewards Eval: 534.50, Total Timesteps: 1272410 episode:42 

Rewards Tr: 554.63, Rewards Eval: 574.21, Total Timesteps: 1329340 episode:43 

Rewards Tr: 534.18, Rewards Eval: 523.30, Total Timesteps: 1387070 episode:44 

Rewards Tr: 539.77, Rewards Eval: 532.85, Total Timesteps: 1443120 episode:45 

Rewards Tr: 521.52, Rewards Eval: 497.00, Total Timesteps: 1499020 episode:46 

Rewards Tr: 494.88, Rewards Eval: 524.36, Total Timesteps: 1550430 episode:47 

Rewards Tr: 572.47, Rewards Eval: 703.26, Total Timesteps: 1607310 episode:48 

Rewards Tr: 567.11, Rewards Eval: 538.81, Total Timesteps: 1672700 episode:49 

Rewards Tr: 566.29, Rewards Eval: 570.11, Total Timesteps: 1737880 episode:50 

Rewards Tr: 669.41, Rewards Eval: 583.20, Total Timesteps: 1811370 episode:51 

Rewards Tr: 624.39, Rewards Eval: 543.91, Total Timesteps: 1886490 episode:52 

Rewards Tr: 606.09, Rewards Eval: 720.11, Total Timesteps: 1949320 episode:53 

Rewards Tr: 598.98, Rewards Eval: 552.10, Total Timesteps: 2012840 episode:54 

Rewards Tr: 620.96, Rewards Eval: 551.66, Total Timesteps: 2075010 episode:55 

Rewards Tr: 646.49, Rewards Eval: 515.67, Total Timesteps: 2154560 episode:56 

Rewards Tr: 684.06, Rewards Eval: 552.77, Total Timesteps: 2240450 episode:57 

Rewards Tr: 614.75, Rewards Eval: 604.73, Total Timesteps: 2307670 episode:58 

Rewards Tr: 675.02, Rewards Eval: 766.28, Total Timesteps: 2381600 episode:59 

Rewards Tr: 602.86, Rewards Eval: 689.18, Total Timesteps: 2443490 episode:60 

Rewards Tr: 651.23, Rewards Eval: 748.41, Total Timesteps: 2515350 episode:61 

Rewards Tr: 634.95, Rewards Eval: 547.17, Total Timesteps: 2580310 episode:62 

Rewards Tr: 666.23, Rewards Eval: 832.77, Total Timesteps: 2657870 episode:63 

Rewards Tr: 762.54, Rewards Eval: 615.20, Total Timesteps: 2756960 episode:64 

Rewards Tr: 699.04, Rewards Eval: 835.22, Total Timesteps: 2837680 episode:65 

Rewards Tr: 599.87, Rewards Eval: 555.39, Total Timesteps: 2900650 episode:66 

Rewards Tr: 751.99, Rewards Eval: 565.70, Total Timesteps: 2991830 episode:67 

Rewards Tr: 676.36, Rewards Eval: 705.74, Total Timesteps: 3058440 episode:68 

Rewards Tr: 698.21, Rewards Eval: 621.97, Total Timesteps: 3123680 episode:69 

Rewards Tr: 696.27, Rewards Eval: 725.57, Total Timesteps: 3200250 episode:70 

Rewards Tr: 683.55, Rewards Eval: 677.16, Total Timesteps: 3274800 episode:71 

Rewards Tr: 652.11, Rewards Eval: 691.99, Total Timesteps: 3343130 episode:72 

Rewards Tr: 643.77, Rewards Eval: 723.64, Total Timesteps: 3415140 episode:73 

Rewards Tr: 646.25, Rewards Eval: 729.79, Total Timesteps: 3478640 episode:74 

Rewards Tr: 662.74, Rewards Eval: 681.05, Total Timesteps: 3549260 episode:75 

Rewards Tr: 686.67, Rewards Eval: 815.18, Total Timesteps: 3628250 episode:76 

Rewards Tr: 767.33, Rewards Eval: 856.53, Total Timesteps: 3722850 episode:77 

Rewards Tr: 705.41, Rewards Eval: 755.54, Total Timesteps: 3801990 episode:78 

Rewards Tr: 704.89, Rewards Eval: 738.89, Total Timesteps: 3884260 episode:79 

Rewards Tr: 688.68, Rewards Eval: 593.45, Total Timesteps: 3951370 episode:80 

Rewards Tr: 711.45, Rewards Eval: 824.43, Total Timesteps: 4033350 episode:81 

Rewards Tr: 725.43, Rewards Eval: 668.99, Total Timesteps: 4108780 episode:82 

Rewards Tr: 816.65, Rewards Eval: 648.09, Total Timesteps: 4211690 episode:83 

Rewards Tr: 683.35, Rewards Eval: 839.07, Total Timesteps: 4282540 episode:84 

Rewards Tr: 747.05, Rewards Eval: 684.36, Total Timesteps: 4374670 episode:85 

Rewards Tr: 663.98, Rewards Eval: 675.21, Total Timesteps: 4445030 episode:86 

Rewards Tr: 715.04, Rewards Eval: 600.61, Total Timesteps: 4523150 episode:87 

Rewards Tr: 726.21, Rewards Eval: 762.95, Total Timesteps: 4605070 episode:88 

Rewards Tr: 848.40, Rewards Eval: 827.73, Total Timesteps: 4702290 episode:89 

Rewards Tr: 735.46, Rewards Eval: 897.56, Total Timesteps: 4784790 episode:90 

Rewards Tr: 760.75, Rewards Eval: 651.27, Total Timesteps: 4873700 episode:91 

Rewards Tr: 795.82, Rewards Eval: 833.17, Total Timesteps: 4960690 episode:92 

Rewards Tr: 750.68, Rewards Eval: 709.46, Total Timesteps: 5045430 episode:93 

Rewards Tr: 706.84, Rewards Eval: 611.95, Total Timesteps: 5116210 episode:94 

Rewards Tr: 758.13, Rewards Eval: 744.36, Total Timesteps: 5203360 episode:95 

Rewards Tr: 781.40, Rewards Eval: 852.21, Total Timesteps: 5286130 episode:96 

Rewards Tr: 763.93, Rewards Eval: 716.18, Total Timesteps: 5371800 episode:97 

Rewards Tr: 741.66, Rewards Eval: 661.04, Total Timesteps: 5448910 episode:98 

Rewards Tr: 794.67, Rewards Eval: 880.54, Total Timesteps: 5531400 episode:99 

Rewards Tr: 769.99, Rewards Eval: 866.14, Total Timesteps: 5619050 episode:100 

Rewards Tr: 791.41, Rewards Eval: 644.63, Total Timesteps: 5712570 episode:101 

Rewards Tr: 789.81, Rewards Eval: 867.36, Total Timesteps: 5800930 episode:102 

Rewards Tr: 752.36, Rewards Eval: 844.06, Total Timesteps: 5890940 episode:103 

Rewards Tr: 836.97, Rewards Eval: 638.83, Total Timesteps: 5990990 episode:104 

Rewards Tr: 845.57, Rewards Eval: 765.54, Total Timesteps: 6090550 episode:105 

Rewards Tr: 853.37, Rewards Eval: 720.61, Total Timesteps: 6182360 episode:106 

Rewards Tr: 849.90, Rewards Eval: 785.08, Total Timesteps: 6278680 episode:107 

Rewards Tr: 783.99, Rewards Eval: 1065.04, Total Timesteps: 6367050 episode:108 

Rewards Tr: 786.58, Rewards Eval: 694.62, Total Timesteps: 6446710 episode:109 

Rewards Tr: 837.83, Rewards Eval: 811.63, Total Timesteps: 6540170 episode:110 

Rewards Tr: 836.20, Rewards Eval: 770.18, Total Timesteps: 6621850 episode:111 

Rewards Tr: 761.99, Rewards Eval: 828.54, Total Timesteps: 6705030 episode:112 

Rewards Tr: 881.48, Rewards Eval: 787.05, Total Timesteps: 6804470 episode:113 

Rewards Tr: 909.28, Rewards Eval: 671.56, Total Timesteps: 6896010 episode:114 

Rewards Tr: 896.72, Rewards Eval: 778.59, Total Timesteps: 6989790 episode:115 

Rewards Tr: 773.51, Rewards Eval: 671.16, Total Timesteps: 7066190 episode:116 

Rewards Tr: 877.40, Rewards Eval: 736.02, Total Timesteps: 7153010 episode:117 

Rewards Tr: 781.51, Rewards Eval: 1017.61, Total Timesteps: 7227380 episode:118 

Rewards Tr: 791.54, Rewards Eval: 876.17, Total Timesteps: 7305240 episode:119 

Rewards Tr: 823.86, Rewards Eval: 935.17, Total Timesteps: 7383710 episode:120 

Rewards Tr: 768.35, Rewards Eval: 892.75, Total Timesteps: 7455270 episode:121 

